<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
CMWG2107,20210907,4.4000,4.5500,4.2500,4.4200,621300
CMWG2107,20210908,4.2000,4.4600,4.1700,4.4500,364500
CMWG2107,20210909,4.4500,5.5600,4.4500,5.5500,792700
CMWG2107,20210910,5.5100,6.0000,5.2800,5.5400,386100
CMWG2107,20210913,5.5400,6.9000,5.5400,6.7600,1248300
CMWG2107,20210914,6.7800,6.7800,6.1500,6.5000,527400
CMWG2107,20210915,6.5000,6.9600,6.2000,6.8800,351600
CMWG2107,20210916,6.8800,6.8800,6.3700,6.4100,552600
CMWG2107,20210917,6.4900,6.6400,6.2800,6.4000,761100
CMWG2107,20210920,6.6200,7.1500,6.1100,6.3200,671200
CMWG2107,20210921,6.1400,6.7500,6.1000,6.5900,398700
CMWG2107,20210922,6.6000,7.0000,6.5200,6.9000,408400
CMWG2107,20210923,7.0800,8.6000,6.9100,8.2000,1338300
CMWG2107,20210924,8.2000,8.5700,7.8000,8.1300,518500
CMWG2107,20210927,7.5500,7.7200,6.8600,6.8600,1039500
CMWG2107,20210928,6.6300,7.0900,6.4500,6.9900,349300
CMWG2107,20210929,6.9000,7.4400,6.9000,7.2900,229500
CMWG2107,20210930,7.1400,7.4000,7.0500,7.2300,412700
CMWG2107,20211001,7.2300,7.2300,6.8500,7.0200,463200
CMWG2107,20211004,6.8800,7.1000,6.7000,7.1000,246700
CMWG2107,20211005,6.9000,7.1000,6.8000,7.0700,240600
CMWG2107,20211006,7.1100,7.6000,6.9000,7.5900,307100
CMWG2107,20211007,7.5700,7.6500,7.2200,7.5700,195600
CMWG2107,20211008,7.0000,7.6000,7.0000,7.3200,384000
CMWG2107,20211011,7.3200,7.5000,7.3000,7.3800,594500
CMWG2107,20211012,7.5700,8.2000,7.5700,8.0100,1050700
CMWG2107,20211013,8.0400,8.5500,8.0400,8.4300,551100
CMWG2107,20211014,8.4200,8.7500,7.9900,8.0700,574700
CMWG2107,20211015,8.0000,8.2600,8.0000,8.2000,941400
CMWG2107,20211018,8.2000,8.2000,7.9800,7.9800,468900
CMWG2107,20211019,7.8500,8.1000,7.6600,7.9000,251900
CMWG2107,20211020,7.7200,8.0000,7.7200,7.9000,442200
CMWG2107,20211021,7.7000,7.8300,7.6200,7.6900,179600
CMWG2107,20211022,7.6100,7.8000,7.5200,7.8000,115500
CMWG2107,20211025,7.8000,7.8000,7.2100,7.4100,139100
CMWG2107,20211026,7.4100,7.4100,7.2000,7.3600,168300
CMWG2107,20211027,7.7000,7.8500,7.3000,7.8300,185800
CMWG2107,20211028,7.7700,7.8300,7.5000,7.8300,201100
CMWG2107,20211029,7.5600,7.7500,7.5200,7.5500,555600
CMWG2107,20211101,7.5500,7.5500,7.3100,7.3800,176800
CMWG2107,20211102,7.0000,7.6900,7.0000,7.2000,219800
CMWG2107,20211103,7.0500,7.2000,6.6100,7.0200,398800
CMWG2107,20211104,6.9000,7.3000,6.8000,7.0700,45300
CMWG2107,20211105,7.2700,7.8000,7.2700,7.5500,342300
CMWG2107,20211108,7.5500,7.7900,7.5200,7.5200,315200
CMWG2107,20211109,7.2200,7.3000,7.1700,7.1700,220900
CMWG2107,20211110,7.0000,7.3000,6.9900,7.3000,305500
CMWG2107,20211111,7.3000,8.5200,7.0000,7.8700,1774300
CMWG2107,20211112,8.1700,8.4800,8.0000,8.4000,319800
CMWG2107,20211115,8.4500,9.3600,8.4500,9.3500,1175300
CMWG2107,20211116,9.3400,9.3400,8.4100,9.1900,583000
