<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
CNA,20211224,43.9000,43.9000,43.9000,43.9000,0
CNA,20211227,43.9000,43.9000,43.9000,43.9000,0
CNA,20211228,43.9000,43.9000,43.9000,43.9000,0
CNA,20211229,43.9000,43.9000,43.9000,43.9000,0
CNA,20211230,43.9000,43.9000,43.9000,43.9000,0
CNA,20211231,43.9000,43.9000,43.9000,43.9000,0
CNA,20220104,43.9000,43.9000,43.9000,43.9000,0
CNA,20220105,43.9000,43.9000,43.9000,43.9000,0
CNA,20220106,43.9000,43.9000,43.9000,43.9000,0
CNA,20220107,43.9000,43.9000,43.9000,43.9000,0
CNA,20220110,43.9000,43.9000,43.9000,43.9000,0
CNA,20220111,43.9000,43.9000,43.9000,43.9000,0
CNA,20220112,43.9000,43.9000,43.9000,43.9000,0
CNA,20220113,43.9000,43.9000,43.9000,43.9000,0
CNA,20220114,43.9000,43.9000,43.9000,43.9000,0
CNA,20220117,43.9000,43.9000,43.9000,43.9000,0
CNA,20220118,43.9000,43.9000,43.9000,43.9000,0
CNA,20220119,43.9000,43.9000,43.9000,43.9000,0
CNA,20220120,43.9000,43.9000,43.9000,43.9000,0
CNA,20220121,43.9000,43.9000,43.9000,43.9000,0
CNA,20220124,43.9000,43.9000,43.9000,43.9000,0
CNA,20220125,43.9000,43.9000,43.9000,43.9000,0
CNA,20220126,43.9000,43.9000,43.9000,43.9000,0
CNA,20220127,43.9000,43.9000,43.9000,43.9000,0
CNA,20220128,43.9000,43.9000,43.9000,43.9000,0
CNA,20220207,43.9000,43.9000,43.9000,43.9000,0
CNA,20220208,43.9000,43.9000,43.9000,43.9000,0
CNA,20220209,43.9000,43.9000,43.9000,43.9000,0
CNA,20220210,43.9000,43.9000,43.9000,43.9000,0
CNA,20220211,43.9000,43.9000,43.9000,43.9000,0
CNA,20220214,43.9000,43.9000,43.9000,43.9000,0
CNA,20220215,43.9000,43.9000,43.9000,43.9000,0
CNA,20220216,43.9000,43.9000,43.9000,43.9000,0
CNA,20220217,43.9000,43.9000,43.9000,43.9000,0
CNA,20220218,43.9000,43.9000,43.9000,43.9000,0
CNA,20220221,43.9000,43.9000,43.9000,43.9000,0
CNA,20220222,43.9000,43.9000,43.9000,43.9000,0
CNA,20220223,43.9000,43.9000,43.9000,43.9000,0
CNA,20220224,43.9000,43.9000,43.9000,43.9000,0
CNA,20220225,43.9000,43.9000,43.9000,43.9000,0
CNA,20220228,43.9000,43.9000,43.9000,43.9000,0
CNA,20220301,43.9000,43.9000,43.9000,43.9000,0
CNA,20220302,43.9000,43.9000,43.9000,43.9000,0
CNA,20220303,43.9000,43.9000,43.9000,43.9000,0
CNA,20220304,43.9000,43.9000,43.9000,43.9000,0
CNA,20220307,43.9000,43.9000,43.9000,43.9000,0
CNA,20220308,43.9000,43.9000,43.9000,43.9000,0
CNA,20220309,43.9000,43.9000,43.9000,43.9000,0
CNA,20220310,43.9000,43.9000,43.9000,43.9000,0
CNA,20220311,43.9000,43.9000,43.9000,43.9000,0
CNA,20220314,43.9000,43.9000,43.9000,43.9000,0
CNA,20220315,43.9000,43.9000,43.9000,43.9000,0
CNA,20220316,43.9000,43.9000,43.9000,43.9000,0
CNA,20220317,43.9000,43.9000,43.9000,43.9000,0
CNA,20220318,43.9000,43.9000,43.9000,43.9000,0
CNA,20220321,43.9000,43.9000,43.9000,43.9000,0
CNA,20220322,43.9000,43.9000,43.9000,43.9000,0
CNA,20220323,43.9000,43.9000,43.9000,43.9000,0
CNA,20220324,43.9000,43.9000,43.9000,43.9000,0
CNA,20220325,43.9000,43.9000,43.9000,43.9000,0
CNA,20220328,43.9000,43.9000,43.9000,43.9000,0
CNA,20220329,43.9000,43.9000,43.9000,43.9000,0
CNA,20220330,43.9000,43.9000,43.9000,43.9000,0
CNA,20220331,43.9000,43.9000,43.9000,43.9000,0
CNA,20220401,43.9000,43.9000,43.9000,43.9000,0
CNA,20220404,43.9000,43.9000,43.9000,43.9000,0
CNA,20220405,43.9000,43.9000,43.9000,43.9000,0
CNA,20220406,43.9000,43.9000,43.9000,43.9000,0
CNA,20220407,43.9000,43.9000,43.9000,43.9000,0
CNA,20220408,43.9000,43.9000,43.9000,43.9000,0
CNA,20220412,43.9000,43.9000,43.9000,43.9000,0
CNA,20220413,43.9000,43.9000,43.9000,43.9000,0
CNA,20220414,43.9000,43.9000,43.9000,43.9000,0
CNA,20220415,43.9000,43.9000,43.9000,43.9000,0
CNA,20220418,43.9000,43.9000,43.9000,43.9000,0
