<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
CNC,20140625,51.0000,51.0000,51.0000,51.0000,0
CNC,20140626,51.0000,51.0000,51.0000,51.0000,0
CNC,20140627,51.0000,51.0000,51.0000,51.0000,0
CNC,20140630,51.0000,51.0000,51.0000,51.0000,0
CNC,20140701,45.0000,45.0000,45.0000,45.0000,11000
CNC,20140702,49.5000,49.5000,49.5000,49.5000,4200
CNC,20140703,54.4000,54.4000,54.4000,54.4000,100
CNC,20140704,59.8000,59.8000,49.5000,49.5000,1200
CNC,20140707,51.2000,51.2000,51.2000,51.2000,0
CNC,20140708,51.2000,51.2000,51.2000,51.2000,0
CNC,20140709,15.3880,15.3880,15.3880,15.3880,100
CNC,20140710,16.0035,16.0035,16.0035,16.0035,120
CNC,20140711,17.6038,17.6038,17.6038,17.6038,100
CNC,20140714,19.3273,19.3273,19.3273,19.3273,100
CNC,20140715,21.1328,21.1328,21.1328,21.1328,120
CNC,20140716,19.0811,19.6966,19.0811,19.6966,200
CNC,20140717,21.1328,21.1328,21.1328,21.1328,100
CNC,20140718,22.4869,22.4869,22.4869,22.4869,100
CNC,20140721,20.3121,23.8000,20.3121,23.8000,400
CNC,20140722,23.2666,23.2666,23.2666,23.2666,100
CNC,20140723,25.4414,25.4414,22.9794,22.9794,300
CNC,20140724,23.8000,23.8000,23.8000,23.8000,0
CNC,20140725,24.0052,24.0052,22.1587,22.1587,200
CNC,20140728,21.3380,21.3380,21.3380,21.3380,100
CNC,20140729,20.1069,20.1069,20.1069,20.1069,100
CNC,20140730,18.2604,18.2604,18.2604,18.2604,100
CNC,20140731,16.4549,16.4549,16.4549,16.4549,100
CNC,20140801,15.1828,15.1828,15.1828,15.1828,100
CNC,20140804,13.6645,13.6645,13.6645,13.6645,400
CNC,20140805,15.0186,15.0186,15.0186,15.0186,100
CNC,20140806,15.0186,15.0186,13.5414,13.5414,1700
CNC,20140807,12.5976,12.5976,12.5976,12.5976,100
CNC,20140808,11.6949,11.7359,11.6949,11.7359,400
CNC,20140811,12.8849,12.8849,12.8849,12.8849,100
CNC,20140812,12.3104,14.1569,12.3104,13.5414,1200
CNC,20140813,13.9518,14.3211,13.9518,14.3211,1000
CNC,20140814,14.7314,14.7314,13.9518,14.7314,400
CNC,20140815,15.3880,15.3880,13.7466,13.7466,300
CNC,20140818,14.3621,14.3621,14.3621,14.3621,0
CNC,20140819,15.5931,15.5931,13.7466,13.7466,400
CNC,20140820,13.7466,13.7466,13.1311,13.7055,800
CNC,20140821,13.7055,13.7055,13.7055,13.7055,100
CNC,20140822,14.7724,14.7724,14.7724,14.7724,100
CNC,20140825,16.2087,16.2087,13.2952,13.2952,1400
CNC,20140826,14.6083,14.6083,13.5414,13.5414,200
CNC,20140827,13.6645,13.6645,13.6235,13.6235,300
CNC,20140828,13.6645,13.6645,13.6645,13.6645,0
CNC,20140829,14.7314,14.7314,14.7314,14.7314,100
CNC,20140903,13.3362,13.3362,13.2952,13.2952,2000
CNC,20140904,14.6083,14.6083,12.3104,13.8697,1500
CNC,20140905,12.3104,13.5004,12.3104,13.0900,2100
CNC,20140908,13.2952,13.2952,13.2952,13.2952,100
CNC,20140909,13.8697,13.8697,13.8697,13.8697,100
CNC,20140910,12.5155,13.2952,12.5155,13.2952,700
CNC,20140911,13.7466,13.7466,13.7466,13.7466,100
CNC,20140912,12.3924,12.3924,12.3924,12.3924,500
CNC,20140915,11.9000,12.2693,11.9000,12.2693,400
CNC,20140916,13.1311,13.1311,13.1311,13.1311,100
CNC,20140917,11.8180,12.2693,11.8180,11.8180,3600
CNC,20140918,10.7511,10.7511,10.7511,10.7511,100
CNC,20140919,9.8073,11.8180,9.8073,11.8180,2200
CNC,20140922,10.6690,10.6690,10.6690,10.6690,100
CNC,20140923,9.8073,9.8073,9.8073,9.8073,100
CNC,20140924,9.2328,10.7511,8.8635,10.7511,1100
CNC,20140925,11.0793,11.0793,11.0793,11.0793,100
CNC,20140926,12.1462,12.1462,12.1462,12.1462,100
CNC,20140929,13.1721,13.1721,11.0793,11.0793,1000
CNC,20140930,12.6797,12.6797,10.5869,10.5869,1400
CNC,20141001,10.0945,10.0945,10.0945,10.0945,100
CNC,20141002,10.2586,10.2586,10.2586,10.2586,500
CNC,20141003,11.0793,11.0793,10.9973,10.9973,2800
CNC,20141006,10.0535,11.0793,10.0535,10.7100,2400
CNC,20141007,9.9714,10.9152,9.9714,10.9152,600
CNC,20141008,11.0793,11.2845,11.0793,11.2845,1500
CNC,20141009,10.9152,11.4897,10.9152,11.4897,3200
CNC,20141010,10.3817,11.6949,10.3817,11.4897,6000
CNC,20141013,11.6949,11.6949,11.4897,11.6949,8900
CNC,20141014,12.7617,12.7617,11.4897,11.4897,5300
CNC,20141015,12.6797,12.6797,11.4897,11.4897,6200
CNC,20141016,11.4897,11.4897,11.4897,11.4897,200
CNC,20141017,11.0793,11.0793,11.0793,11.0793,700
CNC,20141020,10.2997,10.2997,10.2997,10.2997,100
CNC,20141021,11.3255,11.3255,11.0793,11.1614,3400
CNC,20141022,11.2845,11.2845,11.2845,11.2845,700
CNC,20141023,10.2586,10.2586,10.2586,10.2586,100
CNC,20141024,11.0793,11.2845,10.9562,11.2845,2600
CNC,20141027,9.9714,11.0383,9.9714,11.0383,4700
CNC,20141028,11.0793,11.0793,11.0793,11.0793,1500
CNC,20141029,9.9714,11.0793,9.9714,11.0793,800
CNC,20141030,11.0793,11.0793,10.9562,10.9562,2300
CNC,20141031,9.9304,11.0793,9.9304,10.8742,4600
CNC,20141103,10.8742,10.8742,10.8742,10.8742,0
CNC,20141104,10.9152,10.9152,10.8742,10.8742,5840
CNC,20141105,10.6690,10.6690,10.6690,10.6690,3510
CNC,20141106,10.9973,10.9973,10.9973,10.9973,100
CNC,20141107,10.0124,10.8742,10.0124,10.6690,1300
CNC,20141110,10.5459,10.8742,10.5459,10.8742,300
CNC,20141111,10.4638,10.9973,10.4638,10.9973,4300
CNC,20141112,11.0383,11.0383,11.0383,11.0383,300
CNC,20141113,11.0793,11.0793,11.0793,11.0793,100
CNC,20141114,10.8742,10.8742,10.8742,10.8742,1000
CNC,20141117,11.0383,11.0383,10.8742,10.8742,3100
CNC,20141118,10.8742,10.8742,10.8742,10.8742,1900
CNC,20141119,10.8742,10.8742,9.8073,10.8742,700
CNC,20141120,10.7100,10.7100,10.7100,10.7100,400
CNC,20141121,10.7511,11.0793,10.7511,11.0793,4800
CNC,20141124,10.9973,10.9973,10.9973,10.9973,900
CNC,20141125,10.9973,10.9973,10.9973,10.9973,2100
CNC,20141126,10.9152,10.9152,10.8742,10.8742,1500
CNC,20141127,10.8742,10.8742,10.7100,10.7100,1100
CNC,20141128,11.4897,11.4897,11.4897,11.4897,100
CNC,20141201,10.9152,10.9152,10.9152,10.9152,200
