<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
CPC,20100118,26.0000,26.0000,24.5000,24.5000,4500
CPC,20100119,24.5000,24.5000,24.5000,24.5000,400
CPC,20100120,24.5000,24.5000,24.5000,24.5000,0
CPC,20100121,22.8000,22.8000,22.8000,22.8000,2500
CPC,20100122,21.3000,21.3000,21.3000,21.3000,2500
CPC,20100125,19.9000,19.9000,19.9000,19.9000,200
CPC,20100126,18.6000,21.1000,18.6000,20.0000,25500
CPC,20100127,18.9000,19.5000,17.6000,17.6000,4000
CPC,20100128,17.3000,17.3000,16.8000,16.8000,1300
CPC,20100129,17.0000,18.0000,17.0000,18.0000,1200
CPC,20100201,17.0000,17.0000,16.9000,16.9000,6400
CPC,20100202,16.5000,17.0000,16.0000,17.0000,7100
CPC,20100203,16.9000,17.8000,16.9000,17.8000,6600
CPC,20100204,18.5000,18.5000,18.4000,18.5000,7000
CPC,20100205,19.2000,19.2000,18.6000,18.6000,2600
CPC,20100208,19.9000,20.4000,19.1000,19.8000,11500
CPC,20100209,18.7000,19.0000,18.6000,18.6000,1000
CPC,20100210,17.8000,17.8000,17.8000,17.8000,1100
CPC,20100211,18.0000,19.0000,18.0000,19.0000,3300
CPC,20100212,20.0000,20.1000,19.0000,19.0000,1600
CPC,20100222,19.5000,19.5000,19.5000,19.5000,200
CPC,20100223,19.3000,19.3000,18.2000,18.9000,7800
CPC,20100224,18.1000,18.3000,18.1000,18.3000,1700
CPC,20100225,18.2000,19.1000,18.2000,18.4000,7900
CPC,20100226,18.8000,19.1000,18.6000,19.1000,3500
CPC,20100301,18.8000,18.8000,17.5000,17.5000,2600
CPC,20100302,16.7000,17.1000,16.7000,17.1000,600
CPC,20100303,17.4000,17.9000,17.4000,17.9000,9200
CPC,20100304,18.7000,18.7000,18.7000,18.7000,100
CPC,20100305,18.7000,18.7000,17.8000,18.7000,500
CPC,20100308,18.0000,18.0000,17.8000,18.0000,5000
CPC,20100309,17.5000,18.0000,17.5000,18.0000,1500
CPC,20100310,17.3000,17.9000,17.3000,17.9000,2800
CPC,20100311,18.0000,18.2000,17.7000,18.2000,4200
CPC,20100312,18.1000,18.4000,18.1000,18.4000,2200
CPC,20100315,18.3000,18.7000,18.3000,18.6000,38300
CPC,20100316,18.5000,18.5000,18.5000,18.5000,4600
CPC,20100317,18.4000,18.4000,18.0000,18.0000,5100
CPC,20100318,18.0000,18.0000,18.0000,18.0000,2700
CPC,20100319,18.0000,18.0000,17.5000,17.5000,2600
CPC,20100322,18.0000,18.0000,17.8000,18.0000,13200
CPC,20100323,18.0000,18.0000,17.9000,17.9000,7200
CPC,20100324,18.0000,18.0000,18.0000,18.0000,4000
CPC,20100325,18.0000,18.0000,17.4000,17.4000,10100
CPC,20100326,17.6000,17.6000,17.6000,17.6000,0
CPC,20100329,18.5000,18.5000,17.6000,17.6000,1100
CPC,20100330,18.2000,18.5000,18.0000,18.1000,9700
CPC,20100331,18.0000,18.0000,18.0000,18.0000,1000
CPC,20100401,18.0000,18.0000,18.0000,18.0000,1300
CPC,20100402,18.0000,18.0000,18.0000,18.0000,0
CPC,20100405,17.9000,17.9000,17.9000,17.9000,7300
CPC,20100406,18.4000,19.0000,18.4000,19.0000,18400
CPC,20100407,18.5000,18.5000,18.5000,18.5000,4000
CPC,20100408,18.5000,18.5000,18.0000,18.5000,25100
CPC,20100409,18.0000,18.5000,18.0000,18.5000,14900
CPC,20100412,18.6000,19.7000,18.6000,19.7000,74400
CPC,20100413,20.7000,20.7000,20.7000,20.7000,43800
CPC,20100414,22.1000,22.1000,21.0000,21.7000,46500
CPC,20100415,21.7000,21.7000,20.7000,21.0000,21700
CPC,20100416,21.5000,22.2000,21.0000,22.2000,69700
CPC,20100419,22.8000,23.1000,22.5000,23.1000,60300
CPC,20100420,24.7000,24.7000,24.7000,24.7000,33900
CPC,20100421,26.4000,26.4000,26.0000,26.4000,212800
CPC,20100422,28.2000,28.2000,24.6000,25.4000,72700
CPC,20100426,25.5000,25.5000,24.0000,25.0000,81800
CPC,20100427,6.9701,6.9701,6.6216,6.6796,26400
