<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
CPI,20170728,5.9000,5.9000,5.9000,5.9000,0
CPI,20170731,5.9000,5.9000,5.9000,5.9000,0
CPI,20170801,5.9000,5.9000,5.9000,5.9000,0
CPI,20170802,5.9000,5.9000,5.9000,5.9000,0
CPI,20170803,5.9000,5.9000,5.9000,5.9000,0
CPI,20170804,5.9000,5.9000,5.9000,5.9000,0
CPI,20170807,5.9000,5.9000,5.9000,5.9000,0
CPI,20170808,5.9000,5.9000,5.9000,5.9000,0
CPI,20170809,5.9000,5.9000,5.9000,5.9000,0
CPI,20170810,5.9000,5.9000,5.9000,5.9000,0
CPI,20170811,5.9000,5.9000,5.9000,5.9000,0
CPI,20170814,5.9000,5.9000,5.9000,5.9000,0
CPI,20170815,5.9000,5.9000,5.9000,5.9000,0
CPI,20170816,5.9000,5.9000,5.9000,5.9000,0
CPI,20170817,5.9000,5.9000,5.9000,5.9000,0
CPI,20170818,3.6000,3.6000,3.6000,3.6000,100
CPI,20170821,3.6000,3.6000,3.6000,3.6000,0
CPI,20170822,3.6000,3.6000,3.6000,3.6000,0
CPI,20170823,3.6000,3.6000,3.6000,3.6000,0
CPI,20170824,3.6000,3.6000,3.6000,3.6000,0
CPI,20170825,3.1000,3.1000,3.1000,3.1000,400
CPI,20170828,3.1000,3.1000,3.1000,3.1000,0
CPI,20170829,3.1000,3.1000,3.1000,3.1000,0
CPI,20170830,3.1000,3.1000,3.1000,3.1000,0
CPI,20170831,3.1000,3.1000,3.1000,3.1000,0
CPI,20170901,2.7000,2.7000,2.7000,2.7000,200
CPI,20170905,2.7000,2.7000,2.7000,2.7000,0
CPI,20170906,2.7000,2.7000,2.7000,2.7000,0
CPI,20170907,2.7000,2.7000,2.7000,2.7000,0
CPI,20170908,2.3000,2.3000,2.3000,2.3000,100
CPI,20170911,2.3000,2.3000,2.3000,2.3000,0
CPI,20170912,2.3000,2.3000,2.3000,2.3000,0
CPI,20170913,2.3000,2.3000,2.3000,2.3000,0
CPI,20170914,2.3000,2.3000,2.3000,2.3000,0
CPI,20170915,2.0000,2.0000,2.0000,2.0000,100
CPI,20170918,2.0000,2.0000,2.0000,2.0000,0
CPI,20170919,2.0000,2.0000,2.0000,2.0000,0
CPI,20170920,2.0000,2.0000,2.0000,2.0000,0
CPI,20170921,2.0000,2.0000,2.0000,2.0000,0
CPI,20170922,1.7000,1.7000,1.7000,1.7000,100
CPI,20170925,1.7000,1.7000,1.7000,1.7000,0
CPI,20170926,1.7000,1.7000,1.7000,1.7000,0
CPI,20170927,1.7000,1.7000,1.7000,1.7000,0
CPI,20170928,1.7000,1.7000,1.7000,1.7000,0
CPI,20170929,1.7000,1.7000,1.7000,1.7000,60
CPI,20171002,1.7000,1.7000,1.7000,1.7000,0
CPI,20171003,1.7000,1.7000,1.7000,1.7000,0
CPI,20171004,1.7000,1.7000,1.7000,1.7000,0
CPI,20171005,1.7000,1.7000,1.7000,1.7000,0
CPI,20171006,1.9000,1.9000,1.9000,1.9000,500
CPI,20171009,1.9000,1.9000,1.9000,1.9000,0
CPI,20171010,1.9000,1.9000,1.9000,1.9000,0
CPI,20171011,1.9000,1.9000,1.9000,1.9000,0
CPI,20171012,1.9000,1.9000,1.9000,1.9000,0
CPI,20171013,1.9000,1.9000,1.9000,1.9000,60
CPI,20171016,1.9000,1.9000,1.9000,1.9000,0
CPI,20171017,1.9000,1.9000,1.9000,1.9000,0
CPI,20171018,1.9000,1.9000,1.9000,1.9000,0
CPI,20171019,1.9000,1.9000,1.9000,1.9000,0
CPI,20171020,1.7000,1.7000,1.7000,1.7000,600
