<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
CPNJ2006,20200812,0.6700,0.6700,0.6700,0.6700,0
CPNJ2006,20200813,0.6400,0.6400,0.6400,0.6400,0
CPNJ2006,20200814,0.6700,0.6700,0.6700,0.6700,0
CPNJ2006,20200817,0.7500,0.7500,0.7500,0.7500,0
CPNJ2006,20200818,0.6900,0.6900,0.6900,0.6900,0
CPNJ2006,20200819,0.6500,0.6500,0.6500,0.6500,0
CPNJ2006,20200820,0.6800,0.6800,0.6800,0.6800,0
CPNJ2006,20200821,0.6500,0.6500,0.6500,0.6500,0
CPNJ2006,20200824,0.7000,0.7000,0.7000,0.7000,0
CPNJ2006,20200825,0.8000,0.8000,0.8000,0.8000,0
CPNJ2006,20200826,0.8900,0.8900,0.8900,0.8900,0
CPNJ2006,20200827,0.8400,0.8400,0.8400,0.8400,0
CPNJ2006,20200828,0.8000,1.0000,0.8000,1.0000,78040
CPNJ2006,20200831,0.9500,0.9500,0.9500,0.9500,0
CPNJ2006,20200901,0.8800,0.8800,0.8800,0.8800,0
CPNJ2006,20200903,0.9400,0.9400,0.9400,0.9400,0
CPNJ2006,20200904,0.9300,0.9300,0.9300,0.9300,0
CPNJ2006,20200907,0.8900,0.8900,0.8900,0.8900,0
CPNJ2006,20200908,0.8200,0.8200,0.8200,0.8200,0
CPNJ2006,20200909,0.8300,0.8300,0.8300,0.8300,0
CPNJ2006,20200910,0.8100,0.8100,0.8100,0.8100,0
CPNJ2006,20200911,0.8500,0.8500,0.8500,0.8500,0
CPNJ2006,20200914,0.8200,0.8200,0.8200,0.8200,0
CPNJ2006,20200915,0.8200,0.8200,0.8200,0.8200,0
CPNJ2006,20200916,0.8300,0.8300,0.8300,0.8300,0
CPNJ2006,20200917,0.8700,0.8700,0.8700,0.8700,0
CPNJ2006,20200918,0.8300,0.8300,0.8300,0.8300,0
CPNJ2006,20200921,0.8500,0.8500,0.8500,0.8500,0
CPNJ2006,20200922,0.8700,0.8700,0.8700,0.8700,0
CPNJ2006,20200923,0.8700,1.0200,0.8700,1.0100,155630
CPNJ2006,20200924,1.0200,1.0200,1.0100,1.0100,1160
CPNJ2006,20200925,0.8400,0.8400,0.8400,0.8400,0
CPNJ2006,20200928,0.9400,0.9400,0.9400,0.9400,0
CPNJ2006,20200929,0.9200,0.9200,0.9200,0.9200,0
CPNJ2006,20200930,0.8400,0.8400,0.8400,0.8400,0
CPNJ2006,20201001,0.8400,0.8400,0.8400,0.8400,0
CPNJ2006,20201002,0.8500,0.8500,0.8500,0.8500,0
CPNJ2006,20201005,0.8400,0.8400,0.8400,0.8400,0
CPNJ2006,20201006,0.8200,0.8200,0.8200,0.8200,0
CPNJ2006,20201007,0.8300,0.8300,0.8300,0.8300,0
CPNJ2006,20201008,0.8300,0.8300,0.8300,0.8300,0
CPNJ2006,20201009,0.9200,1.0100,0.8900,1.0000,323760
CPNJ2006,20201012,0.9700,0.9700,0.9700,0.9700,0
CPNJ2006,20201013,0.8800,0.8800,0.8800,0.8800,0
CPNJ2006,20201014,0.8800,0.8800,0.8800,0.8800,0
CPNJ2006,20201015,0.9300,1.0600,0.9300,1.0000,470500
CPNJ2006,20201016,1.0400,1.3200,1.0300,1.2400,815540
CPNJ2006,20201019,1.2900,1.3300,1.2100,1.2400,441670
CPNJ2006,20201020,1.1700,1.2200,1.1300,1.1800,528480
CPNJ2006,20201021,1.1800,1.2700,1.1800,1.1800,486210
CPNJ2006,20201022,1.1700,1.5000,1.1700,1.2900,257190
CPNJ2006,20201023,1.2700,1.3900,1.2700,1.3300,252490
CPNJ2006,20201026,1.3300,1.5900,1.3000,1.4000,1077460
CPNJ2006,20201027,1.3500,1.4000,1.2800,1.3900,515320
CPNJ2006,20201028,1.3400,1.4200,1.2000,1.2000,187640
CPNJ2006,20201029,1.1100,1.3000,1.0300,1.2500,237080
CPNJ2006,20201030,1.1600,1.3000,1.1400,1.3000,338350
CPNJ2006,20201102,1.3500,1.5600,1.3500,1.4600,333470
CPNJ2006,20201103,1.5000,1.5800,1.4500,1.4900,274980
CPNJ2006,20201104,1.4900,1.4900,1.4900,1.4900,0
CPNJ2006,20201105,1.4900,1.4900,1.4900,1.4900,0
CPNJ2006,20201106,1.4900,1.4900,1.4900,1.4900,0
CPNJ2006,20201109,1.7900,1.7900,1.6300,1.6900,400230
CPNJ2006,20201110,1.6500,1.7000,1.5900,1.6900,363520
CPNJ2006,20201111,1.5900,1.7000,1.5100,1.5200,307230
CPNJ2006,20201112,1.4600,1.6700,1.4600,1.6700,280460
CPNJ2006,20201113,1.6700,1.7000,1.6400,1.6800,116160
CPNJ2006,20201116,1.6400,1.6800,1.5200,1.5200,141360
CPNJ2006,20201117,1.6000,1.6200,1.5300,1.6200,125250
CPNJ2006,20201118,1.6200,1.6300,1.5700,1.6100,92970
CPNJ2006,20201119,1.6500,1.6800,1.6100,1.6400,507800
CPNJ2006,20201120,1.6400,1.6500,1.6000,1.6100,140870
CPNJ2006,20201123,1.5800,1.9100,1.5800,1.8900,328520
CPNJ2006,20201124,1.8900,1.9000,1.6500,1.8000,547380
CPNJ2006,20201125,1.8000,1.9000,1.8000,1.8800,1599010
CPNJ2006,20201126,1.8800,1.9700,1.8000,1.8500,42360
CPNJ2006,20201127,1.8100,2.0600,1.8100,2.0600,154860
CPNJ2006,20201130,2.0600,2.1800,1.8900,1.8900,156910
CPNJ2006,20201201,1.8000,1.9500,1.8000,1.9500,171650
CPNJ2006,20201202,1.9100,1.9200,1.8500,1.8900,715730
CPNJ2006,20201203,1.8800,1.9200,1.8100,1.9000,261910
CPNJ2006,20201204,1.9100,2.0000,1.9100,1.9600,254960
CPNJ2006,20201207,1.9700,2.1000,1.9700,2.0300,270300
CPNJ2006,20201208,2.0300,2.0900,2.0100,2.0500,352330
CPNJ2006,20201209,2.0500,2.0700,2.0400,2.0500,75730
CPNJ2006,20201210,2.0500,2.1000,1.9000,1.9000,144400
CPNJ2006,20201211,1.9000,2.0000,1.8400,1.9000,197450
CPNJ2006,20201214,1.9700,2.0000,1.9600,1.9600,34980
CPNJ2006,20201215,1.9900,2.0900,1.8400,1.9200,76880
CPNJ2006,20201216,1.9200,1.9500,1.9200,1.9500,44210
CPNJ2006,20201217,1.8700,1.9100,1.8000,1.8800,258120
CPNJ2006,20201218,1.8600,1.9100,1.8300,1.8700,58580
CPNJ2006,20201221,1.9400,1.9400,1.8500,1.8900,186160
CPNJ2006,20201222,1.9600,2.0300,1.9200,2.0200,244800
CPNJ2006,20201223,2.0300,2.0300,1.9600,1.9600,141530
CPNJ2006,20201224,1.9100,1.9200,1.8100,1.9200,59350
CPNJ2006,20201225,1.9200,1.9400,1.7800,1.9300,75880
CPNJ2006,20201228,2.0000,2.0100,1.9500,1.9600,117170
CPNJ2006,20201229,1.9300,2.0400,1.9200,2.0200,168440
CPNJ2006,20201230,1.8300,2.3000,1.8300,2.2400,158610
