<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
CREE1905,20200103,2.1900,2.5000,2.1000,2.1900,26250
CREE1905,20200106,1.9400,1.9500,1.8900,1.9400,133050
CREE1905,20200107,2.0900,2.0900,1.9200,2.0900,7000
CREE1905,20200108,1.9700,1.9700,1.9600,1.9700,3000
CREE1905,20200109,1.9800,2.0000,1.8800,1.9800,57620
CREE1905,20200110,1.7600,1.9200,1.7600,1.7600,10720
CREE1905,20200113,1.7600,1.8100,1.7600,1.7600,16240
CREE1905,20200114,1.7700,1.8000,1.7600,1.7700,18000
CREE1905,20200115,1.7700,1.8000,1.7700,1.7700,13440
CREE1905,20200116,1.9000,1.9000,1.8000,1.9000,100390
CREE1905,20200117,1.9500,2.0000,1.9000,1.9500,237560
CREE1905,20200120,1.9800,1.9900,1.9400,1.9800,310570
CREE1905,20200121,2.0500,2.0800,1.9800,2.0500,289110
CREE1905,20200122,2.0000,2.0600,1.9300,2.0000,522790
CREE1905,20200130,1.8000,1.9000,1.7500,1.8000,286650
CREE1905,20200131,1.5500,1.7000,1.3500,1.5500,466220
CREE1905,20200203,1.3000,1.3000,0.8200,1.3000,487410
CREE1905,20200204,1.2300,1.3300,1.2300,1.2300,516730
CREE1905,20200205,1.2300,1.3000,1.1000,1.2300,216400
CREE1905,20200206,1.3300,1.3700,1.1000,1.3300,393350
CREE1905,20200207,1.3000,1.3300,1.1000,1.3000,252780
CREE1905,20200210,1.2400,1.3000,1.2000,1.2400,237680
CREE1905,20200211,1.3500,1.3700,1.2300,1.3500,325220
CREE1905,20200212,1.4500,1.4700,1.3800,1.4500,258850
CREE1905,20200213,1.4000,1.4000,1.3500,1.4000,295800
CREE1905,20200214,1.4500,2.0000,1.4000,1.4500,104310
CREE1905,20200217,1.4500,2.2000,1.4500,1.4500,163020
CREE1905,20200218,1.4600,1.4800,1.4300,1.4600,153790
CREE1905,20200219,1.4300,1.4600,1.4300,1.4300,27590
CREE1905,20200220,1.5000,1.5100,1.4500,1.5000,87340
CREE1905,20200221,1.4000,1.5000,1.4000,1.4000,38160
CREE1905,20200224,1.1800,1.2500,1.1800,1.1800,79960
CREE1905,20200225,1.2000,1.2000,1.1500,1.2000,39880
CREE1905,20200226,1.1400,1.2000,1.1400,1.1400,6100
CREE1905,20200227,1.1800,1.2500,1.1500,1.1800,49100
CREE1905,20200228,1.1800,1.1800,1.1500,1.1800,15010
CREE1905,20200302,1.3100,1.3100,1.2500,1.3100,22300
CREE1905,20200303,1.1900,1.2700,1.1900,1.1900,131810
CREE1905,20200304,1.1600,1.2000,1.1200,1.1600,58600
CREE1905,20200305,1.1600,1.2500,1.1600,1.1600,24800
CREE1905,20200306,1.0500,1.0500,1.0500,1.0500,15500
CREE1905,20200309,0.8000,0.8000,0.4000,0.8000,19400
CREE1905,20200310,0.7000,0.7000,0.6800,0.7000,20700
CREE1905,20200311,0.7300,0.7500,0.7300,0.7300,15000
CREE1905,20200312,0.5000,0.5200,0.5000,0.5000,4070
CREE1905,20200313,0.4500,0.5000,0.2900,0.4500,15300
CREE1905,20200316,0.4300,0.4300,0.4000,0.4300,22200
CREE1905,20200317,0.5600,0.5600,0.3800,0.5600,54370
CREE1905,20200318,0.7000,0.8000,0.7000,0.7000,16100
CREE1905,20200319,0.6000,0.6000,0.6000,0.6000,12280
CREE1905,20200320,0.6000,0.6000,0.5800,0.6000,25950
CREE1905,20200323,0.3600,0.5000,0.3600,0.3600,24990
CREE1905,20200324,0.4000,0.4000,0.3700,0.4000,45310
CREE1905,20200325,0.5200,0.5200,0.4900,0.5200,20050
CREE1905,20200326,0.4100,0.4300,0.3000,0.4100,10450
CREE1905,20200327,0.3400,0.4000,0.3000,0.3400,44400
CREE1905,20200330,0.3300,0.3300,0.2700,0.3300,35300
CREE1905,20200331,0.1000,0.3300,0.1000,0.1000,68300
CREE1905,20200401,0.3700,0.3700,0.2500,0.3700,21400
CREE1905,20200403,0.3500,0.5200,0.3500,0.3500,13670
CREE1905,20200406,0.4700,0.4800,0.3600,0.4700,53010
CREE1905,20200407,0.4500,0.5300,0.4500,0.4500,91670
CREE1905,20200408,0.3800,0.3900,0.2700,0.3800,31200
CREE1905,20200409,0.4500,0.5000,0.3700,0.4500,42170
CREE1905,20200410,0.4700,0.4700,0.4100,0.4700,31260
CREE1905,20200413,0.4500,0.5200,0.4500,0.4500,49710
CREE1905,20200414,0.4500,0.5200,0.4300,0.4500,10000
CREE1905,20200415,0.5600,0.5800,0.5200,0.5600,40950
CREE1905,20200416,0.5700,0.5700,0.4500,0.5700,7150
CREE1905,20200417,0.5500,0.6000,0.5500,0.5500,16560
CREE1905,20200420,0.5300,0.6000,0.4300,0.5300,35210
CREE1905,20200421,0.4200,0.5000,0.4000,0.4200,11460
CREE1905,20200422,0.4200,0.4200,0.3100,0.4200,25600
CREE1905,20200423,0.4000,0.4000,0.4000,0.4000,10000
CREE1905,20200424,0.4400,0.4400,0.3500,0.4400,223600
CREE1905,20200427,0.4200,0.4600,0.4200,0.4200,12720
