<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
CSC,20091104,35.0000,49.0000,35.0000,46.6000,153600
CSC,20091105,46.5000,46.5000,46.5000,46.5000,25400
CSC,20091106,49.7000,49.7000,49.7000,49.7000,20900
CSC,20091109,53.1000,53.1000,53.1000,53.1000,62800
CSC,20091110,56.8000,56.8000,56.8000,56.8000,46600
CSC,20091111,60.7000,60.7000,60.7000,60.7000,16300
CSC,20091112,64.9000,64.9000,56.5000,59.5000,92700
CSC,20091113,56.5000,63.5000,55.9000,59.0000,104200
CSC,20091116,62.3000,62.3000,55.4000,58.0000,72400
CSC,20091117,54.0000,57.5000,53.0000,53.0000,96200
CSC,20091118,53.5000,57.4000,50.0000,57.3000,98400
CSC,20091119,56.0000,56.0000,56.0000,56.0000,18200
CSC,20091120,59.9000,59.9000,59.8000,59.9000,92000
CSC,20091123,62.0000,63.9000,56.8000,58.0000,38900
CSC,20091124,58.0000,58.1000,56.4000,56.4000,52400
CSC,20091125,57.0000,57.0000,53.2000,53.2000,31300
CSC,20091126,49.7000,49.7000,49.7000,49.7000,29900
CSC,20091127,46.3000,50.5000,46.3000,46.3000,56000
CSC,20091130,43.7000,50.1000,43.7000,50.1000,29600
CSC,20091201,52.5000,52.7000,50.0000,50.0000,28600
CSC,20091202,50.0000,50.0000,48.0000,48.0000,19600
CSC,20091203,45.3000,48.4000,45.2000,45.5000,14200
CSC,20091204,47.9000,47.9000,42.6000,47.4000,2200
CSC,20091207,49.9000,49.9000,49.8000,49.8000,1500
CSC,20091208,52.0000,52.0000,49.2000,49.4000,3300
CSC,20091209,49.4000,49.4000,46.7000,46.7000,1200
CSC,20091210,52.4000,52.4000,45.6000,45.6000,12600
CSC,20091211,42.9000,42.9000,42.9000,42.9000,8500
CSC,20091214,39.9000,43.5000,39.9000,39.9000,36300
CSC,20091215,37.4000,40.0000,37.4000,37.4000,17600
CSC,20091216,35.5000,35.5000,34.9000,34.9000,7900
CSC,20091217,32.5000,32.5000,32.5000,32.5000,15000
CSC,20091218,34.0000,34.7000,30.3000,34.7000,15400
CSC,20091221,36.0000,36.0000,33.5000,36.0000,10700
CSC,20091222,37.0000,37.0000,35.0000,35.0000,10300
CSC,20091223,35.6000,35.6000,33.2000,33.3000,23600
CSC,20091224,34.5000,35.0000,34.5000,35.0000,8600
CSC,20091225,37.0000,37.3000,35.7000,37.3000,18700
CSC,20091228,36.9000,36.9000,34.5000,36.6000,11000
CSC,20091229,36.2000,38.4000,35.9000,37.0000,29400
CSC,20091230,38.0000,38.9000,38.0000,38.9000,27100
CSC,20091231,40.9000,40.9000,38.6000,38.6000,4600
CSC,20100104,41.0000,41.0000,36.9000,41.0000,11200
CSC,20100105,43.3000,43.3000,41.0000,41.5000,28500
CSC,20100106,41.3000,41.3000,41.3000,41.3000,6100
CSC,20100107,40.0000,40.0000,38.5000,38.5000,1200
CSC,20100108,36.0000,36.3000,35.9000,35.9000,58800
CSC,20100111,38.4000,38.4000,36.2000,38.4000,13500
CSC,20100112,40.5000,40.5000,36.1000,38.5000,10400
CSC,20100113,36.3000,39.2000,36.3000,38.9000,6100
CSC,20100114,36.8000,36.8000,36.8000,36.8000,1600
CSC,20100115,36.8000,36.8000,36.8000,36.8000,100
CSC,20100118,37.5000,37.5000,34.3000,35.0000,1300
CSC,20100119,36.8000,36.8000,35.0000,35.9000,3900
CSC,20100120,36.0000,36.0000,35.5000,35.5000,1500
CSC,20100121,33.3000,35.6000,33.3000,33.3000,27300
CSC,20100122,35.8000,35.8000,31.5000,32.8000,9400
CSC,20100125,35.3000,35.3000,31.0000,31.0000,15900
