<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
CST,20210514,11.8000,11.9000,11.1000,11.2000,52532
CST,20210517,11.2000,11.2000,10.7000,10.7000,66800
CST,20210518,10.7000,11.0000,10.3000,10.8000,24000
CST,20210519,10.5000,10.8000,10.4000,10.8000,72400
CST,20210520,10.8000,10.8000,10.5000,10.5000,49800
CST,20210521,10.4000,10.5000,10.4000,10.5000,61800
CST,20210524,10.7000,10.9000,10.4000,10.7000,56011
CST,20210525,10.7000,10.8000,10.4000,10.4000,148742
CST,20210526,10.5000,10.6000,10.4000,10.5000,41600
CST,20210527,10.5000,10.6000,10.2000,10.4000,127900
CST,20210528,10.3000,10.6000,10.3000,10.4000,91700
CST,20210531,10.5000,10.6000,10.2000,10.3000,95082
CST,20210601,10.4000,10.6000,10.3000,10.5000,88300
CST,20210602,10.5000,11.8000,10.5000,11.8000,687299
CST,20210603,12.0000,12.4000,11.7000,11.9000,356494
CST,20210604,11.9000,12.0000,11.6000,11.8000,297000
CST,20210607,11.7000,12.3000,11.4000,12.2000,672710
CST,20210608,12.3000,12.8000,12.3000,12.5000,588000
CST,20210609,10.5417,11.0000,9.6250,9.9000,309400
CST,20210610,9.9000,10.5417,9.8083,10.3583,350600
CST,20210611,10.3583,10.3583,9.9000,10.0833,181814
CST,20210614,10.0833,10.1750,9.7167,9.9000,242300
CST,20210615,9.8083,9.8083,9.3500,9.6250,207300
CST,20210616,9.4417,9.6250,9.1667,9.3500,133210
CST,20210617,9.3500,9.5333,9.1667,9.5333,239000
CST,20210618,9.5333,9.9000,9.2583,9.7167,129600
CST,20210621,9.7167,10.2667,9.7167,10.1750,345100
CST,20210622,10.2667,10.4500,9.9000,9.9917,229300
CST,20210623,9.9917,10.0833,9.7167,9.8083,95927
CST,20210624,9.9000,9.9000,9.7167,9.8083,85100
CST,20210625,9.9000,10.2667,9.8083,10.1750,222224
CST,20210628,10.1750,11.2750,10.1750,11.1833,844960
CST,20210629,11.1833,12.3750,11.0917,12.3750,614104
CST,20210630,12.8333,13.2917,11.9167,12.3750,477394
CST,20210701,12.4667,12.4667,10.9083,11.0000,492978
CST,20210702,10.9083,11.2750,10.5417,11.1833,208283
CST,20210705,11.1833,11.2750,10.4500,10.6333,215100
CST,20210706,10.4500,10.7250,9.9000,10.0833,257300
CST,20210707,10.0833,10.0833,8.8917,9.5333,232800
CST,20210708,9.4417,10.6333,9.4417,10.1750,108274
CST,20210709,10.2667,10.2667,9.7167,9.9917,127700
CST,20210712,9.8083,9.8083,9.1667,9.6250,252000
CST,20210713,9.4417,10.2667,9.4417,9.9917,96900
CST,20210714,9.8083,10.5417,9.8083,9.9000,58000
CST,20210715,9.9000,10.0833,9.8083,10.0833,57000
CST,20210716,9.9917,10.2667,9.9000,10.0833,74600
CST,20210719,10.0833,10.0833,9.3500,9.6250,106800
CST,20210720,9.6250,10.4500,9.3500,10.3583,126824
CST,20210721,10.3583,10.6333,9.9000,10.1750,110300
