<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
CSTB2002,20200219,2.3500,2.4000,2.3500,2.3500,10010
CSTB2002,20200220,2.3500,2.3500,2.3500,2.3500,0
CSTB2002,20200221,2.3400,2.4000,2.2700,2.3400,20710
CSTB2002,20200224,1.9800,2.0900,1.9800,1.9800,38810
CSTB2002,20200225,2.1600,2.1600,2.1100,2.1600,1010
CSTB2002,20200226,2.2300,2.2500,2.2300,2.2300,20
CSTB2002,20200227,2.4600,2.4600,2.3400,2.4600,20560
CSTB2002,20200228,2.4500,2.4500,2.3900,2.4500,40300
CSTB2002,20200302,2.9300,2.9300,2.5400,2.9300,6540
CSTB2002,20200303,2.8600,3.1300,2.8600,2.8600,4730
CSTB2002,20200304,2.9900,3.0200,2.8200,2.9900,2200
CSTB2002,20200305,2.8500,3.0900,2.8500,2.8500,12240
CSTB2002,20200306,2.8500,2.8500,2.8500,2.8500,0
CSTB2002,20200309,2.3400,2.5000,2.3400,2.3400,750
CSTB2002,20200310,2.3000,2.3000,2.0600,2.3000,520
CSTB2002,20200311,1.8500,2.2800,1.8500,1.8500,23310
CSTB2002,20200312,1.6900,1.6900,1.6200,1.6900,4100
CSTB2002,20200313,1.9300,1.9300,1.4000,1.9300,41960
CSTB2002,20200316,1.7000,1.9000,1.7000,1.7000,770
CSTB2002,20200317,1.8400,1.8400,1.6500,1.8400,24910
CSTB2002,20200318,1.8300,1.8900,1.7800,1.8300,10010
CSTB2002,20200319,1.6400,1.6500,1.5700,1.6400,44250
CSTB2002,20200320,1.6200,1.6600,1.6100,1.6200,11770
CSTB2002,20200323,1.3700,1.4200,1.3700,1.3700,22920
CSTB2002,20200324,1.3300,1.3600,1.2800,1.3300,181640
CSTB2002,20200325,1.3800,1.3800,1.2600,1.3800,161500
CSTB2002,20200326,1.2900,1.2900,1.2400,1.2900,10000
CSTB2002,20200327,0.9500,1.1000,0.9200,0.9500,221310
CSTB2002,20200330,0.7300,0.7500,0.7100,0.7300,122680
CSTB2002,20200331,0.6400,0.7900,0.5800,0.6400,522060
CSTB2002,20200401,0.8100,0.8100,0.6200,0.8100,46890
CSTB2002,20200403,1.3400,1.3400,0.9100,1.3400,88420
CSTB2002,20200406,1.9100,1.9100,1.2300,1.9100,144840
CSTB2002,20200407,1.3500,2.4900,1.2900,1.3500,263310
CSTB2002,20200408,1.3500,1.3500,1.1900,1.3500,172510
