<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
CTC,20080718,25.0000,25.0000,21.5000,21.5000,1300
CTC,20080721,23.4000,23.4000,23.4000,23.4000,200
CTC,20080722,22.5000,22.5000,22.5000,22.5000,200
CTC,20080723,23.4000,23.4000,21.6000,21.6000,1500
CTC,20080724,21.9000,22.8000,21.9000,22.8000,600
CTC,20080725,21.8000,21.8000,21.8000,21.8000,100
CTC,20080728,21.8000,21.8000,21.8000,21.8000,0
CTC,20080729,22.6000,22.6000,22.6000,22.6000,700
CTC,20080730,22.6000,22.6000,22.6000,22.6000,0
CTC,20080731,22.6000,22.6000,22.6000,22.6000,0
CTC,20080801,22.6000,22.6000,22.6000,22.6000,0
CTC,20080804,22.6000,22.6000,22.6000,22.6000,0
CTC,20080805,22.6000,22.6000,22.6000,22.6000,0
CTC,20080806,22.6000,22.6000,22.6000,22.6000,0
CTC,20080807,21.7000,21.7000,21.7000,21.7000,200
CTC,20080808,21.7000,21.7000,21.7000,21.7000,0
CTC,20080811,20.9000,20.9000,20.9000,20.9000,100
CTC,20080812,20.9000,20.9000,20.9000,20.9000,0
CTC,20080813,20.9000,20.9000,20.9000,20.9000,0
CTC,20080814,20.1000,20.1000,20.1000,20.1000,6600
CTC,20080815,20.9000,20.9000,19.3000,19.3000,33400
CTC,20080818,18.1000,18.1000,18.1000,18.1000,6100
CTC,20080819,16.9000,16.9000,16.9000,16.9000,1100
CTC,20080820,15.8000,15.8000,15.8000,15.8000,500
CTC,20080821,14.7000,16.9000,14.7000,16.9000,18600
CTC,20080822,16.1000,16.1000,16.0000,16.1000,6400
CTC,20080825,17.2000,17.2000,17.2000,17.2000,2300
CTC,20080826,18.4000,18.4000,17.0000,18.3000,11500
CTC,20080827,19.3000,19.3000,17.0000,17.0000,12900
CTC,20080828,18.4000,18.4000,16.3000,16.3000,3000
CTC,20080829,17.0000,17.0000,16.0000,17.0000,1700
CTC,20080903,17.7000,17.7000,17.5000,17.7000,16200
CTC,20080904,18.9000,18.9000,17.7000,17.7000,8600
CTC,20080905,18.5000,19.0000,17.8000,17.8000,2800
CTC,20080908,19.0000,19.0000,17.4000,18.0000,5800
CTC,20080909,18.0000,18.8000,17.4000,18.0000,12600
CTC,20080910,18.1000,18.5000,17.1000,17.1000,5000
CTC,20080911,17.5000,18.0000,17.0000,17.0000,2200
CTC,20080912,17.9000,17.9000,17.9000,17.9000,200
CTC,20080915,16.7000,18.2000,16.7000,16.7000,11500
CTC,20080916,17.0000,17.0000,15.7000,15.7000,1800
CTC,20080917,15.3000,15.3000,15.3000,15.3000,3200
CTC,20080918,14.3000,14.3000,14.3000,14.3000,600
CTC,20080919,13.3000,15.3000,13.3000,15.3000,500
CTC,20080922,15.9000,15.9000,14.9000,15.9000,11100
CTC,20080923,16.1000,16.1000,15.5000,15.5000,600
CTC,20080924,15.7000,15.7000,15.3000,15.6000,1300
CTC,20080925,15.6000,15.6000,15.4000,15.6000,3800
CTC,20080926,16.2000,16.4000,15.6000,15.6000,1000
CTC,20080929,16.0000,16.2000,15.0000,15.8000,4300
CTC,20080930,14.8000,14.8000,14.8000,14.8000,200
CTC,20081001,14.8000,15.5000,14.8000,15.5000,2600
CTC,20081002,15.5000,15.5000,15.3000,15.5000,2600
CTC,20081003,14.5000,15.0000,14.4000,15.0000,2600
CTC,20081006,14.5000,14.5000,14.5000,14.5000,1000
CTC,20081007,14.5000,15.5000,14.5000,14.5000,700
CTC,20081008,13.8000,14.5000,13.8000,14.2000,1800
CTC,20081009,15.0000,15.0000,14.0000,15.0000,500
CTC,20081010,14.5000,14.5000,13.8000,14.2000,2000
CTC,20081013,14.0000,14.0000,13.3000,14.0000,2000
CTC,20081014,14.7000,14.7000,14.7000,14.7000,14300
CTC,20081015,15.4000,15.4000,15.0000,15.0000,1500
CTC,20081016,14.8000,14.8000,14.1000,14.1000,2100
CTC,20081017,14.9000,14.9000,14.9000,14.9000,1000
CTC,20081020,15.6000,15.6000,13.9000,13.9000,7900
CTC,20081021,14.1000,14.8000,14.1000,14.5000,4900
CTC,20081022,14.8000,14.8000,14.1000,14.1000,900
CTC,20081023,13.4000,13.6000,13.4000,13.6000,800
CTC,20081024,12.8000,13.9000,12.8000,13.0000,4400
CTC,20081027,12.9000,12.9000,12.1000,12.1000,7400
CTC,20081028,3.8084,3.8084,3.7026,3.8084,2400
CTC,20081029,3.9848,3.9848,3.7379,3.8790,3500
CTC,20081030,4.0553,4.0553,4.0553,4.0553,100
CTC,20081031,4.0553,4.0553,3.8790,3.8790,3100
CTC,20081103,3.9848,3.9848,3.8790,3.9848,1900
CTC,20081104,3.8790,4.0553,3.8790,4.0553,3100
CTC,20081105,4.1963,4.1963,4.1963,4.1963,6300
CTC,20081106,4.4432,4.4432,4.4432,4.4432,100
CTC,20081107,4.7253,4.7253,4.7253,4.7253,500
CTC,20081110,5.0427,5.0427,4.4079,4.4079,800
CTC,20081111,4.5842,4.5842,4.5842,4.5842,100
CTC,20081112,4.5842,4.5842,4.5842,4.5842,0
CTC,20081113,4.5842,4.5842,4.5842,4.5842,0
CTC,20081114,4.5842,4.5842,4.5490,4.5490,400
CTC,20081117,4.6900,4.6900,4.6900,4.6900,500
CTC,20081118,4.6900,4.6900,4.6900,4.6900,0
CTC,20081119,4.6900,4.6900,4.6900,4.6900,0
CTC,20081120,4.6900,4.6900,4.6900,4.6900,0
CTC,20081121,4.6900,4.6900,4.6900,4.6900,0
CTC,20081124,4.3726,4.3726,4.3726,4.3726,1100
CTC,20081125,4.3726,4.3726,4.3726,4.3726,0
CTC,20081126,4.6548,4.6548,4.6548,4.6548,100
CTC,20081127,4.9016,4.9016,4.3374,4.3374,300
CTC,20081128,4.2316,4.2316,4.2316,4.2316,400
CTC,20081201,4.5137,4.5137,4.5137,4.5137,100
CTC,20081202,4.7605,4.7605,4.7605,4.7605,200
CTC,20081203,4.9369,4.9369,4.4432,4.4432,900
CTC,20081204,4.6900,4.6900,4.6900,4.6900,100
CTC,20081205,4.6900,4.6900,4.6900,4.6900,0
CTC,20081208,4.9016,4.9016,4.9016,4.9016,200
CTC,20081209,4.9016,4.9016,4.9016,4.9016,0
CTC,20081210,4.9016,4.9016,4.9016,4.9016,0
CTC,20081211,4.9016,4.9016,4.9016,4.9016,0
CTC,20081212,4.9369,4.9369,4.5842,4.5842,400
CTC,20081215,4.6900,4.6900,4.6900,4.6900,0
CTC,20081216,4.6900,4.6900,4.6900,4.6900,0
CTC,20081217,4.6900,4.6900,4.6900,4.6900,0
CTC,20081218,4.6900,4.6900,4.6900,4.6900,0
CTC,20081219,4.6900,4.6900,4.6900,4.6900,0
CTC,20081222,4.6900,4.6900,4.6900,4.6900,0
CTC,20081223,4.6900,4.6900,4.6900,4.6900,0
CTC,20081224,4.6900,4.6900,4.6900,4.6900,0
CTC,20081225,4.6900,4.6900,4.6900,4.6900,0
