<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
CTCB2104,20210514,13.5500,13.5500,11.5200,11.6500,367100
CTCB2104,20210517,11.5000,11.6500,10.0000,10.5500,259700
CTCB2104,20210518,10.5000,11.4000,10.0000,11.1000,210900
CTCB2104,20210519,11.4500,11.4500,10.6000,10.9000,206800
CTCB2104,20210520,10.9000,11.0000,10.4000,10.6000,100700
CTCB2104,20210521,10.6000,10.9000,10.0000,10.2000,105500
CTCB2104,20210524,9.2100,10.2000,8.4300,8.5000,227900
CTCB2104,20210525,8.5000,8.5000,7.6000,7.9000,214900
CTCB2104,20210526,7.6000,8.0000,7.3000,7.5100,114700
CTCB2104,20210527,7.5100,7.5300,6.1000,6.6900,160600
CTCB2104,20210528,6.8000,7.8900,6.5000,7.7600,111200
CTCB2104,20210531,8.0000,8.5000,7.8000,7.8100,170200
CTCB2104,20210601,7.9300,7.9500,7.8000,7.8100,46400
CTCB2104,20210602,7.8100,7.8100,7.3000,7.7000,57000
CTCB2104,20210603,7.4600,7.9900,7.4600,7.7700,76500
CTCB2104,20210604,8.4000,8.4000,7.5100,7.7100,61100
CTCB2104,20210607,7.1000,7.7100,7.1000,7.2200,80300
CTCB2104,20210608,7.2200,7.5000,7.0000,7.0500,124600
CTCB2104,20210609,7.0500,7.3000,7.0500,7.2000,63800
CTCB2104,20210610,7.2000,7.3500,7.0100,7.0100,29300
CTCB2104,20210611,7.0800,7.7900,7.0800,7.5000,90700
CTCB2104,20210614,7.5000,7.9000,7.1000,7.3000,64800
CTCB2104,20210615,7.5000,7.5000,7.0500,7.3000,45800
CTCB2104,20210616,7.0000,7.5000,7.0000,7.1600,50800
CTCB2104,20210617,7.1500,7.1600,7.0000,7.1000,65400
CTCB2104,20210618,7.1000,7.5500,7.1000,7.1300,44100
CTCB2104,20210621,7.1200,7.2000,7.0000,7.0000,75600
CTCB2104,20210622,7.3000,7.3000,7.0100,7.2400,24800
CTCB2104,20210623,7.0700,7.4000,7.0700,7.1600,37000
CTCB2104,20210624,7.1600,7.2400,7.0000,7.0300,69900
CTCB2104,20210625,7.1600,7.4800,6.8500,7.1600,36600
CTCB2104,20210628,7.3000,7.7000,7.3000,7.4000,107800
CTCB2104,20210629,7.4500,7.4500,7.3000,7.4000,55400
CTCB2104,20210630,6.3900,7.4000,6.0000,6.0000,82300
CTCB2104,20210701,6.1000,6.9900,6.1000,6.9400,67900
CTCB2104,20210702,7.6000,7.6200,7.0100,7.2700,61200
CTCB2104,20210705,7.2700,8.5000,7.1500,8.3000,261600
CTCB2104,20210706,8.8700,8.8800,7.8000,7.8000,115900
CTCB2104,20210707,7.8000,8.0000,7.6000,7.9500,141600
CTCB2104,20210708,7.9500,8.1500,7.8500,8.0100,120300
CTCB2104,20210709,7.9000,8.4600,7.9000,8.0200,133500
CTCB2104,20210712,8.0200,8.0200,6.8000,7.4500,130500
CTCB2104,20210713,6.6000,7.8900,6.6000,7.7300,45900
CTCB2104,20210714,7.7000,7.7000,7.0400,7.0800,40600
CTCB2104,20210715,7.0800,7.6500,7.0000,7.4600,39500
CTCB2104,20210716,7.4600,7.5100,7.3800,7.4900,34400
CTCB2104,20210719,7.4700,7.4700,6.4000,6.4100,41500
CTCB2104,20210720,7.1700,7.1700,5.0500,6.1000,45500
CTCB2104,20210721,6.9800,7.2700,6.6100,6.9400,36200
CTCB2104,20210722,6.6000,7.1000,6.6000,6.9200,15600
CTCB2104,20210723,6.9000,7.1000,6.8600,6.8600,89400
CTCB2104,20210726,6.5600,6.6600,5.1400,6.2000,51100
CTCB2104,20210727,6.0000,6.9900,6.0000,6.2000,21600
CTCB2104,20210728,6.2000,6.5900,5.9300,6.0400,18000
CTCB2104,20210729,6.0400,6.4300,6.0400,6.4000,22300
CTCB2104,20210730,6.5000,6.5000,6.2100,6.4100,26500
CTCB2104,20210802,6.4000,6.5000,6.0600,6.1000,37300
CTCB2104,20210803,6.1000,6.4400,6.0000,6.2000,50500
CTCB2104,20210804,6.1900,6.1900,5.8000,5.8300,135500
CTCB2104,20210805,5.7000,5.7000,5.1000,5.3900,91200
CTCB2104,20210806,5.3800,5.3800,4.5000,4.5000,117000
CTCB2104,20210809,4.5000,4.5000,3.8100,4.1900,104600
CTCB2104,20210810,4.0500,4.1900,4.0200,4.1800,51100
CTCB2104,20210811,4.0000,4.4500,3.8400,4.2500,98500
CTCB2104,20210812,4.2500,5.0000,4.2500,4.2500,25100
CTCB2104,20210813,4.4400,4.4400,4.0000,4.0700,42700
CTCB2104,20210816,4.0100,4.3600,4.0100,4.3200,161100
CTCB2104,20210817,4.4400,4.5800,4.2500,4.3000,58600
CTCB2104,20210818,4.0100,4.4000,4.0100,4.1000,43000
