<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
CTCH2001,20210108,1.7000,2.0700,1.7000,2.0700,538000
CTCH2001,20210111,2.0700,2.4600,2.0700,2.4600,801200
CTCH2001,20210112,2.7000,2.8000,2.4000,2.7900,445900
CTCH2001,20210113,2.8400,2.8400,2.5000,2.7900,606400
CTCH2001,20210114,2.6900,3.2100,2.6900,3.2100,443600
CTCH2001,20210115,3.5900,3.6500,3.5100,3.6500,400000
CTCH2001,20210118,3.6500,4.0900,3.2000,3.7500,352500
CTCH2001,20210119,3.5600,3.8500,3.2900,3.2900,425200
CTCH2001,20210120,2.9200,3.2900,2.8600,3.2900,463100
CTCH2001,20210121,3.5000,3.7100,3.3300,3.7100,268500
CTCH2001,20210122,3.7100,3.8000,3.5000,3.7200,260100
CTCH2001,20210125,3.4600,3.7000,3.4200,3.5000,135200
CTCH2001,20210126,3.5000,3.5000,3.0400,3.0400,254500
CTCH2001,20210127,2.8800,3.1000,2.6100,2.6200,378000
CTCH2001,20210128,2.2100,2.3000,2.2100,2.2100,168900
CTCH2001,20210129,1.8400,2.5800,1.8400,1.8600,941500
CTCH2001,20210201,2.2000,2.2300,1.4800,1.4900,926100
CTCH2001,20210202,1.4900,1.7000,1.1500,1.3200,856600
CTCH2001,20210203,1.4000,1.9000,1.4000,1.9000,10600
CTCH2001,20210204,1.7600,2.0200,1.3100,1.4000,954400
CTCH2001,20210205,1.4000,1.7100,1.4000,1.4100,772900
CTCH2001,20210208,1.5900,1.6000,1.3500,1.4500,746600
CTCH2001,20210209,1.5600,1.6800,1.4600,1.6400,534700
CTCH2001,20210217,1.6700,1.7900,1.5800,1.6700,441600
CTCH2001,20210218,1.6700,2.0500,1.6400,1.9500,850300
CTCH2001,20210219,1.9000,2.0200,1.8100,1.8900,360700
CTCH2001,20210222,1.8300,1.9300,1.7500,1.7900,458400
CTCH2001,20210223,1.7900,1.9000,1.7200,1.8300,511900
CTCH2001,20210224,1.8900,1.8900,1.6800,1.7600,577400
CTCH2001,20210225,1.7600,1.8000,1.7000,1.7700,358600
CTCH2001,20210226,1.7500,1.7700,1.7000,1.7500,194000
CTCH2001,20210301,1.7200,1.9000,1.7200,1.8400,350200
CTCH2001,20210302,1.8500,1.9000,1.7700,1.8000,322700
CTCH2001,20210303,1.7500,1.8300,1.7500,1.8000,153600
CTCH2001,20210304,1.8100,1.8100,1.6000,1.6800,247200
CTCH2001,20210305,1.6700,1.7000,1.5000,1.6800,196700
CTCH2001,20210308,1.7500,1.7500,1.6000,1.6800,239300
CTCH2001,20210309,1.6800,1.7700,1.5600,1.6800,432800
CTCH2001,20210310,1.6800,1.6900,1.5700,1.6800,167400
CTCH2001,20210311,1.8000,1.8000,1.6500,1.7000,263300
CTCH2001,20210312,1.7300,1.7300,1.6000,1.6100,163500
CTCH2001,20210315,1.5700,1.6300,1.5700,1.6000,246500
CTCH2001,20210316,1.6000,1.7500,1.5900,1.7100,427200
CTCH2001,20210317,1.7100,1.7800,1.7100,1.7400,348700
CTCH2001,20210318,1.7500,1.7500,1.7000,1.7000,117000
CTCH2001,20210319,1.7000,1.7000,1.3000,1.5500,390500
CTCH2001,20210322,1.6900,1.9500,1.6000,1.6500,320700
CTCH2001,20210323,1.6000,1.6500,1.5700,1.6000,84600
CTCH2001,20210324,1.6000,1.6000,1.2100,1.3000,244300
CTCH2001,20210325,1.3000,1.3100,1.2500,1.2500,496300
CTCH2001,20210326,1.2000,1.2500,1.0000,1.1900,354600
CTCH2001,20210329,1.1500,1.2900,1.1000,1.2000,469500
CTCH2001,20210330,1.1000,1.2400,1.1000,1.2000,405200
CTCH2001,20210331,1.2000,1.3000,1.1300,1.2900,288100
CTCH2001,20210401,1.2900,1.4500,1.2400,1.4500,357500
CTCH2001,20210402,1.4400,1.4900,1.4000,1.4600,427100
CTCH2001,20210405,1.4600,1.5400,1.4200,1.5400,397000
CTCH2001,20210406,1.5400,1.5500,1.5000,1.5500,412400
CTCH2001,20210407,1.5700,1.6300,1.5500,1.6300,691400
CTCH2001,20210408,1.6300,1.6300,1.5600,1.5600,485300
CTCH2001,20210409,1.5600,1.6000,1.4600,1.6000,344300
CTCH2001,20210412,1.6000,1.6100,1.5500,1.5700,286900
CTCH2001,20210413,1.5700,1.5700,1.3600,1.5000,189200
CTCH2001,20210414,1.5000,1.5000,1.3700,1.5000,155100
CTCH2001,20210415,1.5000,1.5000,1.3900,1.4300,289100
CTCH2001,20210416,1.4300,1.4300,1.2500,1.2700,296500
CTCH2001,20210419,1.2700,1.3000,1.1800,1.2600,380900
CTCH2001,20210420,1.2600,1.2600,1.1100,1.1900,929700
CTCH2001,20210422,1.1700,1.1800,1.0000,1.0000,720700
CTCH2001,20210423,1.0700,1.1800,1.0200,1.1500,523700
CTCH2001,20210426,1.1500,1.1600,0.8800,1.0000,584200
CTCH2001,20210427,0.9400,0.9400,0.9400,0.9400,0
CTCH2001,20210428,0.9500,0.9500,0.9500,0.9500,0
CTCH2001,20210429,0.8400,0.8400,0.8400,0.8400,0
CTCH2001,20210504,0.6700,0.6700,0.6700,0.6700,0
CTCH2001,20210505,0.6000,0.6000,0.6000,0.6000,0
CTCH2001,20210506,0.5900,0.5900,0.5900,0.5900,0
CTCH2001,20210507,0.6000,0.6000,0.6000,0.6000,0
CTCH2001,20210510,0.3400,0.3400,0.3400,0.3400,0
CTCH2001,20210511,0.1800,0.1800,0.1800,0.1800,0
CTCH2001,20210512,0.1300,0.1300,0.1300,0.1300,0
CTCH2001,20210513,0.1000,0.1000,0.1000,0.1000,0
CTCH2001,20210514,0.1000,0.1000,0.1000,0.1000,0
CTCH2001,20210517,0.1000,0.1000,0.1000,0.1000,0
CTCH2001,20210518,0.1000,0.1000,0.1000,0.1000,0
CTCH2001,20210519,0.1000,0.1000,0.1000,0.1000,0
CTCH2001,20210520,0.1000,0.1000,0.1000,0.1000,0
CTCH2001,20210521,0.1000,0.1000,0.1000,0.1000,0
CTCH2001,20210524,0.1000,0.1000,0.1000,0.1000,0
CTCH2001,20210525,0.1000,0.1000,0.1000,0.1000,0
CTCH2001,20210526,0.1000,0.1000,0.1000,0.1000,0
CTCH2001,20210527,0.1000,0.1000,0.1000,0.1000,0
CTCH2001,20210528,0.1000,0.1000,0.1000,0.1000,0
CTCH2001,20210531,0.1000,0.1000,0.1000,0.1000,0
CTCH2001,20210601,0.1000,0.1000,0.1000,0.1000,0
CTCH2001,20210602,0.1000,0.1000,0.1000,0.1000,0
CTCH2001,20210603,0.1000,0.1000,0.1000,0.1000,0
CTCH2001,20210604,0.1000,0.1000,0.1000,0.1000,0
CTCH2001,20210607,0.1000,0.1000,0.1000,0.1000,0
CTCH2001,20210608,0.1000,0.1000,0.1000,0.1000,0
CTCH2001,20210609,0.1000,0.1000,0.1000,0.1000,0
CTCH2001,20210610,0.1000,0.1000,0.1000,0.1000,0
CTCH2001,20210611,0.1000,0.1000,0.1000,0.1000,0
CTCH2001,20210614,0.1000,0.1000,0.1000,0.1000,0
CTCH2001,20210615,0.1000,0.1000,0.1000,0.1000,0
CTCH2001,20210616,0.1000,0.1000,0.1000,0.1000,0
CTCH2001,20210617,0.1000,0.1000,0.1000,0.1000,0
CTCH2001,20210618,0.1000,0.1000,0.1000,0.1000,0
CTCH2001,20210621,0.1000,0.1000,0.1000,0.1000,0
CTCH2001,20210622,0.1000,0.1000,0.1000,0.1000,0
CTCH2001,20210623,0.1000,0.1000,0.1000,0.1000,0
CTCH2001,20210624,0.1000,0.1000,0.1000,0.1000,0
CTCH2001,20210625,0.1000,0.1000,0.1000,0.1000,0
CTCH2001,20210628,0.1000,0.1000,0.1000,0.1000,0
CTCH2001,20210629,0.1000,0.1000,0.1000,0.1000,0
CTCH2001,20210630,0.1000,0.1000,0.1000,0.1000,0
CTCH2001,20210701,0.1000,0.1000,0.1000,0.1000,0
CTCH2001,20210702,0.1000,0.1000,0.1000,0.1000,0
CTCH2001,20210705,0.1000,0.1000,0.1000,0.1000,0
CTCH2001,20210706,0.1000,0.1000,0.1000,0.1000,0
CTCH2001,20210707,0.1000,0.1000,0.1000,0.1000,0
CTCH2001,20210708,0.1000,0.1000,0.1000,0.1000,0
CTCH2001,20210709,0.1000,0.1000,0.1000,0.1000,0
CTCH2001,20210712,0.1000,0.1000,0.1000,0.1000,0
CTCH2001,20210713,0.1000,0.1000,0.1000,0.1000,0
CTCH2001,20210714,0.1000,0.1000,0.1000,0.1000,0
CTCH2001,20210715,0.1000,0.1000,0.1000,0.1000,0
CTCH2001,20210716,0.1000,0.1000,0.1000,0.1000,0
CTCH2001,20210719,0.1000,0.1000,0.1000,0.1000,0
CTCH2001,20210720,0.1000,0.1000,0.1000,0.1000,0
CTCH2001,20210721,0.1000,0.1000,0.1000,0.1000,0
CTCH2001,20210722,0.1000,0.1000,0.1000,0.1000,0
CTCH2001,20210723,0.1000,0.1000,0.1000,0.1000,0
CTCH2001,20210726,0.1000,0.1000,0.1000,0.1000,0
CTCH2001,20210727,0.1000,0.1000,0.1000,0.1000,0
CTCH2001,20210728,0.1000,0.1000,0.1000,0.1000,0
CTCH2001,20210729,0.1000,0.1000,0.1000,0.1000,0
CTCH2001,20210730,0.1000,0.1000,0.1000,0.1000,0
CTCH2001,20210802,0.1000,0.1000,0.1000,0.1000,0
CTCH2001,20210803,0.1000,0.1000,0.1000,0.1000,0
CTCH2001,20210804,0.1000,0.1000,0.1000,0.1000,0
CTCH2001,20210805,0.1000,0.1000,0.1000,0.1000,0
CTCH2001,20210806,0.1000,0.1000,0.1000,0.1000,0
CTCH2001,20210809,0.1000,0.1000,0.1000,0.1000,0
CTCH2001,20210810,0.1000,0.1000,0.1000,0.1000,0
CTCH2001,20210811,0.1000,0.1000,0.1000,0.1000,0
CTCH2001,20210812,0.1000,0.1000,0.1000,0.1000,0
CTCH2001,20210813,0.1000,0.1000,0.1000,0.1000,0
CTCH2001,20210816,0.1000,0.1000,0.1000,0.1000,0
CTCH2001,20210817,0.1000,0.1000,0.1000,0.1000,0
CTCH2001,20210818,0.1000,0.1000,0.1000,0.1000,0
CTCH2001,20210819,0.1000,0.1000,0.1000,0.1000,0
CTCH2001,20210820,0.1000,0.1000,0.1000,0.1000,0
CTCH2001,20210823,0.1000,0.1000,0.1000,0.1000,0
CTCH2001,20210824,0.1000,0.1000,0.1000,0.1000,0
CTCH2001,20210825,0.1000,0.1000,0.1000,0.1000,0
CTCH2001,20210826,0.1000,0.1000,0.1000,0.1000,0
CTCH2001,20210827,0.1000,0.1000,0.1000,0.1000,0
CTCH2001,20210830,0.1000,0.1000,0.1000,0.1000,0
CTCH2001,20210831,0.1000,0.1000,0.1000,0.1000,0
CTCH2001,20210901,0.1000,0.1000,0.1000,0.1000,0
CTCH2001,20210906,0.1000,0.1000,0.1000,0.1000,0
CTCH2001,20210907,0.1000,0.1000,0.1000,0.1000,0
CTCH2001,20210908,0.1000,0.1000,0.1000,0.1000,0
CTCH2001,20210909,0.1000,0.1000,0.1000,0.1000,0
CTCH2001,20210910,0.1000,0.1000,0.1000,0.1000,0
CTCH2001,20210913,0.1000,0.1000,0.1000,0.1000,0
CTCH2001,20210914,0.1000,0.1000,0.1000,0.1000,0
CTCH2001,20210915,0.1000,0.1000,0.1000,0.1000,0
CTCH2001,20210916,0.1000,0.1000,0.1000,0.1000,0
CTCH2001,20210917,0.1000,0.1000,0.1000,0.1000,0
CTCH2001,20210920,0.1000,0.1000,0.1000,0.1000,0
CTCH2001,20210921,0.1000,0.1000,0.1000,0.1000,0
CTCH2001,20210922,0.1000,0.1000,0.1000,0.1000,0
