<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
CTF,20170530,5.7557,5.7557,5.7557,5.7557,790
CTF,20170531,6.1554,6.1554,6.1554,6.1554,1100
CTF,20170601,6.1554,6.5751,6.1554,6.5751,4110
CTF,20170602,7.0348,7.0348,7.0348,7.0348,500
CTF,20170605,7.5144,7.5144,7.5144,7.5144,400
CTF,20170606,8.0340,8.0340,8.0340,8.0340,340
CTF,20170607,8.5936,8.5936,8.5936,8.5936,30
CTF,20170608,9.1932,9.1932,9.1932,9.1932,4140
CTF,20170609,9.8327,9.8327,9.8327,9.8327,20510
CTF,20170612,9.8327,10.5122,9.8327,10.5122,40580
CTF,20170613,11.2317,11.2317,11.2317,11.2317,37250
CTF,20170614,12.0111,12.0111,12.0111,12.0111,51250
CTF,20170615,12.8505,12.8505,12.8505,12.8505,21830
CTF,20170616,12.8505,13.7498,12.8505,13.7498,14700
CTF,20170619,14.7091,14.7091,14.7091,14.7091,10260
CTF,20170620,15.7283,15.7283,15.7283,15.7283,42030
CTF,20170621,16.8275,16.8275,14.6291,14.6292,68460
CTF,20170622,13.6100,13.6100,13.6099,13.6099,1860
CTF,20170623,12.6706,12.6706,12.6706,12.6706,30
CTF,20170626,11.7913,13.5100,11.7913,11.7913,60940
CTF,20170627,11.7913,11.7913,10.9719,10.9719,20640
CTF,20170628,10.2125,10.2125,10.2124,10.2124,3190
CTF,20170629,9.5129,10.1924,9.5129,9.5929,44330
CTF,20170630,10.2524,10.2524,10.2324,10.2524,1190
CTF,20170703,10.9519,10.9519,10.9519,10.9519,30230
CTF,20170704,11.7113,11.7113,11.7113,11.7113,18450
CTF,20170705,12.5307,12.5307,11.7912,12.5107,16160
CTF,20170706,12.5107,12.7505,11.6513,12.1910,17520
CTF,20170707,11.6314,11.7913,11.6314,11.7513,11770
CTF,20170710,11.7113,11.7113,11.3116,11.5914,3260
CTF,20170711,11.3116,11.3915,11.3116,11.3516,630
CTF,20170712,11.5914,11.7913,11.3516,11.7913,1360
CTF,20170713,12.1510,12.1910,11.7114,12.1910,2500
CTF,20170714,11.9512,12.3109,11.3516,11.3516,5700
CTF,20170717,11.0318,11.7513,10.7121,10.7320,5620
CTF,20170718,11.1917,11.3516,10.7920,11.3516,710
CTF,20170719,10.9119,11.5515,10.8520,11.5514,2630
CTF,20170720,11.5914,11.5914,10.7520,10.7520,1960
CTF,20170721,10.7520,11.3915,10.7520,11.3116,210
CTF,20170724,10.9918,10.9918,10.9519,10.9519,1860
CTF,20170725,11.1118,11.1118,10.9119,10.9919,3750
CTF,20170726,10.9919,11.3916,10.9519,11.3916,67320
CTF,20170727,11.1518,11.4316,11.1118,11.3916,30740
CTF,20170728,11.3916,11.3916,11.1717,11.1717,20950
CTF,20170731,11.3516,11.3516,11.0518,11.3116,14750
CTF,20170801,11.3116,11.3116,11.0318,11.1917,710
CTF,20170802,11.0518,11.1517,11.0518,11.1517,1730
CTF,20170803,11.0518,11.1318,10.9918,11.1318,30340
CTF,20170804,11.1118,11.1118,11.0718,11.1118,4950
CTF,20170807,11.0319,11.1118,11.0319,11.1118,9450
CTF,20170808,11.1118,11.1118,10.9519,10.9519,42650
CTF,20170809,10.9519,11.0718,10.9519,11.0718,18800
CTF,20170810,11.1917,11.5914,11.1917,11.5914,6100
CTF,20170811,11.6713,11.7113,11.5914,11.6714,27880
CTF,20170814,11.7114,11.7913,11.6714,11.7513,25480
CTF,20170815,11.7913,11.8712,11.5914,11.8712,23850
CTF,20170816,11.8712,11.9911,11.8712,11.9511,16470
CTF,20170817,11.9511,11.9911,11.7512,11.8712,13330
CTF,20170818,11.8712,11.9112,11.0518,11.0518,14450
CTF,20170821,10.7920,11.0518,10.7920,11.0518,21600
CTF,20170822,11.0718,11.0718,11.0318,11.0518,15660
CTF,20170823,11.0718,11.8112,11.0718,11.1917,15730
CTF,20170824,11.2716,11.2716,11.2317,11.2317,7580
CTF,20170825,11.3516,11.6714,11.3516,11.6714,18290
CTF,20170828,11.6714,11.7913,11.5914,11.5914,22530
CTF,20170829,11.3915,11.7513,11.0318,11.6714,19000
CTF,20170830,11.5915,11.7913,11.5515,11.6913,15610
CTF,20170831,11.7513,11.8712,11.6313,11.6714,12650
CTF,20170901,11.7913,11.7913,11.6314,11.6714,9560
CTF,20170905,11.6714,11.7913,10.8720,11.7913,30690
CTF,20170906,11.7513,11.7513,10.9719,11.1917,11900
CTF,20170907,11.3916,11.5914,10.7920,11.5914,10350
CTF,20170908,11.5914,11.5914,11.5514,11.5914,7900
CTF,20170911,11.5914,11.6314,11.3915,11.6314,12190
CTF,20170912,11.6714,11.7513,11.6314,11.7513,10420
CTF,20170913,11.7913,11.7913,11.5914,11.5914,10200
CTF,20170914,11.6314,11.7513,11.5914,11.5914,12480
CTF,20170915,11.5115,11.5514,10.7920,11.5115,21340
CTF,20170918,11.5115,11.5515,10.7521,10.7920,40630
CTF,20170919,10.7520,10.7920,10.3124,10.3923,38980
CTF,20170920,10.3523,10.4722,10.2324,10.2724,48820
CTF,20170921,10.3124,10.7920,10.3124,10.7920,22900
CTF,20170922,10.7920,10.9919,10.7920,10.9919,16620
CTF,20170925,11.0319,11.1518,11.0319,11.1517,10370
CTF,20170926,11.1517,11.3916,11.1517,11.3916,13900
CTF,20170927,11.3916,11.5915,11.3916,11.5914,12410
CTF,20170928,11.6314,11.7913,11.5914,11.7913,12930
CTF,20170929,11.8113,11.8712,11.7913,11.8712,8990
CTF,20171002,11.9112,11.9511,11.3916,11.9511,6050
CTF,20171003,11.9911,11.9911,11.6713,11.9911,5530
CTF,20171004,11.9911,12.0311,11.9112,11.9911,10560
CTF,20171005,11.9911,11.9911,11.5115,11.9511,3670
CTF,20171006,11.9511,11.9911,11.8712,11.9112,5100
CTF,20171009,11.9512,11.9512,11.5914,11.9511,5550
CTF,20171010,11.9511,11.9511,11.7912,11.9511,10820
CTF,20171011,11.9511,11.9911,11.5914,11.9511,14900
CTF,20171012,11.9511,11.9911,11.5914,11.9511,7790
CTF,20171013,11.9511,11.9911,11.7912,11.9911,10250
CTF,20171016,11.9911,11.9911,11.3915,11.7913,25100
CTF,20171017,11.7913,11.7913,11.3916,11.3916,11500
CTF,20171018,11.3916,11.3916,10.7920,10.9919,13890
CTF,20171019,10.9919,10.9919,10.4323,10.7920,12390
CTF,20171020,10.8719,10.9919,10.7121,10.7121,11220
CTF,20171023,10.7521,10.8320,10.6721,10.6721,12460
CTF,20171024,10.6721,10.6721,10.5122,10.5722,13080
CTF,20171025,10.5922,10.6322,10.4722,10.4722,16620
CTF,20171026,10.4722,10.4722,10.4522,10.4523,1470
CTF,20171027,10.8463,10.8463,10.4316,10.4526,840
CTF,20171030,10.3903,10.3903,9.7668,9.7669,1120
CTF,20171031,9.9747,9.9747,9.9747,9.9747,110
CTF,20171101,9.9747,9.9747,9.7669,9.7669,430
CTF,20171102,9.7253,9.7253,9.6838,9.6838,320
CTF,20171103,9.6838,9.6838,9.5175,9.5175,440
CTF,20171106,9.4344,9.4344,9.1434,9.1435,2170
CTF,20171107,9.1435,9.1435,9.0188,9.0188,830
CTF,20171108,9.0188,9.0188,8.3954,8.3954,4760
CTF,20171109,8.3954,8.3954,7.8135,7.8135,4390
CTF,20171110,7.8966,7.8966,7.2732,7.4810,10850
CTF,20171113,6.9823,7.5641,6.9615,7.0654,4330
CTF,20171114,7.1901,7.1901,6.6498,6.6498,3840
CTF,20171115,6.7745,6.7745,6.3589,6.7745,1950
CTF,20171116,6.8161,7.0239,6.8161,7.0238,10740
CTF,20171117,7.0654,7.1485,7.0030,7.0031,20630
CTF,20171120,7.0447,7.1070,6.5459,7.1070,40260
CTF,20171121,7.1070,7.1070,6.6290,7.0654,36620
CTF,20171122,6.8576,6.9823,6.5874,6.9823,14010
CTF,20171123,6.8992,6.9823,6.5251,6.9823,10080
CTF,20171124,6.9823,7.2732,6.9407,7.2732,18160
CTF,20171127,7.2732,7.6888,6.8991,7.5641,51340
CTF,20171128,7.6057,7.7304,7.4810,7.7304,32760
CTF,20171129,7.6888,7.8135,7.5642,7.8135,20820
CTF,20171130,7.7719,7.9798,7.6888,7.9798,14340
CTF,20171201,7.8967,8.0629,7.8136,8.0213,17630
CTF,20171204,7.9797,8.3122,7.8966,8.3122,23860
CTF,20171205,8.2291,8.3538,7.9797,7.9798,34360
CTF,20171206,7.9798,7.9798,7.8551,7.8551,14540
CTF,20171207,7.8967,7.9382,7.3148,7.9382,16330
CTF,20171208,7.8551,8.0629,7.8135,8.0629,11400
CTF,20171211,7.9798,7.9798,7.5018,7.8966,35310
CTF,20171212,7.8135,7.8135,7.4810,7.7719,29730
CTF,20171213,7.7719,7.8551,7.6888,7.8551,9860
CTF,20171214,7.8551,8.3954,7.8135,8.3954,34430
CTF,20171215,8.3954,8.9357,8.3123,8.9357,40890
CTF,20171218,8.8941,9.5591,8.7695,9.1019,52490
CTF,20171219,9.1019,9.1435,8.4785,9.1435,70660
CTF,20171220,9.0604,9.3513,9.0188,9.3513,22620
CTF,20171221,9.3513,9.9747,9.2682,9.9747,32550
CTF,20171222,10.0163,10.4319,10.0163,10.2241,35530
CTF,20171225,10.2241,10.3072,9.9332,10.0994,10540
CTF,20171226,10.0994,10.1825,9.9332,10.0578,5250
CTF,20171227,10.0786,10.1409,9.3720,10.1409,12340
CTF,20171228,10.2240,10.2241,9.4344,10.2241,7680
CTF,20171229,10.2657,10.2657,9.5799,10.2656,10760
CTF,20180102,10.1409,10.1409,9.5591,9.7253,13660
CTF,20180103,9.7253,9.7253,9.1019,9.7253,20330
CTF,20180104,9.7253,9.7253,9.5591,9.7253,1410
CTF,20180105,9.7253,9.7253,9.3513,9.7253,5800
CTF,20180108,9.7669,9.7669,9.3928,9.3928,8410
CTF,20180109,9.4344,9.4759,8.9356,9.3928,14040
CTF,20180110,9.3928,9.3928,8.9356,8.9772,1340
CTF,20180111,9.0603,9.0603,9.0188,9.0603,1250
CTF,20180112,9.1019,9.1019,8.8525,8.8525,12860
CTF,20180115,8.8525,8.9356,8.5200,8.7279,5770
CTF,20180116,8.4370,8.6863,8.1876,8.6447,8680
CTF,20180117,8.6031,8.6031,8.0421,8.0421,9370
CTF,20180118,8.0421,8.0629,7.5641,8.0629,17990
CTF,20180119,8.1045,8.1876,8.0213,8.1876,10830
CTF,20180122,8.2292,8.3538,8.1460,8.2707,13310
CTF,20180125,8.3123,8.4369,8.1876,8.3954,9860
CTF,20180126,8.3538,8.4370,8.2707,8.4369,4820
CTF,20180129,8.4369,8.4785,8.3122,8.3954,3300
CTF,20180130,8.3538,8.3954,8.2292,8.3954,1800
CTF,20180131,8.3954,8.4370,8.2707,8.3122,7310
CTF,20180201,8.3122,8.3122,7.8966,8.3122,5550
CTF,20180202,8.3122,8.3122,7.8550,8.3122,8940
CTF,20180205,8.3122,8.3122,8.1044,8.3122,13360
CTF,20180206,8.2706,8.2706,8.1044,8.1460,16730
CTF,20180207,8.1460,8.1460,8.1044,8.1044,550
CTF,20180208,8.1044,8.1044,8.0628,8.0629,700
CTF,20180209,8.0629,8.0629,7.8966,7.8966,1880
CTF,20180212,7.8966,7.8966,7.8966,7.8966,110
CTF,20180213,7.8966,7.8966,7.6888,7.6888,880
CTF,20180221,7.7304,7.7304,7.6472,7.6473,490
CTF,20180222,7.6889,7.6889,7.6473,7.6473,3430
CTF,20180223,7.6889,7.6889,7.6888,7.6888,5050
CTF,20180226,7.6888,7.6888,7.6472,7.6888,1130
CTF,20180227,7.6888,7.6888,7.6888,7.6888,50
CTF,20180228,7.6888,7.6888,7.2732,7.2732,1620
CTF,20180301,7.3563,7.4810,7.2732,7.2732,47810
CTF,20180302,7.3979,7.5226,7.2732,7.2732,40770
CTF,20180305,7.3979,7.4810,7.2732,7.2732,34230
CTF,20180306,7.2732,7.3563,7.2316,7.2316,18380
CTF,20180307,7.2732,7.3148,7.2108,7.3148,13790
CTF,20180308,7.3564,7.3979,7.2525,7.3979,17100
CTF,20180309,7.3979,7.5226,7.2317,7.2732,35750
CTF,20180312,7.3148,7.7719,7.2524,7.7719,26940
CTF,20180313,7.8135,7.8966,7.4810,7.5641,36930
CTF,20180314,7.6057,8.0629,7.3979,8.0629,19860
CTF,20180315,8.0629,8.3123,8.0629,8.3122,20890
CTF,20180316,8.3538,8.5200,8.3538,8.5200,25980
CTF,20180319,8.6031,8.9356,8.5616,8.7279,45540
CTF,20180320,8.8110,8.8526,8.5201,8.6863,36130
CTF,20180321,8.7279,8.7279,8.3122,8.7279,74470
CTF,20180322,8.7695,9.3098,8.7279,9.3097,65070
CTF,20180323,9.3513,9.9331,8.6863,9.9331,51040
CTF,20180326,9.9331,10.3903,9.9331,10.3903,49310
CTF,20180327,9.9747,10.3487,9.6630,10.3487,21450
CTF,20180328,10.1825,10.1825,9.8084,10.1825,3030
CTF,20180329,10.0994,10.0994,9.7669,10.0162,5120
CTF,20180330,10.0993,10.0993,9.7253,9.7253,6220
CTF,20180402,9.7669,9.7669,9.0603,9.1435,16100
CTF,20180403,9.5591,9.5591,9.2266,9.5591,1570
CTF,20180404,9.6007,9.6007,9.3513,9.3513,2010
CTF,20180405,9.5591,9.5591,9.5383,9.5383,160
CTF,20180406,9.5591,9.5591,9.5383,9.5383,360
CTF,20180409,9.5383,9.5383,8.8941,8.8941,1790
CTF,20180410,9.1435,9.1435,8.9357,8.9357,490
CTF,20180411,9.1435,9.1851,8.9357,8.9357,3530
CTF,20180412,9.1435,9.1435,9.0603,9.0603,90
CTF,20180413,9.1434,9.1434,8.9772,8.9772,120
CTF,20180416,9.0603,9.0603,8.8110,8.8110,990
