<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
CTT,20150717,15.0000,15.0000,9.6000,9.6000,2400
CTT,20150720,9.6000,9.6000,9.6000,9.6000,200
CTT,20150721,9.6000,9.6000,9.6000,9.6000,0
CTT,20150722,9.6000,9.6000,9.6000,9.6000,0
CTT,20150723,10.5000,10.5000,10.5000,10.5000,100
CTT,20150724,10.5000,10.5000,10.5000,10.5000,0
CTT,20150727,10.5000,10.5000,10.5000,10.5000,0
CTT,20150728,9.5000,9.5000,9.5000,9.5000,100
CTT,20150729,9.0000,9.1000,9.0000,9.1000,1800
CTT,20150730,9.1000,9.1000,9.1000,9.1000,200
CTT,20150731,9.7000,9.7000,9.7000,9.7000,500
CTT,20150803,10.4000,10.4000,9.7000,9.7000,600
CTT,20150804,10.2000,10.2000,9.7000,10.2000,1000
CTT,20150805,4.7557,4.7557,4.7557,4.7557,500
CTT,20150806,5.0008,5.0008,5.0008,5.0008,300
CTT,20150807,5.0008,5.0008,5.0008,5.0008,0
CTT,20150810,5.3440,5.3440,4.5105,5.2950,1600
CTT,20150811,5.5401,5.5401,4.8047,4.8047,1100
CTT,20150812,4.8047,4.8047,4.8047,4.8047,0
CTT,20150813,4.8537,4.8537,4.8537,4.8537,200
CTT,20150814,4.8537,4.8537,4.8537,4.8537,0
CTT,20150817,4.8537,4.8537,4.8537,4.8537,0
CTT,20150818,4.8537,4.8537,4.4615,4.7557,2400
CTT,20150819,4.8047,4.8047,4.7557,4.7557,1400
CTT,20150820,4.7557,4.7557,4.7557,4.7557,0
CTT,20150821,4.4125,4.4125,4.4125,4.4125,100
CTT,20150824,4.8047,4.8047,4.8047,4.8047,200
CTT,20150825,4.8047,4.8047,4.8047,4.8047,0
CTT,20150826,4.8047,4.8047,4.8047,4.8047,0
CTT,20150827,4.8047,4.8047,4.8047,4.8047,0
CTT,20150828,4.3635,4.6086,4.3635,4.6086,300
CTT,20150831,4.7557,4.7557,4.7557,4.7557,200
CTT,20150901,4.7557,4.7557,4.7557,4.7557,0
CTT,20150903,4.7557,4.7557,4.7557,4.7557,0
CTT,20150904,4.7557,4.7557,4.7557,4.7557,0
CTT,20150907,4.7557,4.7557,4.7557,4.7557,0
CTT,20150908,4.7557,4.7557,4.7557,4.7557,0
CTT,20150909,4.7557,4.7557,4.7557,4.7557,0
CTT,20150910,4.4125,4.4125,4.4125,4.4125,400
CTT,20150911,3.9712,4.4125,3.9712,4.3635,300
CTT,20150914,4.4125,4.4125,3.9712,3.9712,300
CTT,20150915,4.3635,4.3635,3.9712,3.9712,200
CTT,20150916,3.6771,4.3635,3.6280,3.6280,2900
CTT,20150917,3.8732,3.8732,3.8732,3.8732,600
CTT,20150918,4.1673,4.1673,3.5300,4.0693,3800
CTT,20150921,4.4125,4.4125,3.6771,4.3144,600
CTT,20150922,4.4125,4.4125,3.9222,4.4125,3100
CTT,20150923,3.9712,3.9712,3.9712,3.9712,100
CTT,20150924,3.5790,3.5790,3.5790,3.5790,2600
CTT,20150925,3.6280,3.6280,3.6280,3.6280,100
CTT,20150928,3.4810,3.4810,3.4810,3.4810,100
CTT,20150929,3.4810,3.4810,3.4810,3.4810,0
CTT,20150930,3.2358,3.5790,3.2358,3.5790,400
CTT,20151001,3.5790,3.5790,3.5790,3.5790,0
CTT,20151002,3.5790,3.5790,3.5790,3.5790,0
CTT,20151005,3.2848,3.3339,3.2848,3.3339,700
CTT,20151006,3.4319,3.4319,3.4319,3.4319,100
