<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
CVHM2005,20200812,1.1800,1.1800,1.1800,1.1800,100
CVHM2005,20200813,1.1700,1.1800,1.1600,1.1800,36000
CVHM2005,20200814,1.2100,1.2700,1.2100,1.2300,50690
CVHM2005,20200817,1.2100,1.2100,1.1500,1.1500,410
CVHM2005,20200818,1.1600,1.1900,1.1600,1.1900,5010
CVHM2005,20200819,1.1500,1.2300,1.1500,1.2300,10010
CVHM2005,20200820,1.2800,1.3300,1.2000,1.2000,17620
CVHM2005,20200821,1.1900,1.2000,1.1600,1.1600,13980
CVHM2005,20200824,1.1900,1.1900,1.1000,1.1000,16990
CVHM2005,20200825,1.1700,1.2000,1.1700,1.1800,66380
CVHM2005,20200826,1.1900,1.1900,1.1600,1.1600,22170
CVHM2005,20200827,1.1200,1.1200,1.0800,1.0800,13130
CVHM2005,20200828,1.0900,1.1100,1.0800,1.0800,102150
CVHM2005,20200831,1.0900,1.0900,1.0600,1.0600,38950
CVHM2005,20200901,1.0500,1.0800,1.0200,1.0700,42280
CVHM2005,20200903,1.0800,1.2400,1.0800,1.2400,35000
CVHM2005,20200904,1.0800,1.1500,1.0800,1.1200,64060
CVHM2005,20200907,1.1600,1.2100,1.0800,1.0800,85810
CVHM2005,20200908,1.0800,1.0800,1.0300,1.0400,62010
CVHM2005,20200909,1.0000,1.0300,0.9900,1.0100,318590
CVHM2005,20200910,1.0600,1.1500,1.0000,1.0000,96050
CVHM2005,20200911,1.0000,1.0000,1.0000,1.0000,5000
CVHM2005,20200914,0.9700,0.9700,0.9700,0.9700,0
CVHM2005,20200915,0.9600,0.9600,0.9600,0.9600,0
CVHM2005,20200916,0.9100,0.9100,0.9100,0.9100,0
CVHM2005,20200917,0.9100,0.9100,0.9100,0.9100,0
CVHM2005,20200918,0.8900,0.8900,0.8900,0.8900,0
CVHM2005,20200921,0.9100,0.9100,0.9100,0.9100,0
CVHM2005,20200922,0.9000,0.9000,0.9000,0.9000,0
CVHM2005,20200923,0.9300,0.9300,0.9300,0.9300,0
CVHM2005,20200924,0.9100,0.9100,0.9100,0.9100,0
CVHM2005,20200925,0.8800,0.8800,0.8800,0.8800,0
CVHM2005,20200928,0.8800,0.8800,0.8800,0.8800,0
CVHM2005,20200929,0.8400,0.8400,0.8400,0.8400,0
CVHM2005,20200930,0.7600,0.7600,0.7600,0.7600,0
CVHM2005,20201001,0.7700,0.7700,0.7700,0.7700,0
CVHM2005,20201002,0.8500,0.8500,0.8500,0.8500,0
CVHM2005,20201005,0.7700,0.7700,0.7700,0.7700,0
CVHM2005,20201006,0.7700,0.7700,0.7700,0.7700,0
CVHM2005,20201007,0.7700,0.7700,0.7700,0.7700,0
CVHM2005,20201008,0.8100,0.8100,0.8100,0.8100,0
CVHM2005,20201009,0.7700,0.7700,0.7700,0.7700,0
CVHM2005,20201012,0.7800,0.7800,0.7800,0.7800,0
CVHM2005,20201013,0.8200,0.8200,0.8200,0.8200,0
CVHM2005,20201014,0.8700,0.8700,0.8700,0.8700,0
CVHM2005,20201015,0.8600,0.8600,0.8600,0.8600,0
CVHM2005,20201016,0.8600,0.8600,0.8600,0.8600,0
CVHM2005,20201019,0.8600,0.8600,0.8600,0.8600,0
CVHM2005,20201020,0.8000,0.8000,0.8000,0.8000,0
CVHM2005,20201021,0.7500,0.7500,0.7500,0.7500,0
CVHM2005,20201022,0.8100,0.8100,0.8100,0.8100,0
CVHM2005,20201023,0.8200,0.8200,0.8200,0.8200,0
CVHM2005,20201026,0.9600,1.0600,0.9600,1.0000,499060
CVHM2005,20201027,0.9300,0.9300,0.9300,0.9300,0
CVHM2005,20201028,0.8600,0.8600,0.8600,0.8600,0
CVHM2005,20201029,0.7400,0.7400,0.7400,0.7400,0
CVHM2005,20201030,0.7600,0.7600,0.7600,0.7600,0
CVHM2005,20201102,0.7400,0.7400,0.7400,0.7400,0
CVHM2005,20201103,0.7400,0.7400,0.7400,0.7400,0
CVHM2005,20201104,0.7200,0.7200,0.7200,0.7200,0
CVHM2005,20201105,0.7200,0.7200,0.7200,0.7200,0
CVHM2005,20201106,0.7200,0.7200,0.7200,0.7200,0
CVHM2005,20201109,0.7200,0.7200,0.7200,0.7200,0
CVHM2005,20201110,0.7500,0.7500,0.7500,0.7500,0
CVHM2005,20201111,0.7500,0.7500,0.7500,0.7500,0
CVHM2005,20201112,0.7000,0.7000,0.7000,0.7000,0
CVHM2005,20201113,0.7200,0.7200,0.7200,0.7200,0
CVHM2005,20201116,0.7200,0.7200,0.7200,0.7200,0
CVHM2005,20201117,0.6900,0.6900,0.6900,0.6900,0
CVHM2005,20201118,0.7100,0.7100,0.7100,0.7100,0
CVHM2005,20201119,0.7100,0.7100,0.7100,0.7100,0
CVHM2005,20201120,0.6800,0.6800,0.6800,0.6800,0
CVHM2005,20201123,0.6700,0.6700,0.6700,0.6700,0
CVHM2005,20201124,0.7900,0.7900,0.7900,0.7900,0
CVHM2005,20201125,0.9200,1.0700,0.9200,1.0400,702240
CVHM2005,20201126,0.9800,0.9800,0.9800,0.9800,0
CVHM2005,20201127,0.9300,0.9300,0.9300,0.9300,0
CVHM2005,20201130,0.8600,0.8600,0.8600,0.8600,0
CVHM2005,20201201,0.0000,0.0000,0.0000,0.0000,0
CVHM2005,20201202,0.8500,1.0400,0.8500,1.0000,537390
CVHM2005,20201203,1.0000,1.0000,1.0000,1.0000,2000
CVHM2005,20201204,0.9500,0.9500,0.9500,0.9500,0
CVHM2005,20201207,0.9400,0.9400,0.9400,0.9400,0
CVHM2005,20201208,0.9100,0.9100,0.9100,0.9100,0
CVHM2005,20201209,0.8800,0.8800,0.8800,0.8800,0
CVHM2005,20201210,0.9000,0.9000,0.9000,0.9000,0
CVHM2005,20201211,0.8900,1.0000,0.7900,1.0000,512090
CVHM2005,20201214,0.9300,0.9300,0.9300,0.9300,0
CVHM2005,20201215,0.9900,1.1000,0.9500,1.0100,619360
CVHM2005,20201216,0.9500,0.9500,0.9500,0.9500,0
CVHM2005,20201217,0.9400,0.9400,0.9400,0.9400,0
CVHM2005,20201218,0.9100,0.9100,0.9100,0.9100,0
CVHM2005,20201221,0.8800,1.0000,0.8800,1.0000,331430
CVHM2005,20201222,0.9800,1.0400,0.8800,1.0000,499340
CVHM2005,20201223,1.0000,1.2000,0.9500,1.1100,1618810
