<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
CVIC2007,20210108,0.7100,1.0000,0.7100,1.0000,3500
CVIC2007,20210111,0.9100,1.2000,0.9000,1.2000,434400
CVIC2007,20210112,1.3000,1.4000,1.2900,1.4000,798200
CVIC2007,20210113,1.5000,1.6000,1.0000,1.0000,218500
CVIC2007,20210114,1.2400,1.3000,1.1800,1.2800,696900
CVIC2007,20210115,1.3000,1.5800,1.3000,1.5500,386200
CVIC2007,20210118,1.9300,1.9300,1.6500,1.9300,443200
CVIC2007,20210119,1.9300,2.1000,1.5500,1.6500,335600
CVIC2007,20210120,1.3000,1.7500,1.3000,1.6500,284200
CVIC2007,20210121,2.0100,2.0100,1.6700,1.8500,133600
CVIC2007,20210122,1.9000,1.9000,1.6800,1.7000,143200
CVIC2007,20210125,1.8000,1.8000,1.3400,1.6500,231100
CVIC2007,20210126,1.6500,1.6900,1.3000,1.3100,336700
CVIC2007,20210127,1.3400,1.4000,0.9600,1.0000,715800
CVIC2007,20210128,0.9700,0.9700,0.9700,0.9700,0
CVIC2007,20210129,0.6200,0.6200,0.6200,0.6200,0
CVIC2007,20210201,0.8300,0.8300,0.8300,0.8300,0
CVIC2007,20210202,0.5700,0.5700,0.5700,0.5700,0
CVIC2007,20210203,0.5600,0.5600,0.5600,0.5600,0
CVIC2007,20210204,0.6700,0.6700,0.6700,0.6700,0
CVIC2007,20210205,0.6000,0.6000,0.6000,0.6000,0
CVIC2007,20210208,0.5800,0.5800,0.5800,0.5800,0
CVIC2007,20210209,0.5000,0.5000,0.5000,0.5000,0
CVIC2007,20210217,0.5000,0.5000,0.5000,0.5000,0
CVIC2007,20210218,0.3900,0.3900,0.3900,0.3900,0
CVIC2007,20210219,0.3700,0.3700,0.3700,0.3700,0
CVIC2007,20210222,0.2900,0.2900,0.2900,0.2900,0
CVIC2007,20210223,0.2500,0.2500,0.2500,0.2500,0
CVIC2007,20210224,0.1900,0.1900,0.1900,0.1900,0
CVIC2007,20210225,0.1400,0.1400,0.1400,0.1400,0
CVIC2007,20210226,0.1100,0.1100,0.1100,0.1100,0
CVIC2007,20210301,0.0900,0.0900,0.0900,0.0900,0
CVIC2007,20210302,0.0900,0.0900,0.0900,0.0900,0
CVIC2007,20210303,0.0900,0.0900,0.0900,0.0900,0
CVIC2007,20210304,0.0900,0.0900,0.0900,0.0900,0
CVIC2007,20210305,0.0900,0.0900,0.0900,0.0900,0
CVIC2007,20210308,0.0900,0.0900,0.0900,0.0900,0
CVIC2007,20210309,0.0900,0.0900,0.0900,0.0900,0
CVIC2007,20210310,0.0900,0.0900,0.0900,0.0900,0
CVIC2007,20210311,0.0900,0.0900,0.0900,0.0900,0
CVIC2007,20210312,0.0900,0.0900,0.0900,0.0900,0
CVIC2007,20210315,0.0900,0.0900,0.0900,0.0900,0
CVIC2007,20210316,0.0900,0.0900,0.0900,0.0900,0
CVIC2007,20210317,0.0900,0.0900,0.0900,0.0900,0
CVIC2007,20210318,0.0900,0.0900,0.0900,0.0900,0
CVIC2007,20210319,0.0900,0.0900,0.0900,0.0900,0
CVIC2007,20210322,0.0900,0.0900,0.0900,0.0900,0
CVIC2007,20210323,0.0900,0.0900,0.0900,0.0900,0
CVIC2007,20210324,0.0900,0.0900,0.0900,0.0900,0
CVIC2007,20210325,0.0900,0.0900,0.0900,0.0900,0
CVIC2007,20210326,0.0900,0.0900,0.0900,0.0900,0
CVIC2007,20210329,0.0900,0.0900,0.0900,0.0900,0
CVIC2007,20210330,0.0900,0.0900,0.0900,0.0900,0
CVIC2007,20210331,0.0900,0.0900,0.0900,0.0900,0
CVIC2007,20210401,0.0900,0.0900,0.0900,0.0900,0
CVIC2007,20210402,0.0900,0.0900,0.0900,0.0900,0
CVIC2007,20210405,0.0900,0.0900,0.0900,0.0900,0
CVIC2007,20210406,0.0900,0.0900,0.0900,0.0900,0
CVIC2007,20210407,0.0900,0.0900,0.0900,0.0900,0
CVIC2007,20210408,0.0900,0.0900,0.0900,0.0900,0
CVIC2007,20210409,0.0900,0.0900,0.0900,0.0900,0
CVIC2007,20210412,0.0900,0.0900,0.0900,0.0900,0
