<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
CVJC2002,20200616,1.2000,1.2700,1.1900,1.2000,46010
CVJC2002,20200617,1.2000,1.2000,1.1800,1.2000,72000
CVJC2002,20200618,1.3500,1.3600,1.2900,1.3500,13200
CVJC2002,20200619,1.3000,1.3700,1.3000,1.3000,560
CVJC2002,20200622,1.1700,1.2200,1.1700,1.1700,59670
CVJC2002,20200623,1.1700,1.1700,1.1700,1.1700,100
CVJC2002,20200624,1.1800,1.2100,1.1800,1.1800,40700
CVJC2002,20200625,1.1200,1.1300,1.1100,1.1200,4700
CVJC2002,20200626,1.1300,1.1500,1.1300,1.1500,810
CVJC2002,20200629,1.2000,1.2000,1.1900,1.1900,840
CVJC2002,20200630,1.0600,1.0600,1.0600,1.0600,250
CVJC2002,20200701,1.0900,1.1100,1.0900,1.1100,14510
CVJC2002,20200702,1.0800,1.0800,1.0600,1.0700,14130
CVJC2002,20200703,1.0800,1.0800,1.0800,1.0800,300
CVJC2002,20200706,1.0500,1.0800,1.0500,1.0700,8300
CVJC2002,20200707,1.0500,1.1000,1.0300,1.0300,2580
CVJC2002,20200708,1.0300,1.0300,1.0300,1.0300,10
CVJC2002,20200709,1.0200,1.1000,1.0100,1.1000,59750
CVJC2002,20200710,1.0200,1.0700,1.0100,1.0100,19310
CVJC2002,20200713,1.0700,1.0800,1.0400,1.0400,1810
CVJC2002,20200714,1.0000,1.0000,0.9700,1.0000,70860
CVJC2002,20200715,1.0200,1.0200,1.0000,1.0000,25520
CVJC2002,20200716,0.9900,1.0300,0.9600,1.0300,4470
CVJC2002,20200717,1.0300,1.0300,1.0000,1.0300,29610
CVJC2002,20200720,1.0000,1.0000,1.0000,1.0000,400
CVJC2002,20200721,0.9400,0.9400,0.9400,0.9400,0
CVJC2002,20200722,0.9400,0.9400,0.9400,0.9400,0
CVJC2002,20200723,0.9100,0.9100,0.9100,0.9100,0
CVJC2002,20200724,0.9300,0.9300,0.9300,0.9300,0
CVJC2002,20200727,0.7200,0.7200,0.7200,0.7200,0
CVJC2002,20200728,0.4700,0.4700,0.4700,0.4700,0
CVJC2002,20200729,0.4400,0.4400,0.4400,0.4400,0
CVJC2002,20200730,0.3800,0.3800,0.3800,0.3800,0
CVJC2002,20200731,0.4100,0.4100,0.4100,0.4100,0
CVJC2002,20200803,0.3800,0.3800,0.3800,0.3800,0
CVJC2002,20200804,0.4000,0.4000,0.4000,0.4000,0
CVJC2002,20200805,0.4100,0.4100,0.4100,0.4100,0
CVJC2002,20200806,0.4700,0.4700,0.4700,0.4700,0
CVJC2002,20200807,0.5400,0.5400,0.5400,0.5400,0
CVJC2002,20200810,0.5100,0.5100,0.5100,0.5100,0
CVJC2002,20200811,0.4900,0.4900,0.4900,0.4900,0
CVJC2002,20200812,0.4700,0.4700,0.4700,0.4700,0
CVJC2002,20200813,0.4800,0.4800,0.4800,0.4800,0
CVJC2002,20200814,0.5200,0.5200,0.5200,0.5200,0
CVJC2002,20200817,0.4800,0.4800,0.4800,0.4800,0
CVJC2002,20200818,0.4400,0.4400,0.4400,0.4400,0
CVJC2002,20200819,0.4300,0.4300,0.4300,0.4300,0
CVJC2002,20200820,0.4200,0.4200,0.4200,0.4200,0
CVJC2002,20200821,0.3800,0.3800,0.3800,0.3800,0
CVJC2002,20200824,0.3900,0.3900,0.3900,0.3900,0
CVJC2002,20200825,0.4000,0.4000,0.4000,0.4000,0
CVJC2002,20200826,0.3900,0.3900,0.3900,0.3900,0
CVJC2002,20200827,0.3900,0.3900,0.3900,0.3900,0
CVJC2002,20200828,0.3700,0.3700,0.3700,0.3700,0
CVJC2002,20200831,0.3600,0.3600,0.3600,0.3600,0
CVJC2002,20200901,0.4500,0.4500,0.4500,0.4500,0
CVJC2002,20200903,0.5300,0.5300,0.5300,0.5300,0
CVJC2002,20200904,0.6100,0.6100,0.6100,0.6100,0
CVJC2002,20200907,0.5500,0.5500,0.5500,0.5500,0
CVJC2002,20200908,0.5600,0.5600,0.5600,0.5600,0
CVJC2002,20200909,0.5200,0.5200,0.5200,0.5200,0
CVJC2002,20200910,0.5400,0.5400,0.5400,0.5400,0
CVJC2002,20200911,0.5400,0.5400,0.5400,0.5400,0
CVJC2002,20200914,0.5400,0.5400,0.5400,0.5400,0
CVJC2002,20200915,0.5600,0.5600,0.5600,0.5600,0
CVJC2002,20200916,0.4600,0.4600,0.4600,0.4600,0
CVJC2002,20200917,0.4600,0.4600,0.4600,0.4600,0
CVJC2002,20200918,0.4200,0.4200,0.4200,0.4200,0
CVJC2002,20200921,0.3900,0.3900,0.3900,0.3900,0
CVJC2002,20200922,0.4000,0.4000,0.4000,0.4000,0
CVJC2002,20200923,0.3800,0.3800,0.3800,0.3800,0
CVJC2002,20200924,0.3800,0.3800,0.3800,0.3800,0
CVJC2002,20200925,0.3400,0.3400,0.3400,0.3400,0
CVJC2002,20200928,0.3300,0.3300,0.3300,0.3300,0
CVJC2002,20200929,0.3000,0.3000,0.3000,0.3000,0
CVJC2002,20200930,0.3000,0.3000,0.3000,0.3000,0
CVJC2002,20201001,0.2500,0.2500,0.2500,0.2500,0
CVJC2002,20201002,0.2600,0.2600,0.2600,0.2600,0
CVJC2002,20201005,0.2400,0.2400,0.2400,0.2400,0
CVJC2002,20201006,0.2300,0.2300,0.2300,0.2300,0
CVJC2002,20201007,0.2000,0.2000,0.2000,0.2000,0
CVJC2002,20201008,0.1600,0.1600,0.1600,0.1600,0
CVJC2002,20201009,0.1500,0.1500,0.1500,0.1500,0
CVJC2002,20201012,0.1500,0.1500,0.1500,0.1500,0
CVJC2002,20201013,0.1400,0.1400,0.1400,0.1400,0
CVJC2002,20201014,0.1400,0.1400,0.1400,0.1400,0
CVJC2002,20201015,0.1100,0.1100,0.1100,0.1100,0
CVJC2002,20201016,0.1200,0.1200,0.1200,0.1200,0
CVJC2002,20201019,0.1200,0.1200,0.1200,0.1200,0
CVJC2002,20201020,0.1000,0.1000,0.1000,0.1000,0
CVJC2002,20201021,0.0500,0.0500,0.0500,0.0500,0
CVJC2002,20201022,0.0300,0.0300,0.0300,0.0300,0
CVJC2002,20201023,0.0500,0.0500,0.0500,0.0500,0
CVJC2002,20201026,0.0300,0.0300,0.0300,0.0300,0
CVJC2002,20201027,0.0500,0.0500,0.0500,0.0500,0
CVJC2002,20201028,0.0100,0.0100,0.0100,0.0100,0
CVJC2002,20201029,0.0500,0.0500,0.0500,0.0500,0
CVJC2002,20201030,0.0500,0.0500,0.0500,0.0500,0
CVJC2002,20201102,0.0500,0.0500,0.0500,0.0500,0
CVJC2002,20201103,0.0500,0.0500,0.0500,0.0500,0
CVJC2002,20201104,0.0500,0.0500,0.0500,0.0500,0
CVJC2002,20201105,0.0500,0.0500,0.0500,0.0500,0
CVJC2002,20201106,0.0500,0.0500,0.0500,0.0500,0
CVJC2002,20201109,0.0500,0.0500,0.0500,0.0500,0
CVJC2002,20201110,0.0500,0.0500,0.0500,0.0500,0
CVJC2002,20201111,0.0500,0.0500,0.0500,0.0500,0
CVJC2002,20201112,0.0500,0.0500,0.0500,0.0500,0
CVJC2002,20201113,0.0500,0.0500,0.0500,0.0500,0
CVJC2002,20201116,0.0500,0.0500,0.0500,0.0500,0
CVJC2002,20201117,0.0500,0.0500,0.0500,0.0500,0
CVJC2002,20201118,0.0500,0.0500,0.0500,0.0500,0
CVJC2002,20201119,0.0500,0.0500,0.0500,0.0500,0
CVJC2002,20201120,0.0500,0.0500,0.0500,0.0500,0
CVJC2002,20201123,0.0500,0.0500,0.0500,0.0500,0
CVJC2002,20201124,0.0500,0.0500,0.0500,0.0500,0
CVJC2002,20201125,0.0500,0.0500,0.0500,0.0500,0
CVJC2002,20201126,0.0500,0.0500,0.0500,0.0500,0
CVJC2002,20201127,0.0500,0.0500,0.0500,0.0500,0
CVJC2002,20201130,0.0500,0.0500,0.0500,0.0500,0
CVJC2002,20201201,0.0000,0.0000,0.0000,0.0000,0
CVJC2002,20201202,0.0500,0.0500,0.0500,0.0500,0
CVJC2002,20201203,0.0500,0.0500,0.0500,0.0500,0
CVJC2002,20201204,0.0500,0.0500,0.0500,0.0500,0
CVJC2002,20201207,0.0500,0.0500,0.0500,0.0500,0
CVJC2002,20201208,0.0500,0.0500,0.0500,0.0500,0
CVJC2002,20201209,0.0500,0.0500,0.0500,0.0500,0
CVJC2002,20201210,0.0500,0.0500,0.0500,0.0500,0
CVJC2002,20201211,0.0500,0.0500,0.0500,0.0500,0
CVJC2002,20201214,0.0500,0.0500,0.0500,0.0500,0
CVJC2002,20201215,0.0500,0.0500,0.0500,0.0500,0
CVJC2002,20201216,0.0500,0.0500,0.0500,0.0500,0
CVJC2002,20201217,0.0500,0.0500,0.0500,0.0500,0
CVJC2002,20201218,0.0500,0.0500,0.0500,0.0500,0
CVJC2002,20201221,0.0500,0.0500,0.0500,0.0500,0
CVJC2002,20201222,0.0500,0.0500,0.0500,0.0500,0
CVJC2002,20201223,0.0500,0.0500,0.0500,0.0500,0
CVJC2002,20201224,0.0500,0.0500,0.0500,0.0500,0
CVJC2002,20201225,0.0500,0.0500,0.0500,0.0500,0
CVJC2002,20201228,0.0500,0.0500,0.0500,0.0500,0
CVJC2002,20201229,0.0500,0.0500,0.0500,0.0500,0
CVJC2002,20201230,0.0500,0.0500,0.0500,0.0500,0
CVJC2002,20201231,0.0500,0.0500,0.0500,0.0500,0
CVJC2002,20210104,0.0500,0.0500,0.0500,0.0500,0
CVJC2002,20210105,0.0500,0.0500,0.0500,0.0500,0
CVJC2002,20210106,0.0500,0.0500,0.0500,0.0500,0
CVJC2002,20210107,0.0500,0.0500,0.0500,0.0500,0
CVJC2002,20210108,0.0500,0.0500,0.0500,0.0500,0
CVJC2002,20210111,0.0500,0.0500,0.0500,0.0500,0
CVJC2002,20210112,0.0500,0.0500,0.0500,0.0500,0
CVJC2002,20210113,0.0500,0.0500,0.0500,0.0500,0
CVJC2002,20210114,0.0500,0.0500,0.0500,0.0500,0
CVJC2002,20210115,0.0500,0.0500,0.0500,0.0500,0
CVJC2002,20210118,0.0500,0.0500,0.0500,0.0500,0
CVJC2002,20210119,0.0500,0.0500,0.0500,0.0500,0
CVJC2002,20210120,0.0500,0.0500,0.0500,0.0500,0
CVJC2002,20210121,0.0500,0.0500,0.0500,0.0500,0
CVJC2002,20210122,0.0500,0.0500,0.0500,0.0500,0
CVJC2002,20210125,0.0500,0.0500,0.0500,0.0500,0
