<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
CVNM2008,20200812,1.6100,1.6300,1.6100,1.6300,14680
CVNM2008,20200813,1.6600,1.6700,1.6400,1.6700,9470
CVNM2008,20200814,1.7000,1.7600,1.6900,1.6900,11320
CVNM2008,20200817,1.7200,1.7200,1.6000,1.6900,67380
CVNM2008,20200818,1.6600,1.6600,1.6100,1.6100,41700
CVNM2008,20200819,1.6100,1.6100,1.5700,1.6000,31840
CVNM2008,20200820,1.5800,1.5800,1.5500,1.5500,4080
CVNM2008,20200821,1.5600,1.5600,1.5500,1.5500,10400
CVNM2008,20200824,1.6300,1.6800,1.6200,1.6200,104000
CVNM2008,20200825,1.6600,1.6700,1.6200,1.6200,65820
CVNM2008,20200826,1.6700,1.6900,1.6300,1.6300,71940
CVNM2008,20200827,1.6700,1.6700,1.6400,1.6400,1430
CVNM2008,20200828,1.6500,1.7900,1.6500,1.7800,93670
CVNM2008,20200831,1.8400,1.8500,1.8000,1.8000,130300
CVNM2008,20200901,1.8600,2.0000,1.8600,2.0000,101020
CVNM2008,20200903,1.3000,2.1000,1.3000,2.1000,196300
CVNM2008,20200904,1.9900,2.1100,1.9900,2.0900,42350
CVNM2008,20200907,2.1300,2.3100,2.1300,2.2200,97910
CVNM2008,20200908,2.2000,2.2400,2.0300,2.0300,203770
CVNM2008,20200909,1.9200,2.2100,1.8600,2.2100,129800
CVNM2008,20200910,2.2000,2.2000,2.0600,2.0800,10430
CVNM2008,20200911,2.0000,2.0000,1.9800,1.9800,50160
CVNM2008,20200914,2.0100,2.0700,2.0100,2.0500,4900
CVNM2008,20200915,2.0100,2.0600,1.9900,2.0600,16540
CVNM2008,20200916,2.0500,2.0500,1.9600,1.9600,57710
CVNM2008,20200917,2.0000,2.0900,1.9800,2.0300,35370
CVNM2008,20200918,2.0000,2.1200,1.9900,2.1200,73770
CVNM2008,20200921,2.1900,2.4000,2.1800,2.3700,303580
CVNM2008,20200922,2.3000,2.3900,2.3000,2.3800,30800
CVNM2008,20200923,2.3800,2.3800,2.3200,2.3200,65310
CVNM2008,20200924,2.3200,2.3200,2.1900,2.1900,74790
CVNM2008,20200925,2.2100,2.2100,2.1800,2.1900,50020
CVNM2008,20200928,2.2000,2.2000,2.0000,2.0000,211200
CVNM2008,20200929,2.4700,2.8900,2.4600,2.6700,138260
CVNM2008,20200930,2.7200,2.7200,2.5000,2.5000,96300
CVNM2008,20201001,2.5400,2.5800,2.4500,2.5300,38950
CVNM2008,20201002,2.6200,2.6200,2.4500,2.4500,92770
CVNM2008,20201005,2.4600,2.4900,2.3500,2.3900,21730
CVNM2008,20201006,2.3800,2.3800,2.2900,2.3400,109000
CVNM2008,20201007,2.3000,2.3900,2.2800,2.3500,69350
CVNM2008,20201008,2.3700,2.3800,2.3000,2.3000,73900
CVNM2008,20201009,2.2900,2.2900,2.2700,2.2700,100190
CVNM2008,20201012,2.3000,2.3600,2.2500,2.2700,37140
