<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
CVPB2008,20200812,1.3800,1.3800,1.3800,1.3800,0
CVPB2008,20200813,1.3800,1.3800,1.3800,1.3800,0
CVPB2008,20200814,1.4500,1.4500,1.3400,1.3400,17900
CVPB2008,20200817,1.3200,1.3300,1.2500,1.2500,21030
CVPB2008,20200818,1.3300,1.3400,1.3000,1.3000,30700
CVPB2008,20200819,1.3600,1.3600,1.3600,1.3600,10
CVPB2008,20200820,1.3600,1.3600,1.3300,1.3500,16400
CVPB2008,20200821,1.3600,1.4600,1.3400,1.4400,80450
CVPB2008,20200824,1.6100,1.8500,1.6100,1.8500,4600
CVPB2008,20200825,1.9100,1.9400,1.8100,1.8100,50950
CVPB2008,20200826,1.5500,1.9300,1.5500,1.9300,206670
CVPB2008,20200827,1.7300,1.7900,1.7000,1.7700,20550
CVPB2008,20200828,1.9200,2.0700,1.9200,1.9500,237190
CVPB2008,20200831,2.0100,2.0100,1.8200,1.8200,45750
CVPB2008,20200901,1.8200,1.8600,1.7000,1.8600,154970
CVPB2008,20200903,2.0300,2.0300,1.8600,1.8900,12800
CVPB2008,20200904,1.8500,1.8500,1.8000,1.8000,15210
CVPB2008,20200907,1.8500,1.8600,1.5500,1.5500,54100
CVPB2008,20200908,1.6100,1.6700,1.5300,1.6700,40630
CVPB2008,20200909,1.5500,1.8000,1.5300,1.6100,74110
CVPB2008,20200910,1.6700,1.6700,1.6300,1.6500,10960
CVPB2008,20200911,1.6100,1.6300,1.5400,1.6100,137820
CVPB2008,20200914,1.7400,1.7500,1.6900,1.7100,54500
CVPB2008,20200915,1.6900,1.6900,1.6600,1.6900,37000
CVPB2008,20200916,1.6500,1.6600,1.6300,1.6600,12320
CVPB2008,20200917,1.6200,1.7200,1.6100,1.6300,9870
CVPB2008,20200918,1.5800,1.7000,1.5800,1.7000,12320
CVPB2008,20200921,1.7500,1.8000,1.7000,1.7000,51840
CVPB2008,20200922,1.6800,1.7800,1.6500,1.6900,59210
CVPB2008,20200923,1.7300,1.8800,1.7300,1.8600,74070
CVPB2008,20200924,1.7900,1.8500,1.7300,1.7500,64400
CVPB2008,20200925,1.7400,1.7500,1.6500,1.6500,112510
CVPB2008,20200928,1.7300,1.8500,1.7300,1.8500,22850
CVPB2008,20200929,1.8500,2.0700,1.8400,1.8400,87180
CVPB2008,20200930,1.8100,1.8100,1.7200,1.8000,191220
CVPB2008,20201001,1.8300,1.9900,1.8100,1.8700,34610
CVPB2008,20201002,1.9300,1.9400,1.7200,1.7800,146870
CVPB2008,20201005,1.9900,1.9900,1.7500,1.7500,81590
CVPB2008,20201006,1.8900,1.9600,1.8500,1.9100,44570
CVPB2008,20201007,1.9000,1.9000,1.7800,1.7800,177960
CVPB2008,20201008,1.7600,1.7900,1.6200,1.6500,465570
CVPB2008,20201009,1.6600,1.7000,1.5700,1.6300,249250
CVPB2008,20201012,1.7200,1.7400,1.5700,1.5800,156700
CVPB2008,20201013,1.5900,1.6300,1.5600,1.6100,106850
CVPB2008,20201014,1.6300,1.8300,1.6200,1.7900,568380
CVPB2008,20201015,1.8700,1.8700,1.7500,1.7600,1179720
CVPB2008,20201016,1.8000,2.1800,1.7600,1.9700,670280
CVPB2008,20201019,2.0500,2.0900,1.9200,1.9400,494000
CVPB2008,20201020,1.8500,2.1300,1.8200,2.0300,1101370
CVPB2008,20201021,2.3000,2.5300,2.0400,2.1700,1003550
CVPB2008,20201022,2.1900,2.3400,2.1300,2.3300,782390
CVPB2008,20201023,2.3300,2.3800,2.2300,2.3400,807150
CVPB2008,20201026,2.3400,2.4800,2.0000,2.0000,864900
CVPB2008,20201027,1.8400,2.1500,1.8400,1.8400,1225670
CVPB2008,20201028,1.8000,1.8700,1.5000,1.5000,1181790
CVPB2008,20201029,1.5500,1.6100,1.3700,1.5500,753020
CVPB2008,20201030,1.5500,1.6700,1.4000,1.5500,121390
CVPB2008,20201102,1.5500,1.6000,1.5500,1.5800,40400
CVPB2008,20201103,1.6000,1.7000,1.6000,1.6700,186310
CVPB2008,20201104,1.6700,1.6700,1.6700,1.6700,0
CVPB2008,20201105,1.6700,1.6700,1.6700,1.6700,0
CVPB2008,20201106,1.6700,1.6700,1.6700,1.6700,0
CVPB2008,20201109,1.5800,1.6500,1.5500,1.6500,144600
CVPB2008,20201110,1.6800,1.6800,1.5500,1.5500,135320
CVPB2008,20201111,1.5300,1.6000,1.5300,1.5300,70910
CVPB2008,20201112,1.5000,1.5900,1.5000,1.5300,84790
CVPB2008,20201113,1.5900,1.7300,1.5900,1.7100,417890
CVPB2008,20201116,1.7500,1.8700,1.7000,1.7000,944040
