<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
CVRE1903,20191209,2.6000,2.6300,2.5000,2.6000,10070
CVRE1903,20191210,2.5500,2.6200,2.5000,2.5500,10920
CVRE1903,20191211,2.5500,2.5600,2.5000,2.5500,10030
CVRE1903,20191212,2.4800,2.5100,2.4300,2.4800,20160
CVRE1903,20191213,2.3100,2.5100,2.3000,2.3100,5030
CVRE1903,20191216,2.3100,2.3100,2.1100,2.3100,32080
CVRE1903,20191217,2.3100,2.3100,2.3100,2.3100,0
CVRE1903,20191218,1.7100,1.8200,1.6600,1.7100,43280
CVRE1903,20191219,1.7300,1.8100,1.6500,1.7300,50030
CVRE1903,20191220,1.9400,1.9400,1.6000,1.9400,17390
CVRE1903,20191223,1.8900,1.8900,1.8000,1.8900,40750
CVRE1903,20191224,1.8700,1.8900,1.7500,1.8700,77040
CVRE1903,20191225,1.8400,1.8400,1.6500,1.8400,42990
CVRE1903,20191226,1.9500,1.9500,1.8900,1.9500,50020
CVRE1903,20191227,1.9300,1.9800,1.8800,1.9300,15060
CVRE1903,20191230,2.1600,2.1700,1.8500,2.1600,106100
CVRE1903,20191231,2.0900,2.1000,2.0500,2.0900,31020
CVRE1903,20200102,2.1300,2.1500,2.0300,2.1300,21080
CVRE1903,20200103,2.2100,2.2100,2.1100,2.2100,51110
CVRE1903,20200106,1.9400,1.9400,1.9000,1.9400,9100
CVRE1903,20200107,1.8900,1.9100,1.8000,1.8900,6230
CVRE1903,20200108,1.6600,1.7500,1.6000,1.6600,25150
CVRE1903,20200109,1.9000,1.9200,1.6600,1.9000,73390
CVRE1903,20200110,1.9000,1.9000,1.7800,1.9000,3170
CVRE1903,20200113,1.8200,1.8300,1.7500,1.8200,57040
CVRE1903,20200114,1.8100,1.8500,1.7000,1.8100,60140
CVRE1903,20200115,1.7000,1.7700,1.6000,1.7000,33260
CVRE1903,20200116,1.5600,1.8500,1.5000,1.5600,80290
CVRE1903,20200117,1.5100,1.6100,1.4500,1.5100,40110
CVRE1903,20200120,1.3500,1.4000,1.2500,1.3500,57500
CVRE1903,20200121,1.4600,1.4700,1.3500,1.4600,106870
CVRE1903,20200122,1.4300,1.4700,1.3800,1.4300,50070
CVRE1903,20200130,1.0300,1.2400,0.9500,1.0300,11020
CVRE1903,20200131,0.8700,1.0400,0.8000,0.8700,19060
CVRE1903,20200203,0.8000,0.8400,0.5000,0.8000,185400
CVRE1903,20200204,0.7300,0.8000,0.6400,0.7300,138020
CVRE1903,20200205,0.7100,0.7600,0.7000,0.7100,110020
CVRE1903,20200206,0.9200,0.9200,0.6400,0.9200,164080
CVRE1903,20200207,1.0800,1.1700,0.9200,1.0800,70260
CVRE1903,20200210,0.9600,1.0100,0.9100,0.9600,20010
CVRE1903,20200211,0.9700,1.0200,0.8200,0.9700,203540
CVRE1903,20200212,0.9500,1.0000,0.9500,0.9500,85050
CVRE1903,20200213,0.9600,0.9600,0.9100,0.9600,196720
CVRE1903,20200214,1.0500,1.1000,0.9500,1.0500,519860
CVRE1903,20200217,0.9200,0.9700,0.8800,0.9200,55300
CVRE1903,20200218,0.7700,0.8300,0.7700,0.7700,80030
CVRE1903,20200219,0.6900,0.6900,0.6800,0.6900,2010
CVRE1903,20200220,0.7800,0.7800,0.7200,0.7800,200
CVRE1903,20200221,0.7500,0.7500,0.7000,0.7500,2150
CVRE1903,20200224,0.5300,0.6500,0.5300,0.5300,56060
CVRE1903,20200225,0.5100,0.5100,0.5100,0.5100,20000
CVRE1903,20200226,0.4800,0.5100,0.4200,0.4800,153300
CVRE1903,20200227,0.4600,0.4600,0.4000,0.4600,84000
CVRE1903,20200228,0.3700,0.3800,0.3400,0.3700,10210
CVRE1903,20200302,0.3800,0.4200,0.3700,0.3800,122770
CVRE1903,20200303,0.3800,0.4100,0.3800,0.3800,18030
CVRE1903,20200304,0.3500,0.3500,0.3000,0.3500,20000
CVRE1903,20200305,0.3700,0.4000,0.3700,0.3700,60020
CVRE1903,20200306,0.3400,0.3400,0.2800,0.3400,25020
CVRE1903,20200309,0.2100,0.2200,0.1800,0.2100,8100
CVRE1903,20200310,0.1800,0.3600,0.1200,0.1800,210320
CVRE1903,20200311,0.1100,0.1400,0.1000,0.1100,114010
CVRE1903,20200312,0.0700,0.0700,0.0700,0.0700,200
CVRE1903,20200313,0.1300,0.1300,0.1000,0.1300,1190
CVRE1903,20200316,0.1000,0.1000,0.0700,0.1000,150010
CVRE1903,20200317,0.0800,0.0800,0.0600,0.0800,106310
CVRE1903,20200318,0.0800,0.0900,0.0600,0.0800,671300
CVRE1903,20200319,0.0900,0.0900,0.0600,0.0900,271540
CVRE1903,20200320,0.0700,0.0800,0.0500,0.0700,342960
CVRE1903,20200323,0.0500,0.0500,0.0500,0.0500,30000
CVRE1903,20200324,0.0400,0.0600,0.0400,0.0400,225100
CVRE1903,20200325,0.0500,0.0500,0.0400,0.0500,11500
CVRE1903,20200326,0.1000,0.1000,0.0400,0.1000,170160
CVRE1903,20200327,0.0400,0.0500,0.0400,0.0400,268680
CVRE1903,20200330,0.0400,0.0400,0.0400,0.0400,35000
CVRE1903,20200331,0.0400,0.0500,0.0400,0.0400,288100
CVRE1903,20200401,0.0400,0.0500,0.0400,0.0400,2940
CVRE1903,20200403,0.0500,0.0500,0.0400,0.0500,46900
CVRE1903,20200406,0.0500,0.0500,0.0400,0.0500,154710
CVRE1903,20200407,0.0400,0.0400,0.0400,0.0400,162800
CVRE1903,20200408,0.0500,0.0500,0.0400,0.0500,211270
CVRE1903,20200409,0.0600,0.0600,0.0400,0.0600,228870
CVRE1903,20200410,0.0500,0.0500,0.0500,0.0500,170730
CVRE1903,20200413,0.0700,0.0700,0.0500,0.0700,152700
CVRE1903,20200414,0.0700,0.1000,0.0700,0.0700,238980
CVRE1903,20200415,0.0700,0.0700,0.0700,0.0700,10
CVRE1903,20200416,0.0700,0.0700,0.0500,0.0700,26030
CVRE1903,20200417,0.0600,0.0700,0.0600,0.0600,50020
CVRE1903,20200420,0.0500,0.0600,0.0500,0.0500,64000
CVRE1903,20200421,0.0400,0.0400,0.0400,0.0400,10030
CVRE1903,20200422,0.0400,0.0400,0.0400,0.0400,11480
CVRE1903,20200423,0.0500,0.0500,0.0500,0.0500,400
CVRE1903,20200424,0.0400,0.0400,0.0400,0.0400,4240
CVRE1903,20200427,0.0400,0.0400,0.0400,0.0400,130000
CVRE1903,20200428,0.0400,0.0400,0.0400,0.0400,47630
CVRE1903,20200429,0.0400,0.0400,0.0400,0.0400,51740
CVRE1903,20200504,0.0400,0.0500,0.0400,0.0400,51910
CVRE1903,20200505,0.0500,0.0500,0.0500,0.0500,2150
CVRE1903,20200506,0.0500,0.0500,0.0500,0.0500,70
CVRE1903,20200507,0.0400,0.0500,0.0400,0.0400,53610
CVRE1903,20200508,0.0200,0.0200,0.0100,0.0200,10690
CVRE1903,20200511,0.0100,0.0200,0.0100,0.0100,713730
CVRE1903,20200512,0.0100,0.0200,0.0100,0.0100,153940
CVRE1903,20200513,0.0200,0.0200,0.0100,0.0200,53040
CVRE1903,20200629,0.0100,0.0100,0.0100,0.0100,0
CVRE1903,20200630,0.0100,0.0100,0.0100,0.0100,0
CVRE1903,20200701,0.0100,0.0100,0.0100,0.0100,0
CVRE1903,20200702,0.0100,0.0100,0.0100,0.0100,0
CVRE1903,20200703,0.0100,0.0100,0.0100,0.0100,0
CVRE1903,20200706,0.0100,0.0100,0.0100,0.0100,0
CVRE1903,20200707,0.0100,0.0100,0.0100,0.0100,0
CVRE1903,20200708,0.0100,0.0100,0.0100,0.0100,0
CVRE1903,20200709,0.0100,0.0100,0.0100,0.0100,0
CVRE1903,20200710,0.0100,0.0100,0.0100,0.0100,0
CVRE1903,20200713,0.0100,0.0100,0.0100,0.0100,0
CVRE1903,20200714,0.0100,0.0100,0.0100,0.0100,0
CVRE1903,20200715,0.0100,0.0100,0.0100,0.0100,0
CVRE1903,20200716,0.0100,0.0100,0.0100,0.0100,0
CVRE1903,20200717,0.0100,0.0100,0.0100,0.0100,0
CVRE1903,20200720,0.0100,0.0100,0.0100,0.0100,0
CVRE1903,20200721,0.0100,0.0100,0.0100,0.0100,0
CVRE1903,20200722,0.0100,0.0100,0.0100,0.0100,0
CVRE1903,20200723,0.0100,0.0100,0.0100,0.0100,0
CVRE1903,20200724,0.0100,0.0100,0.0100,0.0100,0
CVRE1903,20200727,0.0100,0.0100,0.0100,0.0100,0
CVRE1903,20200728,0.0100,0.0100,0.0100,0.0100,0
CVRE1903,20200729,0.0100,0.0100,0.0100,0.0100,0
CVRE1903,20200730,0.0100,0.0100,0.0100,0.0100,0
CVRE1903,20200731,0.0100,0.0100,0.0100,0.0100,0
CVRE1903,20200803,0.0100,0.0100,0.0100,0.0100,0
CVRE1903,20200804,0.0100,0.0100,0.0100,0.0100,0
CVRE1903,20200805,0.0100,0.0100,0.0100,0.0100,0
CVRE1903,20200806,0.0100,0.0100,0.0100,0.0100,0
CVRE1903,20200807,0.0100,0.0100,0.0100,0.0100,0
CVRE1903,20200810,0.0100,0.0100,0.0100,0.0100,0
CVRE1903,20200811,0.0100,0.0100,0.0100,0.0100,0
CVRE1903,20200812,0.0100,0.0100,0.0100,0.0100,0
CVRE1903,20200813,0.0100,0.0100,0.0100,0.0100,0
CVRE1903,20200814,0.0100,0.0100,0.0100,0.0100,0
CVRE1903,20200817,0.0100,0.0100,0.0100,0.0100,0
CVRE1903,20200818,0.0100,0.0100,0.0100,0.0100,0
CVRE1903,20200819,0.0100,0.0100,0.0100,0.0100,0
CVRE1903,20200820,0.0100,0.0100,0.0100,0.0100,0
CVRE1903,20200821,0.0100,0.0100,0.0100,0.0100,0
CVRE1903,20200824,0.0100,0.0100,0.0100,0.0100,0
CVRE1903,20200825,0.0100,0.0100,0.0100,0.0100,0
CVRE1903,20200826,0.0100,0.0100,0.0100,0.0100,0
CVRE1903,20200827,0.0100,0.0100,0.0100,0.0100,0
CVRE1903,20200828,0.0100,0.0100,0.0100,0.0100,0
CVRE1903,20200831,0.0100,0.0100,0.0100,0.0100,0
CVRE1903,20200901,0.0100,0.0100,0.0100,0.0100,0
CVRE1903,20200903,0.0100,0.0100,0.0100,0.0100,0
CVRE1903,20200904,0.0100,0.0100,0.0100,0.0100,0
CVRE1903,20200907,0.0100,0.0100,0.0100,0.0100,0
CVRE1903,20200908,0.0100,0.0100,0.0100,0.0100,0
CVRE1903,20200909,0.0100,0.0100,0.0100,0.0100,0
CVRE1903,20200910,0.0100,0.0100,0.0100,0.0100,0
CVRE1903,20200911,0.0100,0.0100,0.0100,0.0100,0
CVRE1903,20200914,0.0100,0.0100,0.0100,0.0100,0
CVRE1903,20200915,0.0100,0.0100,0.0100,0.0100,0
CVRE1903,20200916,0.0100,0.0100,0.0100,0.0100,0
CVRE1903,20200917,0.0100,0.0100,0.0100,0.0100,0
CVRE1903,20200918,0.0100,0.0100,0.0100,0.0100,0
CVRE1903,20200921,0.0100,0.0100,0.0100,0.0100,0
CVRE1903,20200922,0.0100,0.0100,0.0100,0.0100,0
CVRE1903,20200923,0.0100,0.0100,0.0100,0.0100,0
CVRE1903,20200924,0.0100,0.0100,0.0100,0.0100,0
CVRE1903,20200925,0.0100,0.0100,0.0100,0.0100,0
CVRE1903,20200928,0.0100,0.0100,0.0100,0.0100,0
CVRE1903,20200929,0.0100,0.0100,0.0100,0.0100,0
CVRE1903,20200930,0.0100,0.0100,0.0100,0.0100,0
CVRE1903,20201001,0.0100,0.0100,0.0100,0.0100,0
CVRE1903,20201002,0.0100,0.0100,0.0100,0.0100,0
CVRE1903,20201005,0.0100,0.0100,0.0100,0.0100,0
CVRE1903,20201006,0.0100,0.0100,0.0100,0.0100,0
CVRE1903,20201007,0.0100,0.0100,0.0100,0.0100,0
CVRE1903,20201008,0.0100,0.0100,0.0100,0.0100,0
CVRE1903,20201009,0.0100,0.0100,0.0100,0.0100,0
CVRE1903,20201012,0.0100,0.0100,0.0100,0.0100,0
CVRE1903,20201013,0.0100,0.0100,0.0100,0.0100,0
CVRE1903,20201014,0.0100,0.0100,0.0100,0.0100,0
CVRE1903,20201015,0.0100,0.0100,0.0100,0.0100,0
CVRE1903,20201016,0.0100,0.0100,0.0100,0.0100,0
CVRE1903,20201019,0.0100,0.0100,0.0100,0.0100,0
CVRE1903,20201020,0.0100,0.0100,0.0100,0.0100,0
CVRE1903,20201021,0.0100,0.0100,0.0100,0.0100,0
CVRE1903,20201022,0.0100,0.0100,0.0100,0.0100,0
CVRE1903,20201023,0.0100,0.0100,0.0100,0.0100,0
CVRE1903,20201026,0.0100,0.0100,0.0100,0.0100,0
CVRE1903,20201027,0.0100,0.0100,0.0100,0.0100,0
CVRE1903,20201028,0.0100,0.0100,0.0100,0.0100,0
CVRE1903,20201029,0.0100,0.0100,0.0100,0.0100,0
CVRE1903,20201030,0.0100,0.0100,0.0100,0.0100,0
CVRE1903,20201102,0.0100,0.0100,0.0100,0.0100,0
CVRE1903,20201103,0.0100,0.0100,0.0100,0.0100,0
CVRE1903,20201104,0.0100,0.0100,0.0100,0.0100,0
CVRE1903,20201105,0.0100,0.0100,0.0100,0.0100,0
CVRE1903,20201106,0.0100,0.0100,0.0100,0.0100,0
CVRE1903,20201109,0.0100,0.0100,0.0100,0.0100,0
CVRE1903,20201110,0.0100,0.0100,0.0100,0.0100,0
CVRE1903,20201111,0.0100,0.0100,0.0100,0.0100,0
CVRE1903,20201112,0.0100,0.0100,0.0100,0.0100,0
CVRE1903,20201113,0.0100,0.0100,0.0100,0.0100,0
CVRE1903,20201116,0.0100,0.0100,0.0100,0.0100,0
CVRE1903,20201117,0.0100,0.0100,0.0100,0.0100,0
CVRE1903,20201118,0.0100,0.0100,0.0100,0.0100,0
CVRE1903,20201119,0.0100,0.0100,0.0100,0.0100,0
CVRE1903,20201120,0.0100,0.0100,0.0100,0.0100,0
CVRE1903,20201123,0.0100,0.0100,0.0100,0.0100,0
CVRE1903,20201124,0.0100,0.0100,0.0100,0.0100,0
CVRE1903,20201125,0.0100,0.0100,0.0100,0.0100,0
CVRE1903,20201126,0.0100,0.0100,0.0100,0.0100,0
CVRE1903,20201127,0.0100,0.0100,0.0100,0.0100,0
CVRE1903,20201130,0.0100,0.0100,0.0100,0.0100,0
CVRE1903,20201201,0.0000,0.0000,0.0000,0.0000,0
CVRE1903,20201202,0.0100,0.0100,0.0100,0.0100,0
CVRE1903,20201203,0.0100,0.0100,0.0100,0.0100,0
CVRE1903,20201204,0.0100,0.0100,0.0100,0.0100,0
CVRE1903,20201207,0.0100,0.0100,0.0100,0.0100,0
CVRE1903,20201208,0.0100,0.0100,0.0100,0.0100,0
CVRE1903,20201209,0.0100,0.0100,0.0100,0.0100,0
CVRE1903,20201210,0.0100,0.0100,0.0100,0.0100,0
CVRE1903,20201211,0.0100,0.0100,0.0100,0.0100,0
CVRE1903,20201214,0.0100,0.0100,0.0100,0.0100,0
CVRE1903,20201215,0.0100,0.0100,0.0100,0.0100,0
CVRE1903,20201216,0.0100,0.0100,0.0100,0.0100,0
CVRE1903,20201217,0.0100,0.0100,0.0100,0.0100,0
CVRE1903,20201218,0.0100,0.0100,0.0100,0.0100,0
CVRE1903,20201221,0.0100,0.0100,0.0100,0.0100,0
CVRE1903,20201222,0.0100,0.0100,0.0100,0.0100,0
CVRE1903,20201223,0.0100,0.0100,0.0100,0.0100,0
CVRE1903,20201224,0.0100,0.0100,0.0100,0.0100,0
CVRE1903,20201225,0.0100,0.0100,0.0100,0.0100,0
CVRE1903,20201228,0.0100,0.0100,0.0100,0.0100,0
CVRE1903,20201229,0.0100,0.0100,0.0100,0.0100,0
CVRE1903,20201230,0.0100,0.0100,0.0100,0.0100,0
CVRE1903,20201231,0.0100,0.0100,0.0100,0.0100,0
CVRE1903,20210104,0.0100,0.0100,0.0100,0.0100,0
CVRE1903,20210105,0.0100,0.0100,0.0100,0.0100,0
CVRE1903,20210106,0.0100,0.0100,0.0100,0.0100,0
CVRE1903,20210107,0.0100,0.0100,0.0100,0.0100,0
CVRE1903,20210108,0.0100,0.0100,0.0100,0.0100,0
CVRE1903,20210111,0.0100,0.0100,0.0100,0.0100,0
CVRE1903,20210112,0.0100,0.0100,0.0100,0.0100,0
CVRE1903,20210113,0.0100,0.0100,0.0100,0.0100,0
CVRE1903,20210114,0.0100,0.0100,0.0100,0.0100,0
CVRE1903,20210115,0.0100,0.0100,0.0100,0.0100,0
CVRE1903,20210118,0.0100,0.0100,0.0100,0.0100,0
CVRE1903,20210119,0.0100,0.0100,0.0100,0.0100,0
CVRE1903,20210120,0.0100,0.0100,0.0100,0.0100,0
CVRE1903,20210121,0.0100,0.0100,0.0100,0.0100,0
CVRE1903,20210122,0.0100,0.0100,0.0100,0.0100,0
CVRE1903,20210125,0.0100,0.0100,0.0100,0.0100,0
CVRE1903,20210126,0.0100,0.0100,0.0100,0.0100,0
CVRE1903,20210127,0.0100,0.0100,0.0100,0.0100,0
CVRE1903,20210128,0.0100,0.0100,0.0100,0.0100,0
CVRE1903,20210129,0.0100,0.0100,0.0100,0.0100,0
CVRE1903,20210201,0.0100,0.0100,0.0100,0.0100,0
CVRE1903,20210202,0.0100,0.0100,0.0100,0.0100,0
CVRE1903,20210203,0.0100,0.0100,0.0100,0.0100,0
CVRE1903,20210204,0.0100,0.0100,0.0100,0.0100,0
CVRE1903,20210205,0.0100,0.0100,0.0100,0.0100,0
CVRE1903,20210208,0.0100,0.0100,0.0100,0.0100,0
CVRE1903,20210209,0.0100,0.0100,0.0100,0.0100,0
CVRE1903,20210217,0.0100,0.0100,0.0100,0.0100,0
CVRE1903,20210218,0.0100,0.0100,0.0100,0.0100,0
CVRE1903,20210219,0.0100,0.0100,0.0100,0.0100,0
CVRE1903,20210222,0.0100,0.0100,0.0100,0.0100,0
CVRE1903,20210223,0.0100,0.0100,0.0100,0.0100,0
CVRE1903,20210224,0.0100,0.0100,0.0100,0.0100,0
CVRE1903,20210225,0.0100,0.0100,0.0100,0.0100,0
CVRE1903,20210226,0.0100,0.0100,0.0100,0.0100,0
CVRE1903,20210301,0.0100,0.0100,0.0100,0.0100,0
CVRE1903,20210302,0.0100,0.0100,0.0100,0.0100,0
CVRE1903,20210303,0.0100,0.0100,0.0100,0.0100,0
CVRE1903,20210304,0.0100,0.0100,0.0100,0.0100,0
CVRE1903,20210305,0.0100,0.0100,0.0100,0.0100,0
CVRE1903,20210308,0.0100,0.0100,0.0100,0.0100,0
CVRE1903,20210309,0.0100,0.0100,0.0100,0.0100,0
CVRE1903,20210310,0.0100,0.0100,0.0100,0.0100,0
CVRE1903,20210311,0.0100,0.0100,0.0100,0.0100,0
CVRE1903,20210312,0.0100,0.0100,0.0100,0.0100,0
CVRE1903,20210315,0.0100,0.0100,0.0100,0.0100,0
CVRE1903,20210316,0.0100,0.0100,0.0100,0.0100,0
CVRE1903,20210317,0.0100,0.0100,0.0100,0.0100,0
CVRE1903,20210318,0.0100,0.0100,0.0100,0.0100,0
CVRE1903,20210319,0.0100,0.0100,0.0100,0.0100,0
CVRE1903,20210322,0.0100,0.0100,0.0100,0.0100,0
CVRE1903,20210323,0.0100,0.0100,0.0100,0.0100,0
CVRE1903,20210324,0.0100,0.0100,0.0100,0.0100,0
CVRE1903,20210325,0.0100,0.0100,0.0100,0.0100,0
CVRE1903,20210326,0.0100,0.0100,0.0100,0.0100,0
CVRE1903,20210329,0.0100,0.0100,0.0100,0.0100,0
CVRE1903,20210330,0.0100,0.0100,0.0100,0.0100,0
CVRE1903,20210331,0.0100,0.0100,0.0100,0.0100,0
CVRE1903,20210401,0.0100,0.0100,0.0100,0.0100,0
CVRE1903,20210402,0.0100,0.0100,0.0100,0.0100,0
CVRE1903,20210405,0.0100,0.0100,0.0100,0.0100,0
CVRE1903,20210406,0.0100,0.0100,0.0100,0.0100,0
CVRE1903,20210407,0.0100,0.0100,0.0100,0.0100,0
CVRE1903,20210408,0.0100,0.0100,0.0100,0.0100,0
CVRE1903,20210409,0.0100,0.0100,0.0100,0.0100,0
CVRE1903,20210412,0.0100,0.0100,0.0100,0.0100,0
