<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
CYC,20060731,20.0000,20.0000,20.0000,20.0000,16530
CYC,20060801,19.0000,19.0000,19.0000,19.0000,10550
CYC,20060802,18.1000,18.1000,18.1000,18.1000,29300
CYC,20060803,17.8000,18.8000,17.8000,18.8000,84000
CYC,20060804,19.1000,19.1000,18.8000,18.8000,68590
CYC,20060807,18.8000,18.8000,17.9000,17.9000,31050
CYC,20060808,17.6000,17.7000,17.5000,17.5000,22490
CYC,20060809,17.6000,17.7000,17.6000,17.7000,26080
CYC,20060810,17.7000,17.7000,17.5000,17.5000,36080
CYC,20060811,17.7000,18.2000,17.7000,18.2000,48520
CYC,20060814,19.1000,19.1000,19.1000,19.1000,44050
CYC,20060815,20.0000,20.0000,20.0000,20.0000,119230
CYC,20060816,21.0000,21.0000,21.0000,21.0000,149800
CYC,20060817,22.0000,22.0000,22.0000,22.0000,117700
CYC,20060818,23.1000,23.1000,23.1000,23.1000,76550
CYC,20060821,24.2000,24.2000,24.2000,24.2000,29430
CYC,20060822,25.0000,25.0000,23.0000,23.0000,241880
CYC,20060823,21.9000,24.1000,21.9000,24.1000,198860
CYC,20060824,24.1000,24.1000,23.9000,24.0000,110120
CYC,20060825,24.0000,24.0000,23.6000,23.8000,44110
CYC,20060828,23.8000,24.0000,23.6000,24.0000,46920
CYC,20060829,24.3000,24.3000,24.0000,24.0000,49410
CYC,20060830,24.0000,24.2000,24.0000,24.0000,116920
CYC,20060831,24.0000,24.0000,23.7000,23.8000,39600
CYC,20060901,23.7000,24.0000,23.7000,24.0000,70460
CYC,20060905,24.8000,25.0000,24.8000,25.0000,78350
CYC,20060906,25.5000,25.5000,25.0000,25.0000,74300
CYC,20060907,24.5000,24.8000,24.5000,24.8000,57950
CYC,20060908,24.6000,24.8000,24.6000,24.8000,49570
CYC,20060911,23.6000,23.6000,23.6000,23.6000,67330
CYC,20060912,22.5000,22.5000,22.5000,22.5000,14000
CYC,20060913,21.4000,21.4000,21.4000,21.4000,33790
CYC,20060914,20.4000,21.5000,20.4000,21.5000,244680
CYC,20060915,21.4000,21.4000,21.1000,21.1000,77120
CYC,20060918,20.7000,20.7000,20.5000,20.5000,42580
CYC,20060919,20.5000,20.5000,20.5000,20.5000,25580
CYC,20060920,20.8000,21.0000,20.8000,21.0000,62170
CYC,20060921,21.0000,21.0000,20.8000,20.8000,37330
CYC,20060922,20.7000,20.8000,20.7000,20.8000,8950
CYC,20060925,21.0000,21.0000,20.8000,20.8000,37540
CYC,20060926,20.7000,20.7000,20.6000,20.6000,33760
CYC,20060927,20.4000,20.4000,20.4000,20.4000,44840
CYC,20060928,20.1000,20.4000,20.1000,20.4000,38400
CYC,20060929,20.4000,21.0000,20.4000,21.0000,31120
CYC,20061002,22.0000,22.0000,22.0000,22.0000,52720
CYC,20061003,22.5000,22.5000,21.8000,21.8000,34810
CYC,20061004,21.0000,21.0000,20.9000,21.0000,54910
CYC,20061005,21.0000,21.0000,21.0000,21.0000,33000
CYC,20061006,21.5000,21.5000,21.0000,21.0000,5520
CYC,20061009,21.0000,21.0000,20.8000,20.9000,18930
CYC,20061010,20.8000,20.8000,19.9000,20.1000,19710
CYC,20061011,20.5000,20.5000,20.3000,20.3000,13770
CYC,20061012,20.4000,20.4000,20.2000,20.2000,20640
CYC,20061013,20.0000,20.3000,20.0000,20.2000,28400
CYC,20061016,20.0000,20.0000,20.0000,20.0000,28480
CYC,20061017,20.0000,20.0000,19.2000,19.2000,24340
CYC,20061018,19.0000,19.3000,19.0000,19.3000,6760
CYC,20061019,19.6000,20.2000,19.6000,20.2000,9180
CYC,20061020,20.5000,20.5000,20.4000,20.4000,12520
CYC,20061023,20.4000,20.4000,20.1000,20.1000,7110
CYC,20061024,20.1000,20.1000,20.1000,20.1000,7100
CYC,20061025,19.6000,19.8000,19.6000,19.8000,10950
CYC,20061026,19.8000,19.8000,19.4000,19.5000,12640
CYC,20061027,19.5000,19.5000,19.4000,19.4000,3750
CYC,20061030,18.6000,18.6000,18.6000,18.6000,21560
CYC,20061031,18.6000,19.4000,18.6000,19.4000,8390
CYC,20061101,19.4000,20.0000,19.4000,20.0000,12960
CYC,20061102,20.0000,20.0000,19.9000,19.9000,14770
CYC,20061103,19.9000,19.9000,19.3000,19.3000,6720
CYC,20061106,20.0000,20.0000,19.1000,19.1000,4710
CYC,20061107,19.2000,19.2000,19.0000,19.0000,7550
CYC,20061108,19.0000,19.2000,19.0000,19.2000,18970
CYC,20061109,19.5000,19.5000,19.4000,19.4000,12510
CYC,20061110,19.0000,19.0000,19.0000,19.0000,20410
CYC,20061113,19.0000,19.0000,18.7000,18.7000,13630
CYC,20061114,18.7000,18.7000,17.9000,18.0000,31370
CYC,20061115,18.2000,18.2000,17.9000,17.9000,51580
CYC,20061116,17.8000,17.8000,17.5000,17.8000,20150
CYC,20061117,17.8000,17.8000,17.7000,17.8000,42870
CYC,20061120,17.8000,17.8000,17.5000,17.5000,18020
CYC,20061121,17.3000,17.3000,17.3000,17.3000,21140
CYC,20061122,18.1000,18.1000,18.1000,18.1000,20480
CYC,20061123,19.0000,19.0000,19.0000,19.0000,17300
CYC,20061124,19.9000,19.9000,19.9000,19.9000,33690
CYC,20061127,19.9000,19.9000,19.0000,19.0000,29530
CYC,20061128,18.1000,18.9000,18.1000,18.5000,14050
CYC,20061129,17.7000,18.0000,17.7000,17.8000,13120
CYC,20061130,17.0000,17.5000,17.0000,17.5000,9310
CYC,20061201,17.9000,17.9000,17.8000,17.8000,10250
CYC,20061204,17.7000,17.7000,17.5000,17.5000,10550
CYC,20061205,17.5000,17.5000,17.4000,17.4000,22270
CYC,20061206,17.0000,17.0000,16.9000,16.9000,35330
CYC,20061207,16.5000,16.5000,16.1000,16.1000,23290
CYC,20061208,15.4000,15.4000,15.4000,15.4000,2300
CYC,20061211,15.4000,15.4000,15.1000,15.1000,24460
CYC,20061212,14.6000,14.6000,14.6000,14.6000,21710
CYC,20061213,13.9000,14.5000,13.9000,14.5000,27180
CYC,20061214,15.2000,15.2000,15.2000,15.2000,20870
CYC,20061215,15.9000,15.9000,15.0000,15.9000,18600
CYC,20061218,16.6000,16.6000,16.6000,16.6000,13100
CYC,20061219,16.6000,17.0000,16.6000,17.0000,18060
CYC,20061220,17.0000,17.0000,16.2000,16.6000,31290
CYC,20061221,15.8000,15.8000,15.8000,15.8000,12430
CYC,20061222,15.1000,15.1000,15.1000,15.1000,17280
CYC,20061225,14.7000,15.0000,14.7000,15.0000,5600
CYC,20061226,15.7000,15.7000,15.1000,15.1000,10610
CYC,20061227,15.0000,15.0000,15.0000,15.0000,9260
CYC,20061228,15.1000,15.1000,15.0000,15.0000,13520
CYC,20061229,15.0000,15.0000,15.0000,15.0000,8860
CYC,20070102,15.1000,15.1000,15.0000,15.1000,5040
CYC,20070103,15.0000,15.0000,15.0000,15.0000,8360
CYC,20070104,15.1000,15.1000,15.0000,15.1000,10510
CYC,20070105,15.8000,15.8000,14.5000,15.8000,16640
CYC,20070108,15.8000,15.8000,15.5000,15.5000,15650
CYC,20070109,15.1000,15.2000,15.0000,15.0000,8980
CYC,20070110,15.0000,15.0000,14.9000,15.0000,6730
CYC,20070111,14.5000,15.0000,14.5000,15.0000,15700
CYC,20070112,14.5000,15.0000,14.5000,15.0000,12480
CYC,20070115,14.9000,15.0000,14.9000,14.9000,33510
CYC,20070116,14.9000,15.0000,14.9000,15.0000,17950
CYC,20070117,14.9000,15.0000,14.9000,15.0000,23600
CYC,20070118,15.1000,15.2000,15.0000,15.2000,18990
CYC,20070119,15.4000,15.5000,15.4000,15.4000,25740
CYC,20070122,15.5000,16.1000,15.5000,15.7000,15800
CYC,20070123,15.8000,15.8000,15.5000,15.5000,11670
CYC,20070124,15.4000,15.4000,15.0000,15.0000,14620
CYC,20070125,15.0000,15.0000,15.0000,15.0000,17470
CYC,20070126,15.0000,15.0000,15.0000,15.0000,10260
CYC,20070129,15.2000,15.2000,14.5000,15.2000,11310
CYC,20070130,15.0000,15.0000,15.0000,15.0000,5880
CYC,20070131,15.0000,15.0000,15.0000,15.0000,2010
CYC,20070201,14.3000,14.3000,14.3000,14.3000,5640
CYC,20070202,13.6000,13.6000,13.6000,13.6000,1390
CYC,20070205,14.2000,14.2000,14.1000,14.2000,11400
CYC,20070206,14.7000,14.9000,14.5000,14.7000,19750
CYC,20070207,15.4000,15.4000,15.0000,15.4000,35950
CYC,20070208,15.4000,16.1000,15.4000,15.4000,46130
CYC,20070209,15.0000,15.5000,15.0000,15.0000,23230
CYC,20070212,15.0000,15.0000,14.6000,14.9000,19570
CYC,20070213,14.9000,15.0000,14.8000,14.9000,19940
CYC,20070214,15.4000,15.5000,15.0000,15.4000,31290
CYC,20070215,15.8000,15.8000,15.8000,15.8000,37260
CYC,20070226,16.5000,16.5000,16.5000,16.5000,47320
CYC,20070227,17.3000,17.3000,17.3000,17.3000,27560
CYC,20070228,18.1000,18.1000,18.1000,18.1000,53210
CYC,20070301,19.0000,19.0000,19.0000,19.0000,80160
CYC,20070302,19.9000,19.9000,19.9000,19.9000,103250
CYC,20070305,20.8000,20.8000,20.8000,20.8000,54770
CYC,20070306,21.8000,21.8000,21.8000,21.8000,23200
CYC,20070307,22.8000,22.8000,22.8000,22.8000,13820
CYC,20070308,23.9000,23.9000,23.9000,23.9000,11450
CYC,20070309,25.0000,25.0000,25.0000,25.0000,11920
CYC,20070312,26.2000,26.2000,26.2000,26.2000,32170
CYC,20070313,27.5000,27.5000,27.5000,27.5000,41590
CYC,20070314,28.8000,28.8000,28.8000,28.8000,211520
CYC,20070315,27.4000,27.4000,27.4000,27.4000,185620
CYC,20070316,26.1000,26.1000,26.1000,26.1000,152690
CYC,20070319,26.5000,27.0000,26.5000,27.0000,90530
CYC,20070320,28.0000,28.0000,27.0000,27.5000,96220
CYC,20070321,27.0000,27.3000,27.0000,27.0000,76790
CYC,20070322,27.0000,27.0000,25.7000,26.0000,45890
CYC,20070323,25.0000,25.0000,24.7000,24.7000,32970
CYC,20070326,23.5000,23.5000,23.5000,23.5000,7490
CYC,20070327,23.0000,23.0000,23.0000,23.0000,1620
CYC,20070328,21.9000,21.9000,21.9000,21.9000,6250
CYC,20070329,20.9000,22.0000,20.9000,22.0000,71060
CYC,20070330,23.1000,23.1000,23.0000,23.0000,101940
CYC,20070402,23.5000,23.5000,23.0000,23.0000,48670
CYC,20070403,22.0000,22.0000,21.9000,22.0000,18900
CYC,20070404,20.9000,21.9000,20.9000,21.9000,16750
CYC,20070405,21.0000,21.9000,21.0000,21.0000,19060
CYC,20070406,20.2000,20.2000,20.0000,20.0000,25380
CYC,20070409,19.0000,19.5000,19.0000,19.5000,28010
CYC,20070410,19.1000,19.5000,19.1000,19.1000,18800
CYC,20070411,18.8000,18.9000,18.8000,18.8000,17650
