<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
DAH,20161010,13.8000,13.8000,13.8000,13.8000,4408940
DAH,20161011,14.0000,14.7500,13.8000,14.7500,4161520
DAH,20161012,15.0000,15.7500,14.7500,15.7500,5403810
DAH,20161013,14.6500,14.6500,14.6500,14.6500,261250
DAH,20161014,13.6500,13.6500,13.6500,13.6500,7650
DAH,20161017,12.7000,12.7000,12.7000,12.7000,21280
DAH,20161018,11.8500,11.8500,11.8500,11.8500,6710
DAH,20161019,11.0500,11.0500,11.0500,11.0500,2641130
DAH,20161020,10.3000,10.3000,10.3000,10.3000,3387140
DAH,20161021,9.5800,10.3000,9.5800,10.0000,7545240
DAH,20161024,9.8000,10.0500,9.3000,9.3000,3508570
DAH,20161025,8.6500,8.7500,8.6500,8.6500,373200
DAH,20161026,8.0500,8.0500,8.0500,8.0500,5830
DAH,20161027,7.4900,7.4900,7.4900,7.4900,2447490
DAH,20161028,6.9700,6.9700,6.9700,6.9700,2208660
DAH,20161031,6.4900,6.4900,6.4900,6.4900,52380
DAH,20161101,6.0400,6.0400,6.0400,6.0400,4910
DAH,20161102,5.6200,5.6200,5.6200,5.6200,20490
DAH,20161103,5.2300,5.6000,5.2300,5.2400,1429710
DAH,20161104,5.2100,5.6000,5.2100,5.6000,61410
DAH,20161107,5.9900,5.9900,5.9900,5.9900,19800
DAH,20161108,6.4000,6.4000,6.4000,6.4000,77500
DAH,20161109,6.6000,6.8400,5.9800,6.8400,665740
DAH,20161110,7.3000,7.3100,7.0000,7.2500,497830
DAH,20161111,6.8100,7.5000,6.8000,7.5000,318350
DAH,20161114,6.9900,7.4000,6.9800,7.2000,355490
DAH,20161115,6.9000,7.3000,6.9000,7.2000,174470
DAH,20161116,7.1400,7.5500,6.9200,7.1100,297580
DAH,20161117,7.1100,7.5000,7.0200,7.5000,151350
DAH,20161118,7.0000,7.5500,7.0000,7.4800,206160
DAH,20161121,7.4000,7.4800,7.2000,7.2000,853320
DAH,20161122,7.2200,7.4900,7.2000,7.3000,126990
DAH,20161123,7.2100,7.3400,7.2100,7.2800,347240
DAH,20161124,7.2100,7.3700,7.1100,7.2100,524590
DAH,20161125,7.2500,7.2500,7.1000,7.1400,391270
DAH,20161128,7.0000,7.1500,6.9200,6.9200,225520
DAH,20161129,6.9200,7.2500,6.9000,7.2000,809070
DAH,20161130,7.1500,7.6000,7.0100,7.2500,861460
DAH,20161201,7.2000,7.5200,7.1100,7.5000,688230
DAH,20161202,7.4000,7.5700,7.3500,7.5000,760740
DAH,20161205,7.4000,7.5900,7.3000,7.5000,650580
DAH,20161206,7.5000,7.5500,7.4000,7.5000,511240
DAH,20161207,7.4000,7.5400,7.3000,7.5000,887650
DAH,20161208,7.4000,7.5500,7.3000,7.5000,544030
DAH,20161209,7.4000,7.5200,7.3000,7.5000,425380
DAH,20161212,7.4500,7.5000,7.3000,7.5000,412040
DAH,20161213,7.5400,7.5400,7.4000,7.4700,326290
DAH,20161214,7.4600,7.9900,7.4500,7.9900,3316310
DAH,20161215,8.0000,8.5400,7.7000,8.5400,7027170
DAH,20161216,8.5500,9.1300,8.4000,9.1300,5656640
DAH,20161219,9.1300,9.1300,8.5000,8.5000,1850830
DAH,20161220,7.9100,7.9100,7.9100,7.9100,79670
DAH,20161221,7.3600,7.3600,7.3600,7.3600,114710
DAH,20161222,6.8500,7.4900,6.8500,7.0000,743870
DAH,20161223,7.1000,7.3000,6.6500,7.0000,433200
DAH,20161226,7.0000,7.1000,6.8200,6.9200,486050
DAH,20161227,6.9200,7.4000,6.9200,7.1800,949550
DAH,20161228,7.1800,7.3000,7.0200,7.0500,415220
DAH,20161229,7.0500,7.1700,6.8100,7.0000,484290
DAH,20161230,7.0000,7.0700,6.8400,7.0000,345510
DAH,20170103,7.0000,7.0000,6.8100,6.8500,611360
DAH,20170104,6.8500,7.1900,6.8500,7.0000,561330
DAH,20170105,7.0000,7.0500,6.8700,7.0500,650220
DAH,20170106,7.0500,7.2000,6.9000,7.0500,373160
DAH,20170109,7.0900,7.0900,6.8500,7.0000,239690
DAH,20170110,7.0000,7.4900,6.9000,7.4900,693900
DAH,20170111,7.5200,8.0100,7.5000,8.0100,7154920
DAH,20170112,8.0500,8.5500,7.9000,8.5200,2738990
DAH,20170113,8.4500,8.5400,7.9900,8.0000,655450
DAH,20170116,7.4900,8.0000,7.4800,7.5000,1629660
DAH,20170117,7.4900,7.6000,7.4200,7.4200,536030
DAH,20170118,7.4200,7.9200,7.3500,7.6500,2694390
DAH,20170119,7.6500,7.6500,7.5000,7.6000,248860
DAH,20170120,7.6000,7.7000,7.5000,7.5900,707750
DAH,20170123,7.5900,7.6500,7.5000,7.5000,1161350
DAH,20170124,7.5000,7.5500,7.3900,7.5000,386820
DAH,20170125,7.5000,7.5000,7.3600,7.5000,220340
DAH,20170202,7.4000,7.5000,7.0000,7.0000,300910
DAH,20170203,6.9800,7.2900,6.8000,7.0000,386120
DAH,20170206,7.2000,7.2000,6.9400,7.0000,322940
DAH,20170207,7.0000,7.0800,6.9100,6.9900,247590
DAH,20170208,6.9600,7.4700,6.9500,7.4700,4400710
DAH,20170209,7.4800,7.5000,7.2000,7.4400,1593040
