<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
DC2,20100702,32.0000,50.0000,32.0000,45.0000,128500
DC2,20100705,42.4000,42.4000,42.4000,42.4000,39200
DC2,20100706,45.3000,45.3000,45.3000,45.3000,13000
DC2,20100707,48.4000,48.4000,48.4000,48.4000,7900
DC2,20100708,51.7000,51.7000,45.1000,45.1000,61200
DC2,20100709,43.2000,43.2000,43.2000,43.2000,9400
DC2,20100712,40.2000,43.0000,40.2000,40.7000,142400
DC2,20100713,40.5000,43.0000,40.5000,42.2000,37600
DC2,20100714,42.6000,43.5000,41.9000,42.0000,40000
DC2,20100715,41.0000,42.0000,40.5000,40.5000,2000
DC2,20100716,41.0000,41.0000,39.0000,40.0000,19800
DC2,20100719,39.0000,39.5000,38.5000,38.5000,25200
DC2,20100720,40.8000,41.0000,39.6000,40.0000,31800
DC2,20100721,40.3000,40.3000,39.0000,40.2000,11900
DC2,20100722,39.9000,39.9000,38.0000,38.0000,21100
DC2,20100723,38.5000,40.9000,38.5000,40.9000,30700
DC2,20100726,43.3000,43.3000,40.1000,40.5000,42300
DC2,20100727,40.8000,40.9000,39.0000,39.2000,15000
DC2,20100728,39.9000,39.9000,38.0000,38.0000,7200
DC2,20100729,39.7000,39.7000,39.7000,39.7000,800
DC2,20100730,39.5000,39.5000,38.0000,38.2000,15900
DC2,20100802,38.5000,39.0000,38.0000,38.7000,35000
DC2,20100803,39.0000,40.2000,39.0000,39.2000,77100
DC2,20100804,38.0000,39.9000,38.0000,39.7000,13800
DC2,20100805,39.3000,40.0000,38.6000,39.9000,30300
DC2,20100806,39.5000,39.7000,39.2000,39.7000,3900
DC2,20100809,39.5000,39.5000,36.9000,36.9000,1600
DC2,20100810,39.0000,40.0000,36.1000,37.9000,49500
DC2,20100811,37.0000,38.3000,36.1000,36.5000,44500
DC2,20100812,34.6000,35.0000,34.6000,34.6000,12500
DC2,20100813,36.5000,36.5000,32.2000,32.4000,21200
DC2,20100816,30.2000,34.2000,30.2000,34.1000,21000
DC2,20100817,31.0000,34.2000,31.0000,33.5000,35100
DC2,20100818,34.0000,35.0000,34.0000,35.0000,97900
DC2,20100819,37.0000,37.1000,34.6000,37.1000,27300
DC2,20100820,38.6000,38.6000,35.0000,36.7000,14900
DC2,20100823,37.4000,39.0000,37.0000,37.0000,40400
DC2,20100824,37.0000,38.0000,35.1000,35.1000,19000
DC2,20100825,34.5000,37.3000,33.3000,33.3000,10500
DC2,20100826,36.4000,36.4000,32.9000,34.7000,27700
DC2,20100827,31.6000,31.7000,31.6000,31.6000,48600
DC2,20100830,33.8000,33.8000,33.0000,33.0000,12200
DC2,20100831,33.8000,33.8000,31.2000,32.4000,5000
DC2,20100901,32.9000,32.9000,30.2000,31.5000,58700
DC2,20100906,32.5000,32.8000,32.5000,32.8000,25800
DC2,20100907,32.8000,32.8000,31.2000,31.5000,23700
DC2,20100908,33.4000,33.4000,31.1000,31.2000,12400
DC2,20100909,32.0000,32.4000,31.5000,32.4000,27200
DC2,20100910,33.5000,34.2000,31.6000,32.0000,40200
DC2,20100913,31.6000,32.0000,30.8000,32.0000,59000
DC2,20100914,31.5000,32.8000,31.5000,32.4000,14900
DC2,20100915,32.5000,33.7000,32.0000,32.3000,11900
DC2,20100916,33.9000,33.9000,31.2000,32.5000,14400
DC2,20100917,33.7000,33.7000,32.0000,32.6000,22300
DC2,20100920,33.1000,33.1000,32.0000,32.5000,43700
DC2,20100921,13.6217,13.7759,13.6217,13.7759,24000
DC2,20100922,14.5469,14.5469,13.9815,13.9815,28100
DC2,20100923,15.1123,15.1123,13.4675,13.4675,6400
DC2,20100924,13.7759,14.2899,13.7759,13.7759,11900
DC2,20100927,14.4441,14.4441,13.0562,13.0562,10500
DC2,20100928,14.1357,14.1357,14.1357,14.1357,5000
DC2,20100929,13.8787,14.6497,13.1590,13.1590,14700
DC2,20100930,14.0329,14.0329,13.0562,13.0562,3700
DC2,20101001,14.0329,14.0329,12.6964,12.6964,7000
DC2,20101004,13.3133,13.3133,12.0796,12.0796,22500
DC2,20101005,12.6964,12.6964,12.6964,12.6964,200
