<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
DCT,20061010,32.0000,32.0000,32.0000,32.0000,102930
DCT,20061011,30.4000,30.4000,30.4000,30.4000,150550
DCT,20061012,31.9000,31.9000,31.9000,31.9000,348060
DCT,20061013,33.4000,33.4000,33.4000,33.4000,105900
DCT,20061016,35.0000,35.0000,35.0000,35.0000,44550
DCT,20061017,36.7000,36.7000,34.0000,34.0000,306880
DCT,20061018,32.6000,33.0000,32.6000,33.0000,156080
DCT,20061019,33.5000,34.0000,33.5000,34.0000,53240
DCT,20061020,34.0000,34.0000,33.5000,33.5000,61210
DCT,20061023,33.0000,33.0000,32.7000,32.9000,38340
DCT,20061024,32.5000,32.5000,32.5000,32.5000,66830
DCT,20061025,32.3000,32.3000,32.0000,32.0000,57370
DCT,20061026,31.5000,31.6000,31.5000,31.6000,80720
DCT,20061027,31.0000,31.0000,31.0000,31.0000,149400
DCT,20061030,30.5000,30.5000,29.7000,29.7000,68570
DCT,20061031,29.0000,29.5000,28.6000,29.5000,108970
DCT,20061101,30.4000,30.9000,30.4000,30.9000,51520
DCT,20061102,31.5000,31.5000,30.8000,30.8000,68230
DCT,20061103,30.5000,30.5000,30.2000,30.2000,42450
DCT,20061106,30.2000,30.5000,30.2000,30.3000,46580
DCT,20061107,30.3000,30.3000,30.2000,30.2000,51770
DCT,20061108,30.2000,30.2000,30.0000,30.0000,38750
DCT,20061109,30.0000,30.0000,29.8000,29.8000,48450
DCT,20061110,29.7000,29.7000,29.4000,29.4000,61640
DCT,20061113,29.0000,29.0000,28.8000,28.8000,75540
DCT,20061114,28.8000,28.8000,28.8000,28.8000,63810
DCT,20061115,29.0000,29.0000,29.0000,29.0000,100920
DCT,20061116,29.0000,29.2000,29.0000,29.2000,49860
DCT,20061117,29.0000,29.3000,29.0000,29.2000,25290
DCT,20061120,29.0000,29.0000,28.6000,28.6000,43300
DCT,20061121,28.3000,28.3000,28.0000,28.0000,51810
DCT,20061122,28.0000,28.0000,27.5000,27.5000,49430
DCT,20061123,27.5000,28.5000,27.5000,28.5000,60650
DCT,20061124,29.9000,29.9000,29.9000,29.9000,67910
DCT,20061127,29.9000,29.9000,28.5000,28.5000,29270
DCT,20061128,28.0000,28.0000,28.0000,28.0000,45030
DCT,20061129,28.0000,28.0000,27.6000,27.7000,28450
DCT,20061130,27.7000,28.0000,27.7000,27.7000,53960
DCT,20061201,27.5000,27.5000,27.3000,27.3000,31960
DCT,20061204,27.6000,27.6000,27.1000,27.1000,47780
DCT,20061205,28.4000,28.4000,27.7000,27.7000,34100
DCT,20061206,27.5000,27.5000,27.2000,27.5000,47210
DCT,20061207,27.5000,27.5000,27.2000,27.2000,65140
DCT,20061208,27.2000,27.2000,27.2000,27.2000,7370
DCT,20061211,27.5000,27.5000,27.2000,27.2000,36450
DCT,20061212,16.6045,16.6045,15.3225,15.5667,36730
DCT,20061213,14.8342,15.2615,14.8342,15.2004,68270
DCT,20061214,14.6510,14.9563,14.6510,14.8342,62220
DCT,20061215,15.5667,15.5667,15.5667,15.5667,87910
DCT,20061218,16.2993,16.2993,16.2993,16.2993,27500
DCT,20061219,17.0929,17.0929,17.0929,17.0929,32620
DCT,20061220,17.9475,17.9475,17.9475,17.9475,91580
DCT,20061221,17.9475,17.9475,17.0929,17.0929,102250
DCT,20061222,17.0929,17.0929,16.2382,16.2993,51980
DCT,20061225,16.4824,17.0929,16.4824,17.0929,36280
DCT,20061226,17.7033,17.7033,17.0929,17.0929,56650
DCT,20061227,17.0929,17.0929,17.0929,17.0929,42640
DCT,20061228,16.7876,16.7876,16.4214,16.4214,58300
DCT,20061229,16.4824,16.4824,15.8719,16.4824,33630
DCT,20070102,16.2993,16.6045,16.2993,16.2993,30200
DCT,20070103,16.2382,16.2382,16.1772,16.1772,11530
DCT,20070104,16.4824,16.4824,16.2382,16.4824,33800
DCT,20070105,16.4824,16.4824,16.1772,16.1772,41750
DCT,20070108,16.1772,16.1772,15.8719,16.1772,38680
DCT,20070109,15.8719,15.8719,15.6888,15.6888,34050
DCT,20070110,15.6888,15.8719,15.6888,15.6888,53310
DCT,20070111,15.8719,15.8719,15.8719,15.8719,40600
DCT,20070112,16.1772,16.1772,16.1772,16.1772,18930
DCT,20070115,17.0318,17.0929,16.7876,16.7876,75240
DCT,20070116,17.0318,17.0318,16.4824,16.4824,46780
DCT,20070117,16.4824,16.4824,16.4824,16.4824,33750
DCT,20070118,15.8109,16.1772,15.8109,16.1772,9140
DCT,20070119,15.5667,16.1772,15.5667,15.8719,29130
DCT,20070122,15.1394,15.5667,15.1394,15.5667,48350
DCT,20070123,15.5667,15.7499,15.5667,15.6278,41010
DCT,20070124,16.3603,16.3603,16.3603,16.3603,76950
DCT,20070125,17.1539,17.1539,17.1539,17.1539,62810
DCT,20070126,18.0086,18.0086,17.3981,17.3981,189920
DCT,20070129,16.7876,16.7876,16.5435,16.7876,51760
DCT,20070130,17.0929,17.0929,17.0929,17.0929,22900
DCT,20070131,17.0929,17.0929,16.7876,16.7876,10690
DCT,20070201,16.6045,16.7876,16.4824,16.4824,13710
DCT,20070202,17.2760,17.2760,17.2760,17.2760,34290
DCT,20070205,18.1307,18.1307,18.1307,18.1307,195440
DCT,20070206,18.9853,18.9853,18.9853,18.9853,86270
DCT,20070207,19.9010,19.9010,19.9010,19.9010,118520
DCT,20070208,20.8777,20.8777,20.8777,20.8777,456130
DCT,20070209,19.8399,19.8399,19.8399,19.8399,121840
DCT,20070212,18.8632,19.1074,18.8632,19.1074,221490
DCT,20070213,19.5347,19.8399,19.5347,19.5347,214250
DCT,20070214,20.4504,20.4504,20.1452,20.4504,161220
DCT,20070215,20.7556,21.0609,20.7556,20.7556,145020
