<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
DFS,20191018,10.3000,10.3000,10.3000,10.3000,500
DFS,20191021,10.3000,10.3000,10.3000,10.3000,500
DFS,20191022,10.3000,10.3000,10.3000,10.3000,0
DFS,20191023,10.3000,10.3000,10.3000,10.3000,0
DFS,20191024,10.3000,10.3000,10.3000,10.3000,0
DFS,20191025,10.3000,10.3000,10.3000,10.3000,0
DFS,20191028,10.3000,10.3000,10.3000,10.3000,0
DFS,20191029,10.3000,10.3000,10.3000,10.3000,0
DFS,20191030,10.3000,10.3000,10.3000,10.3000,0
DFS,20191031,10.3000,10.3000,10.3000,10.3000,0
DFS,20191101,10.3000,10.3000,10.3000,10.3000,0
DFS,20191104,10.3000,10.3000,10.3000,10.3000,0
DFS,20191105,10.3000,10.3000,10.3000,10.3000,0
DFS,20191106,10.3000,10.3000,10.3000,10.3000,0
DFS,20191107,10.3000,10.3000,10.3000,10.3000,0
DFS,20191108,10.3000,10.3000,10.3000,10.3000,0
DFS,20191111,10.3000,10.3000,10.3000,10.3000,0
DFS,20191112,10.3000,10.3000,10.3000,10.3000,0
DFS,20191113,10.3000,10.3000,10.3000,10.3000,0
DFS,20191114,9.9000,9.9000,9.9000,9.9000,1700
DFS,20191115,9.9000,9.9000,9.9000,9.9000,0
DFS,20191118,9.9000,9.9000,9.9000,9.9000,0
DFS,20191119,9.9000,9.9000,9.9000,9.9000,0
DFS,20191120,9.9000,9.9000,9.9000,9.9000,0
DFS,20191121,9.9000,9.9000,9.9000,9.9000,0
DFS,20191122,9.9000,9.9000,9.9000,9.9000,0
DFS,20191125,9.9000,9.9000,9.9000,9.9000,0
DFS,20191126,9.9000,9.9000,9.9000,9.9000,0
DFS,20191127,9.9000,9.9000,9.9000,9.9000,0
DFS,20191128,9.9000,9.9000,9.9000,9.9000,0
DFS,20191129,9.9000,9.9000,9.9000,9.9000,0
DFS,20191202,9.9000,9.9000,9.9000,9.9000,0
DFS,20191203,9.9000,9.9000,9.9000,9.9000,0
DFS,20191204,9.9000,9.9000,9.9000,9.9000,0
DFS,20191205,9.9000,9.9000,9.9000,9.9000,0
DFS,20191206,9.9000,9.9000,9.9000,9.9000,0
DFS,20191209,9.9000,9.9000,9.9000,9.9000,0
DFS,20191210,9.9000,9.9000,9.9000,9.9000,0
DFS,20191211,9.9000,9.9000,9.9000,9.9000,0
DFS,20191212,9.9000,9.9000,9.9000,9.9000,0
DFS,20191213,9.9000,9.9000,9.9000,9.9000,0
DFS,20191216,9.9000,9.9000,9.9000,9.9000,0
DFS,20191217,9.9000,9.9000,9.9000,9.9000,0
DFS,20191218,9.9000,9.9000,9.9000,9.9000,0
DFS,20191219,9.9000,9.9000,9.9000,9.9000,0
DFS,20191220,9.9000,9.9000,9.9000,9.9000,0
DFS,20191223,9.9000,9.9000,9.9000,9.9000,0
DFS,20191224,9.9000,9.9000,9.9000,9.9000,0
DFS,20191225,9.9000,9.9000,9.9000,9.9000,0
DFS,20191226,9.9000,9.9000,9.9000,9.9000,0
DFS,20191227,9.9000,9.9000,9.9000,9.9000,0
DFS,20191230,9.9000,9.9000,9.9000,9.9000,0
DFS,20191231,9.9000,9.9000,9.9000,9.9000,0
DFS,20200102,9.9000,9.9000,9.9000,9.9000,0
DFS,20200103,9.9000,9.9000,9.9000,9.9000,0
DFS,20200106,9.9000,9.9000,9.9000,9.9000,0
DFS,20200107,9.9000,9.9000,9.9000,9.9000,0
DFS,20200108,9.9000,9.9000,9.9000,9.9000,0
DFS,20200109,9.9000,9.9000,9.9000,9.9000,0
DFS,20200110,9.9000,9.9000,9.9000,9.9000,0
DFS,20200113,9.9000,9.9000,9.9000,9.9000,0
DFS,20200114,9.9000,9.9000,9.9000,9.9000,0
DFS,20200115,9.9000,9.9000,9.9000,9.9000,0
DFS,20200116,9.9000,9.9000,9.9000,9.9000,0
DFS,20200117,9.9000,9.9000,9.9000,9.9000,0
DFS,20200120,9.9000,9.9000,9.9000,9.9000,0
DFS,20200121,9.9000,9.9000,9.9000,9.9000,0
DFS,20200122,9.9000,9.9000,9.9000,9.9000,0
DFS,20200130,9.9000,9.9000,9.9000,9.9000,0
DFS,20200131,9.9000,9.9000,9.9000,9.9000,0
DFS,20200203,9.9000,9.9000,9.9000,9.9000,0
DFS,20200204,9.9000,9.9000,9.9000,9.9000,0
DFS,20200205,9.9000,9.9000,9.9000,9.9000,0
DFS,20200206,9.9000,9.9000,9.9000,9.9000,0
DFS,20200207,9.9000,9.9000,9.9000,9.9000,0
DFS,20200210,9.9000,9.9000,9.9000,9.9000,0
DFS,20200211,9.9000,9.9000,9.9000,9.9000,0
DFS,20200212,9.9000,9.9000,9.9000,9.9000,0
DFS,20200213,9.9000,9.9000,9.9000,9.9000,0
DFS,20200214,9.9000,9.9000,9.9000,9.9000,0
DFS,20200217,9.9000,9.9000,9.9000,9.9000,0
DFS,20200218,9.9000,9.9000,9.9000,9.9000,0
DFS,20200219,9.9000,9.9000,9.9000,9.9000,0
DFS,20200220,9.9000,9.9000,9.9000,9.9000,0
DFS,20200221,9.9000,9.9000,9.9000,9.9000,0
DFS,20200224,9.9000,9.9000,9.9000,9.9000,0
DFS,20200225,9.9000,9.9000,9.9000,9.9000,0
DFS,20200226,9.9000,9.9000,9.9000,9.9000,0
DFS,20200227,9.9000,9.9000,9.9000,9.9000,0
DFS,20200228,9.9000,9.9000,9.9000,9.9000,0
DFS,20200302,9.9000,9.9000,9.9000,9.9000,0
DFS,20200303,9.9000,9.9000,9.9000,9.9000,0
DFS,20200304,9.9000,9.9000,9.9000,9.9000,0
DFS,20200305,9.9000,9.9000,9.9000,9.9000,0
DFS,20200306,9.9000,9.9000,9.9000,9.9000,0
DFS,20200309,9.9000,9.9000,9.9000,9.9000,0
DFS,20200310,9.9000,9.9000,9.9000,9.9000,0
DFS,20200311,9.9000,9.9000,9.9000,9.9000,0
DFS,20200312,9.9000,9.9000,9.9000,9.9000,0
DFS,20200313,9.9000,9.9000,9.9000,9.9000,0
DFS,20200316,9.9000,9.9000,9.9000,9.9000,0
DFS,20200317,9.9000,9.9000,9.9000,9.9000,0
DFS,20200318,9.9000,9.9000,9.9000,9.9000,0
DFS,20200319,9.9000,9.9000,9.9000,9.9000,0
DFS,20200320,9.9000,9.9000,9.9000,9.9000,0
DFS,20200323,9.9000,9.9000,9.9000,9.9000,0
DFS,20200324,9.9000,9.9000,9.9000,9.9000,0
DFS,20200325,9.9000,9.9000,9.9000,9.9000,0
DFS,20200326,9.9000,9.9000,9.9000,9.9000,0
DFS,20200327,9.9000,9.9000,9.9000,9.9000,0
DFS,20200330,9.9000,9.9000,9.9000,9.9000,0
DFS,20200331,9.9000,9.9000,9.9000,9.9000,0
DFS,20200401,9.9000,9.9000,9.9000,9.9000,0
DFS,20200403,9.9000,9.9000,9.9000,9.9000,0
DFS,20200406,9.9000,9.9000,9.9000,9.9000,0
DFS,20200407,9.9000,9.9000,9.9000,9.9000,0
DFS,20200408,9.9000,9.9000,9.9000,9.9000,0
DFS,20200409,9.9000,9.9000,9.9000,9.9000,0
DFS,20200410,9.9000,9.9000,9.9000,9.9000,0
DFS,20200413,9.9000,9.9000,9.9000,9.9000,0
DFS,20200414,9.9000,9.9000,9.9000,9.9000,0
DFS,20200415,9.9000,9.9000,9.9000,9.9000,0
DFS,20200416,9.9000,9.9000,9.9000,9.9000,0
DFS,20200417,9.9000,9.9000,9.9000,9.9000,0
DFS,20200420,9.9000,9.9000,9.9000,9.9000,0
DFS,20200421,9.9000,9.9000,9.9000,9.9000,0
DFS,20200422,9.9000,9.9000,9.9000,9.9000,0
DFS,20200423,9.9000,9.9000,9.9000,9.9000,0
DFS,20200424,9.9000,9.9000,9.9000,9.9000,0
DFS,20200427,9.9000,9.9000,9.9000,9.9000,0
DFS,20200428,9.9000,9.9000,9.9000,9.9000,0
DFS,20200429,9.9000,9.9000,9.9000,9.9000,0
DFS,20200504,9.9000,9.9000,9.9000,9.9000,0
DFS,20200505,9.9000,9.9000,9.9000,9.9000,0
DFS,20200506,9.9000,9.9000,9.9000,9.9000,0
DFS,20200507,9.9000,9.9000,9.9000,9.9000,0
DFS,20200508,9.9000,9.9000,9.9000,9.9000,0
DFS,20200511,9.9000,9.9000,9.9000,9.9000,0
DFS,20200512,9.9000,9.9000,9.9000,9.9000,0
DFS,20200513,9.9000,9.9000,9.9000,9.9000,0
DFS,20200514,9.9000,9.9000,9.9000,9.9000,0
DFS,20200515,9.9000,9.9000,9.9000,9.9000,0
DFS,20200518,9.9000,9.9000,9.9000,9.9000,0
DFS,20200519,9.9000,9.9000,9.9000,9.9000,0
DFS,20200520,9.9000,9.9000,9.9000,9.9000,0
DFS,20200521,9.9000,9.9000,9.9000,9.9000,0
DFS,20200522,9.9000,9.9000,9.9000,9.9000,0
DFS,20200525,9.9000,9.9000,9.9000,9.9000,0
DFS,20200526,9.9000,9.9000,9.9000,9.9000,0
DFS,20200527,9.9000,9.9000,9.9000,9.9000,0
DFS,20200528,9.9000,9.9000,9.9000,9.9000,0
DFS,20200529,9.9000,9.9000,9.9000,9.9000,0
DFS,20200601,9.9000,9.9000,9.9000,9.9000,0
DFS,20200602,9.9000,9.9000,9.9000,9.9000,0
DFS,20200603,9.9000,9.9000,9.9000,9.9000,0
DFS,20200604,9.9000,9.9000,9.9000,9.9000,0
DFS,20200605,9.9000,9.9000,9.9000,9.9000,0
DFS,20200608,9.9000,9.9000,9.9000,9.9000,0
DFS,20200609,9.9000,9.9000,9.9000,9.9000,0
DFS,20200610,9.9000,9.9000,9.9000,9.9000,0
DFS,20200611,9.9000,9.9000,9.9000,9.9000,0
DFS,20200612,7.0000,7.0000,7.0000,7.0000,1600
DFS,20200615,7.0000,7.0000,7.0000,7.0000,0
DFS,20200616,7.0000,7.0000,7.0000,7.0000,0
DFS,20200617,7.0000,7.0000,7.0000,7.0000,0
DFS,20200618,7.0000,7.0000,7.0000,7.0000,0
DFS,20200619,7.0000,7.0000,7.0000,7.0000,0
DFS,20200622,7.0000,7.0000,7.0000,7.0000,0
DFS,20200623,7.0000,7.0000,7.0000,7.0000,0
DFS,20200624,7.0000,7.0000,7.0000,7.0000,0
DFS,20200625,7.0000,7.0000,7.0000,7.0000,0
DFS,20200626,7.0000,7.0000,7.0000,7.0000,0
DFS,20200629,7.0000,7.0000,7.0000,7.0000,0
DFS,20200630,7.0000,7.0000,7.0000,7.0000,0
DFS,20200701,7.0000,7.0000,7.0000,7.0000,0
DFS,20200702,7.0000,7.0000,7.0000,7.0000,0
DFS,20200703,7.0000,7.0000,7.0000,7.0000,0
DFS,20200706,7.0000,7.0000,7.0000,7.0000,0
DFS,20200707,7.0000,7.0000,7.0000,7.0000,0
DFS,20200708,7.0000,7.0000,7.0000,7.0000,0
DFS,20200709,7.0000,7.0000,7.0000,7.0000,0
DFS,20200710,7.0000,7.0000,7.0000,7.0000,0
