<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
DHB,20170726,6.8000,6.8000,6.8000,6.8000,0
DHB,20170727,6.8000,6.8000,6.8000,6.8000,0
DHB,20170728,6.8000,6.8000,6.8000,6.8000,0
DHB,20170731,6.8000,6.8000,6.8000,6.8000,0
DHB,20170801,6.8000,6.8000,6.8000,6.8000,0
DHB,20170802,6.8000,6.8000,6.8000,6.8000,0
DHB,20170803,6.8000,6.8000,6.8000,6.8000,0
DHB,20170804,6.8000,6.8000,6.8000,6.8000,0
DHB,20170807,6.8000,6.8000,6.8000,6.8000,0
DHB,20170808,6.8000,6.8000,6.8000,6.8000,0
DHB,20170809,6.8000,6.8000,6.8000,6.8000,0
DHB,20170810,6.8000,6.8000,6.8000,6.8000,0
DHB,20170811,6.8000,6.8000,6.8000,6.8000,0
DHB,20170814,6.8000,6.8000,6.8000,6.8000,0
DHB,20170815,6.8000,6.8000,6.8000,6.8000,0
DHB,20170816,6.8000,6.8000,6.8000,6.8000,0
DHB,20170817,6.8000,6.8000,6.8000,6.8000,0
DHB,20170818,6.8000,6.8000,6.8000,6.8000,0
DHB,20170821,6.8000,6.8000,6.8000,6.8000,0
DHB,20170822,6.8000,6.8000,6.8000,6.8000,0
DHB,20170823,6.8000,6.8000,6.8000,6.8000,0
DHB,20170824,6.8000,6.8000,6.8000,6.8000,0
DHB,20170825,6.8000,6.8000,6.8000,6.8000,0
DHB,20170828,6.8000,6.8000,6.8000,6.8000,0
DHB,20170829,6.8000,6.8000,6.8000,6.8000,0
DHB,20170830,6.8000,6.8000,6.8000,6.8000,0
DHB,20170831,6.8000,6.8000,6.8000,6.8000,0
DHB,20170901,6.8000,6.8000,6.8000,6.8000,0
DHB,20170905,6.8000,6.8000,6.8000,6.8000,0
DHB,20170906,6.8000,6.8000,6.8000,6.8000,0
DHB,20170907,6.8000,6.8000,6.8000,6.8000,0
DHB,20170908,6.8000,6.8000,6.8000,6.8000,0
DHB,20170911,6.8000,6.8000,6.8000,6.8000,0
DHB,20170912,6.8000,6.8000,6.8000,6.8000,0
DHB,20170913,6.8000,6.8000,6.8000,6.8000,0
DHB,20170914,6.8000,6.8000,6.8000,6.8000,0
DHB,20170915,6.8000,6.8000,6.8000,6.8000,0
DHB,20170918,6.8000,6.8000,6.8000,6.8000,0
DHB,20170919,6.8000,6.8000,6.8000,6.8000,0
DHB,20170920,6.8000,6.8000,6.8000,6.8000,0
DHB,20170921,6.8000,6.8000,6.8000,6.8000,0
DHB,20170922,6.8000,6.8000,6.8000,6.8000,0
DHB,20170925,6.8000,6.8000,6.8000,6.8000,0
DHB,20170926,6.8000,6.8000,6.8000,6.8000,0
DHB,20170927,6.8000,6.8000,6.8000,6.8000,0
DHB,20170928,6.8000,6.8000,6.8000,6.8000,0
DHB,20170929,6.8000,6.8000,6.8000,6.8000,0
DHB,20171002,6.8000,6.8000,6.8000,6.8000,0
DHB,20171003,6.8000,6.8000,6.8000,6.8000,0
DHB,20171004,6.8000,6.8000,6.8000,6.8000,0
DHB,20171005,6.8000,6.8000,6.8000,6.8000,0
DHB,20171006,6.8000,6.8000,6.8000,6.8000,0
DHB,20171009,6.8000,6.8000,6.8000,6.8000,0
DHB,20171010,6.8000,6.8000,6.8000,6.8000,0
DHB,20171011,6.8000,6.8000,6.8000,6.8000,0
DHB,20171012,6.8000,6.8000,6.8000,6.8000,0
DHB,20171013,6.8000,6.8000,6.8000,6.8000,0
DHB,20171016,6.8000,6.8000,6.8000,6.8000,0
DHB,20171017,6.8000,6.8000,6.8000,6.8000,0
DHB,20171018,6.8000,6.8000,6.8000,6.8000,0
DHB,20171019,6.8000,6.8000,6.8000,6.8000,0
DHB,20171020,6.8000,6.8000,6.8000,6.8000,0
DHB,20171023,6.8000,6.8000,6.8000,6.8000,0
DHB,20171024,6.8000,6.8000,6.8000,6.8000,0
DHB,20171025,6.8000,6.8000,6.8000,6.8000,0
DHB,20171026,6.8000,6.8000,6.8000,6.8000,0
DHB,20171027,6.8000,6.8000,6.8000,6.8000,0
DHB,20171030,6.8000,6.8000,6.8000,6.8000,0
DHB,20171031,6.8000,6.8000,6.8000,6.8000,0
DHB,20171101,6.8000,6.8000,6.8000,6.8000,0
DHB,20171102,6.8000,6.8000,6.8000,6.8000,0
DHB,20171103,6.8000,6.8000,6.8000,6.8000,0
DHB,20171106,6.8000,6.8000,6.8000,6.8000,0
