<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
DID,20091210,22.5000,22.5000,22.0000,22.0000,10200
DID,20091211,20.8000,20.8000,20.8000,20.8000,5100
DID,20091214,19.4000,19.4000,19.4000,19.4000,7000
DID,20091215,20.7000,20.7000,18.1000,18.1000,4000
DID,20091216,21.5000,21.5000,18.7000,18.7000,4200
DID,20091217,21.0000,21.0000,21.0000,21.0000,800
DID,20091218,19.6000,19.6000,19.6000,19.6000,5100
DID,20091221,20.1000,20.5000,18.3000,20.5000,94700
DID,20091222,20.0000,20.0000,18.0000,19.0000,44900
DID,20091223,18.9000,18.9000,17.4000,17.5000,16200
DID,20091224,18.0000,18.8000,18.0000,18.8000,21400
DID,20091225,19.0000,19.9000,19.0000,19.9000,44700
DID,20091228,20.6000,20.6000,19.4000,19.5000,26500
DID,20091229,20.5000,20.5000,19.0000,19.1000,32000
DID,20091230,19.5000,19.5000,18.4000,19.3000,25300
DID,20091231,19.5000,19.6000,19.0000,19.5000,14700
DID,20100104,20.5000,20.8000,19.8000,20.8000,113500
DID,20100105,21.9000,21.9000,21.0000,21.9000,61500
DID,20100106,22.4000,23.4000,21.2000,23.4000,67000
DID,20100107,24.7000,24.7000,24.7000,24.7000,25400
DID,20100108,26.4000,26.4000,25.3000,26.4000,293900
DID,20100111,28.2000,28.2000,28.2000,28.2000,57400
DID,20100112,30.1000,30.1000,26.5000,30.1000,201000
DID,20100113,28.0000,32.1000,27.9000,32.1000,186300
DID,20100114,31.4000,31.4000,28.5000,29.4000,195000
DID,20100115,29.4000,29.4000,28.9000,28.9000,38600
DID,20100118,29.0000,29.0000,26.9000,26.9000,29100
DID,20100119,26.0000,26.0000,25.1000,25.1000,80200
DID,20100120,25.2000,26.9000,24.1000,25.1000,80800
DID,20100121,24.3000,24.5000,24.2000,24.2000,81700
DID,20100122,24.2000,25.0000,22.6000,25.0000,58200
DID,20100125,23.0000,24.5000,23.0000,24.5000,42700
DID,20100126,22.4000,24.9000,22.4000,24.0000,148400
DID,20100127,24.0000,24.0000,22.0000,22.0000,75800
DID,20100128,20.9000,22.4000,20.9000,20.9000,103500
DID,20100129,19.9000,21.5000,19.9000,21.4000,38500
DID,20100201,21.4000,21.5000,20.5000,21.2000,15200
DID,20100202,22.0000,22.0000,20.5000,21.0000,15900
DID,20100203,21.4000,21.7000,20.4000,21.7000,25900
DID,20100204,21.5000,22.7000,21.5000,22.7000,54800
DID,20100205,24.0000,24.1000,23.0000,23.9000,102900
DID,20100208,25.2000,25.5000,23.8000,24.0000,5100
DID,20100209,25.0000,25.0000,22.6000,22.6000,11000
DID,20100210,23.5000,23.5000,21.8000,23.0000,27000
DID,20100211,22.2000,23.3000,22.1000,23.3000,6400
DID,20100212,23.5000,23.5000,22.9000,23.5000,7400
DID,20100222,25.0000,25.0000,23.4000,23.7000,16400
DID,20100223,23.0000,23.0000,22.6000,22.9000,14000
DID,20100224,23.3000,23.3000,21.5000,23.0000,32500
DID,20100225,23.5000,23.5000,22.1000,22.9000,27200
DID,20100226,23.3000,23.3000,22.7000,22.9000,51600
DID,20100301,23.0000,24.3000,22.8000,24.3000,68900
DID,20100302,24.5000,24.5000,23.5000,23.6000,36700
DID,20100303,24.2000,24.8000,24.0000,24.8000,44000
DID,20100304,24.7000,25.2000,24.3000,24.5000,29800
DID,20100305,24.2000,25.6000,24.0000,24.8000,28200
DID,20100308,25.7000,26.3000,25.7000,26.3000,82800
DID,20100309,26.3000,27.3000,25.5000,27.0000,158200
DID,20100310,12.2114,12.2114,11.9784,12.1182,34300
DID,20100311,12.1182,12.1182,11.8852,12.0716,34300
DID,20100312,11.6521,12.8640,11.6521,12.8640,234000
DID,20100315,13.3300,13.3766,13.2834,13.3766,117700
DID,20100316,13.6097,13.6097,12.4911,13.0504,55900
DID,20100317,13.0504,13.0504,11.9784,11.9784,53500
DID,20100318,12.5843,12.5843,11.7920,11.7920,79500
DID,20100319,11.8386,12.3513,11.3725,11.9784,29800
DID,20100322,11.9318,12.7241,11.9318,12.4445,55700
DID,20100323,12.5843,12.5843,11.8852,11.9784,45200
DID,20100324,11.6521,12.8640,11.6521,12.5843,52400
DID,20100325,13.0504,13.0504,11.8852,12.2114,45700
DID,20100326,12.2580,12.2580,12.0250,12.0250,8200
DID,20100329,12.6309,12.6309,11.6521,12.0250,37100
DID,20100330,11.7453,12.3513,11.6521,11.8852,69600
DID,20100331,12.0250,12.3513,11.6521,11.6521,15100
DID,20100401,11.6521,12.3047,11.6521,12.1648,11200
DID,20100402,12.1182,12.8173,12.1182,12.7707,102200
DID,20100405,12.6309,13.2834,12.6309,13.2834,203300
DID,20100406,13.9826,14.1690,12.8173,13.0504,28300
DID,20100407,13.2368,13.4233,12.8640,13.2368,75200
DID,20100408,13.5165,14.1224,13.5165,14.1224,276900
DID,20100409,15.0546,15.0546,14.7749,15.0546,218000
DID,20100412,15.1478,15.9867,14.1224,14.4486,76100
DID,20100413,14.8681,14.8681,13.6563,13.6563,129500
DID,20100414,13.7495,13.7961,12.9572,13.4233,72100
DID,20100415,13.7495,14.2622,13.7495,14.2622,126900
DID,20100416,14.5419,14.6351,14.0758,14.1224,137400
DID,20100419,15.2876,15.2876,13.9826,14.1224,120900
DID,20100420,14.3554,14.6817,13.9826,14.6817,145800
DID,20100421,14.8681,15.1944,14.8681,15.1944,61900
DID,20100422,16.2198,16.2198,14.1690,14.1690,137100
DID,20100426,15.1478,15.2410,14.4953,14.7749,136600
DID,20100427,14.7749,14.7749,14.3554,14.4953,34200
