<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
DIH,20110427,10.0000,17.0000,10.0000,17.0000,137800
DIH,20110428,17.3000,17.4000,16.8000,17.1000,38000
DIH,20110429,17.9000,17.9000,17.1000,17.2000,50500
DIH,20110504,15.6000,15.6000,15.0000,15.0000,17600
DIH,20110505,14.9000,14.9000,14.3000,14.3000,14700
DIH,20110506,6.5716,6.6146,6.5716,6.6146,1000
DIH,20110509,6.1421,6.1851,6.1421,6.1421,18000
DIH,20110510,6.0133,6.5716,6.0133,6.5716,12000
DIH,20110511,6.0992,6.0992,6.0992,6.0992,0
DIH,20110512,6.4857,6.4857,6.4857,6.4857,400
DIH,20110513,6.8293,6.8293,6.8293,6.8293,1000
DIH,20110516,6.3569,6.3569,6.3569,6.3569,3000
DIH,20110517,6.0133,6.0133,5.9703,5.9703,20100
DIH,20110518,6.3569,6.3998,5.9274,5.9274,22300
DIH,20110519,6.3569,6.3569,5.9274,6.0992,22400
DIH,20110520,6.0133,6.0133,6.0133,6.0133,12000
DIH,20110523,6.3569,6.3569,5.6267,5.7126,27700
DIH,20110524,5.7126,5.7555,5.5837,5.7555,12400
DIH,20110525,5.4549,5.4549,5.3260,5.3260,20000
DIH,20110526,5.1542,5.1542,5.0254,5.0254,19100
DIH,20110527,5.4119,5.4119,5.1113,5.4119,14500
DIH,20110530,5.6267,5.6267,5.5408,5.5408,3300
DIH,20110531,5.7126,5.7555,5.4978,5.4978,5500
DIH,20110601,5.7555,5.7985,5.7555,5.7985,4000
DIH,20110602,5.7985,5.8414,5.7985,5.7985,1100
DIH,20110603,6.0133,6.0133,6.0133,6.0133,1000
DIH,20110606,6.2280,6.2280,5.6267,5.6267,4000
DIH,20110607,5.9274,6.0992,5.8844,5.8844,5600
DIH,20110608,6.1851,6.2280,6.1851,6.2280,2000
DIH,20110609,5.7985,5.7985,5.7985,5.7985,500
DIH,20110610,5.9703,6.0133,5.9703,6.0133,2000
DIH,20110613,6.0992,6.2280,5.6267,5.6267,4500
DIH,20110614,5.7985,5.7985,5.6696,5.6696,3200
DIH,20110615,5.8844,5.8844,5.4119,5.4119,11000
DIH,20110616,5.6696,5.6696,5.6696,5.6696,1000
DIH,20110617,5.2831,5.6696,5.2831,5.2831,25000
DIH,20110620,5.5837,5.5837,5.5837,5.5837,4000
DIH,20110621,5.6696,5.6696,5.6696,5.6696,2000
DIH,20110622,5.7555,5.7555,5.7555,5.7555,2000
DIH,20110623,5.6696,5.6696,5.6696,5.6696,2000
DIH,20110624,5.6696,5.6696,5.6696,5.6696,2000
DIH,20110627,5.7555,5.7555,5.7555,5.7555,1900
DIH,20110628,5.5837,5.5837,5.5837,5.5837,8400
DIH,20110629,5.5837,5.5837,5.5837,5.5837,6500
DIH,20110630,5.6696,5.8414,5.6696,5.7985,7900
DIH,20110701,5.7985,5.7985,5.7985,5.7985,0
DIH,20110704,5.7985,5.7985,5.7985,5.7985,3000
DIH,20110705,5.8844,5.8844,5.8844,5.8844,1000
DIH,20110706,5.8844,5.8844,5.8844,5.8844,0
DIH,20110707,5.8844,5.8844,5.8844,5.8844,0
DIH,20110708,5.8844,5.8844,5.8844,5.8844,0
DIH,20110711,5.8844,5.8844,5.8844,5.8844,0
DIH,20110712,5.8844,5.8844,5.8844,5.8844,0
DIH,20110713,5.8844,5.8844,5.8844,5.8844,0
DIH,20110714,5.8844,5.8844,5.8844,5.8844,0
DIH,20110715,5.8844,5.8844,5.8844,5.8844,0
DIH,20110718,5.8844,5.8844,5.8844,5.8844,0
DIH,20110719,5.8844,5.8844,5.8844,5.8844,0
DIH,20110720,5.8844,5.8844,5.8844,5.8844,0
DIH,20110721,5.8844,5.8844,5.8844,5.8844,0
DIH,20110722,5.8844,5.8844,5.8844,5.8844,0
DIH,20110725,5.8844,5.8844,5.8844,5.8844,0
DIH,20110726,5.8844,5.8844,5.8844,5.8844,0
DIH,20110727,5.9274,5.9274,5.9274,5.9274,100
DIH,20110728,5.9274,5.9274,5.9274,5.9274,0
DIH,20110729,5.8844,5.8844,5.8844,5.8844,10400
DIH,20110801,5.8844,5.8844,5.8844,5.8844,0
DIH,20110802,5.8844,5.8844,5.8844,5.8844,0
DIH,20110803,5.8844,5.8844,5.8844,5.8844,0
DIH,20110804,5.8844,5.8844,5.8844,5.8844,0
DIH,20110805,5.8844,5.8844,5.8844,5.8844,0
DIH,20110808,5.8844,5.8844,5.8844,5.8844,0
DIH,20110809,5.8844,5.8844,5.8844,5.8844,0
DIH,20110810,5.8844,5.8844,5.8844,5.8844,0
DIH,20110811,5.4978,5.4978,5.4978,5.4978,1000
DIH,20110812,5.4978,5.5408,5.4978,5.5408,2000
DIH,20110815,5.5408,5.5408,5.5408,5.5408,0
DIH,20110816,5.7985,5.7985,5.7985,5.7985,2000
DIH,20110817,5.7985,5.7985,5.7985,5.7985,0
DIH,20110818,5.7985,5.7985,5.7985,5.7985,0
DIH,20110819,5.7985,5.7985,5.7985,5.7985,0
DIH,20110822,5.7985,5.7985,5.7985,5.7985,0
DIH,20110823,5.7985,5.7985,5.7985,5.7985,0
DIH,20110824,5.7985,5.7985,5.7985,5.7985,0
DIH,20110825,5.7985,5.7985,5.7985,5.7985,0
DIH,20110826,5.7985,5.7985,5.7985,5.7985,0
DIH,20110829,5.7985,5.7985,5.7985,5.7985,0
DIH,20110830,5.7985,5.7985,5.7985,5.7985,0
DIH,20110831,5.7985,5.7985,5.7985,5.7985,0
DIH,20110901,5.7985,5.7985,5.7985,5.7985,0
DIH,20110905,5.7985,5.7985,5.7985,5.7985,0
DIH,20110906,5.7985,5.7985,5.7985,5.7985,0
DIH,20110907,5.7985,5.7985,5.7985,5.7985,0
DIH,20110908,5.7985,5.7985,5.7985,5.7985,0
DIH,20110909,5.7985,5.7985,5.7985,5.7985,0
DIH,20110912,5.7985,5.7985,5.7985,5.7985,0
DIH,20110913,5.7985,5.7985,5.7985,5.7985,0
