<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
DKH,20200323,21.0000,21.0000,21.0000,21.0000,0
DKH,20200324,21.0000,21.0000,21.0000,21.0000,0
DKH,20200325,21.0000,21.0000,21.0000,21.0000,0
DKH,20200326,21.0000,21.0000,21.0000,21.0000,0
DKH,20200327,21.0000,21.0000,21.0000,21.0000,0
DKH,20200330,21.0000,21.0000,21.0000,21.0000,0
DKH,20200331,21.0000,21.0000,21.0000,21.0000,0
DKH,20200401,21.0000,21.0000,21.0000,21.0000,0
DKH,20200403,21.0000,21.0000,21.0000,21.0000,0
DKH,20200406,21.0000,21.0000,21.0000,21.0000,0
DKH,20200407,21.0000,21.0000,21.0000,21.0000,0
DKH,20200408,21.0000,21.0000,21.0000,21.0000,0
DKH,20200409,21.0000,21.0000,21.0000,21.0000,0
DKH,20200410,21.0000,21.0000,21.0000,21.0000,0
DKH,20200413,21.0000,21.0000,21.0000,21.0000,0
DKH,20200414,21.0000,21.0000,21.0000,21.0000,0
DKH,20200415,21.0000,21.0000,21.0000,21.0000,0
DKH,20200416,21.0000,21.0000,21.0000,21.0000,0
DKH,20200417,21.0000,21.0000,21.0000,21.0000,0
DKH,20200420,21.0000,21.0000,21.0000,21.0000,0
DKH,20200421,21.0000,21.0000,21.0000,21.0000,0
DKH,20200422,21.0000,21.0000,21.0000,21.0000,0
DKH,20200423,21.0000,21.0000,21.0000,21.0000,0
DKH,20200424,21.0000,21.0000,21.0000,21.0000,0
DKH,20200427,21.0000,21.0000,21.0000,21.0000,0
DKH,20200428,21.0000,21.0000,21.0000,21.0000,0
DKH,20200429,21.0000,21.0000,21.0000,21.0000,0
DKH,20200504,21.0000,21.0000,21.0000,21.0000,0
DKH,20200505,21.0000,21.0000,21.0000,21.0000,0
DKH,20200506,21.0000,21.0000,21.0000,21.0000,0
DKH,20200507,21.0000,21.0000,21.0000,21.0000,0
DKH,20200508,21.0000,21.0000,21.0000,21.0000,0
DKH,20200511,21.0000,21.0000,21.0000,21.0000,0
DKH,20200512,21.0000,21.0000,21.0000,21.0000,0
DKH,20200513,21.0000,21.0000,21.0000,21.0000,0
DKH,20200514,21.0000,21.0000,21.0000,21.0000,0
DKH,20200515,21.0000,21.0000,21.0000,21.0000,0
DKH,20200518,21.0000,21.0000,21.0000,21.0000,0
DKH,20200519,21.0000,21.0000,21.0000,21.0000,0
DKH,20200520,21.0000,21.0000,21.0000,21.0000,0
DKH,20200521,21.0000,21.0000,21.0000,21.0000,0
DKH,20200522,21.0000,21.0000,21.0000,21.0000,0
DKH,20200525,21.0000,21.0000,21.0000,21.0000,0
DKH,20200526,21.0000,21.0000,21.0000,21.0000,0
DKH,20200527,21.0000,21.0000,21.0000,21.0000,0
