<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
DKP,20181010,10.0000,10.0000,10.0000,10.0000,0
DKP,20181011,10.0000,10.0000,10.0000,10.0000,0
DKP,20181012,10.0000,10.0000,10.0000,10.0000,0
DKP,20181015,10.0000,10.0000,10.0000,10.0000,0
DKP,20181016,10.0000,10.0000,10.0000,10.0000,0
DKP,20181017,10.0000,10.0000,10.0000,10.0000,0
DKP,20181018,10.0000,10.0000,10.0000,10.0000,0
DKP,20181019,10.0000,10.0000,10.0000,10.0000,0
DKP,20181022,10.0000,10.0000,10.0000,10.0000,0
DKP,20181023,10.0000,10.0000,10.0000,10.0000,0
DKP,20181024,10.0000,10.0000,10.0000,10.0000,0
DKP,20181025,10.0000,10.0000,10.0000,10.0000,0
DKP,20181026,10.0000,10.0000,10.0000,10.0000,0
DKP,20181029,10.0000,10.0000,10.0000,10.0000,0
DKP,20181030,10.0000,10.0000,10.0000,10.0000,0
DKP,20181031,10.0000,10.0000,10.0000,10.0000,0
DKP,20181101,10.0000,10.0000,10.0000,10.0000,0
DKP,20181102,10.0000,10.0000,10.0000,10.0000,0
DKP,20181105,10.0000,10.0000,10.0000,10.0000,0
DKP,20181106,10.0000,10.0000,10.0000,10.0000,0
DKP,20181107,10.0000,10.0000,10.0000,10.0000,0
DKP,20181108,10.0000,10.0000,10.0000,10.0000,0
DKP,20181109,10.0000,10.0000,10.0000,10.0000,0
DKP,20181112,10.0000,10.0000,10.0000,10.0000,0
DKP,20181113,10.0000,10.0000,10.0000,10.0000,0
DKP,20181114,10.0000,10.0000,10.0000,10.0000,0
DKP,20181115,10.0000,10.0000,10.0000,10.0000,0
DKP,20181116,10.0000,10.0000,10.0000,10.0000,0
DKP,20181119,10.0000,10.0000,10.0000,10.0000,0
DKP,20181120,10.0000,10.0000,10.0000,10.0000,0
DKP,20181121,10.0000,10.0000,10.0000,10.0000,0
DKP,20181122,10.0000,10.0000,10.0000,10.0000,0
DKP,20181123,10.0000,10.0000,10.0000,10.0000,0
DKP,20181126,10.0000,10.0000,10.0000,10.0000,0
DKP,20181127,10.0000,10.0000,10.0000,10.0000,0
DKP,20181128,10.0000,10.0000,10.0000,10.0000,0
DKP,20181129,10.0000,10.0000,10.0000,10.0000,0
DKP,20181130,10.0000,10.0000,10.0000,10.0000,0
DKP,20181203,10.0000,10.0000,10.0000,10.0000,0
DKP,20181204,10.0000,10.0000,10.0000,10.0000,0
DKP,20181205,10.0000,10.0000,10.0000,10.0000,0
DKP,20181206,10.0000,10.0000,10.0000,10.0000,0
DKP,20181207,10.0000,10.0000,10.0000,10.0000,0
DKP,20181210,10.0000,10.0000,10.0000,10.0000,0
DKP,20181211,10.0000,10.0000,10.0000,10.0000,0
DKP,20181212,10.0000,10.0000,10.0000,10.0000,0
DKP,20181213,10.0000,10.0000,10.0000,10.0000,0
DKP,20181214,10.0000,10.0000,10.0000,10.0000,0
DKP,20181217,10.0000,10.0000,10.0000,10.0000,0
DKP,20181218,10.0000,10.0000,10.0000,10.0000,0
DKP,20181219,10.0000,10.0000,10.0000,10.0000,0
DKP,20181220,10.0000,10.0000,10.0000,10.0000,0
DKP,20181221,10.0000,10.0000,10.0000,10.0000,0
DKP,20181224,10.0000,10.0000,10.0000,10.0000,0
DKP,20181225,10.0000,10.0000,10.0000,10.0000,0
DKP,20181226,10.0000,10.0000,10.0000,10.0000,0
DKP,20181227,10.0000,10.0000,10.0000,10.0000,0
DKP,20181228,10.0000,10.0000,10.0000,10.0000,0
DKP,20190102,10.0000,10.0000,10.0000,10.0000,0
DKP,20190103,10.0000,10.0000,10.0000,10.0000,0
DKP,20190104,10.0000,10.0000,10.0000,10.0000,0
DKP,20190107,10.0000,10.0000,10.0000,10.0000,0
DKP,20190108,10.0000,10.0000,10.0000,10.0000,0
DKP,20190109,10.0000,10.0000,10.0000,10.0000,0
DKP,20190110,10.0000,10.0000,10.0000,10.0000,0
DKP,20190111,10.0000,10.0000,10.0000,10.0000,0
DKP,20190114,10.0000,10.0000,10.0000,10.0000,0
DKP,20190115,10.0000,10.0000,10.0000,10.0000,0
DKP,20190116,10.0000,10.0000,10.0000,10.0000,0
DKP,20190117,10.0000,10.0000,10.0000,10.0000,0
DKP,20190118,10.0000,10.0000,10.0000,10.0000,0
DKP,20190121,10.0000,10.0000,10.0000,10.0000,0
DKP,20190122,10.0000,10.0000,10.0000,10.0000,0
DKP,20190123,10.0000,10.0000,10.0000,10.0000,0
DKP,20190124,10.0000,10.0000,10.0000,10.0000,0
DKP,20190125,10.0000,10.0000,10.0000,10.0000,0
DKP,20190128,10.0000,10.0000,10.0000,10.0000,0
DKP,20190129,10.0000,10.0000,10.0000,10.0000,0
DKP,20190130,10.0000,10.0000,10.0000,10.0000,0
DKP,20190131,10.0000,10.0000,10.0000,10.0000,0
DKP,20190201,10.0000,10.0000,10.0000,10.0000,0
DKP,20190211,10.0000,10.0000,10.0000,10.0000,0
DKP,20190212,10.0000,10.0000,10.0000,10.0000,0
DKP,20190213,10.0000,10.0000,10.0000,10.0000,0
DKP,20190214,10.0000,10.0000,10.0000,10.0000,0
DKP,20190215,10.0000,10.0000,10.0000,10.0000,0
DKP,20190218,10.0000,10.0000,10.0000,10.0000,0
DKP,20190219,10.0000,10.0000,10.0000,10.0000,0
DKP,20190220,10.0000,10.0000,10.0000,10.0000,0
DKP,20190221,10.0000,10.0000,10.0000,10.0000,0
DKP,20190222,10.0000,10.0000,10.0000,10.0000,0
DKP,20190225,10.0000,10.0000,10.0000,10.0000,0
DKP,20190226,10.0000,10.0000,10.0000,10.0000,0
DKP,20190227,10.0000,10.0000,10.0000,10.0000,0
DKP,20190228,10.0000,10.0000,10.0000,10.0000,0
DKP,20190301,10.0000,10.0000,10.0000,10.0000,0
DKP,20190304,10.0000,10.0000,10.0000,10.0000,0
DKP,20190305,10.0000,10.0000,10.0000,10.0000,0
DKP,20190306,10.0000,10.0000,10.0000,10.0000,0
DKP,20190307,10.0000,10.0000,10.0000,10.0000,0
DKP,20190308,10.0000,10.0000,10.0000,10.0000,0
DKP,20190311,10.0000,10.0000,10.0000,10.0000,0
DKP,20190312,10.0000,10.0000,10.0000,10.0000,0
DKP,20190313,10.0000,10.0000,10.0000,10.0000,0
DKP,20190314,10.0000,10.0000,10.0000,10.0000,0
DKP,20190315,10.0000,10.0000,10.0000,10.0000,0
DKP,20190318,10.0000,10.0000,10.0000,10.0000,0
DKP,20190319,10.0000,10.0000,10.0000,10.0000,0
DKP,20190320,10.0000,10.0000,10.0000,10.0000,0
DKP,20190321,10.0000,10.0000,10.0000,10.0000,0
DKP,20190322,10.0000,10.0000,10.0000,10.0000,0
DKP,20190325,10.0000,10.0000,10.0000,10.0000,0
DKP,20190326,10.0000,10.0000,10.0000,10.0000,0
DKP,20190327,10.0000,10.0000,10.0000,10.0000,0
DKP,20190328,10.0000,10.0000,10.0000,10.0000,0
DKP,20190329,10.0000,10.0000,10.0000,10.0000,0
DKP,20190401,10.0000,10.0000,10.0000,10.0000,0
DKP,20190402,10.0000,10.0000,10.0000,10.0000,0
DKP,20190403,10.0000,10.0000,10.0000,10.0000,0
DKP,20190404,10.0000,10.0000,10.0000,10.0000,0
DKP,20190405,10.0000,10.0000,10.0000,10.0000,0
DKP,20190408,10.0000,10.0000,10.0000,10.0000,0
DKP,20190409,10.0000,10.0000,10.0000,10.0000,0
DKP,20190410,10.0000,10.0000,10.0000,10.0000,0
DKP,20190411,10.0000,10.0000,10.0000,10.0000,0
DKP,20190412,10.0000,10.0000,10.0000,10.0000,0
DKP,20190416,10.0000,10.0000,10.0000,10.0000,0
DKP,20190417,10.0000,10.0000,10.0000,10.0000,0
DKP,20190418,10.0000,10.0000,10.0000,10.0000,0
DKP,20190419,10.0000,10.0000,10.0000,10.0000,0
DKP,20190422,10.0000,10.0000,10.0000,10.0000,0
DKP,20190423,10.0000,10.0000,10.0000,10.0000,0
DKP,20190424,10.0000,10.0000,10.0000,10.0000,0
DKP,20190425,10.0000,10.0000,10.0000,10.0000,0
DKP,20190426,10.0000,10.0000,10.0000,10.0000,0
DKP,20190502,10.0000,10.0000,10.0000,10.0000,0
DKP,20190503,10.0000,10.0000,10.0000,10.0000,0
DKP,20190506,10.0000,10.0000,10.0000,10.0000,0
DKP,20190507,10.0000,10.0000,10.0000,10.0000,0
DKP,20190508,10.0000,10.0000,10.0000,10.0000,0
DKP,20190509,10.0000,10.0000,10.0000,10.0000,0
DKP,20190510,10.0000,10.0000,10.0000,10.0000,0
DKP,20190513,10.0000,10.0000,10.0000,10.0000,0
DKP,20190514,10.0000,10.0000,10.0000,10.0000,0
DKP,20190515,10.0000,10.0000,10.0000,10.0000,0
DKP,20190516,10.0000,10.0000,10.0000,10.0000,0
DKP,20190517,10.0000,10.0000,10.0000,10.0000,0
DKP,20190520,10.0000,10.0000,10.0000,10.0000,0
DKP,20190521,10.0000,10.0000,10.0000,10.0000,0
DKP,20190522,10.0000,10.0000,10.0000,10.0000,0
DKP,20190523,10.0000,10.0000,10.0000,10.0000,0
DKP,20190524,10.0000,10.0000,10.0000,10.0000,0
DKP,20190527,10.0000,10.0000,10.0000,10.0000,0
DKP,20190528,10.0000,10.0000,10.0000,10.0000,0
DKP,20190529,10.0000,10.0000,10.0000,10.0000,0
DKP,20190530,10.0000,10.0000,10.0000,10.0000,0
DKP,20190531,10.0000,10.0000,10.0000,10.0000,0
DKP,20190603,10.0000,10.0000,10.0000,10.0000,0
DKP,20190604,10.0000,10.0000,10.0000,10.0000,0
DKP,20190605,10.0000,10.0000,10.0000,10.0000,0
DKP,20190606,10.0000,10.0000,10.0000,10.0000,0
DKP,20190607,10.0000,10.0000,10.0000,10.0000,0
DKP,20190610,10.0000,10.0000,10.0000,10.0000,0
DKP,20190611,10.0000,10.0000,10.0000,10.0000,0
DKP,20190612,10.0000,10.0000,10.0000,10.0000,0
DKP,20190613,10.0000,10.0000,10.0000,10.0000,0
DKP,20190614,10.0000,10.0000,10.0000,10.0000,0
DKP,20190617,10.0000,10.0000,10.0000,10.0000,0
DKP,20190618,10.0000,10.0000,10.0000,10.0000,0
DKP,20190619,10.0000,10.0000,10.0000,10.0000,0
DKP,20190620,10.0000,10.0000,10.0000,10.0000,0
DKP,20190621,10.0000,10.0000,10.0000,10.0000,0
DKP,20190624,10.0000,10.0000,10.0000,10.0000,0
DKP,20190625,10.0000,10.0000,10.0000,10.0000,0
DKP,20190626,10.0000,10.0000,10.0000,10.0000,0
DKP,20190627,10.0000,10.0000,10.0000,10.0000,0
DKP,20190628,10.0000,10.0000,10.0000,10.0000,0
DKP,20190701,10.0000,10.0000,10.0000,10.0000,0
DKP,20190702,10.0000,10.0000,10.0000,10.0000,0
DKP,20190703,10.0000,10.0000,10.0000,10.0000,0
DKP,20190704,10.0000,10.0000,10.0000,10.0000,0
DKP,20190705,10.0000,10.0000,10.0000,10.0000,0
DKP,20190708,10.0000,10.0000,10.0000,10.0000,0
DKP,20190709,10.0000,10.0000,10.0000,10.0000,0
DKP,20190710,10.0000,10.0000,10.0000,10.0000,0
DKP,20190711,10.0000,10.0000,10.0000,10.0000,0
DKP,20190712,10.0000,10.0000,10.0000,10.0000,0
DKP,20190715,10.0000,10.0000,10.0000,10.0000,0
DKP,20190716,10.0000,10.0000,10.0000,10.0000,0
DKP,20190717,10.0000,10.0000,10.0000,10.0000,0
DKP,20190718,10.0000,10.0000,10.0000,10.0000,0
DKP,20190719,10.0000,10.0000,10.0000,10.0000,0
DKP,20190722,10.0000,10.0000,10.0000,10.0000,0
DKP,20190723,10.0000,10.0000,10.0000,10.0000,0
DKP,20190724,10.0000,10.0000,10.0000,10.0000,0
DKP,20190725,10.0000,10.0000,10.0000,10.0000,0
DKP,20190726,10.0000,10.0000,10.0000,10.0000,0
DKP,20190729,10.0000,10.0000,10.0000,10.0000,0
DKP,20190730,10.0000,10.0000,10.0000,10.0000,0
DKP,20190731,10.0000,10.0000,10.0000,10.0000,0
DKP,20190801,10.0000,10.0000,10.0000,10.0000,0
DKP,20190802,10.0000,10.0000,10.0000,10.0000,0
DKP,20190805,10.0000,10.0000,10.0000,10.0000,0
DKP,20190806,10.0000,10.0000,10.0000,10.0000,0
DKP,20190807,10.0000,10.0000,10.0000,10.0000,0
DKP,20190808,10.0000,10.0000,10.0000,10.0000,0
DKP,20190809,10.0000,10.0000,10.0000,10.0000,0
DKP,20190812,10.0000,10.0000,10.0000,10.0000,0
DKP,20190813,10.0000,10.0000,10.0000,10.0000,0
DKP,20190814,10.0000,10.0000,10.0000,10.0000,0
DKP,20190815,10.0000,10.0000,10.0000,10.0000,0
DKP,20190816,10.0000,10.0000,10.0000,10.0000,0
DKP,20190819,10.0000,10.0000,10.0000,10.0000,0
DKP,20190820,10.0000,10.0000,10.0000,10.0000,0
DKP,20190821,10.0000,10.0000,10.0000,10.0000,0
DKP,20190822,10.0000,10.0000,10.0000,10.0000,0
DKP,20190823,10.0000,10.0000,10.0000,10.0000,0
DKP,20190826,10.0000,10.0000,10.0000,10.0000,0
DKP,20190827,10.0000,10.0000,10.0000,10.0000,0
DKP,20190828,10.0000,10.0000,10.0000,10.0000,0
DKP,20190829,10.0000,10.0000,10.0000,10.0000,0
DKP,20190830,10.0000,10.0000,10.0000,10.0000,0
DKP,20190903,10.0000,10.0000,10.0000,10.0000,0
DKP,20190904,10.0000,10.0000,10.0000,10.0000,0
DKP,20190905,10.0000,10.0000,10.0000,10.0000,0
DKP,20190906,10.0000,10.0000,10.0000,10.0000,0
DKP,20190909,10.0000,10.0000,10.0000,10.0000,0
DKP,20190910,10.0000,10.0000,10.0000,10.0000,0
DKP,20190911,10.0000,10.0000,10.0000,10.0000,0
DKP,20190912,10.0000,10.0000,10.0000,10.0000,0
DKP,20190913,10.0000,10.0000,10.0000,10.0000,0
DKP,20190916,10.0000,10.0000,10.0000,10.0000,0
DKP,20190917,10.0000,10.0000,10.0000,10.0000,0
DKP,20190918,10.0000,10.0000,10.0000,10.0000,0
DKP,20190919,10.0000,10.0000,10.0000,10.0000,0
DKP,20190920,10.0000,10.0000,10.0000,10.0000,0
DKP,20190923,10.0000,10.0000,10.0000,10.0000,0
DKP,20190924,10.0000,10.0000,10.0000,10.0000,13000
DKP,20190925,10.0000,10.0000,10.0000,10.0000,40
DKP,20190926,10.0000,10.0000,10.0000,10.0000,0
DKP,20190927,10.0000,10.0000,10.0000,10.0000,0
DKP,20190930,10.0000,10.0000,10.0000,10.0000,0
DKP,20191001,10.0000,10.0000,10.0000,10.0000,0
DKP,20191002,10.0000,10.0000,10.0000,10.0000,0
DKP,20191003,10.0000,10.0000,10.0000,10.0000,0
DKP,20191004,10.0000,10.0000,10.0000,10.0000,0
DKP,20191007,10.0000,10.0000,10.0000,10.0000,0
DKP,20191008,10.0000,10.0000,10.0000,10.0000,0
DKP,20191009,10.0000,10.0000,10.0000,10.0000,0
DKP,20191010,10.0000,10.0000,10.0000,10.0000,0
DKP,20191011,10.0000,10.0000,10.0000,10.0000,0
DKP,20191014,10.0000,10.0000,10.0000,10.0000,0
DKP,20191015,10.0000,10.0000,10.0000,10.0000,0
DKP,20191016,10.0000,10.0000,10.0000,10.0000,0
DKP,20191017,10.0000,10.0000,10.0000,10.0000,0
DKP,20191018,10.0000,10.0000,10.0000,10.0000,0
DKP,20191021,10.0000,10.0000,10.0000,10.0000,0
DKP,20191022,10.0000,10.0000,10.0000,10.0000,0
DKP,20191023,10.0000,10.0000,10.0000,10.0000,0
DKP,20191024,10.0000,10.0000,10.0000,10.0000,0
DKP,20191025,10.0000,10.0000,10.0000,10.0000,0
DKP,20191028,10.0000,10.0000,10.0000,10.0000,0
DKP,20191029,10.0000,10.0000,10.0000,10.0000,0
DKP,20191030,10.0000,10.0000,10.0000,10.0000,0
DKP,20191031,10.0000,10.0000,10.0000,10.0000,0
DKP,20191101,10.0000,10.0000,10.0000,10.0000,0
DKP,20191104,10.0000,10.0000,10.0000,10.0000,0
DKP,20191105,10.0000,10.0000,10.0000,10.0000,0
DKP,20191106,10.0000,10.0000,10.0000,10.0000,0
DKP,20191107,10.0000,10.0000,10.0000,10.0000,0
DKP,20191108,10.0000,10.0000,10.0000,10.0000,0
DKP,20191111,10.0000,10.0000,10.0000,10.0000,0
DKP,20191112,10.0000,10.0000,10.0000,10.0000,0
DKP,20191113,10.0000,10.0000,10.0000,10.0000,0
DKP,20191114,10.0000,10.0000,10.0000,10.0000,0
DKP,20191115,10.0000,10.0000,10.0000,10.0000,0
DKP,20191118,10.0000,10.0000,10.0000,10.0000,0
DKP,20191119,10.0000,10.0000,10.0000,10.0000,0
DKP,20191120,10.0000,10.0000,10.0000,10.0000,0
DKP,20191121,10.0000,10.0000,10.0000,10.0000,0
DKP,20191122,10.0000,10.0000,10.0000,10.0000,0
DKP,20191125,10.0000,10.0000,10.0000,10.0000,0
DKP,20191126,10.0000,10.0000,10.0000,10.0000,0
DKP,20191127,10.0000,10.0000,10.0000,10.0000,0
DKP,20191128,10.0000,10.0000,10.0000,10.0000,0
DKP,20191129,10.0000,10.0000,10.0000,10.0000,0
DKP,20191202,10.0000,10.0000,10.0000,10.0000,0
DKP,20191203,10.0000,10.0000,10.0000,10.0000,0
DKP,20191204,10.0000,10.0000,10.0000,10.0000,0
DKP,20191205,10.0000,10.0000,10.0000,10.0000,0
DKP,20191206,10.0000,10.0000,10.0000,10.0000,0
DKP,20191209,10.0000,10.0000,10.0000,10.0000,0
DKP,20191210,10.0000,10.0000,10.0000,10.0000,0
DKP,20191211,10.0000,10.0000,10.0000,10.0000,0
DKP,20191212,10.0000,10.0000,10.0000,10.0000,0
DKP,20191213,10.0000,10.0000,10.0000,10.0000,0
DKP,20191216,10.0000,10.0000,10.0000,10.0000,0
DKP,20191217,10.0000,10.0000,10.0000,10.0000,0
DKP,20191218,10.0000,10.0000,10.0000,10.0000,0
DKP,20191219,10.0000,10.0000,10.0000,10.0000,0
DKP,20191220,10.0000,10.0000,10.0000,10.0000,0
DKP,20191223,10.0000,10.0000,10.0000,10.0000,0
DKP,20191224,10.0000,10.0000,10.0000,10.0000,0
DKP,20191225,10.0000,10.0000,10.0000,10.0000,0
DKP,20191226,10.0000,10.0000,10.0000,10.0000,0
DKP,20191227,10.0000,10.0000,10.0000,10.0000,0
DKP,20191230,10.0000,10.0000,10.0000,10.0000,0
DKP,20191231,10.0000,10.0000,10.0000,10.0000,0
DKP,20200102,10.0000,10.0000,10.0000,10.0000,0
DKP,20200103,10.0000,10.0000,10.0000,10.0000,0
DKP,20200106,10.0000,10.0000,10.0000,10.0000,0
DKP,20200107,10.0000,10.0000,10.0000,10.0000,0
DKP,20200108,10.0000,10.0000,10.0000,10.0000,0
DKP,20200109,10.0000,10.0000,10.0000,10.0000,0
DKP,20200110,10.0000,10.0000,10.0000,10.0000,0
DKP,20200113,10.0000,10.0000,10.0000,10.0000,0
DKP,20200114,10.0000,10.0000,10.0000,10.0000,0
DKP,20200115,10.0000,10.0000,10.0000,10.0000,0
DKP,20200116,10.0000,10.0000,10.0000,10.0000,0
DKP,20200117,10.0000,10.0000,10.0000,10.0000,0
DKP,20200120,10.0000,10.0000,10.0000,10.0000,0
DKP,20200121,10.0000,10.0000,10.0000,10.0000,0
DKP,20200122,10.0000,10.0000,10.0000,10.0000,0
DKP,20200130,10.0000,10.0000,10.0000,10.0000,0
