<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
DM7,20181015,11.8000,11.8000,11.8000,11.8000,0
DM7,20181016,11.8000,11.8000,11.8000,11.8000,0
DM7,20181017,11.8000,11.8000,11.8000,11.8000,0
DM7,20181018,11.8000,11.8000,11.8000,11.8000,0
DM7,20181019,11.8000,11.8000,11.8000,11.8000,0
DM7,20181022,11.8000,11.8000,11.8000,11.8000,0
DM7,20181023,11.8000,11.8000,11.8000,11.8000,0
DM7,20181024,11.8000,11.8000,11.8000,11.8000,0
DM7,20181025,11.8000,11.8000,11.8000,11.8000,0
DM7,20181026,11.8000,11.8000,11.8000,11.8000,0
DM7,20181029,11.8000,11.8000,11.8000,11.8000,0
DM7,20181030,11.8000,11.8000,11.8000,11.8000,0
DM7,20181031,11.8000,11.8000,11.8000,11.8000,0
DM7,20181101,11.8000,11.8000,11.8000,11.8000,0
DM7,20181102,11.8000,11.8000,11.8000,11.8000,0
DM7,20181105,11.8000,11.8000,11.8000,11.8000,0
DM7,20181106,11.8000,11.8000,11.8000,11.8000,0
DM7,20181107,11.8000,11.8000,11.8000,11.8000,0
DM7,20181108,11.8000,11.8000,11.8000,11.8000,0
DM7,20181109,11.8000,11.8000,11.8000,11.8000,0
DM7,20181112,11.8000,11.8000,11.8000,11.8000,0
DM7,20181113,11.8000,11.8000,11.8000,11.8000,0
DM7,20181114,11.8000,11.8000,11.8000,11.8000,0
DM7,20181115,11.8000,11.8000,11.8000,11.8000,0
DM7,20181116,11.8000,11.8000,11.8000,11.8000,0
DM7,20181119,11.8000,11.8000,11.8000,11.8000,0
DM7,20181120,11.8000,11.8000,11.8000,11.8000,0
DM7,20181121,11.8000,11.8000,11.8000,11.8000,0
DM7,20181122,11.8000,11.8000,11.8000,11.8000,0
DM7,20181123,11.8000,11.8000,11.8000,11.8000,0
DM7,20181126,11.8000,11.8000,11.8000,11.8000,0
DM7,20181127,11.8000,11.8000,11.8000,11.8000,0
DM7,20181128,11.8000,11.8000,11.8000,11.8000,0
DM7,20181129,11.8000,11.8000,11.8000,11.8000,0
DM7,20181130,11.8000,11.8000,11.8000,11.8000,0
DM7,20181203,11.8000,11.8000,11.8000,11.8000,0
DM7,20181204,11.8000,11.8000,11.8000,11.8000,0
DM7,20181205,11.8000,11.8000,11.8000,11.8000,0
DM7,20181206,11.8000,11.8000,11.8000,11.8000,0
DM7,20181207,11.8000,11.8000,11.8000,11.8000,0
DM7,20181210,11.8000,11.8000,11.8000,11.8000,0
DM7,20181211,11.8000,11.8000,11.8000,11.8000,0
DM7,20181212,11.8000,11.8000,11.8000,11.8000,0
DM7,20181213,11.8000,11.8000,11.8000,11.8000,0
DM7,20181214,11.8000,11.8000,11.8000,11.8000,0
DM7,20181217,11.8000,11.8000,11.8000,11.8000,0
DM7,20181218,11.8000,11.8000,11.8000,11.8000,0
DM7,20181219,11.8000,11.8000,11.8000,11.8000,0
DM7,20181220,11.8000,11.8000,11.8000,11.8000,0
DM7,20181221,11.8000,11.8000,11.8000,11.8000,0
DM7,20181224,11.8000,11.8000,11.8000,11.8000,0
DM7,20181225,11.8000,11.8000,11.8000,11.8000,0
DM7,20181226,11.8000,11.8000,11.8000,11.8000,0
DM7,20181227,11.8000,11.8000,11.8000,11.8000,0
DM7,20181228,11.8000,11.8000,11.8000,11.8000,0
DM7,20190102,11.8000,11.8000,11.8000,11.8000,0
DM7,20190103,11.8000,11.8000,11.8000,11.8000,0
DM7,20190104,11.8000,11.8000,11.8000,11.8000,0
DM7,20190107,11.8000,11.8000,11.8000,11.8000,0
DM7,20190108,11.8000,11.8000,11.8000,11.8000,0
DM7,20190109,11.8000,11.8000,11.8000,11.8000,0
DM7,20190110,11.8000,11.8000,11.8000,11.8000,0
DM7,20190111,11.8000,11.8000,11.8000,11.8000,0
DM7,20190114,11.8000,11.8000,11.8000,11.8000,0
DM7,20190115,11.8000,11.8000,11.8000,11.8000,0
DM7,20190116,11.8000,11.8000,11.8000,11.8000,0
DM7,20190117,11.8000,11.8000,11.8000,11.8000,0
DM7,20190118,11.8000,11.8000,11.8000,11.8000,0
DM7,20190121,11.8000,11.8000,11.8000,11.8000,0
DM7,20190122,11.8000,11.8000,11.8000,11.8000,0
DM7,20190123,11.8000,11.8000,11.8000,11.8000,0
DM7,20190124,11.8000,11.8000,11.8000,11.8000,0
DM7,20190125,11.8000,11.8000,11.8000,11.8000,0
DM7,20190128,11.8000,11.8000,11.8000,11.8000,0
DM7,20190129,11.8000,11.8000,11.8000,11.8000,0
DM7,20190130,11.8000,11.8000,11.8000,11.8000,0
DM7,20190131,11.8000,11.8000,11.8000,11.8000,0
DM7,20190201,11.8000,11.8000,11.8000,11.8000,0
DM7,20190211,11.8000,11.8000,11.8000,11.8000,0
DM7,20190212,11.8000,11.8000,11.8000,11.8000,0
DM7,20190213,11.8000,11.8000,11.8000,11.8000,0
DM7,20190214,11.8000,11.8000,11.8000,11.8000,0
DM7,20190215,11.8000,11.8000,11.8000,11.8000,0
DM7,20190218,11.8000,11.8000,11.8000,11.8000,0
DM7,20190219,11.8000,11.8000,11.8000,11.8000,0
DM7,20190220,11.8000,11.8000,11.8000,11.8000,0
DM7,20190221,11.8000,11.8000,11.8000,11.8000,0
DM7,20190222,11.8000,11.8000,11.8000,11.8000,0
DM7,20190225,11.8000,11.8000,11.8000,11.8000,0
DM7,20190226,11.8000,11.8000,11.8000,11.8000,0
DM7,20190227,11.8000,11.8000,11.8000,11.8000,0
DM7,20190228,11.8000,11.8000,11.8000,11.8000,0
DM7,20190301,11.8000,11.8000,11.8000,11.8000,0
DM7,20190304,11.8000,11.8000,11.8000,11.8000,0
DM7,20190305,11.8000,11.8000,11.8000,11.8000,0
DM7,20190306,11.8000,11.8000,11.8000,11.8000,0
DM7,20190307,11.8000,11.8000,11.8000,11.8000,0
DM7,20190308,11.8000,11.8000,11.8000,11.8000,0
DM7,20190311,11.8000,11.8000,11.8000,11.8000,0
DM7,20190312,11.8000,11.8000,11.8000,11.8000,0
DM7,20190313,11.8000,11.8000,11.8000,11.8000,0
DM7,20190314,11.8000,11.8000,11.8000,11.8000,0
DM7,20190315,11.8000,11.8000,11.8000,11.8000,0
DM7,20190318,11.8000,11.8000,11.8000,11.8000,0
DM7,20190319,11.8000,11.8000,11.8000,11.8000,0
DM7,20190320,11.8000,11.8000,11.8000,11.8000,0
DM7,20190321,11.8000,11.8000,11.8000,11.8000,0
DM7,20190322,11.8000,11.8000,11.8000,11.8000,0
DM7,20190325,11.8000,11.8000,11.8000,11.8000,0
DM7,20190326,11.8000,11.8000,11.8000,11.8000,0
DM7,20190327,11.8000,11.8000,11.8000,11.8000,0
DM7,20190328,11.8000,11.8000,11.8000,11.8000,0
DM7,20190329,11.8000,11.8000,11.8000,11.8000,0
DM7,20190401,11.8000,11.8000,11.8000,11.8000,0
DM7,20190402,11.8000,11.8000,11.8000,11.8000,0
DM7,20190403,11.8000,11.8000,11.8000,11.8000,0
DM7,20190404,11.8000,11.8000,11.8000,11.8000,0
DM7,20190405,11.8000,11.8000,11.8000,11.8000,0
DM7,20190408,11.8000,11.8000,11.8000,11.8000,0
DM7,20190409,11.8000,11.8000,11.8000,11.8000,0
DM7,20190410,11.8000,11.8000,11.8000,11.8000,0
DM7,20190411,11.8000,11.8000,11.8000,11.8000,0
DM7,20190412,11.8000,11.8000,11.8000,11.8000,0
DM7,20190416,11.8000,11.8000,11.8000,11.8000,0
DM7,20190417,11.8000,11.8000,11.8000,11.8000,0
DM7,20190418,11.8000,11.8000,11.8000,11.8000,0
DM7,20190419,11.8000,11.8000,11.8000,11.8000,0
DM7,20190422,11.8000,11.8000,11.8000,11.8000,0
