<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
DND,20161109,11.9000,11.9000,7.0000,11.0000,5300
DND,20161110,7.9000,8.3000,7.9000,8.3000,2700
DND,20161111,9.0000,9.0000,9.0000,9.0000,6200
DND,20161114,9.0000,9.0000,9.0000,9.0000,0
DND,20161115,7.9000,7.9000,7.9000,7.9000,5000
DND,20161116,7.9000,7.9000,7.9000,7.9000,4000
DND,20161117,7.5000,8.0000,7.5000,7.5000,4300
DND,20161118,8.0000,8.0000,8.0000,8.0000,13400
DND,20161121,8.3000,8.3000,8.0000,8.0000,15700
DND,20161122,8.0000,8.5000,8.0000,8.5000,6900
DND,20161123,8.7000,8.7000,8.7000,8.7000,100
DND,20161124,8.9000,8.9000,8.9000,8.9000,300
DND,20161125,8.2000,8.9000,7.8000,8.9000,6800
DND,20161128,8.7000,8.7000,8.7000,8.7000,100
DND,20161129,8.1000,8.1000,8.0000,8.0000,15200
DND,20161130,8.0000,8.0000,8.0000,8.0000,800
DND,20161201,8.1000,8.1000,8.1000,8.1000,3000
DND,20161202,8.0000,8.1000,8.0000,8.1000,4200
DND,20161205,8.1000,8.1000,8.1000,8.1000,0
DND,20161206,7.9000,7.9000,7.9000,7.9000,2000
DND,20161207,8.0000,8.0000,8.0000,8.0000,1000
DND,20161208,8.1000,8.1000,8.1000,8.1000,8900
DND,20161209,8.1000,8.1000,8.1000,8.1000,400
DND,20161212,8.2000,8.3000,8.1000,8.1000,600
DND,20161213,8.5000,8.5000,8.0000,8.0000,700
DND,20161214,8.1000,8.1000,8.1000,8.1000,100
DND,20161215,8.0000,8.0000,8.0000,8.0000,2400
DND,20161216,8.0000,8.0000,8.0000,8.0000,0
DND,20161219,8.0000,8.0000,8.0000,8.0000,7500
DND,20161220,8.0000,8.0000,8.0000,8.0000,4000
DND,20161221,7.9000,8.5000,7.9000,8.5000,3200
DND,20161222,8.5000,8.5000,8.5000,8.5000,100
DND,20161223,8.5000,8.5000,8.5000,8.5000,300
DND,20161226,8.7000,8.8000,8.0000,8.8000,9300
DND,20161227,8.7000,9.0000,8.7000,9.0000,2700
DND,20161228,9.0000,9.0000,8.9000,8.9000,2600
DND,20161229,8.9000,9.5000,8.9000,9.5000,10800
DND,20161230,10.6000,10.6000,9.3000,9.3000,13500
DND,20170103,9.9000,10.6000,9.9000,10.6000,3000
DND,20170104,10.0000,10.1000,10.0000,10.1000,2900
DND,20170105,10.7000,10.7000,10.7000,10.7000,500
DND,20170106,10.8000,10.8000,10.0000,10.0000,500
DND,20170109,10.2000,10.2000,10.2000,10.2000,0
DND,20170110,10.2000,10.2000,10.2000,10.2000,0
DND,20170111,10.2000,10.2000,10.2000,10.2000,100
DND,20170112,10.2000,10.2000,10.2000,10.2000,0
DND,20170113,11.3000,11.3000,11.3000,11.3000,100
DND,20170116,10.0000,10.0000,9.9000,9.9000,2000
DND,20170117,8.5000,8.6000,8.5000,8.5000,3300
DND,20170118,7.4000,8.2000,7.4000,7.7000,20800
DND,20170119,8.4000,8.4000,8.4000,8.4000,1000
DND,20170120,8.4000,8.4000,8.4000,8.4000,0
DND,20170123,8.4000,8.6000,8.4000,8.6000,1200
DND,20170124,8.7000,8.7000,8.7000,8.7000,1500
DND,20170125,10.0000,10.0000,10.0000,10.0000,400
DND,20170202,11.0000,11.0000,11.0000,11.0000,100
DND,20170203,11.0000,11.0000,11.0000,11.0000,0
DND,20170206,10.0000,10.0000,9.6000,9.6000,700
DND,20170207,9.9000,9.9000,8.7000,8.7000,1200
DND,20170208,8.6000,8.6000,8.5000,8.5000,700
DND,20170209,8.6000,8.6000,8.6000,8.6000,600
DND,20170210,8.5000,8.5000,8.5000,8.5000,1000
DND,20170213,8.5000,8.5000,8.5000,8.5000,0
DND,20170214,8.5000,8.5000,8.5000,8.5000,0
DND,20170215,8.5000,8.6000,8.5000,8.6000,2800
DND,20170216,8.6000,8.6000,8.6000,8.6000,0
DND,20170217,8.5000,8.5000,8.5000,8.5000,500
DND,20170220,9.0000,9.0000,9.0000,9.0000,100
DND,20170221,8.5000,8.5000,8.5000,8.5000,1000
DND,20170222,9.0000,9.0000,9.0000,9.0000,1000
DND,20170223,9.0000,9.0000,9.0000,9.0000,13400
DND,20170224,9.1000,9.1000,9.1000,9.1000,1000
