<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
DNR,20160624,10.0000,10.0000,10.0000,10.0000,0
DNR,20160627,10.0000,10.0000,10.0000,10.0000,0
DNR,20160628,10.0000,10.0000,10.0000,10.0000,0
DNR,20160629,10.0000,10.0000,10.0000,10.0000,0
DNR,20160630,10.0000,10.0000,10.0000,10.0000,0
DNR,20160701,10.0000,10.0000,10.0000,10.0000,0
DNR,20160704,10.0000,10.0000,10.0000,10.0000,0
DNR,20160705,10.0000,10.0000,10.0000,10.0000,0
DNR,20160706,10.0000,10.0000,10.0000,10.0000,0
DNR,20160707,10.0000,10.0000,10.0000,10.0000,0
DNR,20160708,10.0000,10.0000,10.0000,10.0000,0
DNR,20160711,10.0000,10.0000,10.0000,10.0000,0
DNR,20160712,10.0000,10.0000,10.0000,10.0000,0
DNR,20160713,10.0000,10.0000,10.0000,10.0000,0
DNR,20160714,10.0000,10.0000,10.0000,10.0000,0
DNR,20160715,10.0000,10.0000,10.0000,10.0000,0
DNR,20160718,10.0000,10.0000,10.0000,10.0000,0
DNR,20160719,10.0000,10.0000,10.0000,10.0000,0
DNR,20160720,10.0000,10.0000,10.0000,10.0000,0
DNR,20160721,10.0000,10.0000,10.0000,10.0000,0
DNR,20160722,10.0000,10.0000,10.0000,10.0000,0
DNR,20160725,10.0000,10.0000,10.0000,10.0000,0
DNR,20160726,10.0000,10.0000,10.0000,10.0000,0
DNR,20160727,10.0000,10.0000,10.0000,10.0000,0
DNR,20160728,10.0000,10.0000,10.0000,10.0000,0
DNR,20160729,10.0000,10.0000,10.0000,10.0000,0
DNR,20160801,10.0000,10.0000,10.0000,10.0000,0
DNR,20160802,10.0000,10.0000,10.0000,10.0000,0
DNR,20160803,10.0000,10.0000,10.0000,10.0000,0
DNR,20160804,10.0000,10.0000,10.0000,10.0000,0
DNR,20160805,10.0000,10.0000,10.0000,10.0000,0
DNR,20160808,10.0000,10.0000,10.0000,10.0000,0
DNR,20160809,10.0000,10.0000,10.0000,10.0000,0
DNR,20160810,10.0000,10.0000,10.0000,10.0000,0
DNR,20160811,10.0000,10.0000,10.0000,10.0000,0
DNR,20160812,10.0000,10.0000,10.0000,10.0000,0
DNR,20160815,10.0000,10.0000,10.0000,10.0000,0
DNR,20160816,10.0000,10.0000,10.0000,10.0000,0
DNR,20160817,10.0000,10.0000,10.0000,10.0000,0
DNR,20160818,10.0000,10.0000,10.0000,10.0000,0
DNR,20160819,10.0000,10.0000,10.0000,10.0000,0
DNR,20160822,10.0000,10.0000,10.0000,10.0000,0
DNR,20160823,10.0000,10.0000,10.0000,10.0000,0
DNR,20160824,10.0000,10.0000,10.0000,10.0000,0
DNR,20160825,10.0000,10.0000,10.0000,10.0000,0
DNR,20160826,10.0000,10.0000,10.0000,10.0000,0
DNR,20160829,10.0000,10.0000,10.0000,10.0000,0
