<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
DOGE-USD,20140917,0.0003,0.0003,0.0003,0.0003,1463600
DOGE-USD,20140918,0.0003,0.0003,0.0003,0.0003,2215910
DOGE-USD,20140919,0.0003,0.0003,0.0003,0.0003,883563
DOGE-USD,20140920,0.0003,0.0003,0.0003,0.0003,993004
DOGE-USD,20140921,0.0003,0.0003,0.0003,0.0003,539140
DOGE-USD,20140922,0.0003,0.0003,0.0003,0.0003,620222
DOGE-USD,20140923,0.0003,0.0003,0.0003,0.0003,739197
DOGE-USD,20140924,0.0003,0.0004,0.0003,0.0003,1277840
DOGE-USD,20140925,0.0003,0.0004,0.0003,0.0004,2393610
DOGE-USD,20140926,0.0004,0.0005,0.0004,0.0005,4722610
DOGE-USD,20140927,0.0004,0.0005,0.0004,0.0004,2907080
DOGE-USD,20140928,0.0004,0.0004,0.0004,0.0004,2115710
DOGE-USD,20140929,0.0004,0.0004,0.0004,0.0004,1169070
DOGE-USD,20140930,0.0004,0.0004,0.0004,0.0004,760341
DOGE-USD,20141001,0.0004,0.0004,0.0004,0.0004,1031360
DOGE-USD,20141002,0.0004,0.0004,0.0003,0.0003,1307610
DOGE-USD,20141003,0.0003,0.0003,0.0003,0.0003,1150090
DOGE-USD,20141004,0.0003,0.0003,0.0003,0.0003,730468
DOGE-USD,20141005,0.0003,0.0003,0.0003,0.0003,1125540
DOGE-USD,20141006,0.0003,0.0003,0.0003,0.0003,1317300
DOGE-USD,20141007,0.0003,0.0003,0.0003,0.0003,1042430
DOGE-USD,20141008,0.0003,0.0003,0.0003,0.0003,553294
DOGE-USD,20141009,0.0003,0.0003,0.0003,0.0003,681174
DOGE-USD,20141010,0.0003,0.0003,0.0003,0.0003,513973
DOGE-USD,20141011,0.0003,0.0003,0.0003,0.0003,434884
DOGE-USD,20141012,0.0003,0.0003,0.0003,0.0003,358839
DOGE-USD,20141013,0.0003,0.0003,0.0003,0.0003,412929
DOGE-USD,20141014,0.0003,0.0003,0.0003,0.0003,543227
DOGE-USD,20141015,0.0003,0.0003,0.0003,0.0003,815956
DOGE-USD,20141016,0.0003,0.0003,0.0003,0.0003,365533
DOGE-USD,20141017,0.0003,0.0003,0.0002,0.0002,330041
DOGE-USD,20141018,0.0003,0.0003,0.0002,0.0003,332855
DOGE-USD,20141019,0.0003,0.0003,0.0002,0.0002,295933
DOGE-USD,20141020,0.0002,0.0002,0.0002,0.0002,581790
DOGE-USD,20141021,0.0002,0.0002,0.0002,0.0002,279274
DOGE-USD,20141022,0.0002,0.0003,0.0002,0.0003,1028090
DOGE-USD,20141023,0.0003,0.0003,0.0002,0.0002,695627
DOGE-USD,20141024,0.0002,0.0003,0.0002,0.0003,408092
DOGE-USD,20141025,0.0003,0.0003,0.0002,0.0002,222909
DOGE-USD,20141026,0.0002,0.0003,0.0002,0.0002,348436
DOGE-USD,20141027,0.0002,0.0003,0.0002,0.0003,262260
DOGE-USD,20141028,0.0002,0.0003,0.0002,0.0003,354633
DOGE-USD,20141029,0.0003,0.0003,0.0002,0.0002,286187
DOGE-USD,20141030,0.0002,0.0002,0.0002,0.0002,293536
DOGE-USD,20141031,0.0002,0.0002,0.0002,0.0002,186097
DOGE-USD,20141101,0.0002,0.0002,0.0002,0.0002,18844600
DOGE-USD,20141102,0.0002,0.0002,0.0002,0.0002,196336
DOGE-USD,20141103,0.0002,0.0002,0.0002,0.0002,281158
DOGE-USD,20141104,0.0002,0.0002,0.0002,0.0002,288067
DOGE-USD,20141105,0.0002,0.0002,0.0002,0.0002,421845
DOGE-USD,20141106,0.0002,0.0002,0.0002,0.0002,458974
