<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
DRG,20191211,17.7000,17.7000,17.7000,17.7000,100
DRG,20191212,20.3000,20.3000,20.0000,20.0000,2400
DRG,20191213,17.3000,18.0000,17.3000,18.0000,1400
DRG,20191216,17.4000,17.4000,17.4000,17.4000,0
DRG,20191217,17.4000,17.4000,17.4000,17.4000,0
DRG,20191218,17.4000,17.4000,17.4000,17.4000,0
DRG,20191219,15.0000,15.0000,15.0000,15.0000,200
DRG,20191220,13.0000,14.5000,13.0000,14.5000,800
DRG,20191223,13.6000,13.6000,13.6000,13.6000,0
DRG,20191224,13.6000,13.6000,13.6000,13.6000,0
DRG,20191225,13.6000,13.6000,13.6000,13.6000,0
DRG,20191226,13.6000,13.6000,13.6000,13.6000,0
DRG,20191227,12.0000,12.0000,12.0000,12.0000,100
DRG,20191230,12.0000,12.0000,12.0000,12.0000,0
DRG,20191231,12.0000,12.0000,12.0000,12.0000,0
DRG,20200102,12.0000,12.0000,12.0000,12.0000,0
DRG,20200103,10.2000,10.2000,10.2000,10.2000,200
DRG,20200106,10.2000,10.2000,10.2000,10.2000,0
DRG,20200107,10.2000,10.2000,10.2000,10.2000,0
DRG,20200108,8.7000,8.7000,8.7000,8.7000,200
DRG,20200109,7.4000,7.4000,7.4000,7.4000,200
DRG,20200110,6.3000,6.3000,6.3000,6.3000,100
DRG,20200113,5.4000,5.4000,5.4000,5.4000,500
DRG,20200114,4.6000,4.6000,4.6000,4.6000,500
DRG,20200115,4.6000,4.6000,4.6000,4.6000,0
DRG,20200116,4.6000,4.6000,4.6000,4.6000,0
DRG,20200117,4.6000,4.6000,4.6000,4.6000,0
DRG,20200120,5.2000,5.2000,5.2000,5.2000,100
DRG,20200121,5.9000,5.9000,5.9000,5.9000,100
DRG,20200122,6.7000,6.7000,6.7000,6.7000,200
DRG,20200130,7.7000,7.7000,7.7000,7.7000,200
DRG,20200131,8.8000,8.8000,8.8000,8.8000,200
DRG,20200203,10.1000,10.1000,10.1000,10.1000,100
DRG,20200204,10.1000,10.1000,10.1000,10.1000,0
DRG,20200205,10.1000,10.1000,10.1000,10.1000,0
DRG,20200206,10.1000,10.1000,10.1000,10.1000,0
DRG,20200207,8.6000,8.6000,8.6000,8.6000,100
DRG,20200210,7.4000,7.4000,7.4000,7.4000,300
DRG,20200211,7.4000,7.4000,7.4000,7.4000,0
DRG,20200212,7.4000,7.4000,7.4000,7.4000,0
DRG,20200213,7.4000,7.4000,7.4000,7.4000,0
DRG,20200214,7.4000,7.4000,7.4000,7.4000,0
DRG,20200217,7.4000,7.4000,7.4000,7.4000,0
DRG,20200218,7.4000,7.4000,7.4000,7.4000,0
DRG,20200219,7.4000,7.4000,7.4000,7.4000,0
DRG,20200220,7.4000,7.4000,7.4000,7.4000,0
DRG,20200221,7.4000,7.4000,7.4000,7.4000,0
DRG,20200224,7.4000,7.4000,7.4000,7.4000,0
DRG,20200225,7.4000,7.4000,7.4000,7.4000,0
DRG,20200226,7.4000,7.4000,7.4000,7.4000,0
DRG,20200227,8.5000,8.5000,8.5000,8.5000,100
DRG,20200228,8.5000,8.5000,8.5000,8.5000,0
DRG,20200302,8.5000,8.5000,8.5000,8.5000,0
DRG,20200303,8.5000,8.5000,8.5000,8.5000,0
DRG,20200304,8.5000,8.5000,8.5000,8.5000,0
DRG,20200305,8.5000,8.5000,8.5000,8.5000,0
DRG,20200306,8.5000,8.5000,8.5000,8.5000,0
DRG,20200309,8.5000,8.5000,8.5000,8.5000,0
DRG,20200310,8.5000,8.5000,8.5000,8.5000,0
DRG,20200311,8.5000,8.5000,8.5000,8.5000,0
DRG,20200312,8.5000,8.5000,8.5000,8.5000,0
DRG,20200313,8.5000,8.5000,8.5000,8.5000,0
DRG,20200316,8.5000,8.5000,8.5000,8.5000,0
DRG,20200317,8.5000,8.5000,8.5000,8.5000,0
DRG,20200318,7.3000,7.3000,7.3000,7.3000,200
DRG,20200319,7.3000,7.3000,7.3000,7.3000,0
DRG,20200320,7.3000,7.3000,7.3000,7.3000,0
DRG,20200323,7.3000,7.3000,7.3000,7.3000,0
DRG,20200324,7.3000,7.3000,7.3000,7.3000,0
DRG,20200325,7.3000,7.3000,7.3000,7.3000,0
DRG,20200326,7.3000,7.3000,7.3000,7.3000,0
DRG,20200327,7.3000,7.3000,7.3000,7.3000,0
DRG,20200330,7.3000,7.3000,7.3000,7.3000,0
DRG,20200331,7.3000,7.3000,7.3000,7.3000,0
DRG,20200401,7.3000,7.3000,7.3000,7.3000,0
DRG,20200403,7.3000,7.3000,7.3000,7.3000,0
DRG,20200406,7.3000,7.3000,7.3000,7.3000,0
DRG,20200407,7.3000,7.3000,7.3000,7.3000,0
DRG,20200408,8.1000,8.1000,8.1000,8.1000,100
DRG,20200409,8.1000,8.1000,8.1000,8.1000,0
DRG,20200410,8.1000,8.1000,8.1000,8.1000,0
DRG,20200413,8.1000,8.1000,8.1000,8.1000,0
DRG,20200414,8.1000,8.1000,8.1000,8.1000,0
DRG,20200415,8.1000,8.1000,8.1000,8.1000,0
DRG,20200416,6.9000,6.9000,6.9000,6.9000,200
DRG,20200417,6.9000,6.9000,6.9000,6.9000,0
DRG,20200420,6.9000,6.9000,6.9000,6.9000,0
DRG,20200421,7.5000,7.5000,7.5000,7.5000,100
DRG,20200422,7.5000,7.5000,7.5000,7.5000,0
DRG,20200423,7.5000,7.5000,7.5000,7.5000,0
DRG,20200424,8.6000,8.6000,8.6000,8.6000,100
DRG,20200427,8.6000,8.6000,8.6000,8.6000,0
DRG,20200428,8.6000,8.6000,8.6000,8.6000,0
DRG,20200429,8.6000,8.6000,8.6000,8.6000,0
DRG,20200504,8.6000,8.6000,8.6000,8.6000,0
DRG,20200505,8.6000,8.6000,8.6000,8.6000,0
DRG,20200506,7.4000,7.4000,7.4000,7.4000,100
DRG,20200507,6.3000,6.3000,6.3000,6.3000,100
DRG,20200508,6.3000,6.3000,6.3000,6.3000,0
DRG,20200511,5.5000,5.5000,5.4000,5.5000,1500
DRG,20200512,4.8000,4.8000,4.8000,4.8000,100
DRG,20200513,4.8000,4.8000,4.8000,4.8000,0
DRG,20200514,4.2000,4.2000,4.2000,4.2000,100
DRG,20200515,4.2000,4.2000,4.2000,4.2000,0
DRG,20200518,3.7000,3.7000,3.7000,3.7000,100
DRG,20200519,3.3000,3.3000,3.3000,3.3000,100
DRG,20200520,3.3000,3.3000,3.3000,3.3000,0
DRG,20200521,3.3000,3.3000,3.3000,3.3000,0
DRG,20200522,3.3000,3.3000,3.3000,3.3000,0
DRG,20200525,3.3000,3.3000,3.3000,3.3000,0
DRG,20200526,3.5000,3.5000,3.5000,3.5000,100
DRG,20200527,4.0000,4.0000,4.0000,4.0000,100
DRG,20200528,4.6000,4.6000,4.6000,4.6000,100
DRG,20200529,5.2000,5.2000,4.8000,4.8000,2000
DRG,20200601,5.1000,5.2000,5.1000,5.2000,200
DRG,20200602,5.2000,5.2000,5.2000,5.2000,0
DRG,20200603,5.9000,5.9000,5.9000,5.9000,300
DRG,20200604,6.7000,6.7000,6.7000,6.7000,300
DRG,20200605,7.7000,7.7000,7.7000,7.7000,200
DRG,20200608,8.8000,8.8000,8.7000,8.7000,1200
DRG,20200609,10.0000,10.0000,9.2000,10.0000,400
DRG,20200610,9.6000,9.6000,9.6000,9.6000,0
DRG,20200611,9.6000,9.6000,9.6000,9.6000,0
DRG,20200612,9.6000,9.6000,9.6000,9.6000,0
DRG,20200615,9.6000,9.6000,9.6000,9.6000,0
DRG,20200616,9.6000,9.6000,9.6000,9.6000,0
DRG,20200617,9.6000,9.6000,9.6000,9.6000,0
DRG,20200618,9.6000,9.6000,9.6000,9.6000,0
DRG,20200619,9.6000,9.6000,9.6000,9.6000,0
DRG,20200622,9.6000,9.6000,9.6000,9.6000,0
DRG,20200623,9.6000,9.6000,9.6000,9.6000,0
DRG,20200624,9.6000,9.6000,9.6000,9.6000,0
DRG,20200625,9.6000,9.6000,9.6000,9.6000,0
DRG,20200626,9.6000,9.6000,9.6000,9.6000,0
DRG,20200629,9.6000,9.6000,9.6000,9.6000,0
DRG,20200630,9.6000,9.6000,9.6000,9.6000,0
DRG,20200701,9.6000,9.6000,9.6000,9.6000,0
DRG,20200702,9.6000,9.6000,9.6000,9.6000,0
DRG,20200703,9.6000,9.6000,9.6000,9.6000,0
DRG,20200706,9.6000,9.6000,9.6000,9.6000,0
DRG,20200707,9.6000,9.6000,9.6000,9.6000,0
DRG,20200708,9.6000,9.6000,9.6000,9.6000,0
DRG,20200709,9.6000,9.6000,9.6000,9.6000,0
DRG,20200710,9.6000,9.6000,9.6000,9.6000,0
DRG,20200713,9.6000,9.6000,9.6000,9.6000,0
DRG,20200714,9.0000,9.6000,9.0000,9.6000,1700
DRG,20200715,9.5000,9.5000,9.5000,9.5000,0
DRG,20200716,9.5000,9.5000,9.5000,9.5000,0
