<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
DRI,20170523,18.6000,18.6000,8.0000,8.0000,111700
DRI,20170524,8.1000,9.5000,8.1000,8.1000,640820
DRI,20170525,8.0000,9.4000,8.0000,9.4000,202103
DRI,20170526,10.1000,10.1000,10.0000,10.1000,180912
DRI,20170529,11.6000,11.6000,11.0000,11.6000,659560
DRI,20170530,11.9000,12.0000,10.6000,11.0000,222051
DRI,20170531,10.6000,11.0000,10.3000,10.6000,307650
DRI,20170601,10.5000,11.3000,10.5000,11.0000,260098
DRI,20170602,11.3000,11.3000,10.6000,10.8000,201770
DRI,20170605,11.0000,12.5000,11.0000,12.5000,1181703
DRI,20170606,13.7000,13.9000,13.0000,13.9000,1144164
DRI,20170607,15.8000,15.8000,12.8000,13.2000,534081
DRI,20170608,13.2000,13.5000,12.5000,13.0000,626765
DRI,20170609,12.7000,14.0000,12.3000,13.2000,809448
DRI,20170612,13.1000,13.2000,12.5000,12.5000,303639
DRI,20170613,12.4000,13.0000,12.3000,12.5000,282010
DRI,20170614,12.7000,13.0000,12.5000,12.8000,335263
DRI,20170615,12.9000,13.3000,12.8000,13.1000,683387
DRI,20170616,13.0000,13.2000,12.8000,13.0000,478560
DRI,20170619,12.8000,12.8000,12.6000,12.7000,263813
DRI,20170620,12.6000,12.9000,12.4000,12.6000,292594
DRI,20170621,12.6000,12.6000,11.5000,12.3000,469469
DRI,20170622,12.2000,12.5000,12.0000,12.2000,179955
DRI,20170623,12.1000,12.3000,11.8000,12.0000,323882
DRI,20170626,12.0000,12.1000,11.9000,12.0000,296132
DRI,20170627,11.9000,12.0000,11.7000,11.7000,323371
DRI,20170628,11.8000,12.1000,11.7000,11.9000,191987
DRI,20170629,11.9000,12.0000,11.7000,11.9000,147894
DRI,20170630,11.8000,12.1000,11.7000,12.1000,228730
DRI,20170703,11.8000,11.9000,11.6000,11.8000,129963
DRI,20170704,11.8000,11.8000,11.5000,11.5000,108441
DRI,20170705,11.5000,11.6000,11.1000,11.3000,184216
DRI,20170706,11.3000,11.3000,10.9000,11.2000,258661
DRI,20170707,11.0000,12.3000,11.0000,12.0000,323455
DRI,20170710,11.5000,12.1000,11.5000,11.8000,184762
DRI,20170711,11.7000,12.0000,11.6000,11.8000,244318
DRI,20170712,11.8000,12.2000,11.8000,12.0000,162603
DRI,20170713,12.0000,12.0000,11.7000,11.9000,91623
DRI,20170714,11.8000,11.9000,11.7000,11.8000,70471
DRI,20170717,11.8000,11.8000,11.5000,11.6000,121410
DRI,20170718,11.6000,11.6000,11.3000,11.4000,110384
DRI,20170719,11.5000,11.7000,11.4000,11.7000,137456
DRI,20170720,12.3000,12.5000,11.8000,12.0000,278599
DRI,20170721,12.0000,12.0000,11.7000,11.8000,145319
DRI,20170724,11.6000,12.0000,11.5000,11.5000,129474
DRI,20170725,11.9000,12.0000,11.5000,11.5000,313589
DRI,20170726,11.6000,11.8000,11.6000,11.7000,156911
DRI,20170727,11.7000,11.9000,11.6000,11.9000,176065
DRI,20170728,11.9000,12.5000,11.8000,12.3000,729965
DRI,20170731,12.4000,13.4000,12.4000,13.0000,1015920
DRI,20170801,13.0000,13.0000,12.6000,12.9000,354922
DRI,20170802,12.6000,12.7000,12.3000,12.7000,489515
DRI,20170803,12.6000,13.2000,12.6000,13.0000,1033806
DRI,20170804,13.0000,13.1000,12.7000,12.9000,496171
DRI,20170807,12.0000,14.4000,12.0000,13.8000,1478248
DRI,20170808,14.2000,14.3000,13.9000,13.9000,979616
DRI,20170809,14.2000,14.3000,13.6000,13.8000,779444
DRI,20170810,13.7000,13.9000,13.6000,13.8000,400919
DRI,20170811,13.8000,14.2000,13.7000,13.9000,532324
DRI,20170814,13.9000,14.0000,13.9000,14.0000,220878
DRI,20170815,14.0000,14.7000,14.0000,14.6000,919203
DRI,20170816,14.6000,14.6000,14.4000,14.6000,409341
DRI,20170817,14.5000,14.6000,14.2000,14.2000,551343
DRI,20170818,14.2000,14.3000,13.9000,14.3000,330354
DRI,20170821,14.3000,14.3000,14.1000,14.1000,203296
DRI,20170822,14.0000,14.1000,13.8000,13.8000,425055
DRI,20170823,13.8000,14.0000,13.8000,14.0000,310843
DRI,20170824,13.9000,14.2000,13.9000,14.0000,153507
DRI,20170825,14.0000,14.3000,14.0000,14.2000,168181
DRI,20170828,10.8289,10.8289,10.4476,10.5238,284361
DRI,20170829,10.6001,11.0576,10.6001,10.9051,545082
DRI,20170830,10.9051,10.9814,10.7526,10.8289,380642
DRI,20170831,10.8289,10.9051,10.4476,10.6001,652035
DRI,20170901,10.6001,10.6001,10.2188,10.2950,902422
DRI,20170905,10.2950,10.5238,10.2950,10.3713,145450
DRI,20170906,10.5238,10.5238,10.2188,10.2950,165982
DRI,20170907,10.2188,10.2950,9.9138,9.9900,632083
DRI,20170908,10.1425,10.2188,9.9138,9.9138,297646
DRI,20170911,9.9138,9.9900,9.4562,9.6850,391815
DRI,20170912,9.6087,9.7612,9.5325,9.7612,112475
DRI,20170913,9.6850,10.0663,9.6850,10.0663,175334
DRI,20170914,9.9138,9.9138,9.7612,9.7612,125108
DRI,20170915,9.9138,9.9138,9.6850,9.7612,68548
DRI,20170918,9.6850,9.6850,9.4562,9.6850,263954
DRI,20170919,9.6087,9.7612,9.6087,9.7612,89364
DRI,20170920,9.7612,9.7612,9.6850,9.6850,37324
DRI,20170921,9.7612,9.7612,9.5325,9.5325,135650
DRI,20170922,9.7612,9.7612,9.5325,9.6850,179142
DRI,20170925,9.6850,9.6850,9.6087,9.6087,131584
DRI,20170926,9.6850,9.8375,9.6087,9.8375,152123
DRI,20170927,9.6850,10.2950,9.6850,9.9138,232092
DRI,20170928,9.8375,9.9138,9.6087,9.7612,218319
DRI,20170929,9.6850,9.6850,9.5325,9.6087,227165
DRI,20171002,9.6087,9.7612,9.4562,9.5325,205701
DRI,20171003,9.5325,9.6087,9.2274,9.3799,120779
DRI,20171004,9.4562,9.4562,9.3799,9.4562,57228
DRI,20171005,9.5325,9.5325,9.3799,9.4562,80249
DRI,20171006,9.4562,9.4562,9.3799,9.3799,94252
DRI,20171009,9.3799,9.4562,9.3037,9.4562,65450
DRI,20171010,9.3799,9.4562,9.2274,9.3037,150006
DRI,20171011,9.3037,9.3037,8.9224,9.1512,331184
DRI,20171012,9.2274,9.3037,9.0749,9.1512,144340
DRI,20171013,9.1512,9.6087,9.0749,9.4562,310419
DRI,20171016,9.3799,9.3799,9.1512,9.1512,97748
DRI,20171017,9.1512,9.3037,9.0749,9.2274,212494
DRI,20171018,9.3037,9.3037,9.0749,9.1512,89911
DRI,20171019,9.2274,9.2274,9.1512,9.2274,107483
DRI,20171020,9.3037,9.3037,9.1512,9.2274,117931
DRI,20171023,9.1512,9.1512,8.8461,8.9986,184737
DRI,20171024,8.8461,8.9224,8.6936,8.7699,265320
DRI,20171025,8.7699,8.7699,8.6936,8.7699,59807
DRI,20171026,8.6936,8.7699,8.6173,8.6936,138870
