<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
DSS,20170424,11.0000,11.0000,11.0000,11.0000,0
DSS,20170425,11.0000,11.0000,11.0000,11.0000,0
DSS,20170426,11.0000,11.0000,11.0000,11.0000,0
DSS,20170427,11.0000,11.0000,11.0000,11.0000,0
DSS,20170428,11.0000,11.0000,11.0000,11.0000,0
DSS,20170503,11.0000,11.0000,11.0000,11.0000,0
DSS,20170504,11.0000,11.0000,11.0000,11.0000,0
DSS,20170505,11.0000,11.0000,11.0000,11.0000,0
DSS,20170508,11.0000,11.0000,11.0000,11.0000,0
DSS,20170509,11.0000,11.0000,11.0000,11.0000,0
DSS,20170510,11.0000,11.0000,11.0000,11.0000,0
DSS,20170511,11.0000,11.0000,11.0000,11.0000,0
DSS,20170512,11.0000,11.0000,11.0000,11.0000,0
DSS,20170515,11.0000,11.0000,11.0000,11.0000,0
DSS,20170516,11.0000,11.0000,11.0000,11.0000,0
DSS,20170517,11.0000,11.0000,11.0000,11.0000,0
DSS,20170518,11.0000,11.0000,11.0000,11.0000,0
DSS,20170519,11.0000,11.0000,11.0000,11.0000,0
DSS,20170522,11.0000,11.0000,11.0000,11.0000,0
DSS,20170523,11.0000,11.0000,11.0000,11.0000,0
DSS,20170524,11.0000,11.0000,11.0000,11.0000,0
DSS,20170525,11.0000,11.0000,11.0000,11.0000,0
DSS,20170526,11.0000,11.0000,11.0000,11.0000,0
DSS,20170529,11.0000,11.0000,11.0000,11.0000,0
DSS,20170530,11.0000,11.0000,11.0000,11.0000,0
DSS,20170531,11.0000,11.0000,11.0000,11.0000,0
DSS,20170601,11.0000,11.0000,11.0000,11.0000,0
DSS,20170602,11.0000,11.0000,11.0000,11.0000,0
DSS,20170605,11.0000,11.0000,11.0000,11.0000,0
DSS,20170606,11.0000,11.0000,11.0000,11.0000,0
DSS,20170607,11.0000,11.0000,11.0000,11.0000,0
DSS,20170608,11.0000,11.0000,11.0000,11.0000,0
DSS,20170609,11.0000,11.0000,11.0000,11.0000,0
DSS,20170612,11.0000,11.0000,11.0000,11.0000,0
DSS,20170613,11.0000,11.0000,11.0000,11.0000,0
