<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
DTA,20100716,31.5000,33.5000,31.0000,32.5000,160300
DTA,20100719,31.5000,31.5000,30.9000,30.9000,94410
DTA,20100720,32.2000,32.2000,31.0000,32.0000,85180
DTA,20100721,33.4000,33.4000,32.5000,32.6000,44010
DTA,20100722,31.7000,32.0000,31.1000,31.9000,45220
DTA,20100723,32.8000,32.8000,30.5000,30.5000,42080
DTA,20100726,31.5000,31.5000,29.0000,30.1000,41210
DTA,20100727,30.1000,30.1000,28.7000,28.7000,13090
DTA,20100728,27.4000,27.4000,27.3000,27.3000,69810
DTA,20100729,27.2000,28.0000,27.0000,28.0000,50070
DTA,20100730,28.0000,28.5000,28.0000,28.5000,38210
DTA,20100802,29.0000,29.0000,28.5000,28.5000,43870
DTA,20100803,28.8000,28.8000,27.5000,27.5000,16070
DTA,20100804,27.5000,27.5000,26.4000,27.0000,3680
DTA,20100805,27.0000,27.0000,26.3000,26.3000,8050
DTA,20100806,27.0000,27.0000,25.1000,25.3000,16030
DTA,20100809,26.2000,26.2000,24.8000,25.6000,23710
DTA,20100810,25.6000,25.6000,24.4000,25.0000,15700
DTA,20100811,25.0000,25.0000,24.5000,25.0000,11470
DTA,20100812,25.0000,25.0000,23.8000,24.0000,3910
DTA,20100813,22.8000,23.0000,22.8000,22.8000,1200
DTA,20100816,23.8000,23.9000,22.8000,23.9000,21450
DTA,20100817,25.0000,25.0000,24.5000,25.0000,55240
DTA,20100818,26.2000,26.2000,26.0000,26.2000,150720
DTA,20100819,26.4000,26.4000,24.9000,26.0000,82080
DTA,20100820,25.6000,25.7000,25.5000,25.7000,22400
DTA,20100823,25.8000,25.8000,24.8000,25.0000,23100
DTA,20100824,23.8000,23.8000,23.8000,23.8000,8940
DTA,20100825,22.7000,22.7000,22.7000,22.7000,50
DTA,20100826,23.0000,23.5000,21.6000,21.6000,45730
DTA,20100827,20.6000,22.0000,20.6000,21.6000,52870
DTA,20100830,21.6000,22.6000,21.6000,22.3000,54010
DTA,20100831,22.9000,23.3000,22.9000,23.3000,15100
DTA,20100901,23.4000,23.4000,22.2000,22.5000,21540
DTA,20100906,23.3000,23.6000,23.3000,23.6000,72000
DTA,20100907,23.3000,24.0000,22.5000,22.5000,19720
DTA,20100908,23.5000,23.5000,21.5000,22.5000,10590
DTA,20100909,21.7000,22.9000,21.4000,22.5000,89020
DTA,20100910,22.6000,22.6000,21.4000,21.9000,48160
DTA,20100913,20.9000,21.9000,20.9000,21.9000,52780
DTA,20100914,21.9000,22.0000,20.9000,21.5000,27500
DTA,20100915,21.5000,21.5000,20.5000,20.5000,28630
DTA,20100916,19.6000,19.6000,19.5000,19.5000,89860
DTA,20100917,20.0000,20.4000,19.5000,20.2000,58740
DTA,20100920,20.9000,21.0000,19.9000,20.6000,46440
DTA,20100921,20.6000,20.6000,19.6000,20.6000,155270
DTA,20100922,20.6000,21.6000,19.6000,21.6000,185180
DTA,20100923,22.6000,22.6000,21.1000,22.2000,396090
