<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
DTT,20061222,45.0000,45.0000,45.0000,45.0000,1000
DTT,20061225,47.2000,47.2000,47.2000,47.2000,2320
DTT,20061226,49.5000,49.5000,49.5000,49.5000,3000
DTT,20061227,51.5000,51.5000,51.5000,51.5000,32270
DTT,20061228,54.0000,54.0000,49.5000,49.5000,4100
DTT,20061229,51.5000,51.5000,51.5000,51.5000,16300
DTT,20070102,54.0000,54.0000,54.0000,54.0000,10
DTT,20070103,54.0000,54.0000,51.5000,51.5000,2310
DTT,20070104,49.0000,49.0000,49.0000,49.0000,500
DTT,20070105,46.6000,46.6000,46.6000,46.6000,27230
DTT,20070108,46.6000,46.6000,44.7000,44.7000,19670
DTT,20070109,42.5000,43.0000,42.5000,43.0000,81290
DTT,20070110,40.9000,45.1000,40.9000,45.1000,30060
DTT,20070111,47.3000,47.3000,46.6000,47.3000,11230
DTT,20070112,45.1000,47.1000,45.0000,45.0000,8180
DTT,20070115,43.0000,43.0000,42.8000,42.8000,23100
DTT,20070116,43.0000,43.0000,43.0000,43.0000,21360
DTT,20070117,43.0000,43.0000,43.0000,43.0000,22200
DTT,20070118,43.0000,45.0000,43.0000,45.0000,39600
DTT,20070119,47.0000,47.2000,45.0000,47.2000,46150
DTT,20070122,49.2000,49.4000,49.2000,49.4000,66090
DTT,20070123,49.5000,49.5000,49.5000,49.5000,41970
DTT,20070124,51.5000,51.5000,51.5000,51.5000,32690
DTT,20070125,54.0000,54.0000,53.5000,53.5000,46460
DTT,20070126,51.0000,51.0000,51.0000,51.0000,9550
DTT,20070129,50.5000,50.5000,48.5000,50.5000,30750
DTT,20070130,51.0000,52.0000,51.0000,52.0000,1650
DTT,20070131,54.5000,54.5000,54.5000,54.5000,20520
DTT,20070201,57.0000,57.0000,57.0000,57.0000,28410
DTT,20070202,59.5000,59.5000,59.5000,59.5000,14040
DTT,20070205,57.0000,58.5000,57.0000,57.0000,4910
DTT,20070206,54.5000,54.5000,54.5000,54.5000,8190
DTT,20070207,55.5000,55.5000,52.0000,55.5000,14720
DTT,20070208,53.0000,58.0000,53.0000,53.0000,5790
DTT,20070209,50.5000,51.0000,50.5000,50.5000,8200
DTT,20070212,53.0000,53.0000,53.0000,53.0000,500
DTT,20070213,53.0000,55.5000,53.0000,53.0000,1100
DTT,20070214,53.5000,53.5000,53.0000,53.5000,3320
DTT,20070215,55.5000,55.5000,53.0000,55.5000,3400
DTT,20070226,57.0000,57.0000,57.0000,57.0000,9730
DTT,20070227,59.5000,59.5000,57.0000,59.5000,13380
DTT,20070228,60.0000,60.0000,60.0000,60.0000,6460
DTT,20070301,57.0000,57.0000,57.0000,57.0000,2270
DTT,20070302,54.5000,55.0000,54.5000,55.0000,11280
DTT,20070305,55.0000,55.0000,53.5000,55.0000,25370
DTT,20070306,57.5000,57.5000,55.0000,57.5000,23710
DTT,20070307,59.0000,60.0000,58.0000,60.0000,23710
DTT,20070308,63.0000,63.0000,63.0000,63.0000,27600
DTT,20070309,66.0000,66.0000,66.0000,66.0000,22170
DTT,20070312,69.0000,69.0000,69.0000,69.0000,19080
DTT,20070313,68.0000,72.0000,66.0000,68.0000,40540
DTT,20070314,65.0000,68.0000,65.0000,65.0000,20570
DTT,20070315,63.0000,63.0000,62.0000,62.0000,8610
DTT,20070316,59.0000,62.0000,59.0000,62.0000,20300
DTT,20070319,64.5000,65.0000,64.5000,65.0000,17920
DTT,20070320,62.0000,65.0000,62.0000,63.0000,5800
DTT,20070321,61.0000,62.0000,60.0000,62.0000,7320
DTT,20070322,60.0000,61.0000,60.0000,60.5000,8900
DTT,20070323,58.0000,58.0000,58.0000,58.0000,13670
DTT,20070326,56.0000,58.0000,56.0000,56.0000,6270
DTT,20070327,53.5000,53.5000,53.5000,53.5000,6920
DTT,20070328,51.5000,55.0000,51.5000,55.0000,6610
DTT,20070329,57.5000,57.5000,57.5000,57.5000,4300
DTT,20070330,59.5000,59.5000,59.5000,59.5000,5360
DTT,20070402,57.0000,57.0000,57.0000,57.0000,14130
DTT,20070403,54.5000,54.5000,54.5000,54.5000,2000
DTT,20070404,56.5000,56.5000,56.5000,56.5000,7000
DTT,20070405,56.5000,56.5000,55.0000,55.0000,5210
DTT,20070406,53.5000,55.5000,53.5000,55.5000,2360
DTT,20070409,55.5000,55.5000,54.0000,55.0000,2340
DTT,20070410,55.0000,55.0000,53.0000,54.0000,3230
DTT,20070411,55.0000,55.0000,53.0000,53.0000,920
DTT,20070412,54.0000,54.0000,52.0000,52.0000,1820
DTT,20070413,52.0000,52.0000,50.0000,50.0000,13440
DTT,20070416,50.0000,50.0000,49.0000,50.0000,5480
DTT,20070417,47.5000,49.0000,47.5000,49.0000,8530
DTT,20070418,49.0000,51.0000,49.0000,51.0000,7470
DTT,20070419,52.0000,52.0000,51.0000,51.0000,9010
DTT,20070420,50.0000,51.0000,50.0000,50.0000,3860
DTT,20070423,50.0000,50.0000,50.0000,50.0000,950
DTT,20070424,50.0000,50.0000,50.0000,50.0000,3890
DTT,20070425,50.0000,50.0000,50.0000,50.0000,5700
DTT,20070502,50.0000,50.0000,49.0000,49.0000,2900
DTT,20070503,48.0000,48.0000,48.0000,48.0000,200
DTT,20070504,48.0000,49.7000,48.0000,49.7000,1480
DTT,20070507,49.0000,52.0000,49.0000,52.0000,8720
DTT,20070508,52.0000,52.0000,50.5000,52.0000,10450
