<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
DTV,20101119,10.0000,10.0000,10.0000,10.0000,15000
DTV,20101122,10.0000,10.0000,10.0000,10.0000,0
DTV,20101123,10.0000,10.0000,10.0000,10.0000,0
DTV,20101124,10.0000,10.0000,10.0000,10.0000,0
DTV,20101125,10.0000,10.0000,10.0000,10.0000,0
DTV,20101126,10.0000,10.0000,10.0000,10.0000,0
DTV,20101129,10.0000,10.0000,10.0000,10.0000,0
DTV,20101130,10.0000,10.0000,10.0000,10.0000,0
DTV,20101201,10.0000,10.0000,10.0000,10.0000,0
DTV,20101202,10.0000,10.0000,10.0000,10.0000,0
DTV,20101203,10.0000,10.0000,10.0000,10.0000,0
DTV,20101206,10.0000,10.0000,10.0000,10.0000,0
DTV,20101207,10.0000,10.0000,10.0000,10.0000,0
DTV,20101208,10.0000,10.0000,10.0000,10.0000,0
DTV,20101209,10.0000,10.0000,10.0000,10.0000,0
DTV,20101210,10.0000,10.0000,10.0000,10.0000,0
DTV,20101213,10.0000,10.0000,10.0000,10.0000,0
DTV,20101214,10.0000,10.0000,10.0000,10.0000,0
DTV,20101215,10.0000,10.0000,10.0000,10.0000,0
DTV,20101216,10.0000,10.0000,10.0000,10.0000,0
DTV,20101217,10.0000,10.0000,10.0000,10.0000,0
DTV,20101220,10.0000,10.0000,10.0000,10.0000,0
DTV,20101221,10.0000,10.0000,10.0000,10.0000,0
DTV,20101222,10.0000,10.0000,10.0000,10.0000,0
DTV,20101223,10.0000,10.0000,10.0000,10.0000,0
DTV,20101224,10.0000,10.0000,10.0000,10.0000,0
DTV,20101227,10.0000,10.0000,10.0000,10.0000,0
DTV,20101228,10.0000,10.0000,10.0000,10.0000,0
DTV,20101229,10.0000,10.0000,10.0000,10.0000,0
DTV,20101230,10.0000,10.0000,10.0000,10.0000,0
DTV,20101231,10.0000,10.0000,10.0000,10.0000,0
DTV,20110104,10.0000,10.0000,10.0000,10.0000,0
DTV,20110105,10.0000,10.0000,10.0000,10.0000,0
DTV,20110106,10.0000,10.0000,10.0000,10.0000,0
DTV,20110107,10.0000,10.0000,10.0000,10.0000,0
DTV,20110110,10.0000,10.0000,10.0000,10.0000,0
DTV,20110111,10.0000,10.0000,10.0000,10.0000,0
DTV,20110112,10.0000,10.0000,10.0000,10.0000,0
DTV,20110113,10.0000,10.0000,10.0000,10.0000,0
DTV,20110114,10.0000,10.0000,10.0000,10.0000,0
DTV,20110117,10.0000,10.0000,10.0000,10.0000,0
DTV,20110118,10.0000,10.0000,10.0000,10.0000,0
DTV,20110119,10.0000,10.0000,10.0000,10.0000,0
DTV,20110120,10.0000,10.0000,10.0000,10.0000,0
DTV,20110121,10.0000,10.0000,10.0000,10.0000,0
DTV,20110124,10.0000,10.0000,10.0000,10.0000,0
DTV,20110125,10.0000,10.0000,10.0000,10.0000,0
DTV,20110126,10.0000,10.0000,10.0000,10.0000,0
DTV,20110127,10.0000,10.0000,10.0000,10.0000,0
DTV,20110128,10.0000,10.0000,10.0000,10.0000,0
DTV,20110208,10.0000,10.0000,10.0000,10.0000,0
