<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
DVM,20221010,14.5000,15.1000,13.0000,14.4000,146600
DVM,20221011,14.3000,14.5000,13.2000,13.2000,55500
DVM,20221012,13.2000,13.9000,13.2000,13.5000,59700
DVM,20221013,13.4000,14.0000,13.3000,13.8000,155800
DVM,20221014,13.8000,14.6000,13.8000,14.5000,211700
DVM,20221017,15.2000,15.2000,14.1000,14.1000,165206
DVM,20221018,14.2000,15.0000,14.2000,14.7000,191500
DVM,20221019,14.7000,15.0000,14.4000,14.4000,134650
DVM,20221020,14.4000,15.0000,14.2000,14.4000,130910
DVM,20221021,14.3000,14.7000,13.3000,14.4000,115000
DVM,20221024,14.4000,14.6000,13.6000,14.4000,125500
DVM,20221025,14.2000,14.2000,13.8000,14.1000,100300
DVM,20221026,14.0000,14.2000,13.8000,14.2000,106018
DVM,20221027,14.1000,14.5000,13.9000,14.4000,116301
DVM,20221028,14.3000,14.6000,14.1000,14.4000,108800
DVM,20221031,14.4000,14.5000,13.8000,14.1000,88900
DVM,20221101,14.0000,14.4000,13.9000,14.1000,91200
DVM,20221102,13.9000,14.3000,13.7000,14.0000,87201
DVM,20221103,13.8000,14.1000,13.6000,14.0000,89201
DVM,20221104,14.0000,14.1000,13.4000,13.9000,92700
DVM,20221107,13.8000,13.9000,13.0000,13.8000,93700
DVM,20221108,13.5000,13.9000,13.1000,13.9000,71800
DVM,20221109,13.9000,14.0000,13.4000,13.9000,53500
DVM,20221110,12.7000,13.8000,12.7000,13.8000,76700
DVM,20221111,13.8000,13.9000,13.0000,13.7000,115200
DVM,20221114,13.6000,13.7000,12.9000,13.6000,75600
DVM,20221115,13.7000,13.7000,12.8000,13.0000,41700
DVM,20221116,13.0000,14.3000,12.8000,14.0000,126901
DVM,20221117,13.9000,14.2000,13.7000,14.0000,87400
DVM,20221118,14.0000,14.2000,13.6000,14.0000,16900
DVM,20221121,14.0000,14.0000,13.4000,13.9000,92460
DVM,20221122,13.7000,13.9000,13.5000,13.9000,97600
DVM,20221123,13.7000,13.9000,13.5000,13.9000,31600
DVM,20221124,13.5000,13.8000,13.5000,13.8000,41300
DVM,20221125,13.8000,13.8000,13.3000,13.6000,36600
DVM,20221128,13.6000,13.9000,13.4000,13.6000,76400
DVM,20221129,13.6000,13.7000,13.3000,13.6000,132240
DVM,20221130,13.7000,14.3000,13.5000,14.0000,118100
DVM,20221201,14.0000,14.2000,13.8000,14.0000,158900
DVM,20221202,14.0000,14.2000,13.7000,14.0000,52830
DVM,20221205,14.0000,14.2000,13.6000,13.8000,30300
DVM,20221206,13.7000,13.9000,13.4000,13.5000,34500
DVM,20221207,13.5000,13.6000,13.1000,13.5000,26500
DVM,20221208,13.4000,13.7000,12.9000,13.5000,46500
DVM,20221209,13.4000,13.5000,13.2000,13.4000,21902
DVM,20221212,13.5000,13.7000,13.2000,13.4000,21400
DVM,20221213,13.4000,13.4000,13.2000,13.4000,14202
DVM,20221214,13.3000,13.4000,13.1000,13.3000,19200
DVM,20221215,13.3000,13.4000,12.9000,13.4000,16600
DVM,20221216,13.4000,13.4000,13.3000,13.4000,24300
DVM,20221219,13.4000,13.4000,12.9000,13.1000,68600
DVM,20221220,13.2000,13.2000,13.0000,13.1000,17300
DVM,20221221,13.2000,13.2000,12.9000,13.1000,3700
DVM,20221222,13.0000,13.1000,12.9000,12.9000,3700
DVM,20221223,12.9000,12.9000,12.7000,12.7000,4100
DVM,20221226,12.7000,12.7000,12.3000,12.4000,6900
DVM,20221227,12.4000,12.6000,12.2000,12.6000,57200
DVM,20221228,12.6000,12.9000,12.4000,12.8000,34400
DVM,20221229,12.8000,12.9000,12.5000,12.8000,32400
DVM,20221230,12.7000,12.8000,12.4000,12.8000,62000
DVM,20230103,12.9000,13.4000,12.8000,13.1000,36800
DVM,20230104,13.1000,13.2000,12.5000,12.8000,17400
DVM,20230105,12.7000,12.9000,12.6000,12.8000,13701
DVM,20230106,12.8000,13.1000,12.7000,12.9000,15800
