<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
DVW,20180606,23.5000,23.5000,23.5000,23.5000,0
DVW,20180607,23.5000,23.5000,23.5000,23.5000,0
DVW,20180608,23.5000,23.5000,23.5000,23.5000,0
DVW,20180611,23.5000,23.5000,23.5000,23.5000,0
DVW,20180612,23.5000,23.5000,23.5000,23.5000,0
DVW,20180613,23.5000,23.5000,23.5000,23.5000,0
DVW,20180614,23.5000,23.5000,23.5000,23.5000,0
DVW,20180615,23.5000,23.5000,23.5000,23.5000,0
DVW,20180618,23.5000,23.5000,23.5000,23.5000,0
DVW,20180619,23.5000,23.5000,23.5000,23.5000,0
DVW,20180620,23.5000,23.5000,23.5000,23.5000,0
DVW,20180621,23.5000,23.5000,23.5000,23.5000,0
DVW,20180622,23.5000,23.5000,23.5000,23.5000,0
DVW,20180625,32.9000,32.9000,32.9000,32.9000,100
DVW,20180626,32.9000,32.9000,32.9000,32.9000,0
DVW,20180627,32.9000,32.9000,32.9000,32.9000,0
DVW,20180628,35.0000,35.0000,35.0000,35.0000,200
DVW,20180629,35.0000,35.0000,35.0000,35.0000,0
DVW,20180702,35.0000,35.0000,35.0000,35.0000,0
DVW,20180703,35.0000,35.0000,35.0000,35.0000,0
DVW,20180704,35.0000,35.0000,35.0000,35.0000,0
DVW,20180705,35.0000,35.0000,35.0000,35.0000,0
DVW,20180706,35.0000,35.0000,35.0000,35.0000,200
DVW,20180709,35.0000,35.0000,35.0000,35.0000,0
DVW,20180710,35.0000,35.0000,35.0000,35.0000,0
DVW,20180711,29.8000,29.8000,29.8000,29.8000,100
DVW,20180712,29.8000,29.8000,29.8000,29.8000,0
DVW,20180713,29.8000,29.8000,29.8000,29.8000,0
DVW,20180716,29.8000,29.8000,29.8000,29.8000,0
DVW,20180717,29.8000,29.8000,29.8000,29.8000,0
DVW,20180718,29.8000,29.8000,29.8000,29.8000,0
DVW,20180719,29.8000,29.8000,29.8000,29.8000,0
DVW,20180720,29.8000,29.8000,29.8000,29.8000,0
DVW,20180723,29.8000,29.8000,29.8000,29.8000,0
DVW,20180724,14.0832,14.0832,14.0832,14.0832,0
DVW,20180725,12.0335,12.0335,12.0335,12.0335,100
DVW,20180726,12.0335,12.0335,12.0335,12.0335,0
DVW,20180727,12.0335,12.0335,12.0335,12.0335,0
DVW,20180730,12.0335,12.0335,12.0335,12.0335,0
DVW,20180731,12.0335,12.0335,12.0335,12.0335,0
DVW,20180801,12.0335,12.0335,12.0335,12.0335,0
DVW,20180802,12.0335,12.0335,12.0335,12.0335,0
DVW,20180803,12.0335,12.0335,12.0335,12.0335,0
DVW,20180806,12.0335,12.0335,12.0335,12.0335,0
DVW,20180807,12.0335,12.0335,12.0335,12.0335,0
DVW,20180808,12.0335,12.0335,12.0335,12.0335,0
DVW,20180809,12.0335,12.0335,12.0335,12.0335,0
DVW,20180810,12.0335,12.0335,12.0335,12.0335,0
DVW,20180813,12.0335,12.0335,12.0335,12.0335,0
DVW,20180814,12.0335,12.0335,12.0335,12.0335,0
DVW,20180815,12.0335,12.0335,12.0335,12.0335,0
DVW,20180816,12.0335,12.0335,12.0335,12.0335,0
DVW,20180817,12.0335,12.0335,12.0335,12.0335,0
DVW,20180820,12.0335,12.0335,12.0335,12.0335,0
DVW,20180821,12.0335,12.0335,12.0335,12.0335,0
DVW,20180822,12.0335,12.0335,12.0335,12.0335,0
DVW,20180823,12.0335,12.0335,12.0335,12.0335,0
DVW,20180824,12.0335,12.0335,12.0335,12.0335,0
DVW,20180827,12.0335,12.0335,12.0335,12.0335,0
DVW,20180828,12.0335,12.0335,12.0335,12.0335,0
DVW,20180829,12.0335,12.0335,12.0335,12.0335,0
DVW,20180830,12.0335,12.0335,12.0335,12.0335,0
DVW,20180831,12.0335,12.0335,12.0335,12.0335,0
DVW,20180904,16.7941,16.7941,16.7941,16.7941,100
DVW,20180905,19.3066,19.3066,19.3066,19.3066,100
DVW,20180906,22.1496,22.1496,22.1496,22.1496,100
DVW,20180907,22.1496,25.1250,22.1496,25.1250,200
DVW,20180910,23.6704,23.6704,23.6704,23.6704,0
DVW,20180911,23.6704,23.6704,23.6704,23.6704,0
DVW,20180912,23.6704,23.6704,23.6704,23.6704,0
DVW,20180913,23.6704,23.6704,23.6704,23.6704,0
DVW,20180914,23.6704,23.6704,23.6704,23.6704,0
DVW,20180917,23.6704,23.6704,23.6704,23.6704,0
DVW,20180918,23.6704,23.6704,23.6704,23.6704,0
DVW,20180919,23.6704,23.6704,23.6704,23.6704,0
DVW,20180920,23.6704,23.6704,23.6704,23.6704,10
DVW,20180921,23.6704,23.6704,23.6704,23.6704,0
DVW,20180924,23.6704,23.6704,23.6704,23.6704,0
DVW,20180925,23.6704,23.6704,23.6704,23.6704,0
DVW,20180926,20.1661,20.1661,20.1661,20.1661,100
DVW,20180927,20.1661,20.1661,20.1661,20.1661,0
DVW,20180928,20.1661,20.1661,20.1661,20.1661,0
DVW,20181001,20.1661,20.1661,20.1661,20.1661,0
DVW,20181002,20.1661,20.1661,20.1661,20.1661,0
DVW,20181003,17.1908,17.1908,17.1908,17.1908,100
DVW,20181004,17.1908,17.1908,17.1908,17.1908,0
DVW,20181005,17.1908,17.1908,17.1908,17.1908,0
DVW,20181008,17.1908,17.1908,17.1908,17.1908,0
DVW,20181009,17.1908,17.1908,17.1908,17.1908,0
DVW,20181010,17.1908,17.1908,17.1908,17.1908,0
DVW,20181011,17.1908,17.1908,17.1908,17.1908,0
DVW,20181012,17.1908,17.1908,17.1908,17.1908,0
DVW,20181015,16.3312,16.3312,16.3312,16.3312,2835
DVW,20181016,16.3312,16.3312,16.3312,16.3312,0
DVW,20181017,16.3312,16.3312,16.3312,16.3312,0
DVW,20181018,16.3312,16.3312,16.3312,16.3312,0
DVW,20181019,16.3312,16.3312,16.3312,16.3312,0
DVW,20181022,16.3312,16.3312,16.3312,16.3312,0
DVW,20181023,16.5296,16.5296,16.5296,16.5296,2243
DVW,20181024,16.5296,16.5296,16.5296,16.5296,1000
DVW,20181025,16.5296,16.5296,16.5296,16.5296,1400
DVW,20181026,14.0832,16.5296,14.0832,16.5296,2100
DVW,20181029,16.3973,16.3973,16.3973,16.3973,0
DVW,20181030,14.0171,14.0171,14.0171,14.0171,100
DVW,20181031,12.1658,12.1658,12.1658,12.1658,100
DVW,20181101,12.1658,12.1658,12.1658,12.1658,0
DVW,20181102,12.1658,12.1658,12.1658,12.1658,0
DVW,20181105,12.1658,12.1658,12.1658,12.1658,0
DVW,20181106,12.1658,12.1658,12.1658,12.1658,0
