<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
DZM,20090611,45.0000,68.0000,40.0000,64.0000,373900
DZM,20090612,55.6000,55.6000,55.6000,55.6000,4100
DZM,20090615,59.4000,59.4000,59.4000,59.4000,7500
DZM,20090616,63.5000,63.5000,55.3000,55.4000,213200
DZM,20090617,52.9000,53.5000,52.9000,52.9000,87200
DZM,20090618,49.5000,50.0000,49.2000,49.2000,48500
DZM,20090619,46.0000,52.0000,45.8000,45.9000,116200
DZM,20090622,43.4000,46.6000,43.4000,43.4000,23400
DZM,20090623,40.9000,40.9000,40.9000,40.9000,2400
DZM,20090624,38.1000,42.4000,38.1000,38.6000,98700
DZM,20090625,39.0000,39.8000,35.7000,35.7000,42300
DZM,20090626,34.2000,37.0000,34.1000,34.1000,60800
DZM,20090629,32.5000,32.5000,31.9000,31.9000,38200
DZM,20090630,30.2000,30.2000,29.8000,29.8000,28600
DZM,20090701,27.9000,27.9000,27.9000,27.9000,400
DZM,20090702,26.0000,29.0000,26.0000,27.7000,63900
DZM,20090703,24.9000,28.5000,24.9000,28.5000,68700
DZM,20090706,28.7000,28.7000,28.7000,28.7000,9500
DZM,20090707,30.7000,30.7000,30.7000,30.7000,200
DZM,20090708,32.8000,32.8000,32.8000,32.8000,21800
DZM,20090709,35.0000,35.0000,32.9000,35.0000,83600
DZM,20090710,37.4000,37.4000,33.0000,33.5000,87000
DZM,20090713,36.0000,36.0000,32.0000,32.0000,14900
DZM,20090714,34.0000,34.0000,31.4000,32.5000,34100
DZM,20090715,33.9000,34.2000,33.0000,34.2000,18300
DZM,20090716,36.1000,36.1000,34.5000,35.2000,31100
DZM,20090717,36.5000,36.5000,33.8000,33.8000,7400
DZM,20090720,32.2000,32.2000,32.0000,32.0000,600
DZM,20090721,31.2000,32.4000,30.1000,31.5000,25900
DZM,20090722,33.0000,33.0000,31.6000,32.0000,6700
DZM,20090723,31.0000,33.4000,29.9000,33.2000,19300
DZM,20090724,33.5000,33.9000,33.5000,33.9000,20600
DZM,20090727,36.1000,36.1000,34.9000,36.1000,73600
DZM,20090728,38.1000,38.2000,35.0000,36.5000,30800
DZM,20090729,38.1000,38.1000,35.2000,36.0000,58700
DZM,20090730,35.8000,38.0000,35.0000,38.0000,60400
DZM,20090731,38.6000,38.9000,38.0000,38.9000,77700
DZM,20090803,40.5000,41.0000,38.8000,40.0000,48100
DZM,20090804,42.0000,42.0000,39.0000,39.9000,36900
DZM,20090805,40.0000,41.6000,39.5000,41.4000,52100
DZM,20090806,42.0000,43.7000,40.9000,42.0000,38500
DZM,20090807,42.0000,43.0000,41.4000,41.4000,23900
DZM,20090810,42.1000,42.9000,42.0000,42.3000,23200
DZM,20090811,41.5000,42.0000,40.1000,41.0000,20500
DZM,20090812,41.0000,41.4000,39.5000,39.5000,17200
DZM,20090813,41.0000,41.0000,38.0000,38.1000,35700
DZM,20090814,39.5000,41.4000,38.0000,41.4000,70200
DZM,20090817,42.0000,42.2000,40.0000,40.0000,20800
DZM,20090818,41.0000,41.4000,40.2000,40.8000,48600
DZM,20090819,41.0000,42.0000,39.0000,40.4000,65400
DZM,20090820,39.0000,39.7000,38.6000,39.0000,30200
DZM,20090821,38.6000,39.9000,38.3000,39.0000,26800
DZM,20090824,39.0000,39.0000,38.0000,38.1000,11100
DZM,20090825,38.0000,38.1000,37.5000,37.6000,24100
DZM,20090826,39.0000,40.5000,39.0000,39.5000,59400
DZM,20090827,40.0000,40.0000,39.7000,39.9000,4900
DZM,20090828,40.0000,40.4000,39.9000,40.1000,53900
DZM,20090831,40.1000,41.0000,39.6000,41.0000,50700
DZM,20090901,40.6000,42.0000,39.6000,41.7000,73800
DZM,20090903,40.5000,41.5000,40.5000,40.8000,36500
DZM,20090904,41.0000,41.0000,39.2000,40.0000,23100
DZM,20090907,38.0000,39.0000,38.0000,38.3000,6500
DZM,20090908,39.0000,39.5000,39.0000,39.2000,16100
DZM,20090909,39.5000,39.5000,39.0000,39.2000,19200
DZM,20090910,39.3000,41.5000,39.2000,40.6000,47300
DZM,20090911,41.0000,41.4000,39.5000,40.4000,21100
DZM,20090914,41.0000,41.0000,39.5000,40.5000,29300
DZM,20090915,40.2000,40.2000,39.5000,39.9000,18700
DZM,20090916,39.7000,40.4000,39.6000,40.4000,48900
DZM,20090917,40.8000,42.5000,40.6000,42.5000,50000
DZM,20090918,45.0000,45.1000,43.5000,45.1000,76900
DZM,20090921,47.5000,47.9000,47.5000,47.9000,82200
DZM,20090922,48.0000,50.4000,46.0000,47.5000,38000
DZM,20090923,48.0000,48.0000,45.1000,45.4000,86700
DZM,20090924,45.7000,48.5000,45.7000,48.4000,45900
DZM,20090925,48.0000,49.0000,47.8000,48.6000,55600
DZM,20090928,50.0000,50.6000,48.6000,48.9000,43200
