<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
E12,20191231,11.8000,11.8000,11.8000,11.8000,0
E12,20200102,11.8000,11.8000,11.8000,11.8000,0
E12,20200103,11.8000,11.8000,11.8000,11.8000,0
E12,20200106,11.8000,11.8000,11.8000,11.8000,0
E12,20200107,11.8000,11.8000,11.8000,11.8000,0
E12,20200108,11.8000,11.8000,11.8000,11.8000,0
E12,20200109,11.8000,11.8000,11.8000,11.8000,0
E12,20200110,11.8000,11.8000,11.8000,11.8000,0
E12,20200113,11.8000,11.8000,11.8000,11.8000,0
E12,20200114,11.8000,11.8000,11.8000,11.8000,0
E12,20200115,11.8000,11.8000,11.8000,11.8000,0
E12,20200116,11.8000,11.8000,11.8000,11.8000,0
E12,20200117,11.8000,11.8000,11.8000,11.8000,0
E12,20200120,11.8000,11.8000,11.8000,11.8000,0
E12,20200121,11.8000,11.8000,11.8000,11.8000,0
E12,20200122,11.8000,11.8000,11.8000,11.8000,0
E12,20200130,11.8000,11.8000,11.8000,11.8000,0
E12,20200131,11.8000,11.8000,11.8000,11.8000,0
E12,20200203,11.8000,11.8000,11.8000,11.8000,0
E12,20200204,11.8000,11.8000,11.8000,11.8000,0
E12,20200205,11.8000,11.8000,11.8000,11.8000,0
E12,20200206,11.8000,11.8000,11.8000,11.8000,0
E12,20200207,11.8000,11.8000,11.8000,11.8000,0
E12,20200210,11.8000,11.8000,11.8000,11.8000,0
E12,20200211,11.8000,11.8000,11.8000,11.8000,0
E12,20200212,11.8000,11.8000,11.8000,11.8000,0
E12,20200213,11.8000,11.8000,11.8000,11.8000,0
E12,20200214,11.8000,11.8000,11.8000,11.8000,0
E12,20200217,11.8000,11.8000,11.8000,11.8000,0
E12,20200218,11.8000,11.8000,11.8000,11.8000,0
E12,20200219,11.8000,11.8000,11.8000,11.8000,0
E12,20200220,11.8000,11.8000,11.8000,11.8000,0
E12,20200221,11.8000,11.8000,11.8000,11.8000,0
E12,20200224,11.8000,11.8000,11.8000,11.8000,0
E12,20200225,11.8000,11.8000,11.8000,11.8000,0
E12,20200226,11.8000,11.8000,11.8000,11.8000,0
E12,20200227,11.8000,11.8000,11.8000,11.8000,0
E12,20200228,11.8000,11.8000,11.8000,11.8000,0
E12,20200302,11.8000,11.8000,11.8000,11.8000,0
E12,20200303,11.8000,11.8000,11.8000,11.8000,0
E12,20200304,11.8000,11.8000,11.8000,11.8000,0
E12,20200305,11.8000,11.8000,11.8000,11.8000,0
E12,20200306,11.8000,11.8000,11.8000,11.8000,0
E12,20200309,11.8000,11.8000,11.8000,11.8000,0
E12,20200310,11.8000,11.8000,11.8000,11.8000,0
E12,20200311,11.8000,11.8000,11.8000,11.8000,0
E12,20200312,11.8000,11.8000,11.8000,11.8000,0
E12,20200313,11.8000,11.8000,11.8000,11.8000,0
E12,20200316,11.8000,11.8000,11.8000,11.8000,0
E12,20200317,11.8000,11.8000,11.8000,11.8000,0
E12,20200318,11.8000,11.8000,11.8000,11.8000,0
E12,20200319,11.8000,11.8000,11.8000,11.8000,0
E12,20200320,11.8000,11.8000,11.8000,11.8000,0
E12,20200323,11.8000,11.8000,11.8000,11.8000,0
E12,20200324,11.8000,11.8000,11.8000,11.8000,0
E12,20200325,11.8000,11.8000,11.8000,11.8000,0
E12,20200326,11.8000,11.8000,11.8000,11.8000,0
E12,20200327,11.8000,11.8000,11.8000,11.8000,0
E12,20200330,11.8000,11.8000,11.8000,11.8000,0
E12,20200331,11.8000,11.8000,11.8000,11.8000,0
E12,20200401,11.8000,11.8000,11.8000,11.8000,0
E12,20200403,11.8000,11.8000,11.8000,11.8000,0
E12,20200406,11.8000,11.8000,11.8000,11.8000,0
E12,20200407,11.8000,11.8000,11.8000,11.8000,0
E12,20200408,11.8000,11.8000,11.8000,11.8000,0
E12,20200409,11.8000,11.8000,11.8000,11.8000,0
E12,20200410,11.8000,11.8000,11.8000,11.8000,0
E12,20200413,11.8000,11.8000,11.8000,11.8000,0
E12,20200414,11.8000,11.8000,11.8000,11.8000,0
E12,20200415,11.8000,11.8000,11.8000,11.8000,0
E12,20200416,11.8000,11.8000,11.8000,11.8000,0
E12,20200417,11.8000,11.8000,11.8000,11.8000,0
E12,20200420,11.8000,11.8000,11.8000,11.8000,0
E12,20200421,11.8000,11.8000,11.8000,11.8000,0
E12,20200422,11.8000,11.8000,11.8000,11.8000,0
E12,20200423,11.8000,11.8000,11.8000,11.8000,0
E12,20200424,11.8000,11.8000,11.8000,11.8000,0
E12,20200427,11.8000,11.8000,11.8000,11.8000,0
E12,20200428,11.8000,11.8000,11.8000,11.8000,0
E12,20200429,11.8000,11.8000,11.8000,11.8000,0
E12,20200504,11.8000,11.8000,11.8000,11.8000,0
E12,20200505,11.8000,11.8000,11.8000,11.8000,0
E12,20200506,11.8000,11.8000,11.8000,11.8000,0
E12,20200507,11.8000,11.8000,11.8000,11.8000,0
E12,20200508,11.8000,11.8000,11.8000,11.8000,0
E12,20200511,11.8000,11.8000,11.8000,11.8000,0
E12,20200512,11.8000,11.8000,11.8000,11.8000,0
E12,20200513,11.8000,11.8000,11.8000,11.8000,0
E12,20200514,11.8000,11.8000,11.8000,11.8000,0
E12,20200515,11.8000,11.8000,11.8000,11.8000,0
E12,20200518,11.8000,11.8000,11.8000,11.8000,0
E12,20200519,11.8000,11.8000,11.8000,11.8000,0
E12,20200520,11.8000,11.8000,11.8000,11.8000,0
E12,20200521,11.8000,11.8000,11.8000,11.8000,0
E12,20200522,11.8000,11.8000,11.8000,11.8000,0
E12,20200525,11.8000,11.8000,11.8000,11.8000,0
E12,20200526,11.8000,11.8000,11.8000,11.8000,0
E12,20200527,11.8000,11.8000,11.8000,11.8000,0
E12,20200528,11.8000,11.8000,11.8000,11.8000,0
E12,20200529,11.8000,11.8000,11.8000,11.8000,0
E12,20200601,11.8000,11.8000,11.8000,11.8000,0
E12,20200602,11.8000,11.8000,11.8000,11.8000,0
E12,20200603,11.8000,11.8000,11.8000,11.8000,0
E12,20200604,11.8000,11.8000,11.8000,11.8000,0
E12,20200605,11.8000,11.8000,11.8000,11.8000,0
E12,20200608,11.8000,11.8000,11.8000,11.8000,0
E12,20200609,11.8000,11.8000,11.8000,11.8000,0
E12,20200610,11.8000,11.8000,11.8000,11.8000,0
E12,20200611,11.8000,11.8000,11.8000,11.8000,0
E12,20200612,7.1000,7.1000,7.1000,7.1000,200
E12,20200615,6.1000,6.1000,6.1000,6.1000,100
E12,20200616,6.1000,6.1000,6.1000,6.1000,0
E12,20200617,7.0000,7.0000,7.0000,7.0000,100
E12,20200618,8.0000,8.0000,8.0000,8.0000,100
E12,20200619,8.0000,8.0000,8.0000,8.0000,0
E12,20200622,8.0000,8.0000,8.0000,8.0000,0
E12,20200623,8.0000,8.0000,8.0000,8.0000,0
E12,20200624,8.0000,8.0000,8.0000,8.0000,0
E12,20200625,8.0000,8.0000,8.0000,8.0000,0
E12,20200626,8.0000,8.0000,8.0000,8.0000,0
E12,20200629,8.0000,8.0000,8.0000,8.0000,0
E12,20200630,8.0000,8.0000,8.0000,8.0000,0
E12,20200701,8.0000,8.0000,8.0000,8.0000,0
E12,20200702,8.0000,8.0000,8.0000,8.0000,0
E12,20200703,8.0000,8.0000,8.0000,8.0000,0
E12,20200706,8.0000,8.0000,8.0000,8.0000,0
E12,20200707,8.0000,8.0000,8.0000,8.0000,0
E12,20200708,8.0000,8.0000,8.0000,8.0000,0
E12,20200709,8.0000,8.0000,8.0000,8.0000,0
E12,20200710,8.0000,8.0000,8.0000,8.0000,0
E12,20200713,8.0000,8.0000,8.0000,8.0000,0
E12,20200714,8.0000,8.0000,8.0000,8.0000,0
E12,20200715,8.0000,8.0000,8.0000,8.0000,0
E12,20200716,8.0000,8.0000,8.0000,8.0000,0
E12,20200717,8.0000,8.0000,8.0000,8.0000,0
E12,20200720,8.0000,8.0000,8.0000,8.0000,0
E12,20200721,8.0000,8.0000,8.0000,8.0000,0
E12,20200722,8.0000,8.0000,8.0000,8.0000,0
E12,20200723,8.0000,8.0000,8.0000,8.0000,0
E12,20200724,8.0000,8.0000,8.0000,8.0000,0
E12,20200727,8.0000,8.0000,8.0000,8.0000,0
E12,20200728,8.0000,8.0000,8.0000,8.0000,0
E12,20200729,8.0000,8.0000,8.0000,8.0000,0
E12,20200730,8.0000,8.0000,8.0000,8.0000,0
E12,20200731,8.0000,8.0000,8.0000,8.0000,0
E12,20200803,8.0000,8.0000,8.0000,8.0000,0
E12,20200804,8.0000,8.0000,8.0000,8.0000,0
E12,20200805,8.0000,8.0000,8.0000,8.0000,0
E12,20200806,8.0000,8.0000,8.0000,8.0000,0
E12,20200807,8.0000,8.0000,8.0000,8.0000,0
E12,20200810,8.0000,8.0000,8.0000,8.0000,0
E12,20200811,8.0000,8.0000,8.0000,8.0000,0
E12,20200812,8.0000,8.0000,8.0000,8.0000,0
E12,20200813,8.0000,8.0000,8.0000,8.0000,0
E12,20200814,8.0000,8.0000,8.0000,8.0000,0
E12,20200817,8.0000,8.0000,8.0000,8.0000,0
E12,20200818,8.0000,8.0000,8.0000,8.0000,0
E12,20200819,8.0000,8.0000,8.0000,8.0000,0
E12,20200820,8.0000,8.0000,8.0000,8.0000,0
E12,20200821,8.0000,8.0000,8.0000,8.0000,0
E12,20200824,8.0000,8.0000,8.0000,8.0000,0
E12,20200825,8.0000,8.0000,8.0000,8.0000,0
E12,20200826,8.0000,8.0000,8.0000,8.0000,0
E12,20200827,8.0000,8.0000,8.0000,8.0000,0
E12,20200828,8.0000,8.0000,8.0000,8.0000,0
E12,20200831,8.0000,8.0000,8.0000,8.0000,0
E12,20200901,8.0000,8.0000,8.0000,8.0000,0
E12,20200903,8.0000,8.0000,8.0000,8.0000,0
E12,20200904,8.0000,8.0000,8.0000,8.0000,0
E12,20200907,8.0000,8.0000,8.0000,8.0000,0
E12,20200908,8.0000,8.0000,8.0000,8.0000,0
E12,20200909,8.0000,8.0000,8.0000,8.0000,0
E12,20200910,8.0000,8.0000,8.0000,8.0000,0
E12,20200911,8.0000,8.0000,8.0000,8.0000,0
E12,20200914,8.0000,8.0000,8.0000,8.0000,0
E12,20200915,8.0000,8.0000,8.0000,8.0000,0
E12,20200916,8.0000,8.0000,8.0000,8.0000,0
E12,20200917,8.0000,8.0000,8.0000,8.0000,0
E12,20200918,8.0000,8.0000,8.0000,8.0000,0
E12,20200921,8.0000,8.0000,8.0000,8.0000,0
E12,20200922,8.0000,8.0000,8.0000,8.0000,0
E12,20200923,8.0000,8.0000,8.0000,8.0000,0
E12,20200924,8.0000,8.0000,8.0000,8.0000,0
E12,20200925,8.0000,8.0000,8.0000,8.0000,0
E12,20200928,8.0000,8.0000,8.0000,8.0000,0
E12,20200929,8.0000,8.0000,8.0000,8.0000,0
E12,20200930,8.0000,8.0000,8.0000,8.0000,0
E12,20201001,8.0000,8.0000,8.0000,8.0000,0
E12,20201002,8.0000,8.0000,8.0000,8.0000,0
E12,20201005,8.0000,8.0000,8.0000,8.0000,0
E12,20201006,8.0000,8.0000,8.0000,8.0000,0
E12,20201007,8.0000,8.0000,8.0000,8.0000,0
E12,20201008,8.0000,8.0000,8.0000,8.0000,0
E12,20201009,8.0000,8.0000,8.0000,8.0000,0
E12,20201012,8.0000,8.0000,8.0000,8.0000,0
E12,20201013,8.0000,8.0000,8.0000,8.0000,0
E12,20201014,8.0000,8.0000,8.0000,8.0000,0
E12,20201015,8.0000,8.0000,8.0000,8.0000,0
E12,20201016,8.0000,8.0000,8.0000,8.0000,0
E12,20201019,8.0000,8.0000,8.0000,8.0000,0
E12,20201020,8.0000,8.0000,8.0000,8.0000,0
E12,20201021,8.0000,8.0000,8.0000,8.0000,0
E12,20201022,8.0000,8.0000,8.0000,8.0000,0
E12,20201023,8.0000,8.0000,8.0000,8.0000,0
E12,20201026,8.0000,8.0000,8.0000,8.0000,0
E12,20201027,8.0000,8.0000,8.0000,8.0000,0
E12,20201028,8.0000,8.0000,8.0000,8.0000,0
E12,20201029,8.0000,8.0000,8.0000,8.0000,0
E12,20201030,8.0000,8.0000,8.0000,8.0000,0
E12,20201102,8.0000,8.0000,8.0000,8.0000,0
E12,20201103,8.0000,8.0000,8.0000,8.0000,0
E12,20201104,8.0000,8.0000,8.0000,8.0000,0
E12,20201105,8.0000,8.0000,8.0000,8.0000,0
E12,20201106,8.0000,8.0000,8.0000,8.0000,0
E12,20201109,10.0000,10.0000,10.0000,10.0000,100
E12,20201110,10.0000,10.0000,10.0000,10.0000,0
E12,20201111,10.0000,10.0000,10.0000,10.0000,0
E12,20201112,10.0000,10.0000,10.0000,10.0000,0
E12,20201113,10.0000,10.0000,10.0000,10.0000,0
E12,20201116,10.0000,10.0000,10.0000,10.0000,0
E12,20201117,10.0000,10.0000,10.0000,10.0000,0
E12,20201118,10.0000,10.0000,10.0000,10.0000,0
E12,20201119,10.0000,10.0000,10.0000,10.0000,0
E12,20201120,10.0000,10.0000,10.0000,10.0000,0
E12,20201123,10.0000,10.0000,10.0000,10.0000,0
E12,20201124,10.0000,10.0000,10.0000,10.0000,0
E12,20201125,10.0000,10.0000,10.0000,10.0000,0
E12,20201126,10.0000,10.0000,10.0000,10.0000,0
E12,20201127,10.0000,10.0000,10.0000,10.0000,0
E12,20201130,10.0000,10.0000,10.0000,10.0000,0
E12,20201201,10.0000,10.0000,10.0000,10.0000,0
E12,20201202,10.0000,10.0000,10.0000,10.0000,0
E12,20201203,10.0000,10.0000,10.0000,10.0000,0
E12,20201204,10.0000,10.0000,10.0000,10.0000,0
E12,20201207,10.0000,10.0000,10.0000,10.0000,0
E12,20201208,10.0000,10.0000,10.0000,10.0000,0
E12,20201209,10.0000,10.0000,10.0000,10.0000,0
E12,20201210,10.0000,10.0000,10.0000,10.0000,0
E12,20201211,10.0000,10.0000,10.0000,10.0000,0
E12,20201214,10.0000,10.0000,10.0000,10.0000,0
E12,20201215,10.0000,10.0000,10.0000,10.0000,0
E12,20201216,10.0000,10.0000,10.0000,10.0000,0
E12,20201217,10.0000,10.0000,10.0000,10.0000,0
E12,20201218,10.0000,10.0000,10.0000,10.0000,0
E12,20201221,10.0000,10.0000,10.0000,10.0000,0
E12,20201222,10.0000,10.0000,10.0000,10.0000,0
E12,20201223,10.0000,10.0000,10.0000,10.0000,0
E12,20201224,10.0000,10.0000,10.0000,10.0000,0
E12,20201225,10.0000,10.0000,10.0000,10.0000,0
E12,20201228,10.0000,10.0000,10.0000,10.0000,0
E12,20201229,10.0000,10.0000,10.0000,10.0000,0
E12,20201230,10.0000,10.0000,10.0000,10.0000,0
E12,20201231,10.0000,10.0000,10.0000,10.0000,0
E12,20210104,10.0000,10.0000,10.0000,10.0000,0
E12,20210105,10.0000,10.0000,10.0000,10.0000,0
E12,20210106,10.0000,10.0000,10.0000,10.0000,0
E12,20210107,10.0000,10.0000,10.0000,10.0000,0
E12,20210108,10.0000,10.0000,10.0000,10.0000,0
E12,20210111,10.0000,10.0000,10.0000,10.0000,0
E12,20210112,10.0000,10.0000,10.0000,10.0000,0
E12,20210113,10.0000,10.0000,10.0000,10.0000,0
E12,20210114,10.0000,10.0000,10.0000,10.0000,0
E12,20210115,10.0000,10.0000,10.0000,10.0000,0
E12,20210118,10.0000,10.0000,10.0000,10.0000,0
E12,20210119,10.0000,10.0000,10.0000,10.0000,0
E12,20210120,10.0000,10.0000,10.0000,10.0000,0
E12,20210121,10.0000,10.0000,10.0000,10.0000,0
E12,20210122,10.0000,10.0000,10.0000,10.0000,0
E12,20210125,10.0000,10.0000,10.0000,10.0000,0
E12,20210126,10.0000,10.0000,10.0000,10.0000,0
E12,20210127,10.0000,10.0000,10.0000,10.0000,0
E12,20210128,10.0000,10.0000,10.0000,10.0000,0
E12,20210129,10.0000,10.0000,10.0000,10.0000,0
E12,20210201,10.0000,10.0000,10.0000,10.0000,0
E12,20210202,10.0000,10.0000,10.0000,10.0000,0
E12,20210203,10.0000,10.0000,10.0000,10.0000,0
E12,20210204,10.0000,10.0000,10.0000,10.0000,0
E12,20210205,10.0000,10.0000,10.0000,10.0000,0
E12,20210208,10.0000,10.0000,10.0000,10.0000,0
E12,20210209,10.0000,10.0000,10.0000,10.0000,0
E12,20210217,10.0000,10.0000,10.0000,10.0000,0
E12,20210218,10.0000,10.0000,10.0000,10.0000,0
E12,20210219,10.0000,10.0000,10.0000,10.0000,0
E12,20210222,10.0000,10.0000,10.0000,10.0000,0
E12,20210223,10.0000,10.0000,10.0000,10.0000,0
E12,20210224,10.0000,10.0000,10.0000,10.0000,0
E12,20210225,10.0000,10.0000,10.0000,10.0000,0
E12,20210226,10.0000,10.0000,10.0000,10.0000,0
E12,20210301,10.0000,10.0000,10.0000,10.0000,0
E12,20210302,10.0000,10.0000,10.0000,10.0000,0
E12,20210303,10.0000,10.0000,10.0000,10.0000,0
E12,20210304,10.0000,10.0000,10.0000,10.0000,0
E12,20210305,10.0000,10.0000,10.0000,10.0000,0
E12,20210308,10.0000,10.0000,10.0000,10.0000,0
E12,20210309,10.0000,10.0000,10.0000,10.0000,0
E12,20210310,10.0000,10.0000,10.0000,10.0000,0
E12,20210311,10.0000,10.0000,10.0000,10.0000,0
