<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
EIC,20170228,14.7000,14.7000,12.6000,14.7000,13200
EIC,20170301,16.7000,16.7000,16.7000,16.7000,19189
EIC,20170302,19.2000,19.2000,16.7000,19.2000,10550
EIC,20170303,21.8000,21.8000,21.8000,21.8000,8150
EIC,20170306,25.0000,25.0000,18.6000,18.6000,8910
EIC,20170307,17.6000,17.6000,17.6000,17.6000,1220
EIC,20170308,15.0000,15.0000,15.0000,15.0000,2015
EIC,20170309,12.8000,17.0000,12.8000,17.0000,11364
EIC,20170310,14.5000,14.5000,12.1000,13.5000,2410
EIC,20170313,12.1000,12.1000,11.5000,12.1000,3400
EIC,20170314,10.3000,10.4000,10.2000,10.2000,10900
EIC,20170315,10.2000,10.2000,8.8000,8.8000,5100
EIC,20170316,10.2000,10.2000,9.0000,9.0000,1200
EIC,20170317,9.9000,9.9000,9.9000,9.9000,800
EIC,20170320,10.0000,10.0000,9.0000,9.0000,1000
EIC,20170321,9.1000,9.8000,9.1000,9.8000,600
EIC,20170322,9.2000,9.2000,9.2000,9.2000,0
EIC,20170323,9.2000,9.2000,9.2000,9.2000,0
EIC,20170324,9.2000,9.2000,9.2000,9.2000,200
EIC,20170327,9.2000,9.2000,9.2000,9.2000,0
EIC,20170328,9.2000,9.2000,8.7000,8.7000,1120
EIC,20170329,8.7000,8.7000,8.7000,8.7000,0
EIC,20170330,9.4000,9.4000,8.5000,8.5000,1100
EIC,20170331,9.1000,9.1000,9.1000,9.1000,100
EIC,20170403,9.1000,9.1000,9.1000,9.1000,10
EIC,20170404,8.0000,8.2000,8.0000,8.2000,2609
EIC,20170405,8.2000,8.2000,8.2000,8.2000,100
EIC,20170407,8.3000,8.3000,8.2000,8.2000,2700
EIC,20170410,9.5000,9.5000,9.5000,9.5000,100
EIC,20170411,8.2000,9.4000,8.2000,9.4000,300
EIC,20170412,8.6000,8.6000,8.6000,8.6000,0
EIC,20170413,8.2000,8.2000,8.1000,8.1000,900
EIC,20170414,8.1000,8.9000,8.1000,8.9000,300
EIC,20170417,8.9000,8.9000,8.9000,8.9000,100
EIC,20170418,8.0000,8.0000,8.0000,8.0000,1600
EIC,20170419,8.0000,8.0000,7.8000,8.0000,3100
EIC,20170420,7.8000,7.8000,7.8000,7.8000,120
EIC,20170421,7.8000,7.8000,7.8000,7.8000,10
EIC,20170424,7.8000,7.8000,7.8000,7.8000,2000
EIC,20170425,7.8000,7.8000,7.8000,7.8000,0
EIC,20170426,7.8000,7.8000,7.8000,7.8000,0
EIC,20170427,7.8000,7.8000,7.8000,7.8000,1000
EIC,20170428,7.8000,7.8000,7.8000,7.8000,0
EIC,20170503,7.8000,7.8000,7.8000,7.8000,0
EIC,20170504,7.9000,7.9000,7.9000,7.9000,1100
EIC,20170505,9.0000,9.0000,9.0000,9.0000,100
EIC,20170508,9.0000,9.0000,9.0000,9.0000,49
EIC,20170509,7.8000,7.8000,7.8000,7.8000,1000
EIC,20170510,7.8000,7.8000,7.8000,7.8000,0
EIC,20170511,7.8000,8.0000,7.8000,8.0000,2300
EIC,20170512,7.9000,7.9000,7.9000,7.9000,0
EIC,20170515,7.9000,7.9000,7.9000,7.9000,0
EIC,20170516,7.9000,7.9000,7.9000,7.9000,0
EIC,20170517,7.9000,7.9000,7.9000,7.9000,0
EIC,20170518,7.9000,7.9000,7.8000,7.8000,3400
EIC,20170519,7.8000,7.8000,7.8000,7.8000,0
EIC,20170522,7.7000,7.7000,7.7000,7.7000,300
EIC,20170523,7.7000,7.7000,7.7000,7.7000,400
EIC,20170524,7.7000,7.7000,7.7000,7.7000,300
EIC,20170525,7.7000,7.7000,7.7000,7.7000,0
EIC,20170526,7.7000,7.7000,7.7000,7.7000,0
EIC,20170529,7.7000,8.8000,6.6000,8.8000,3000
EIC,20170530,7.0000,7.0000,7.0000,7.0000,0
EIC,20170531,8.0000,8.0000,8.0000,8.0000,100
EIC,20170601,8.0000,8.0000,8.0000,8.0000,0
EIC,20170602,8.0000,8.0000,8.0000,8.0000,0
EIC,20170605,8.9000,8.9000,8.9000,8.9000,100
EIC,20170606,8.9000,8.9000,8.9000,8.9000,0
EIC,20170607,8.9000,8.9000,8.9000,8.9000,0
EIC,20170608,8.0000,8.0000,7.8000,7.8000,2600
EIC,20170609,8.0000,8.0000,8.0000,8.0000,0
