<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
EMG,20170216,22.4000,22.4000,22.4000,22.4000,1200
EMG,20170217,20.0000,20.0000,20.0000,20.0000,800
EMG,20170220,20.0000,20.0000,20.0000,20.0000,1000
EMG,20170221,20.0000,20.0000,20.0000,20.0000,0
EMG,20170222,20.0000,20.0000,20.0000,20.0000,0
EMG,20170223,20.0000,20.0000,20.0000,20.0000,0
EMG,20170224,18.5000,18.5000,18.5000,18.5000,100
EMG,20170227,18.5000,18.5000,18.5000,18.5000,0
EMG,20170228,18.5000,18.5000,18.5000,18.5000,0
EMG,20170301,18.5000,18.5000,18.5000,18.5000,0
EMG,20170302,18.5000,18.5000,18.5000,18.5000,0
EMG,20170303,18.5000,18.5000,18.5000,18.5000,0
EMG,20170306,15.8000,15.8000,15.8000,15.8000,100
EMG,20170307,15.8000,15.8000,15.8000,15.8000,0
EMG,20170308,15.8000,15.8000,15.8000,15.8000,0
EMG,20170309,15.8000,15.8000,15.8000,15.8000,0
EMG,20170310,15.8000,15.8000,15.8000,15.8000,0
EMG,20170313,15.8000,15.8000,15.8000,15.8000,0
EMG,20170314,15.8000,15.8000,15.8000,15.8000,0
EMG,20170315,15.8000,15.8000,15.8000,15.8000,0
EMG,20170316,15.8000,15.8000,15.8000,15.8000,0
EMG,20170317,15.8000,15.8000,15.8000,15.8000,0
EMG,20170320,15.8000,15.8000,15.8000,15.8000,0
EMG,20170321,15.8000,15.8000,15.8000,15.8000,0
EMG,20170322,15.8000,15.8000,15.8000,15.8000,0
EMG,20170323,15.8000,15.8000,15.8000,15.8000,0
EMG,20170324,15.8000,15.8000,15.8000,15.8000,0
EMG,20170327,15.8000,15.8000,15.8000,15.8000,0
EMG,20170328,15.8000,15.8000,15.8000,15.8000,0
EMG,20170329,15.8000,15.8000,15.8000,15.8000,0
EMG,20170330,15.8000,15.8000,15.8000,15.8000,0
EMG,20170331,15.8000,15.8000,15.8000,15.8000,0
EMG,20170403,15.8000,15.8000,15.8000,15.8000,0
EMG,20170404,15.8000,15.8000,15.8000,15.8000,0
EMG,20170405,15.8000,15.8000,15.8000,15.8000,0
EMG,20170407,15.8000,15.8000,15.8000,15.8000,0
EMG,20170410,15.8000,15.8000,15.8000,15.8000,0
EMG,20170411,15.8000,15.8000,15.8000,15.8000,0
EMG,20170412,15.8000,15.8000,15.8000,15.8000,0
EMG,20170413,15.8000,15.8000,15.8000,15.8000,0
EMG,20170414,15.8000,15.8000,15.8000,15.8000,0
EMG,20170417,15.8000,15.8000,15.8000,15.8000,0
EMG,20170418,15.8000,15.8000,15.8000,15.8000,0
EMG,20170419,15.8000,15.8000,15.8000,15.8000,0
EMG,20170420,15.8000,15.8000,15.8000,15.8000,0
EMG,20170421,15.8000,15.8000,15.8000,15.8000,0
EMG,20170424,15.8000,15.8000,15.8000,15.8000,0
EMG,20170425,15.8000,15.8000,15.8000,15.8000,0
EMG,20170426,15.8000,15.8000,15.8000,15.8000,0
EMG,20170427,15.8000,15.8000,15.8000,15.8000,0
EMG,20170428,15.8000,15.8000,15.8000,15.8000,0
EMG,20170503,15.8000,15.8000,15.8000,15.8000,0
EMG,20170504,15.8000,15.8000,15.8000,15.8000,0
EMG,20170505,15.8000,15.8000,15.8000,15.8000,0
EMG,20170508,15.8000,15.8000,15.8000,15.8000,0
EMG,20170509,15.8000,15.8000,15.8000,15.8000,0
EMG,20170510,15.8000,15.8000,15.8000,15.8000,0
EMG,20170511,15.8000,15.8000,15.8000,15.8000,0
EMG,20170512,15.8000,15.8000,15.8000,15.8000,0
EMG,20170515,15.8000,15.8000,15.8000,15.8000,0
EMG,20170516,15.8000,15.8000,15.8000,15.8000,0
EMG,20170517,15.8000,15.8000,15.8000,15.8000,0
EMG,20170518,15.8000,15.8000,15.8000,15.8000,0
EMG,20170519,15.8000,15.8000,15.8000,15.8000,0
EMG,20170522,15.8000,15.8000,15.8000,15.8000,0
EMG,20170523,15.8000,15.8000,15.8000,15.8000,0
EMG,20170524,15.8000,15.8000,15.8000,15.8000,0
EMG,20170525,15.8000,15.8000,15.8000,15.8000,0
EMG,20170526,15.8000,15.8000,15.8000,15.8000,0
EMG,20170529,17.1000,17.1000,17.1000,17.1000,3000
EMG,20170530,17.1000,17.1000,17.1000,17.1000,0
EMG,20170531,17.1000,17.1000,17.1000,17.1000,0
EMG,20170601,17.1000,17.1000,17.1000,17.1000,0
EMG,20170602,17.1000,17.1000,17.1000,17.1000,0
EMG,20170605,17.1000,17.1000,17.1000,17.1000,0
EMG,20170606,17.1000,17.1000,17.1000,17.1000,0
EMG,20170607,17.1000,17.1000,17.1000,17.1000,0
EMG,20170608,17.1000,17.1000,17.1000,17.1000,0
EMG,20170609,17.1000,17.1000,17.1000,17.1000,0
EMG,20170612,17.1000,17.1000,17.1000,17.1000,0
EMG,20170613,17.1000,17.1000,17.1000,17.1000,0
EMG,20170614,17.1000,17.1000,17.1000,17.1000,0
EMG,20170615,17.1000,17.1000,17.1000,17.1000,0
EMG,20170616,17.1000,17.1000,17.1000,17.1000,0
EMG,20170619,17.1000,17.1000,17.1000,17.1000,0
EMG,20170620,17.1000,17.1000,17.1000,17.1000,0
EMG,20170621,17.1000,17.1000,17.1000,17.1000,0
EMG,20170622,17.1000,17.1000,17.1000,17.1000,0
EMG,20170623,17.1000,17.1000,17.1000,17.1000,0
EMG,20170626,17.1000,17.1000,17.1000,17.1000,0
EMG,20170627,17.1000,17.1000,17.1000,17.1000,0
EMG,20170628,17.1000,17.1000,17.1000,17.1000,0
EMG,20170629,17.1000,17.1000,17.1000,17.1000,0
EMG,20170630,17.1000,17.1000,17.1000,17.1000,0
EMG,20170703,17.1000,17.1000,17.1000,17.1000,0
EMG,20170704,17.1000,17.1000,17.1000,17.1000,0
EMG,20170705,17.1000,17.1000,17.1000,17.1000,0
EMG,20170706,17.1000,17.1000,17.1000,17.1000,0
EMG,20170707,17.1000,17.1000,17.1000,17.1000,0
EMG,20170710,17.1000,17.1000,17.1000,17.1000,0
EMG,20170711,17.1000,17.1000,17.1000,17.1000,0
EMG,20170712,17.1000,17.1000,17.1000,17.1000,0
EMG,20170713,17.1000,17.1000,17.1000,17.1000,0
EMG,20170714,17.1000,17.1000,17.1000,17.1000,0
EMG,20170717,17.1000,17.1000,17.1000,17.1000,0
EMG,20170718,17.1000,17.1000,17.1000,17.1000,0
EMG,20170719,17.1000,17.1000,17.1000,17.1000,0
EMG,20170720,17.1000,17.1000,17.1000,17.1000,0
EMG,20170721,17.1000,17.1000,17.1000,17.1000,0
EMG,20170724,17.1000,17.1000,17.1000,17.1000,0
EMG,20170725,17.1000,17.1000,17.1000,17.1000,0
EMG,20170726,11.8289,11.8289,11.8289,11.8289,0
EMG,20170727,11.8289,11.8289,11.8289,11.8289,0
EMG,20170728,11.8289,11.8289,11.8289,11.8289,0
EMG,20170731,11.8289,11.8289,11.8289,11.8289,0
EMG,20170801,11.8289,11.8289,11.8289,11.8289,0
EMG,20170802,11.8289,11.8289,11.8289,11.8289,0
EMG,20170803,11.8289,11.8289,11.8289,11.8289,0
EMG,20170804,11.8289,11.8289,11.8289,11.8289,0
EMG,20170807,11.8289,11.8289,11.8289,11.8289,0
EMG,20170808,11.8289,11.8289,11.8289,11.8289,0
EMG,20170809,11.8289,11.8289,11.8289,11.8289,0
EMG,20170810,11.8289,11.8289,11.8289,11.8289,0
EMG,20170811,11.8289,11.8289,11.8289,11.8289,0
EMG,20170814,11.8289,11.8289,11.8289,11.8289,0
EMG,20170815,11.8289,11.8289,11.8289,11.8289,0
EMG,20170816,11.8289,11.8289,11.8289,11.8289,0
EMG,20170817,11.8289,11.8289,11.8289,11.8289,0
EMG,20170818,11.8289,11.8289,11.8289,11.8289,0
EMG,20170821,11.8289,11.8289,11.8289,11.8289,0
EMG,20170822,11.8289,11.8289,11.8289,11.8289,0
EMG,20170823,11.8289,11.8289,11.8289,11.8289,0
EMG,20170824,11.8289,11.8289,11.8289,11.8289,0
EMG,20170825,11.8289,11.8289,11.8289,11.8289,0
EMG,20170828,11.8289,11.8289,11.8289,11.8289,0
EMG,20170829,11.8289,11.8289,11.8289,11.8289,0
EMG,20170830,11.8289,11.8289,11.8289,11.8289,0
EMG,20170831,11.8289,11.8289,11.8289,11.8289,0
EMG,20170901,11.8289,11.8289,11.8289,11.8289,0
EMG,20170905,11.8289,11.8289,11.8289,11.8289,0
EMG,20170906,11.8289,11.8289,11.8289,11.8289,0
EMG,20170907,11.8289,11.8289,11.8289,11.8289,0
EMG,20170908,11.8289,11.8289,11.8289,11.8289,0
EMG,20170911,11.8289,11.8289,11.8289,11.8289,0
EMG,20170912,11.8289,11.8289,11.8289,11.8289,0
EMG,20170913,11.8289,11.8289,11.8289,11.8289,0
