<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
EPH,20171221,12.9000,12.9000,12.9000,12.9000,0
EPH,20171222,12.9000,12.9000,12.9000,12.9000,0
EPH,20171225,12.9000,12.9000,12.9000,12.9000,0
EPH,20171226,12.9000,12.9000,12.9000,12.9000,0
EPH,20171227,12.9000,12.9000,12.9000,12.9000,0
EPH,20171228,12.9000,12.9000,12.9000,12.9000,0
EPH,20171229,12.9000,12.9000,12.9000,12.9000,0
EPH,20180102,12.9000,12.9000,12.9000,12.9000,0
EPH,20180103,12.9000,12.9000,12.9000,12.9000,0
EPH,20180104,12.9000,12.9000,12.9000,12.9000,0
EPH,20180105,12.9000,12.9000,12.9000,12.9000,0
EPH,20180108,12.9000,12.9000,12.9000,12.9000,0
EPH,20180109,12.9000,12.9000,12.9000,12.9000,0
EPH,20180110,12.9000,12.9000,12.9000,12.9000,0
EPH,20180111,12.9000,12.9000,12.9000,12.9000,0
EPH,20180112,12.9000,12.9000,12.9000,12.9000,0
EPH,20180115,10.0000,10.0000,10.0000,10.0000,100
EPH,20180116,10.0000,10.0000,10.0000,10.0000,0
EPH,20180117,10.0000,10.0000,10.0000,10.0000,0
EPH,20180118,10.0000,10.0000,10.0000,10.0000,0
EPH,20180119,10.0000,10.0000,10.0000,10.0000,0
EPH,20180122,10.0000,10.0000,10.0000,10.0000,0
EPH,20180123,10.0000,10.0000,10.0000,10.0000,0
EPH,20180124,10.0000,10.0000,10.0000,10.0000,0
EPH,20180125,10.0000,10.0000,10.0000,10.0000,0
EPH,20180126,10.0000,10.0000,10.0000,10.0000,0
EPH,20180129,10.0000,10.0000,10.0000,10.0000,0
EPH,20180130,10.0000,10.0000,10.0000,10.0000,0
EPH,20180131,10.0000,10.0000,10.0000,10.0000,0
EPH,20180201,10.0000,10.0000,10.0000,10.0000,0
EPH,20180202,10.0000,10.0000,10.0000,10.0000,0
EPH,20180205,10.0000,10.0000,10.0000,10.0000,0
EPH,20180206,10.0000,10.0000,10.0000,10.0000,0
EPH,20180207,5.6203,5.6203,5.6203,5.6203,0
EPH,20180208,5.6203,5.6203,5.6203,5.6203,0
EPH,20180209,5.6203,5.6203,5.6203,5.6203,0
EPH,20180212,5.6203,5.6203,5.6203,5.6203,0
EPH,20180213,5.6203,5.6203,5.6203,5.6203,0
EPH,20180221,5.6203,5.6203,5.6203,5.6203,0
EPH,20180222,6.2447,6.2447,6.2447,6.2447,100
EPH,20180223,6.2447,6.2447,6.2447,6.2447,0
EPH,20180226,6.2447,6.2447,6.2447,6.2447,0
EPH,20180227,6.2447,6.2447,6.2447,6.2447,0
EPH,20180228,6.2447,6.2447,6.2447,6.2447,0
EPH,20180301,6.2447,6.2447,6.2447,6.2447,0
EPH,20180302,6.2447,6.2447,6.2447,6.2447,0
EPH,20180305,6.2447,6.2447,6.2447,6.2447,0
EPH,20180306,6.2447,6.2447,6.2447,6.2447,0
EPH,20180307,6.2447,6.2447,6.2447,6.2447,0
EPH,20180308,5.6203,5.6203,5.6203,5.6203,100
EPH,20180309,5.6203,5.6203,5.6203,5.6203,0
EPH,20180312,5.6203,5.6203,5.6203,5.6203,0
EPH,20180313,5.6203,5.6203,5.6203,5.6203,1000
EPH,20180314,5.6203,5.6203,5.6203,5.6203,0
EPH,20180315,5.6203,5.6203,5.6203,5.6203,2000
EPH,20180316,5.6203,5.6203,5.6203,5.6203,0
EPH,20180319,5.6203,5.6203,5.6203,5.6203,0
EPH,20180320,5.6203,5.6203,5.6203,5.6203,0
EPH,20180321,5.6203,5.6203,5.6203,5.6203,0
EPH,20180322,5.6203,5.6203,5.6203,5.6203,0
EPH,20180323,5.6203,5.6203,5.6203,5.6203,0
EPH,20180326,5.6203,5.6203,5.6203,5.6203,0
EPH,20180327,5.6203,5.6203,5.6203,5.6203,0
EPH,20180328,5.6203,5.6203,5.6203,5.6203,2000
EPH,20180329,5.6203,5.6203,5.6203,5.6203,0
EPH,20180330,5.6203,5.6203,5.6203,5.6203,0
EPH,20180402,5.6203,5.6203,5.6203,5.6203,0
EPH,20180403,5.6203,5.6203,5.6203,5.6203,0
EPH,20180404,5.6203,5.6203,5.6203,5.6203,0
EPH,20180405,5.6203,5.6203,5.6203,5.6203,0
EPH,20180406,5.6203,5.6203,5.6203,5.6203,0
EPH,20180409,5.6203,5.6203,5.6203,5.6203,0
EPH,20180410,5.6203,5.6203,5.6203,5.6203,0
EPH,20180411,5.6203,5.6203,5.6203,5.6203,0
EPH,20180412,5.6203,5.6203,5.6203,5.6203,0
EPH,20180413,5.6203,5.6203,5.6203,5.6203,0
EPH,20180416,5.6203,5.6203,5.6203,5.6203,0
EPH,20180417,5.6203,5.6203,5.6203,5.6203,0
EPH,20180418,5.6203,5.6203,5.6203,5.6203,0
EPH,20180419,5.6203,5.6203,5.6203,5.6203,0
EPH,20180420,5.6203,5.6203,5.6203,5.6203,0
EPH,20180423,5.6203,5.6203,5.6203,5.6203,0
EPH,20180424,5.6203,5.6203,5.6203,5.6203,0
EPH,20180426,5.6203,5.6203,5.6203,5.6203,0
EPH,20180427,5.6203,5.6203,5.6203,5.6203,0
EPH,20180502,5.6203,5.6203,5.6203,5.6203,0
EPH,20180503,5.6203,5.6203,5.6203,5.6203,1000
EPH,20180504,5.6203,5.6203,5.6203,5.6203,5000
EPH,20180507,5.6203,5.6203,5.6203,5.6203,0
EPH,20180508,5.6203,5.6203,5.6203,5.6203,0
EPH,20180509,5.6203,5.6203,5.6203,5.6203,0
EPH,20180510,5.6203,5.6203,5.6203,5.6203,0
EPH,20180511,5.6203,5.6203,5.6203,5.6203,0
EPH,20180514,5.6203,5.6203,5.6203,5.6203,0
EPH,20180515,5.6203,5.6203,5.6203,5.6203,0
EPH,20180516,5.6203,5.6203,5.6203,5.6203,0
EPH,20180517,5.6203,5.6203,5.6203,5.6203,0
EPH,20180518,5.6203,5.6203,5.6203,5.6203,0
EPH,20180521,5.6203,5.6203,5.6203,5.6203,0
EPH,20180522,5.6203,5.6203,5.6203,5.6203,0
EPH,20180523,5.6203,5.6203,5.6203,5.6203,0
EPH,20180524,5.6203,5.6203,5.6203,5.6203,0
EPH,20180525,5.6203,5.6203,5.6203,5.6203,0
EPH,20180528,5.5578,5.5578,5.5578,5.5578,100
EPH,20180529,5.5578,5.5578,5.5578,5.5578,0
EPH,20180530,4.9958,4.9958,4.9958,4.9958,100
EPH,20180531,4.9958,4.9958,4.9958,4.9958,0
EPH,20180601,4.9958,4.9958,4.9958,4.9958,0
EPH,20180604,4.9958,4.9958,4.9958,4.9958,0
EPH,20180605,4.9958,4.9958,4.9958,4.9958,0
EPH,20180606,4.9958,4.9958,4.9958,4.9958,0
EPH,20180607,4.9958,4.9958,4.9958,4.9958,0
EPH,20180608,4.9958,4.9958,4.9958,4.9958,0
EPH,20180611,4.9958,4.9958,4.9958,4.9958,0
EPH,20180612,4.9958,4.9958,4.9958,4.9958,0
EPH,20180613,4.9958,4.9958,4.9958,4.9958,0
EPH,20180614,4.9958,4.9958,4.9958,4.9958,0
EPH,20180615,4.9958,4.9958,4.9958,4.9958,0
EPH,20180618,4.9958,4.9958,4.9958,4.9958,0
EPH,20180619,4.9958,4.9958,4.9958,4.9958,0
EPH,20180620,4.9958,4.9958,4.9958,4.9958,0
EPH,20180621,4.9958,4.9958,4.9958,4.9958,0
EPH,20180622,4.9958,4.9958,4.9958,4.9958,0
