<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
EVE,20101217,44.0000,48.0000,44.0000,45.0000,77600
EVE,20101220,45.0000,47.2000,45.0000,47.2000,39180
EVE,20101221,49.5000,49.5000,46.5000,46.5000,21000
EVE,20101222,48.4000,48.4000,46.4000,46.5000,18310
EVE,20101223,46.0000,46.4000,45.3000,45.5000,40070
EVE,20101224,46.0000,46.2000,45.8000,46.2000,21130
EVE,20101227,46.1000,46.2000,45.9000,46.2000,11930
EVE,20101228,43.9000,45.0000,43.9000,43.9000,15430
EVE,20101229,41.8000,44.0000,41.8000,44.0000,20600
EVE,20101230,45.9000,45.9000,44.0000,45.0000,12020
EVE,20101231,47.0000,47.0000,45.0000,45.0000,510
EVE,20110104,44.0000,44.0000,44.0000,44.0000,150
EVE,20110105,43.0000,43.0000,43.0000,43.0000,3000
EVE,20110106,41.2000,43.0000,41.2000,42.5000,15510
EVE,20110107,44.5000,44.5000,43.5000,43.5000,1800
EVE,20110110,44.9000,45.0000,41.4000,41.4000,64850
EVE,20110111,42.5000,43.4000,42.5000,43.4000,92610
EVE,20110112,43.5000,45.0000,43.5000,43.9000,89510
EVE,20110113,44.0000,44.5000,43.8000,44.5000,96700
EVE,20110114,44.8000,44.8000,44.4000,44.6000,104310
EVE,20110117,44.6000,45.5000,44.5000,44.6000,101910
EVE,20110118,45.0000,45.4000,44.6000,45.3000,89600
EVE,20110119,45.2000,45.2000,44.8000,44.8000,75430
EVE,20110120,42.9000,45.1000,42.9000,44.8000,92530
EVE,20110121,45.2000,45.2000,44.9000,45.2000,55100
EVE,20110124,45.5000,45.5000,44.6000,45.0000,74000
EVE,20110125,45.0000,47.2000,44.1000,44.5000,68000
EVE,20110126,44.5000,45.0000,43.5000,44.2000,82050
EVE,20110127,44.2000,45.3000,43.5000,45.1000,135810
EVE,20110128,45.0000,46.0000,44.5000,45.6000,138020
EVE,20110208,45.6000,45.7000,45.1000,45.7000,28790
EVE,20110209,43.8000,45.9000,43.8000,45.8000,67910
EVE,20110210,44.0000,45.7000,43.8000,45.7000,41010
EVE,20110211,44.1000,45.7000,44.1000,45.7000,89710
EVE,20110214,46.0000,46.0000,44.5000,44.5000,70900
EVE,20110215,43.5000,45.0000,43.5000,44.6000,64930
EVE,20110216,45.8000,45.9000,44.5000,44.8000,71480
EVE,20110217,45.0000,45.0000,43.5000,44.3000,48400
EVE,20110218,44.3000,44.7000,44.2000,44.2000,41150
EVE,20110221,44.2000,44.2000,42.0000,42.0000,40060
EVE,20110222,40.0000,40.5000,39.9000,39.9000,3080
EVE,20110223,41.3000,41.3000,41.0000,41.3000,1000
EVE,20110224,42.3000,42.3000,42.3000,42.3000,500
EVE,20110225,43.2000,43.2000,43.2000,43.2000,500
EVE,20110228,43.2000,43.2000,43.2000,43.2000,0
