<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
FCM,20130515,9.5263,9.5263,9.5263,9.5263,7230
FCM,20130516,8.8813,8.8813,8.8813,8.8813,130
FCM,20130517,8.2859,8.2859,8.2859,8.2859,10
FCM,20130520,7.7401,7.7401,7.7401,7.7401,40310
FCM,20130521,7.2439,7.4424,7.2439,7.4424,2723800
FCM,20130522,7.7897,7.9386,7.6905,7.9386,1274270
FCM,20130523,8.4844,8.4844,8.2363,8.4844,1239310
FCM,20130524,8.4844,8.6332,7.9386,7.9386,2523500
FCM,20130527,7.5417,7.8394,7.3928,7.3928,1470620
FCM,20130528,7.1447,7.1943,6.8966,7.1943,1198810
FCM,20130529,6.8470,7.1447,6.6981,6.8966,998580
FCM,20130530,6.7478,7.2935,6.7478,7.0455,374470
FCM,20130531,6.9463,7.1447,6.6982,6.6982,615720
FCM,20130603,6.6982,6.8967,6.6486,6.7974,379690
FCM,20130604,6.7974,6.8470,6.4005,6.4005,374230
FCM,20130605,6.5493,6.6486,6.3509,6.4005,284950
FCM,20130606,6.3509,6.5493,6.3012,6.3012,351130
FCM,20130607,6.3012,6.4997,6.3012,6.4005,437330
FCM,20130610,6.4501,6.5493,6.1524,6.2020,264570
FCM,20130611,6.2020,6.5989,6.2020,6.5989,1176730
FCM,20130612,6.6981,7.0455,6.6981,7.0455,2428790
FCM,20130613,7.2936,7.3432,7.0455,7.0455,1185800
FCM,20130614,6.9959,7.0951,6.8470,6.8966,933890
FCM,20130617,6.7974,6.8966,6.4501,6.4501,1093200
FCM,20130618,6.4501,6.5989,6.4005,6.4501,497460
FCM,20130619,6.6486,6.8966,6.5989,6.8966,983840
FCM,20130620,6.8966,7.1943,6.8966,6.9959,1522520
FCM,20130621,6.9463,6.9959,6.7478,6.9463,466530
FCM,20130624,7.0951,7.0951,6.5990,6.6486,506810
FCM,20130625,6.6486,6.6486,6.2020,6.2020,1310770
FCM,20130626,6.2020,6.4005,6.1524,6.2020,467450
FCM,20130627,6.3012,6.3508,6.2516,6.3012,241780
FCM,20130628,6.3508,6.4004,6.2020,6.3012,333650
FCM,20130701,6.2516,6.3508,6.1524,6.2020,202700
FCM,20130702,6.2020,6.3012,6.2020,6.3012,149220
FCM,20130703,6.2516,6.3508,6.2020,6.2516,188220
FCM,20130704,6.2516,6.3508,6.2516,6.2516,196440
FCM,20130705,6.2516,6.3012,6.2020,6.2516,217050
FCM,20130708,6.2516,6.2516,6.1028,6.1028,199980
FCM,20130709,6.1524,6.1524,6.1028,6.1028,105230
FCM,20130710,6.1524,6.2020,6.0036,6.0036,205060
FCM,20130711,6.0036,6.0532,5.9043,5.9043,273790
FCM,20130712,5.9043,6.1028,5.9043,6.0036,194040
FCM,20130715,6.0532,6.2021,6.0532,6.1524,267370
FCM,20130716,6.1028,6.2020,6.0532,6.1028,94400
FCM,20130717,6.1028,6.1028,6.0036,6.0036,209240
FCM,20130718,5.9540,6.0532,5.9044,5.9539,91700
FCM,20130719,6.0035,6.0035,5.9539,5.9539,135160
FCM,20130722,5.9043,5.9539,5.8547,5.8547,136260
FCM,20130723,5.8547,5.9539,5.8051,5.8051,141880
FCM,20130724,5.9539,6.0036,5.8547,5.9539,227000
FCM,20130725,5.9539,5.9539,5.6562,5.6562,198360
FCM,20130726,5.6562,5.7058,5.3585,5.3585,398540
FCM,20130729,5.4081,5.4081,5.1104,5.1105,319090
FCM,20130730,5.1105,5.2097,5.0609,5.1105,292330
FCM,20130731,5.0609,5.1105,4.8624,4.9120,356570
FCM,20130801,4.8624,5.2097,4.8624,5.2097,429570
FCM,20130802,5.3089,5.4578,5.1105,5.1105,192300
FCM,20130805,5.1105,5.4578,5.1105,5.3585,411390
FCM,20130806,5.3089,5.4577,5.2593,5.4082,154640
FCM,20130807,5.4082,5.4082,5.2594,5.3585,152770
FCM,20130808,5.3089,5.5570,5.3089,5.3585,254270
