<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
FHN,20171229,40.5000,40.5000,40.5000,40.5000,100
FHN,20180102,40.5000,40.5000,40.5000,40.5000,0
FHN,20180103,40.5000,40.5000,40.5000,40.5000,0
FHN,20180104,40.5000,40.5000,40.5000,40.5000,0
FHN,20180105,40.5000,40.5000,40.5000,40.5000,0
FHN,20180108,40.5000,40.5000,40.5000,40.5000,0
FHN,20180109,40.5000,40.5000,40.5000,40.5000,0
FHN,20180110,40.5000,40.5000,40.5000,40.5000,0
FHN,20180111,40.5000,40.5000,40.5000,40.5000,0
FHN,20180112,40.5000,40.5000,40.5000,40.5000,0
FHN,20180115,40.5000,40.5000,40.5000,40.5000,0
FHN,20180116,40.5000,40.5000,40.5000,40.5000,0
FHN,20180117,40.5000,40.5000,40.5000,40.5000,0
FHN,20180118,40.5000,40.5000,40.5000,40.5000,0
FHN,20180119,40.5000,40.5000,40.5000,40.5000,0
FHN,20180122,40.5000,40.5000,40.5000,40.5000,0
FHN,20180123,40.5000,40.5000,40.5000,40.5000,0
FHN,20180124,40.5000,40.5000,40.5000,40.5000,0
FHN,20180125,40.5000,40.5000,40.5000,40.5000,0
FHN,20180126,40.5000,40.5000,40.5000,40.5000,0
FHN,20180129,40.5000,40.5000,40.5000,40.5000,0
FHN,20180130,40.5000,40.5000,40.5000,40.5000,0
FHN,20180131,40.5000,40.5000,40.5000,40.5000,0
FHN,20180201,40.5000,40.5000,40.5000,40.5000,0
FHN,20180202,40.5000,40.5000,40.5000,40.5000,0
FHN,20180205,40.5000,40.5000,40.5000,40.5000,0
FHN,20180206,40.5000,40.5000,40.5000,40.5000,0
FHN,20180207,40.5000,40.5000,40.5000,40.5000,0
FHN,20180208,40.5000,40.5000,40.5000,40.5000,0
FHN,20180209,40.5000,40.5000,40.5000,40.5000,0
FHN,20180212,40.5000,40.5000,40.5000,40.5000,0
FHN,20180213,40.5000,40.5000,40.5000,40.5000,0
FHN,20180221,40.5000,40.5000,40.5000,40.5000,0
FHN,20180222,40.5000,40.5000,40.5000,40.5000,0
FHN,20180223,40.5000,40.5000,40.5000,40.5000,0
FHN,20180226,40.5000,40.5000,40.5000,40.5000,0
FHN,20180227,40.5000,40.5000,40.5000,40.5000,0
FHN,20180228,40.5000,40.5000,40.5000,40.5000,0
FHN,20180301,40.5000,40.5000,40.5000,40.5000,0
FHN,20180302,40.5000,40.5000,40.5000,40.5000,0
FHN,20180305,40.5000,40.5000,40.5000,40.5000,0
FHN,20180306,40.5000,40.5000,40.5000,40.5000,0
FHN,20180307,40.5000,40.5000,40.5000,40.5000,0
FHN,20180308,40.5000,40.5000,40.5000,40.5000,0
FHN,20180309,40.5000,40.5000,40.5000,40.5000,0
FHN,20180312,40.5000,40.5000,40.5000,40.5000,0
FHN,20180313,40.5000,40.5000,40.5000,40.5000,0
FHN,20180314,40.5000,40.5000,40.5000,40.5000,0
FHN,20180315,40.5000,40.5000,40.5000,40.5000,0
FHN,20180316,40.5000,40.5000,40.5000,40.5000,0
FHN,20180319,40.5000,40.5000,40.5000,40.5000,0
FHN,20180320,40.5000,40.5000,40.5000,40.5000,0
FHN,20180321,40.5000,40.5000,40.5000,40.5000,0
FHN,20180322,40.5000,40.5000,40.5000,40.5000,0
FHN,20180323,40.5000,40.5000,40.5000,40.5000,0
FHN,20180326,40.5000,40.5000,40.5000,40.5000,0
FHN,20180327,40.5000,40.5000,40.5000,40.5000,0
FHN,20180328,40.5000,40.5000,40.5000,40.5000,0
FHN,20180329,40.5000,40.5000,40.5000,40.5000,0
FHN,20180330,40.5000,40.5000,40.5000,40.5000,0
FHN,20180402,40.5000,40.5000,40.5000,40.5000,0
FHN,20180403,40.5000,40.5000,40.5000,40.5000,0
FHN,20180404,40.5000,40.5000,40.5000,40.5000,0
FHN,20180405,40.5000,40.5000,40.5000,40.5000,0
FHN,20180406,40.5000,40.5000,40.5000,40.5000,0
FHN,20180409,40.5000,40.5000,40.5000,40.5000,0
FHN,20180410,40.5000,40.5000,40.5000,40.5000,0
FHN,20180411,40.5000,40.5000,40.5000,40.5000,0
FHN,20180412,40.5000,40.5000,40.5000,40.5000,0
FHN,20180413,40.5000,40.5000,40.5000,40.5000,0
FHN,20180416,40.5000,40.5000,40.5000,40.5000,0
FHN,20180417,40.5000,40.5000,40.5000,40.5000,0
FHN,20180418,40.5000,40.5000,40.5000,40.5000,0
FHN,20180419,40.5000,40.5000,40.5000,40.5000,0
FHN,20180420,40.5000,40.5000,40.5000,40.5000,0
FHN,20180423,40.5000,40.5000,40.5000,40.5000,0
FHN,20180424,40.5000,40.5000,40.5000,40.5000,0
FHN,20180426,40.5000,40.5000,40.5000,40.5000,0
FHN,20180427,36.8891,36.8891,36.8891,36.8891,0
FHN,20180502,36.8891,36.8891,36.8891,36.8891,0
FHN,20180503,36.8891,36.8891,36.8891,36.8891,0
FHN,20180504,36.8891,36.8891,36.8891,36.8891,0
FHN,20180507,36.8891,36.8891,36.8891,36.8891,0
FHN,20180508,36.8891,36.8891,36.8891,36.8891,0
FHN,20180509,36.8891,36.8891,36.8891,36.8891,0
FHN,20180510,36.8891,36.8891,36.8891,36.8891,0
FHN,20180511,36.8891,36.8891,36.8891,36.8891,0
FHN,20180514,36.8891,36.8891,36.8891,36.8891,0
FHN,20180515,36.8891,36.8891,36.8891,36.8891,0
FHN,20180516,36.8891,36.8891,36.8891,36.8891,0
FHN,20180517,36.8891,36.8891,36.8891,36.8891,0
FHN,20180518,36.8891,36.8891,36.8891,36.8891,0
FHN,20180521,36.8891,36.8891,36.8891,36.8891,0
FHN,20180522,36.8891,36.8891,36.8891,36.8891,0
FHN,20180523,36.8891,36.8891,36.8891,36.8891,0
FHN,20180524,36.8891,36.8891,36.8891,36.8891,0
FHN,20180525,36.8891,36.8891,36.8891,36.8891,0
FHN,20180528,36.8891,36.8891,36.8891,36.8891,0
FHN,20180529,36.8891,36.8891,36.8891,36.8891,0
FHN,20180530,36.8891,36.8891,36.8891,36.8891,0
FHN,20180531,36.8891,36.8891,36.8891,36.8891,0
FHN,20180601,36.8891,36.8891,36.8891,36.8891,0
FHN,20180604,36.8891,36.8891,36.8891,36.8891,0
FHN,20180605,36.8891,36.8891,36.8891,36.8891,0
FHN,20180606,36.8891,36.8891,36.8891,36.8891,0
FHN,20180607,36.8891,36.8891,36.8891,36.8891,0
FHN,20180608,36.8891,36.8891,36.8891,36.8891,0
FHN,20180611,36.8891,36.8891,36.8891,36.8891,0
FHN,20180612,36.8891,36.8891,36.8891,36.8891,0
FHN,20180613,36.8891,36.8891,36.8891,36.8891,0
FHN,20180614,36.8891,36.8891,36.8891,36.8891,0
FHN,20180615,36.8891,36.8891,36.8891,36.8891,0
FHN,20180618,36.8891,36.8891,36.8891,36.8891,0
FHN,20180619,36.8891,36.8891,36.8891,36.8891,0
FHN,20180620,36.8891,36.8891,36.8891,36.8891,0
FHN,20180621,36.8891,36.8891,36.8891,36.8891,0
FHN,20180622,36.8891,36.8891,36.8891,36.8891,0
FHN,20180625,36.8891,36.8891,36.8891,36.8891,0
FHN,20180626,36.8891,36.8891,36.8891,36.8891,0
FHN,20180627,36.8891,36.8891,36.8891,36.8891,0
FHN,20180628,36.8891,36.8891,36.8891,36.8891,0
FHN,20180629,36.8891,36.8891,36.8891,36.8891,0
FHN,20180702,36.8891,36.8891,36.8891,36.8891,0
FHN,20180703,36.8891,36.8891,36.8891,36.8891,0
FHN,20180704,36.8891,36.8891,36.8891,36.8891,0
FHN,20180705,36.8891,36.8891,36.8891,36.8891,0
FHN,20180706,36.8891,36.8891,36.8891,36.8891,0
FHN,20180709,36.8891,36.8891,36.8891,36.8891,0
FHN,20180710,36.8891,36.8891,36.8891,36.8891,0
FHN,20180711,36.8891,36.8891,36.8891,36.8891,0
FHN,20180712,36.8891,36.8891,36.8891,36.8891,0
FHN,20180713,36.8891,36.8891,36.8891,36.8891,0
FHN,20180716,36.8891,36.8891,36.8891,36.8891,0
FHN,20180717,36.8891,36.8891,36.8891,36.8891,0
FHN,20180718,36.8891,36.8891,36.8891,36.8891,0
FHN,20180719,36.8891,36.8891,36.8891,36.8891,0
FHN,20180720,36.8891,36.8891,36.8891,36.8891,0
FHN,20180723,36.8891,36.8891,36.8891,36.8891,0
FHN,20180724,36.8891,36.8891,36.8891,36.8891,0
FHN,20180725,36.8891,36.8891,36.8891,36.8891,0
FHN,20180726,36.8891,36.8891,36.8891,36.8891,0
FHN,20180727,36.8891,36.8891,36.8891,36.8891,0
FHN,20180730,36.8891,36.8891,36.8891,36.8891,0
FHN,20180731,36.8891,36.8891,36.8891,36.8891,0
FHN,20180801,36.8891,36.8891,36.8891,36.8891,0
FHN,20180802,36.8891,36.8891,36.8891,36.8891,0
FHN,20180803,36.8891,36.8891,36.8891,36.8891,0
FHN,20180806,36.8891,36.8891,36.8891,36.8891,0
FHN,20180807,36.8891,36.8891,36.8891,36.8891,0
FHN,20180808,36.8891,36.8891,36.8891,36.8891,0
FHN,20180809,36.8891,36.8891,36.8891,36.8891,0
FHN,20180810,36.8891,36.8891,36.8891,36.8891,0
FHN,20180813,36.8891,36.8891,36.8891,36.8891,0
FHN,20180814,36.8891,36.8891,36.8891,36.8891,0
FHN,20180815,36.8891,36.8891,36.8891,36.8891,0
FHN,20180816,36.8891,36.8891,36.8891,36.8891,0
FHN,20180817,36.8891,36.8891,36.8891,36.8891,0
FHN,20180820,36.8891,36.8891,36.8891,36.8891,0
FHN,20180821,36.8891,36.8891,36.8891,36.8891,0
FHN,20180822,36.8891,36.8891,36.8891,36.8891,0
FHN,20180823,36.8891,36.8891,36.8891,36.8891,0
FHN,20180824,36.8891,36.8891,36.8891,36.8891,0
FHN,20180827,36.8891,36.8891,36.8891,36.8891,0
FHN,20180828,36.8891,36.8891,36.8891,36.8891,0
FHN,20180829,36.8891,36.8891,36.8891,36.8891,0
FHN,20180830,36.8891,36.8891,36.8891,36.8891,0
FHN,20180831,36.8891,36.8891,36.8891,36.8891,0
FHN,20180904,36.8891,36.8891,36.8891,36.8891,0
FHN,20180905,36.8891,36.8891,36.8891,36.8891,0
FHN,20180906,36.8891,36.8891,36.8891,36.8891,0
FHN,20180907,36.8891,36.8891,36.8891,36.8891,0
FHN,20180910,36.8891,36.8891,36.8891,36.8891,0
FHN,20180911,36.8891,36.8891,36.8891,36.8891,0
FHN,20180912,36.8891,36.8891,36.8891,36.8891,0
FHN,20180913,36.8891,36.8891,36.8891,36.8891,0
FHN,20180914,36.8891,36.8891,36.8891,36.8891,0
FHN,20180917,36.8891,36.8891,36.8891,36.8891,0
FHN,20180918,36.8891,36.8891,36.8891,36.8891,0
FHN,20180919,36.8891,36.8891,36.8891,36.8891,0
FHN,20180920,36.8891,36.8891,36.8891,36.8891,0
FHN,20180921,36.8891,36.8891,36.8891,36.8891,0
FHN,20180924,36.8891,36.8891,36.8891,36.8891,0
FHN,20180925,36.8891,36.8891,36.8891,36.8891,0
FHN,20180926,36.8891,36.8891,36.8891,36.8891,0
FHN,20180927,36.8891,36.8891,36.8891,36.8891,0
FHN,20180928,36.8891,36.8891,36.8891,36.8891,0
FHN,20181001,36.8891,36.8891,36.8891,36.8891,0
FHN,20181002,36.8891,36.8891,36.8891,36.8891,0
FHN,20181003,36.8891,36.8891,36.8891,36.8891,0
FHN,20181004,36.8891,36.8891,36.8891,36.8891,0
FHN,20181005,36.8891,36.8891,36.8891,36.8891,0
FHN,20181008,36.8891,36.8891,36.8891,36.8891,0
FHN,20181009,36.8891,36.8891,36.8891,36.8891,0
FHN,20181010,36.8891,36.8891,36.8891,36.8891,0
FHN,20181011,36.8891,36.8891,36.8891,36.8891,0
FHN,20181012,36.8891,36.8891,36.8891,36.8891,0
FHN,20181015,36.8891,36.8891,36.8891,36.8891,0
FHN,20181016,36.8891,36.8891,36.8891,36.8891,0
FHN,20181017,36.8891,36.8891,36.8891,36.8891,0
