<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
FIT,20130726,11.1000,12.6000,11.0000,12.4000,1223000
FIT,20130729,12.5000,13.2000,11.1000,12.9000,846600
FIT,20130730,12.9000,13.9000,12.8000,13.4000,1243300
FIT,20130731,13.4000,14.1000,12.2000,13.1000,1590100
FIT,20130801,13.1000,13.3000,12.3000,12.6000,665900
FIT,20130802,12.5000,13.2000,11.5000,13.1000,555000
FIT,20130805,13.0000,13.1000,11.9000,12.7000,666200
FIT,20130806,12.8000,12.9000,12.5000,12.7000,697900
FIT,20130807,12.9000,13.9000,12.8000,13.9000,906200
FIT,20130808,13.9000,14.5000,13.6000,14.1000,1285500
FIT,20130809,14.4000,15.1000,14.0000,14.2000,1208700
FIT,20130812,14.2000,14.4000,13.8000,14.4000,1225800
FIT,20130813,14.5000,15.3000,14.5000,15.0000,1451900
FIT,20130814,15.0000,15.6000,14.6000,15.6000,1474200
FIT,20130815,16.0000,16.5000,15.5000,15.9000,1436700
FIT,20130816,15.8000,16.4000,15.5000,16.1000,1018500
FIT,20130819,16.3000,17.3000,16.1000,17.1000,1743300
FIT,20130820,17.3000,17.5000,15.9000,16.1000,1277000
FIT,20130821,15.9000,16.2000,15.5000,16.2000,837700
FIT,20130822,16.2000,16.2000,15.7000,15.9000,731600
FIT,20130823,15.8000,16.1000,15.3000,15.5000,641300
FIT,20130826,15.4000,16.0000,15.3000,16.0000,647200
FIT,20130827,16.0000,16.0000,15.7000,15.7000,464600
FIT,20130828,15.7000,15.7000,15.0000,15.4000,624600
FIT,20130829,15.4000,15.6000,15.0000,15.4000,690000
FIT,20130830,15.4000,15.4000,15.1000,15.4000,418100
FIT,20130903,15.4000,15.5000,15.2000,15.4000,449300
FIT,20130904,15.4000,15.7000,15.3000,15.7000,604700
FIT,20130905,15.8000,16.2000,15.8000,16.0000,817200
FIT,20130906,16.0000,16.1000,15.7000,15.7000,779300
FIT,20130909,15.6000,15.7000,15.3000,15.4000,511000
FIT,20130910,15.4000,15.6000,15.4000,15.6000,416900
