<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
FT1,20170927,21.7000,21.7000,21.7000,21.7000,0
FT1,20170928,21.7000,21.7000,21.7000,21.7000,0
FT1,20170929,21.7000,21.7000,21.7000,21.7000,0
FT1,20171002,21.7000,21.7000,21.7000,21.7000,0
FT1,20171003,21.7000,21.7000,21.7000,21.7000,0
FT1,20171004,21.7000,21.7000,21.7000,21.7000,0
FT1,20171005,21.7000,21.7000,21.7000,21.7000,0
FT1,20171006,21.7000,21.7000,21.7000,21.7000,0
FT1,20171009,21.7000,21.7000,21.7000,21.7000,0
FT1,20171010,21.7000,21.7000,21.7000,21.7000,0
FT1,20171011,21.7000,21.7000,21.7000,21.7000,0
FT1,20171012,21.7000,21.7000,21.7000,21.7000,0
FT1,20171013,21.7000,21.7000,21.7000,21.7000,0
FT1,20171016,21.7000,21.7000,21.7000,21.7000,0
FT1,20171017,21.7000,21.7000,21.7000,21.7000,0
FT1,20171018,21.7000,21.7000,21.7000,21.7000,0
FT1,20171019,21.7000,21.7000,21.7000,21.7000,0
FT1,20171020,21.7000,21.7000,21.7000,21.7000,0
FT1,20171023,21.7000,21.7000,21.7000,21.7000,0
FT1,20171024,21.7000,21.7000,21.7000,21.7000,0
FT1,20171025,21.7000,21.7000,21.7000,21.7000,0
FT1,20171026,21.7000,21.7000,21.7000,21.7000,0
FT1,20171027,21.7000,21.7000,21.7000,21.7000,0
FT1,20171030,21.7000,21.7000,21.7000,21.7000,0
FT1,20171031,21.7000,21.7000,21.7000,21.7000,0
FT1,20171101,21.7000,21.7000,21.7000,21.7000,0
FT1,20171102,21.7000,21.7000,21.7000,21.7000,0
FT1,20171103,21.7000,21.7000,21.7000,21.7000,0
FT1,20171106,21.7000,21.7000,21.7000,21.7000,0
FT1,20171107,21.7000,21.7000,21.7000,21.7000,0
FT1,20171108,21.7000,21.7000,21.7000,21.7000,0
FT1,20171109,21.7000,21.7000,21.7000,21.7000,0
FT1,20171110,21.7000,21.7000,21.7000,21.7000,0
FT1,20171113,21.7000,21.7000,21.7000,21.7000,0
FT1,20171114,21.7000,21.7000,21.7000,21.7000,0
FT1,20171115,21.7000,21.7000,21.7000,21.7000,0
FT1,20171116,21.7000,21.7000,21.7000,21.7000,0
FT1,20171117,21.7000,21.7000,21.7000,21.7000,0
FT1,20171120,21.7000,21.7000,21.7000,21.7000,0
FT1,20171121,21.7000,21.7000,21.7000,21.7000,0
FT1,20171122,21.7000,21.7000,21.7000,21.7000,0
FT1,20171123,21.7000,21.7000,21.7000,21.7000,0
FT1,20171124,21.7000,21.7000,21.7000,21.7000,0
FT1,20171127,21.7000,21.7000,21.7000,21.7000,0
FT1,20171128,21.7000,21.7000,21.7000,21.7000,0
FT1,20171129,21.7000,21.7000,21.7000,21.7000,0
FT1,20171130,21.7000,21.7000,21.7000,21.7000,0
FT1,20171201,21.7000,21.7000,21.7000,21.7000,0
FT1,20171204,21.7000,21.7000,21.7000,21.7000,0
FT1,20171205,30.3000,30.3000,30.3000,30.3000,100
FT1,20171206,34.8000,34.8000,34.8000,34.8000,100
FT1,20171207,40.0000,40.0000,40.0000,40.0000,100
FT1,20171208,40.0000,40.0000,40.0000,40.0000,0
FT1,20171211,40.0000,40.0000,40.0000,40.0000,0
FT1,20171212,40.0000,40.0000,40.0000,40.0000,0
FT1,20171213,40.0000,40.0000,40.0000,40.0000,0
FT1,20171214,40.0000,40.0000,40.0000,40.0000,0
FT1,20171215,40.0000,40.0000,40.0000,40.0000,0
FT1,20171218,40.0000,40.0000,40.0000,40.0000,0
FT1,20171219,40.0000,40.0000,40.0000,40.0000,0
FT1,20171220,40.0000,40.0000,40.0000,40.0000,0
