<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
FTM,20170206,18.0000,18.0000,15.9000,16.0000,302200
FTM,20170207,14.9000,16.0000,14.9000,14.9000,114640
FTM,20170208,13.9000,14.8000,13.9000,14.7000,230300
FTM,20170209,15.7000,15.7000,13.7000,14.7000,216170
FTM,20170210,14.7000,14.7000,13.7000,14.5000,217430
FTM,20170213,14.7000,14.7000,13.5000,14.5000,222420
FTM,20170214,14.5000,14.6000,13.5000,14.5000,210900
FTM,20170215,14.5000,14.5000,13.5000,14.4000,175410
FTM,20170216,14.4000,14.4000,13.8500,14.4000,237260
FTM,20170217,14.4000,14.6000,13.5000,14.3000,191570
FTM,20170220,14.3000,14.3000,13.5000,14.1000,234150
FTM,20170221,14.2000,14.5000,13.6000,14.5000,223290
FTM,20170222,14.6000,15.0000,13.7000,14.4000,210330
FTM,20170223,14.4000,14.4000,13.5500,14.3000,226500
FTM,20170224,14.3000,14.5000,13.5000,14.5000,225810
FTM,20170227,14.6000,14.6000,14.1000,14.5000,224710
FTM,20170228,14.5000,14.5000,13.6000,14.5000,236760
FTM,20170301,14.5000,14.5000,13.6000,14.2000,218170
FTM,20170302,14.3000,14.3000,13.5000,14.1000,182480
FTM,20170303,14.1000,14.1000,13.5000,13.7000,336670
FTM,20170306,13.7000,13.9500,13.2000,13.9000,200610
FTM,20170307,13.9000,13.9000,13.5500,13.8000,205230
FTM,20170308,13.9000,13.9000,13.4000,13.8000,312760
FTM,20170309,14.0000,14.0000,13.5000,13.8000,206720
FTM,20170310,13.8000,13.8000,13.4000,13.8000,203960
FTM,20170313,13.8000,13.8000,13.5000,13.8000,248820
FTM,20170314,13.8000,13.8000,13.4000,13.8000,200970
FTM,20170315,13.8000,13.8000,13.4000,13.7000,147930
FTM,20170316,13.8000,13.8000,13.4000,13.7000,227620
FTM,20170317,13.7000,13.7000,13.4000,13.6000,157740
FTM,20170320,13.7000,14.5500,13.4000,13.8000,225390
FTM,20170321,13.5000,13.8000,13.4000,13.8000,281740
FTM,20170322,13.8000,13.8000,13.4000,13.7000,173890
FTM,20170323,13.6000,13.8000,13.1000,13.3000,183110
FTM,20170324,13.6000,13.6000,13.2000,13.4000,154820
FTM,20170327,13.5000,13.5000,13.0000,13.3000,212220
FTM,20170328,13.3500,13.4000,13.1000,13.4000,181870
FTM,20170329,13.4000,13.4000,12.9000,13.0000,179640
FTM,20170330,13.0000,13.1000,12.9000,13.0000,151770
