<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
FUESSV30,20200820,9.8400,9.8400,9.7500,9.7700,54180
FUESSV30,20200821,9.8000,10.4500,9.7500,9.8600,17700
FUESSV30,20200824,9.9100,10.0400,9.9100,10.0400,104590
FUESSV30,20200825,10.0400,10.1300,10.0400,10.1300,241110
FUESSV30,20200826,10.1300,10.1300,10.0800,10.0900,6780
FUESSV30,20200827,10.0700,10.0800,10.0400,10.0400,2020
FUESSV30,20200828,10.1300,10.2300,10.1300,10.2300,11310
FUESSV30,20200831,10.2000,10.2400,10.2000,10.2400,1210
FUESSV30,20200901,10.1800,10.3400,10.1800,10.3400,2560
FUESSV30,20200903,10.3400,10.4300,10.3400,10.4000,2950
FUESSV30,20200904,10.3500,10.4000,10.3100,10.4000,200030
FUESSV30,20200907,10.4100,10.4100,10.2500,10.2500,50220
FUESSV30,20200908,10.2200,10.2800,10.1800,10.2800,7330
FUESSV30,20200909,10.1600,10.2800,10.1600,10.2800,10010
FUESSV30,20200910,10.2700,10.2700,10.2300,10.2300,1110
FUESSV30,20200911,10.2100,10.2600,10.2100,10.2600,7100
FUESSV30,20200914,10.3000,10.3000,10.2600,10.2800,120
FUESSV30,20200915,10.9000,10.9000,10.2900,10.3100,100340
FUESSV30,20200916,10.3400,10.3400,10.3400,10.3400,50
FUESSV30,20200917,10.3500,10.3500,10.3500,10.3500,430
FUESSV30,20200918,10.3700,10.4400,10.3700,10.4400,425670
FUESSV30,20200921,10.5000,10.5200,10.5000,10.5000,50230
FUESSV30,20200922,10.5000,10.5500,10.5000,10.5500,30
FUESSV30,20200923,10.6200,10.6200,10.5800,10.6000,191510
FUESSV30,20200924,10.5900,10.5900,10.5600,10.5900,460
FUESSV30,20200925,10.5500,10.5500,10.5500,10.5500,1220
FUESSV30,20200928,10.6400,10.6500,10.6200,10.6500,51220
FUESSV30,20200929,10.6500,10.7600,10.5700,10.6600,469070
FUESSV30,20200930,10.6100,10.6800,10.6100,10.6800,196600
FUESSV30,20201001,10.7000,10.7100,10.6600,10.7100,30
FUESSV30,20201002,10.7500,10.7500,10.5700,10.6800,382250
FUESSV30,20201005,10.7100,10.7500,10.7100,10.7500,4970
FUESSV30,20201006,10.7900,10.7900,10.7100,10.7700,252060
FUESSV30,20201007,10.7800,10.8300,10.7400,10.8200,749510
FUESSV30,20201008,10.7700,10.7700,10.7200,10.7700,3810
FUESSV30,20201009,10.7600,10.7700,10.7600,10.7700,200000
FUESSV30,20201012,10.8600,10.8600,10.8400,10.8400,10920
FUESSV30,20201013,10.8400,10.9100,10.8200,10.9100,470
FUESSV30,20201014,10.9100,11.0000,10.9100,11.0000,4250
FUESSV30,20201015,11.0600,11.0900,11.0600,11.0900,48010
FUESSV30,20201016,11.1100,11.2200,11.0100,11.1100,137980
FUESSV30,20201019,11.1700,11.1700,11.1500,11.1500,303230
FUESSV30,20201020,11.1500,11.2100,11.1500,11.1900,800500
FUESSV30,20201021,11.2500,11.3600,11.2000,11.2000,402320
FUESSV30,20201022,11.1700,11.2600,11.1600,11.2600,331300
FUESSV30,20201023,11.4200,12.0200,11.4200,12.0200,347150
FUESSV30,20201026,12.0200,12.0200,11.5600,11.5600,1590
FUESSV30,20201027,11.3600,11.4900,11.3600,11.3600,2540
FUESSV30,20201028,11.2500,11.3300,11.0900,11.1400,1310
FUESSV30,20201029,11.0200,11.0200,10.9200,10.9200,1350
FUESSV30,20201030,11.0000,11.0200,10.9100,11.0200,169980
FUESSV30,20201102,11.0500,11.0800,11.0300,11.0800,151340
FUESSV30,20201103,11.1300,11.1600,11.0900,11.0900,529910
FUESSV30,20201104,11.2000,11.2400,11.1700,11.2400,730
FUESSV30,20201105,11.2200,11.3200,11.2200,11.2200,83630
FUESSV30,20201106,11.1500,11.2000,11.1400,11.2000,110
FUESSV30,20201109,11.2000,11.2500,11.2000,11.2500,196060
FUESSV30,20201110,11.6000,12.0000,11.2800,12.0000,480800
FUESSV30,20201111,11.3400,11.4200,11.3400,11.4200,3310
FUESSV30,20201112,11.4200,11.4800,11.3500,11.4800,1440
FUESSV30,20201113,11.3700,11.5800,11.3700,11.5800,110
FUESSV30,20201116,11.5800,11.5800,11.3900,11.4200,720
FUESSV30,20201117,11.4100,11.6100,11.3900,11.6100,2400
FUESSV30,20201118,11.5600,11.6500,11.5200,11.6500,146570
FUESSV30,20201119,11.6400,11.7000,11.6400,11.7000,30
FUESSV30,20201120,11.7000,11.8200,11.6200,11.8200,80160
FUESSV30,20201123,11.8200,11.9200,11.7300,11.9200,21750
FUESSV30,20201124,11.8500,11.9000,11.7300,11.9000,241910
FUESSV30,20201125,11.8800,11.9200,11.8400,11.9200,106440
FUESSV30,20201126,11.8400,11.9400,11.7700,11.9400,196070
FUESSV30,20201127,11.9100,12.0200,11.8900,12.0200,61930
FUESSV30,20201130,12.0200,12.0200,11.9600,12.0000,72260
FUESSV30,20201201,11.8300,12.0700,11.8300,12.0700,29910
FUESSV30,20201202,12.0800,12.1500,12.0800,12.1500,110
FUESSV30,20201203,12.1100,12.2200,12.1000,12.2200,210
FUESSV30,20201204,12.2200,12.2200,12.1500,12.2000,770
FUESSV30,20201207,12.2900,12.2900,12.1500,12.2900,1930
FUESSV30,20201208,12.2300,12.3000,12.2300,12.2700,23180
FUESSV30,20201209,12.2800,12.4100,12.1200,12.4100,116180
FUESSV30,20201210,12.4200,12.4500,12.3400,12.3500,5480
FUESSV30,20201211,12.3200,12.5200,12.2900,12.5200,3160
FUESSV30,20201214,12.6300,13.3000,12.5200,12.6800,42160
FUESSV30,20201215,12.5900,12.5900,12.5000,12.5000,3440
FUESSV30,20201216,12.5000,12.7200,12.2000,12.7100,52770
FUESSV30,20201217,13.0000,13.0000,11.8400,12.5600,34900
FUESSV30,20201218,12.7900,12.8900,12.6800,12.8900,301230
FUESSV30,20201221,13.6000,13.6000,12.8400,13.0500,480
FUESSV30,20201222,13.0500,13.0500,12.9100,13.0000,5910
FUESSV30,20201223,13.0000,13.0000,12.9700,12.9800,15820
FUESSV30,20201224,12.9800,12.9800,12.5900,12.5900,1940
FUESSV30,20201225,12.8300,13.0000,12.7500,13.0000,3430
FUESSV30,20201228,13.0000,13.0200,13.0000,13.0200,1310
FUESSV30,20201229,13.0500,13.0700,13.0500,13.0700,930
FUESSV30,20201230,13.1500,13.1800,13.1400,13.1800,100
FUESSV30,20201231,13.1000,13.3300,13.1000,13.3300,2800
FUESSV30,20210104,13.4300,13.4300,13.4100,13.4100,800
FUESSV30,20210105,13.5800,13.5800,13.5800,13.5800,1700
FUESSV30,20210106,13.6000,13.8000,13.6000,13.8000,15800
FUESSV30,20210107,13.9200,13.9600,13.9200,13.9600,3300
FUESSV30,20210108,14.0400,14.2500,14.0400,14.1700,102100
FUESSV30,20210111,13.8000,13.8000,13.8000,13.8000,0
FUESSV30,20210112,14.3500,14.4600,14.2400,14.4600,19400
FUESSV30,20210113,14.8000,14.8000,14.5000,14.5000,6700
FUESSV30,20210114,14.4400,14.4400,14.3500,14.3500,500
FUESSV30,20210115,14.5300,14.5400,14.5300,14.5400,1600
FUESSV30,20210118,14.6000,14.6100,14.5800,14.5900,39600
FUESSV30,20210119,14.9100,14.9100,13.9600,13.9600,15800
FUESSV30,20210120,13.7100,13.8200,13.5000,13.8000,2100
FUESSV30,20210121,13.8000,13.8000,13.8000,13.8000,40900
FUESSV30,20210122,14.2300,14.3300,14.2300,14.3300,200
FUESSV30,20210125,14.2300,14.3400,14.2300,14.3400,21400
FUESSV30,20210126,14.2300,14.2300,13.8100,13.8100,23000
FUESSV30,20210127,13.8100,13.8100,13.5200,13.5200,300
FUESSV30,20210128,13.5600,13.5600,12.7000,12.9000,700
FUESSV30,20210129,12.3800,13.1700,12.3800,13.1700,400
FUESSV30,20210201,13.9700,13.9700,13.0500,13.2000,5300
FUESSV30,20210202,12.7400,12.8700,12.7400,12.8700,600
FUESSV30,20210203,13.5000,13.8100,13.5000,13.8100,500
FUESSV30,20210204,13.6000,13.8900,13.6000,13.8500,92800
FUESSV30,20210205,14.1300,14.1900,13.8500,14.1900,24900
FUESSV30,20210208,13.5000,14.2100,13.5000,13.9600,6600
FUESSV30,20210209,13.5600,13.5600,13.5600,13.5600,0
FUESSV30,20210217,14.1200,14.5000,14.1200,14.5000,10900
FUESSV30,20210218,14.6100,14.6100,14.6100,14.6100,200
FUESSV30,20210219,14.6400,14.8000,14.6400,14.8000,3700
FUESSV30,20210222,14.8000,14.8700,14.6900,14.6900,12300
FUESSV30,20210223,14.7600,14.8100,14.7600,14.7600,3800
FUESSV30,20210224,14.8800,14.8800,14.5000,14.5000,44200
FUESSV30,20210225,14.6700,14.6700,14.5000,14.5000,3200
FUESSV30,20210226,14.5000,14.5100,14.4700,14.4700,1500
FUESSV30,20210301,14.5400,14.8500,14.5400,14.8400,28000
FUESSV30,20210302,15.0000,15.1000,14.8700,14.9200,49800
FUESSV30,20210303,14.9200,14.9500,14.9000,14.9000,1400
FUESSV30,20210304,14.5200,15.0000,14.5200,14.5900,1200
FUESSV30,20210305,14.5200,14.5400,14.4800,14.5400,1900
FUESSV30,20210308,14.7000,14.7000,14.6400,14.6400,1200
FUESSV30,20210309,14.1700,14.5400,14.1700,14.5400,2400
FUESSV30,20210310,14.5400,14.6500,14.4800,14.6500,11800
FUESSV30,20210311,14.8000,14.8400,14.7600,14.7800,2800
FUESSV30,20210312,14.3100,14.9100,14.3100,14.8400,33600
FUESSV30,20210315,14.8100,14.9000,14.8100,14.8100,118500
FUESSV30,20210316,14.8600,14.8600,14.6700,14.7300,4200
FUESSV30,20210317,14.7800,14.8100,14.7800,14.8100,500
FUESSV30,20210318,15.0300,15.0700,15.0000,15.0700,24500
FUESSV30,20210319,15.0000,15.1100,14.9700,14.9700,45100
FUESSV30,20210322,15.0100,15.0100,15.0100,15.0100,2000
FUESSV30,20210323,14.9000,14.9200,14.8000,14.8500,3800
FUESSV30,20210324,14.5000,14.6700,14.5000,14.5000,7700
FUESSV30,20210325,14.5500,14.6300,14.5000,14.5800,5700
FUESSV30,20210326,14.2100,14.5800,14.2100,14.3000,1700
FUESSV30,20210329,14.3000,14.5800,14.3000,14.5800,600
FUESSV30,20210330,15.5900,15.5900,14.7600,14.8300,3900
FUESSV30,20210331,14.9300,15.0000,14.9200,15.0000,2500
FUESSV30,20210401,14.9800,15.2000,14.9800,15.2000,2300
FUESSV30,20210402,15.4600,15.4600,15.3400,15.3400,1500
FUESSV30,20210405,15.3700,15.6000,15.3700,15.6000,2500
FUESSV30,20210406,15.6000,15.7400,15.5500,15.6400,27400
FUESSV30,20210407,15.7000,15.7000,15.6000,15.6000,5600
FUESSV30,20210408,15.6000,15.6900,15.6000,15.6900,400
FUESSV30,20210409,15.5800,15.6000,15.5100,15.6000,24800
FUESSV30,20210412,15.6000,15.9000,15.6000,15.9000,107600
FUESSV30,20210413,16.0000,16.1500,15.9400,15.9400,166300
FUESSV30,20210414,15.8500,16.0000,15.8000,16.0000,5700
FUESSV30,20210415,16.1800,16.2500,16.0300,16.1000,15300
FUESSV30,20210416,16.0400,16.0400,15.9400,15.9500,113900
FUESSV30,20210419,15.9500,16.2400,15.8900,16.2200,8500
FUESSV30,20210420,16.4000,16.5500,16.3600,16.3600,5500
FUESSV30,20210422,16.3600,16.3900,15.9600,15.9600,6600
FUESSV30,20210423,15.8500,16.1000,15.8000,16.0800,6800
FUESSV30,20210426,16.2200,16.2200,15.8400,16.0000,37000
FUESSV30,20210427,16.0000,16.0000,15.8200,15.9800,44900
FUESSV30,20210428,15.9800,16.1400,15.9600,15.9600,91500
FUESSV30,20210429,16.2300,16.3100,16.1700,16.2400,43100
FUESSV30,20210504,16.2400,16.4800,16.1200,16.4800,5000
FUESSV30,20210505,16.7000,16.8600,16.7000,16.8400,61100
FUESSV30,20210506,16.8400,16.8700,16.6900,16.8000,14400
FUESSV30,20210507,16.8000,16.8000,16.6700,16.7400,7500
FUESSV30,20210510,16.6800,17.0000,16.6800,17.0000,800
FUESSV30,20210511,17.1100,17.1600,17.0500,17.0500,12500
FUESSV30,20210512,16.9200,17.0600,16.9000,17.0500,113500
FUESSV30,20210513,17.2000,17.2000,17.1200,17.1700,600
