<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
GBPJPY,20180223,149.2700,149.2700,149.2700,149.2700,325768
GBPJPY,20180226,149.3300,149.3300,149.3300,149.3300,341920
GBPJPY,20180227,149.2600,149.2600,149.2600,149.2600,364265
GBPJPY,20180228,146.7800,146.7800,146.7800,146.7800,379676
GBPJPY,20180301,146.3300,146.3300,146.3300,146.3300,540525
GBPJPY,20180302,145.9300,145.9300,145.9300,145.9300,534740
GBPJPY,20180305,147.0600,147.0600,147.0600,147.0600,470252
GBPJPY,20180306,147.3500,147.3500,147.3500,147.3500,436518
GBPJPY,20180307,147.4600,147.4600,147.4600,147.4600,490402
GBPJPY,20180308,146.6800,146.6800,146.6800,146.6800,427124
GBPJPY,20180309,147.9500,147.9500,147.9500,147.9500,437465
GBPJPY,20180312,148.0000,148.0000,148.0000,148.0000,381554
GBPJPY,20180313,148.6600,148.6600,148.6600,148.6600,438908
GBPJPY,20180314,148.4400,148.4400,148.4400,148.4400,430998
GBPJPY,20180315,148.2200,148.2200,148.2200,148.2200,421029
GBPJPY,20180316,147.7900,147.7900,147.7900,147.7900,380358
GBPJPY,20180319,148.6800,148.6800,148.6800,148.6800,288183
GBPJPY,20180320,149.1200,149.1200,149.1200,149.1200,249168
GBPJPY,20180321,149.9500,149.9500,149.9500,149.9500,403182
GBPJPY,20180322,148.5300,148.5300,148.5300,148.5300,539484
GBPJPY,20180323,148.0000,148.0000,148.0000,148.0000,557137
GBPJPY,20180326,149.9600,149.9600,149.9600,149.9600,395484
GBPJPY,20180327,149.1100,149.1100,149.1100,149.1100,442852
GBPJPY,20180328,150.3600,150.3600,150.3600,150.3600,319383
GBPJPY,20180329,149.1900,149.1900,149.1900,149.1900,271318
GBPJPY,20180330,148.9300,148.9300,148.9300,148.9300,206188
GBPJPY,20180402,148.7200,148.7200,148.7200,148.7200,271403
GBPJPY,20180403,149.8700,149.8700,149.8700,149.8700,419554
GBPJPY,20180404,150.3200,150.3200,150.3200,150.3200,436913
GBPJPY,20180405,150.3700,150.3700,150.3700,150.3700,395525
GBPJPY,20180406,150.6600,150.6600,150.6600,150.6600,485512
GBPJPY,20180409,150.8400,150.8400,150.8400,150.8400,394729
GBPJPY,20180410,151.9500,151.9500,151.9500,151.9500,472312
GBPJPY,20180411,151.3700,151.3700,151.3700,151.3700,425079
GBPJPY,20180412,152.7000,152.7000,152.7000,152.7000,436064
GBPJPY,20180413,152.8200,152.8200,152.8200,152.8200,411808
GBPJPY,20180416,153.5600,153.5600,153.5600,153.5600,370318
GBPJPY,20180417,152.9000,152.9000,152.9000,152.9000,352278
GBPJPY,20180418,152.2900,152.2900,152.2900,152.2900,367454
GBPJPY,20180419,151.1800,151.1800,151.1800,151.1800,423512
GBPJPY,20180420,150.7500,150.7500,150.7500,150.7500,407162
GBPJPY,20180423,151.5100,151.5100,151.5100,151.5100,381042
GBPJPY,20180424,152.0800,152.0800,152.0800,152.0800,419130
GBPJPY,20180426,152.0600,152.0600,152.0600,152.0600,247929
GBPJPY,20180427,150.3100,150.3100,150.3100,150.3100,249835
GBPJPY,20180430,150.4700,150.4700,150.4700,150.4700,306709
GBPJPY,20180501,149.5800,149.5800,149.5800,149.5800,208714
GBPJPY,20180502,149.0700,149.0700,149.0700,149.0700,261466
GBPJPY,20180503,148.2000,148.2000,148.2000,148.2000,413857
GBPJPY,20180504,147.6000,147.6000,147.6000,147.6000,214577
GBPJPY,20180507,147.8700,147.8700,147.8700,147.8700,312701
GBPJPY,20180508,147.8300,147.8300,147.8300,147.8300,388564
GBPJPY,20180509,148.6400,148.6400,148.6400,148.6400,383892
GBPJPY,20180510,147.8400,147.8400,147.8400,147.8400,452468
GBPJPY,20180511,148.1300,148.1300,148.1300,148.1300,358567
GBPJPY,20180514,148.6100,148.6100,148.6100,148.6100,291085
GBPJPY,20180515,149.0000,149.0000,149.0000,149.0000,342613
GBPJPY,20180516,148.6600,148.6600,148.6600,148.6600,327383
GBPJPY,20180517,149.6700,149.6700,149.6700,149.6700,355061
GBPJPY,20180518,149.2200,149.2200,149.2200,149.2200,308818
GBPJPY,20180521,149.1000,149.1000,149.1000,149.1000,293050
GBPJPY,20180522,148.9300,148.9300,148.9300,148.9300,320846
GBPJPY,20180523,146.9100,146.9100,146.9100,146.9100,432960
GBPJPY,20180524,146.1500,146.1500,146.1500,146.1500,425782
GBPJPY,20180525,145.4200,145.4200,145.4200,145.4200,235656
GBPJPY,20180528,145.6100,145.6100,145.6100,145.6100,295797
GBPJPY,20180529,144.1600,144.1600,144.1600,144.1600,492630
GBPJPY,20180530,144.6200,144.6200,144.6200,144.6200,455737
