<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
GDW,20100615,10.0000,10.0000,10.0000,10.0000,0
GDW,20100616,10.0000,10.0000,10.0000,10.0000,10000
GDW,20100617,10.0000,10.0000,10.0000,10.0000,0
GDW,20100618,10.0000,10.0000,10.0000,10.0000,0
GDW,20100621,10.0000,10.0000,10.0000,10.0000,0
GDW,20100622,10.0000,10.0000,10.0000,10.0000,0
GDW,20100623,10.0000,10.0000,10.0000,10.0000,0
GDW,20100624,11.0000,11.0000,11.0000,11.0000,1010
GDW,20100625,12.1000,12.1000,12.1000,12.1000,1000
GDW,20100628,13.3000,13.3000,13.2000,13.3000,2720
GDW,20100629,13.3000,14.6000,13.3000,13.3000,9300
GDW,20100630,15.7000,15.7000,14.3000,14.3000,5100
GDW,20100701,17.2000,17.2000,17.2000,17.2000,2000
GDW,20100702,18.9000,18.9000,15.5000,16.0000,15680
GDW,20100705,17.0000,17.0000,16.5000,16.5000,14400
GDW,20100706,18.1000,18.1000,16.5000,17.0000,10130
GDW,20100707,16.5000,18.4000,16.5000,18.4000,700
GDW,20100708,18.1000,18.1000,18.1000,18.1000,0
GDW,20100709,19.9000,19.9000,16.3000,16.3000,320
GDW,20100712,18.0000,18.0000,14.8000,15.5000,8840
GDW,20100713,17.3000,17.3000,15.0000,15.0000,20480
GDW,20100714,17.2000,17.2000,15.7000,15.7000,2130
GDW,20100715,17.3000,17.3000,17.3000,17.3000,5110
GDW,20100716,19.0000,19.0000,17.5000,17.5000,6210
GDW,20100719,20.5000,20.5000,16.9000,16.9000,3100
GDW,20100720,17.0000,17.0000,17.0000,17.0000,110
GDW,20100721,15.3000,15.3000,15.3000,15.3000,100
GDW,20100722,13.8000,15.3000,13.8000,14.0000,1800
GDW,20100723,13.8000,13.8000,13.0000,13.0000,1000
GDW,20100726,12.1000,12.1000,12.1000,12.1000,3200
GDW,20100727,13.0000,13.0000,13.0000,13.0000,100
GDW,20100728,13.0000,13.0000,13.0000,13.0000,0
GDW,20100729,13.9000,13.9000,13.9000,13.9000,100
GDW,20100730,14.5000,14.5000,14.5000,14.5000,100
GDW,20100802,13.1000,13.1000,13.1000,13.1000,200
GDW,20100803,14.4000,14.4000,13.4000,13.4000,300
GDW,20100804,13.0000,13.0000,12.4000,12.4000,600
GDW,20100805,13.8000,13.8000,13.8000,13.8000,100
GDW,20100806,15.1000,15.1000,12.8000,12.8000,600
GDW,20100809,12.0000,12.0000,12.0000,12.0000,100
GDW,20100810,11.9000,11.9000,11.0000,11.0000,200
GDW,20100811,12.5000,12.5000,12.5000,12.5000,100
GDW,20100812,11.3000,11.3000,11.3000,11.3000,100
GDW,20100813,11.3000,11.3000,11.3000,11.3000,0
GDW,20100816,11.1000,11.2000,10.4000,10.4000,5100
GDW,20100817,9.5000,9.5000,9.5000,9.5000,1200
GDW,20100818,9.0000,9.0000,9.0000,9.0000,500
GDW,20100819,9.0000,9.0000,9.0000,9.0000,0
GDW,20100820,9.6000,9.8000,9.5000,9.8000,1500
GDW,20100823,9.6000,9.6000,9.6000,9.6000,0
GDW,20100824,9.0000,9.0000,8.7000,8.7000,3300
GDW,20100825,8.8000,8.8000,8.8000,8.8000,0
GDW,20100826,8.8000,8.8000,8.8000,8.8000,0
GDW,20100827,8.8000,8.8000,8.8000,8.8000,34000
GDW,20100830,9.6000,9.6000,8.0000,8.0000,10110
GDW,20100831,8.7000,8.7000,7.3000,7.3000,1100
GDW,20100901,8.2000,8.2000,8.2000,8.2000,500
GDW,20100906,9.0000,9.0000,9.0000,9.0000,2600
GDW,20100907,8.2000,8.2000,8.1000,8.1000,1500
GDW,20100908,8.1000,8.1000,8.1000,8.1000,0
GDW,20100909,8.9000,8.9000,8.0000,8.0000,1600
GDW,20100910,8.0000,8.3000,7.8000,8.3000,4000
GDW,20100913,7.8000,7.8000,7.8000,7.8000,100
GDW,20100914,8.4000,8.4000,8.4000,8.4000,200
