<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
GEE,20220413,39.0000,39.0000,37.5000,38.7000,371700
GEE,20220414,39.2000,39.3000,37.9000,39.0000,327600
GEE,20220415,39.5000,39.5000,37.5000,37.9000,163800
GEE,20220418,37.9000,38.7000,36.6000,36.9000,67800
GEE,20220419,37.5000,37.5000,32.7000,35.1000,271000
GEE,20220420,34.8000,35.0000,33.1000,34.0000,48500
GEE,20220421,31.0000,38.0000,31.0000,38.0000,231100
GEE,20220422,36.9000,36.9000,34.7000,36.5000,111800
GEE,20220425,37.0000,37.0000,30.5000,32.0000,190000
GEE,20220426,32.0000,33.5000,30.0000,33.1000,35700
GEE,20220427,33.5000,37.0000,33.5000,35.3000,142500
GEE,20220428,36.5000,40.1000,36.2000,38.8000,274400
GEE,20220429,39.9000,39.9000,38.2000,38.2000,32300
GEE,20220504,38.0000,38.9000,37.3000,37.3000,116800
GEE,20220505,38.7000,39.3000,37.5000,39.2000,136600
GEE,20220506,38.6000,39.2000,37.3000,37.3000,141800
GEE,20220509,37.9000,39.5000,34.1000,34.4000,69700
GEE,20220510,34.0000,35.8000,32.5000,35.0000,39300
GEE,20220511,34.9000,35.3000,34.7000,34.9000,21050
GEE,20220512,35.6000,35.6000,31.5000,33.5000,31300
GEE,20220513,32.7000,32.8000,30.0000,30.1000,101900
GEE,20220516,31.0000,34.2000,31.0000,31.1000,37800
GEE,20220517,30.7000,34.6000,30.4000,34.0000,143811
GEE,20220518,35.0000,36.0000,33.5000,35.0000,46200
GEE,20220519,34.5000,35.0000,34.4000,35.0000,19600
GEE,20220520,35.3000,36.1000,34.8000,35.0000,61100
GEE,20220523,36.5000,37.0000,34.0000,35.5000,9700
GEE,20220524,35.4000,35.4000,34.7000,34.9000,2700
GEE,20220525,34.8000,37.0000,34.4000,37.0000,64744
GEE,20220526,37.0000,38.0000,36.5000,36.7000,24700
GEE,20220527,37.2000,37.2000,36.5000,36.8000,145100
GEE,20220530,37.5000,37.5000,36.3000,36.5000,197100
GEE,20220531,36.5000,36.5000,36.0000,36.1000,65000
GEE,20220601,34.2000,36.1000,34.2000,34.4000,90805
GEE,20220602,36.9000,36.9000,35.0000,35.0000,18900
GEE,20220603,36.4000,36.4000,34.4000,35.4000,13805
GEE,20220606,35.9000,35.9000,35.0000,35.5000,13300
GEE,20220607,34.7000,35.0000,34.0000,35.0000,12900
GEE,20220608,35.0000,36.0000,34.6000,35.3000,23100
GEE,20220609,35.1000,36.0000,35.0000,35.7000,39103
GEE,20220610,35.8000,35.9000,35.0000,35.7000,27215
GEE,20220613,34.9000,34.9000,33.0000,34.3000,23800
GEE,20220614,34.5000,38.0000,33.2000,34.5000,68626
GEE,20220615,34.5000,38.0000,32.0000,34.7000,72400
GEE,20220616,33.3000,36.1000,33.3000,33.5000,21600
GEE,20220617,33.1000,34.4000,32.8000,32.8000,17500
