<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
GEG,20170321,20.0000,20.0000,15.1000,15.1000,5900
GEG,20170322,16.0000,16.0000,16.0000,16.0000,2200
GEG,20170323,16.0000,16.0000,16.0000,16.0000,0
GEG,20170324,16.0000,16.0000,16.0000,16.0000,0
GEG,20170327,16.0000,16.0000,16.0000,16.0000,0
GEG,20170328,15.0000,15.0000,15.0000,15.0000,2000
GEG,20170329,15.0000,17.0000,15.0000,17.0000,1300
GEG,20170330,16.5000,16.5000,16.5000,16.5000,0
GEG,20170331,15.5000,17.5000,15.1000,17.5000,9700
GEG,20170403,15.5000,15.5000,15.5000,15.5000,1000
GEG,20170404,15.5000,15.5000,15.5000,15.5000,0
GEG,20170405,15.4000,15.4000,15.1000,15.2000,3200
GEG,20170407,15.1000,15.1000,15.1000,15.1000,0
GEG,20170410,15.5000,15.5000,15.5000,15.5000,900
GEG,20170411,15.5000,15.5000,15.5000,15.5000,0
GEG,20170412,15.5000,15.5000,15.5000,15.5000,0
GEG,20170413,15.5000,15.5000,15.5000,15.5000,0
GEG,20170414,15.5000,15.5000,15.5000,15.5000,600
GEG,20170417,15.5000,15.5000,15.5000,15.5000,600
GEG,20170418,15.0000,15.2000,15.0000,15.2000,3100
GEG,20170419,15.0000,15.1000,15.0000,15.1000,1100
GEG,20170420,15.1000,15.1000,15.1000,15.1000,0
GEG,20170421,15.1000,15.1000,15.1000,15.1000,0
GEG,20170424,15.1000,15.1000,15.1000,15.1000,0
GEG,20170425,15.1000,15.1000,15.1000,15.1000,1200
GEG,20170426,13.3000,13.3000,13.0000,13.0000,1100
GEG,20170427,13.3000,13.3000,13.3000,13.3000,0
GEG,20170428,13.3000,13.3000,13.3000,13.3000,0
GEG,20170503,14.9000,15.0000,14.9000,15.0000,5600
GEG,20170504,15.0000,15.0000,15.0000,15.0000,0
GEG,20170505,15.0000,15.2000,15.0000,15.2000,4000
GEG,20170508,15.5000,15.5000,15.5000,15.5000,1100
GEG,20170509,15.5000,15.5000,15.5000,15.5000,0
GEG,20170510,14.8000,14.8000,14.0000,14.0000,22400
GEG,20170511,14.2000,14.2000,14.2000,14.2000,100
GEG,20170512,14.2000,14.2000,14.2000,14.2000,0
GEG,20170515,14.2000,14.2000,14.2000,14.2000,0
GEG,20170516,14.1000,14.1000,14.1000,14.1000,1200
GEG,20170517,14.0000,14.3000,14.0000,14.3000,9400
GEG,20170518,14.1000,14.1000,14.1000,14.1000,0
GEG,20170519,14.1000,14.1000,14.1000,14.1000,0
GEG,20170522,14.2000,14.2000,14.2000,14.2000,400
GEG,20170523,14.0000,14.0000,14.0000,14.0000,200
GEG,20170524,14.0000,14.1000,14.0000,14.1000,600
GEG,20170525,14.5000,14.8000,14.0000,14.8000,1600
GEG,20170526,14.3000,14.3000,14.3000,14.3000,1000
