<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
GTK,20200108,12.0000,12.0000,12.0000,12.0000,0
GTK,20200109,12.0000,12.0000,12.0000,12.0000,0
GTK,20200110,12.0000,12.0000,12.0000,12.0000,0
GTK,20200113,12.0000,12.0000,12.0000,12.0000,0
GTK,20200114,12.0000,12.0000,12.0000,12.0000,0
GTK,20200115,12.0000,12.0000,12.0000,12.0000,0
GTK,20200116,12.0000,12.0000,12.0000,12.0000,0
GTK,20200117,12.0000,12.0000,12.0000,12.0000,0
GTK,20200120,12.0000,12.0000,12.0000,12.0000,0
GTK,20200121,12.0000,12.0000,12.0000,12.0000,0
GTK,20200122,12.0000,12.0000,12.0000,12.0000,0
GTK,20200130,12.0000,12.0000,12.0000,12.0000,0
GTK,20200131,12.0000,12.0000,12.0000,12.0000,0
GTK,20200203,12.0000,12.0000,12.0000,12.0000,0
GTK,20200204,12.0000,12.0000,12.0000,12.0000,0
GTK,20200205,12.0000,12.0000,12.0000,12.0000,0
GTK,20200206,12.0000,12.0000,12.0000,12.0000,0
GTK,20200207,12.0000,12.0000,12.0000,12.0000,0
GTK,20200210,12.0000,12.0000,12.0000,12.0000,0
GTK,20200211,12.0000,12.0000,12.0000,12.0000,0
GTK,20200212,12.0000,12.0000,12.0000,12.0000,0
GTK,20200213,12.0000,12.0000,12.0000,12.0000,0
GTK,20200214,12.0000,12.0000,12.0000,12.0000,0
GTK,20200217,12.0000,12.0000,12.0000,12.0000,0
GTK,20200218,12.0000,12.0000,12.0000,12.0000,0
GTK,20200219,12.0000,12.0000,12.0000,12.0000,0
GTK,20200220,12.0000,12.0000,12.0000,12.0000,0
GTK,20200221,12.0000,12.0000,12.0000,12.0000,0
GTK,20200224,12.0000,12.0000,12.0000,12.0000,0
GTK,20200225,12.0000,12.0000,12.0000,12.0000,0
GTK,20200226,12.0000,12.0000,12.0000,12.0000,0
GTK,20200227,12.0000,12.0000,12.0000,12.0000,0
GTK,20200228,12.0000,12.0000,12.0000,12.0000,0
GTK,20200302,12.0000,12.0000,12.0000,12.0000,0
GTK,20200303,12.0000,12.0000,12.0000,12.0000,0
GTK,20200304,12.0000,12.0000,12.0000,12.0000,0
GTK,20200305,12.0000,12.0000,12.0000,12.0000,0
GTK,20200306,12.0000,12.0000,12.0000,12.0000,0
GTK,20200309,12.0000,12.0000,12.0000,12.0000,0
GTK,20200310,12.0000,12.0000,12.0000,12.0000,0
GTK,20200311,12.0000,12.0000,12.0000,12.0000,0
GTK,20200312,12.0000,12.0000,12.0000,12.0000,0
GTK,20200313,12.0000,12.0000,12.0000,12.0000,0
GTK,20200316,12.0000,12.0000,12.0000,12.0000,0
GTK,20200317,12.0000,12.0000,12.0000,12.0000,0
GTK,20200318,12.0000,12.0000,12.0000,12.0000,0
GTK,20200319,12.0000,12.0000,12.0000,12.0000,0
GTK,20200320,12.0000,12.0000,12.0000,12.0000,0
GTK,20200323,12.0000,12.0000,12.0000,12.0000,0
GTK,20200324,12.0000,12.0000,12.0000,12.0000,0
GTK,20200325,12.0000,12.0000,12.0000,12.0000,0
GTK,20200326,12.0000,12.0000,12.0000,12.0000,0
GTK,20200327,12.0000,12.0000,12.0000,12.0000,0
GTK,20200330,12.0000,12.0000,12.0000,12.0000,0
GTK,20200331,12.0000,12.0000,12.0000,12.0000,0
GTK,20200401,12.0000,12.0000,12.0000,12.0000,0
GTK,20200403,12.0000,12.0000,12.0000,12.0000,0
GTK,20200406,12.0000,12.0000,12.0000,12.0000,0
GTK,20200407,12.0000,12.0000,12.0000,12.0000,0
GTK,20200408,12.0000,12.0000,12.0000,12.0000,0
GTK,20200409,12.0000,12.0000,12.0000,12.0000,0
GTK,20200410,12.0000,12.0000,12.0000,12.0000,0
GTK,20200413,12.0000,12.0000,12.0000,12.0000,0
GTK,20200414,12.0000,12.0000,12.0000,12.0000,0
GTK,20200415,12.0000,12.0000,12.0000,12.0000,0
GTK,20200416,12.0000,12.0000,12.0000,12.0000,0
GTK,20200417,12.0000,12.0000,12.0000,12.0000,0
GTK,20200420,12.0000,12.0000,12.0000,12.0000,0
GTK,20200421,12.0000,12.0000,12.0000,12.0000,0
GTK,20200422,12.0000,12.0000,12.0000,12.0000,0
GTK,20200423,12.0000,12.0000,12.0000,12.0000,0
GTK,20200424,12.0000,12.0000,12.0000,12.0000,0
GTK,20200427,12.0000,12.0000,12.0000,12.0000,0
GTK,20200428,12.0000,12.0000,12.0000,12.0000,0
GTK,20200429,12.0000,12.0000,12.0000,12.0000,0
GTK,20200504,12.0000,12.0000,12.0000,12.0000,0
GTK,20200505,12.0000,12.0000,12.0000,12.0000,0
GTK,20200506,12.0000,12.0000,12.0000,12.0000,0
GTK,20200507,12.0000,12.0000,12.0000,12.0000,0
GTK,20200508,12.0000,12.0000,12.0000,12.0000,0
