<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
GTT,20100630,16.0000,16.8000,16.0000,16.0000,1883090
GTT,20100701,16.3000,16.8000,16.2000,16.8000,3505960
GTT,20100702,17.6000,17.6000,17.6000,17.6000,1845150
GTT,20100705,18.1000,18.4000,17.6000,17.6000,2118730
GTT,20100706,17.2000,17.2000,16.8000,16.9000,1508480
GTT,20100707,17.0000,17.0000,16.1000,16.1000,1456880
GTT,20100708,16.0000,16.1000,15.3000,15.4000,1210000
GTT,20100709,15.5000,16.1000,15.3000,16.1000,774020
GTT,20100712,16.1000,16.5000,15.7000,16.1000,679800
GTT,20100713,16.2000,16.4000,15.8000,16.1000,871500
GTT,20100714,16.2000,16.2000,15.5000,15.6000,767400
GTT,20100715,15.6000,16.0000,15.5000,15.5000,735750
GTT,20100716,15.5000,16.2000,15.4000,15.9000,877340
GTT,20100719,15.8000,16.0000,15.6000,15.6000,356700
GTT,20100720,15.8000,15.8000,15.6000,15.7000,807380
GTT,20100721,15.8000,15.8000,15.5000,15.5000,420220
GTT,20100722,15.5000,15.7000,15.2000,15.2000,412750
GTT,20100723,15.3000,15.4000,15.0000,15.0000,394920
GTT,20100726,15.1000,15.1000,14.5000,14.6000,457790
GTT,20100727,14.4000,14.8000,14.1000,14.3000,492580
GTT,20100728,14.9000,15.0000,14.5000,14.5000,1065060
GTT,20100729,14.6000,14.8000,14.4000,14.5000,272310
GTT,20100730,14.5000,14.8000,14.4000,14.5000,366570
GTT,20100802,14.7000,14.7000,14.0000,14.1000,317430
GTT,20100803,14.2000,14.3000,13.8000,13.9000,622970
GTT,20100804,14.0000,14.0000,13.5000,13.7000,333370
GTT,20100805,13.7000,13.9000,13.4000,13.5000,512420
GTT,20100806,13.6000,14.1000,13.6000,14.1000,1073410
GTT,20100809,14.2000,14.2000,13.5000,13.5000,390660
GTT,20100810,13.5000,13.5000,12.9000,13.3000,697510
GTT,20100811,13.5000,13.7000,13.1000,13.5000,499050
GTT,20100812,13.2000,13.3000,12.9000,12.9000,573870
GTT,20100813,12.6000,13.1000,12.3000,13.0000,414860
GTT,20100816,13.2000,13.6000,13.0000,13.6000,491370
GTT,20100817,13.3000,13.8000,13.2000,13.4000,366080
GTT,20100818,13.1000,13.2000,12.8000,12.8000,383200
GTT,20100819,12.9000,13.0000,12.6000,12.7000,204740
GTT,20100820,12.7000,12.7000,12.1000,12.6000,523780
GTT,20100823,12.8000,12.8000,12.3000,12.3000,467610
GTT,20100824,11.9000,12.0000,11.7000,11.7000,396210
GTT,20100825,11.4000,11.4000,11.2000,11.2000,344570
GTT,20100826,11.3000,11.3000,10.7000,11.0000,838700
GTT,20100827,10.6000,11.0000,10.5000,10.7000,283790
GTT,20100830,11.1000,11.2000,11.1000,11.2000,137930
GTT,20100831,11.5000,11.7000,11.3000,11.7000,704730
GTT,20100901,12.0000,12.2000,11.8000,12.2000,524560
GTT,20100906,12.8000,12.8000,12.6000,12.8000,612240
GTT,20100907,12.8000,13.4000,12.5000,13.1000,978560
GTT,20100908,12.6000,12.9000,12.5000,12.5000,857620
GTT,20100909,12.8000,13.0000,12.4000,12.8000,508680
GTT,20100910,12.6000,12.9000,12.2000,12.2000,465350
GTT,20100913,12.0000,12.2000,11.6000,11.6000,564380
GTT,20100914,12.0000,12.0000,11.2000,12.0000,333910
GTT,20100915,11.8000,12.0000,11.6000,11.6000,240760
GTT,20100916,11.5000,11.8000,11.4000,11.6000,222490
GTT,20100917,12.0000,12.1000,11.7000,12.0000,585610
GTT,20100920,12.3000,12.5000,11.9000,11.9000,472870
GTT,20100921,11.9000,11.9000,11.6000,11.7000,408080
GTT,20100922,11.8000,12.0000,11.7000,11.8000,287600
GTT,20100923,11.7000,11.8000,11.4000,11.5000,233640
GTT,20100924,11.7000,11.7000,11.4000,11.5000,187490
GTT,20100927,11.5000,11.6000,11.2000,11.2000,408850
GTT,20100928,11.5000,11.5000,11.2000,11.2000,347070
GTT,20100929,11.2000,11.3000,10.9000,11.0000,519580
GTT,20100930,11.1000,11.5000,11.0000,11.5000,855850
GTT,20101001,11.6000,11.6000,11.2000,11.2000,268010
GTT,20101004,11.1000,11.1000,10.7000,10.7000,730910
GTT,20101005,8.9673,9.2336,8.9673,9.2336,126410
GTT,20101006,9.2336,9.4112,9.1448,9.2336,378210
GTT,20101007,9.1448,9.4112,9.1448,9.1448,157590
GTT,20101008,9.0560,9.3224,9.0560,9.0560,220260
GTT,20101011,9.0560,9.2336,9.0560,9.0560,82820
GTT,20101012,9.1448,9.1448,8.8785,8.9673,373130
GTT,20101013,8.9673,8.9673,8.7897,8.8785,188780
GTT,20101014,8.8785,8.9673,8.7897,8.7897,243780
GTT,20101015,8.7897,8.8785,8.7009,8.7897,101550
GTT,20101018,8.8785,9.1448,8.8785,9.1448,236040
GTT,20101019,9.5887,9.5887,9.1448,9.4112,906890
GTT,20101020,9.1448,9.3224,8.9673,8.9673,699530
GTT,20101021,9.0560,9.1448,8.8785,8.8785,134760
GTT,20101022,8.9673,8.9673,8.7897,8.9673,155070
GTT,20101025,8.9673,9.0560,8.7897,9.0560,182050
GTT,20101026,8.9673,9.5000,8.9673,9.2336,256590
GTT,20101027,9.0560,9.2336,8.9673,8.9673,143150
GTT,20101028,9.1448,9.4112,9.0560,9.4112,1339190
GTT,20101029,9.5887,9.6775,9.4112,9.4112,270490
GTT,20101101,9.4112,9.4112,9.2336,9.2336,204100
GTT,20101102,9.4112,9.4112,9.1448,9.2336,461430
GTT,20101103,9.2336,9.3224,9.1448,9.2336,471270
GTT,20101104,9.5000,9.6775,9.4112,9.5887,852580
GTT,20101105,9.7663,10.0327,9.7663,10.0327,1127360
GTT,20101108,10.0327,10.2102,9.7663,10.0327,1037260
GTT,20101109,9.8551,9.8551,9.5887,9.5887,912000
GTT,20101110,9.6775,9.7663,9.5887,9.7663,342960
GTT,20101111,9.7663,9.7663,9.5887,9.5887,418640
GTT,20101112,9.5887,9.5887,9.1448,9.3224,601130
GTT,20101115,9.4112,9.5887,9.2336,9.4112,550490
GTT,20101116,9.5887,9.5887,9.1448,9.4112,422660
GTT,20101117,9.3224,9.5887,9.3224,9.5000,450450
GTT,20101118,9.4000,9.7000,9.4000,9.4000,375570
GTT,20101119,9.4000,9.4000,9.1000,9.2000,353870
GTT,20101122,9.0000,9.0000,8.8000,8.8000,558110
GTT,20101123,8.8000,9.0000,8.7000,8.9000,160640
GTT,20101124,8.8000,9.0000,8.6000,8.7000,363630
GTT,20101125,8.9000,9.1000,8.8000,9.1000,501800
GTT,20101126,9.3000,9.3000,8.9000,9.0000,215440
GTT,20101129,8.9000,9.1000,8.8000,9.1000,461920
GTT,20101130,9.3000,9.5000,9.2000,9.5000,1104290
GTT,20101201,9.4000,9.6000,9.1000,9.2000,715200
GTT,20101202,9.2000,9.6000,9.0000,9.5000,662850
