<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
HAD,20091027,45.0000,54.6000,45.0000,53.5000,123900
HAD,20091028,55.4000,55.4000,55.4000,55.4000,22800
HAD,20091029,59.2000,59.2000,56.0000,59.2000,141900
HAD,20091030,62.1000,62.1000,56.0000,56.1000,88400
HAD,20091102,55.4000,55.4000,55.4000,55.4000,4400
HAD,20091103,51.6000,51.6000,51.6000,51.6000,2000
HAD,20091104,48.0000,48.0000,48.0000,48.0000,12000
HAD,20091105,44.7000,45.8000,44.7000,45.8000,87900
HAD,20091106,44.8000,45.5000,41.7000,41.7000,43500
HAD,20091109,44.0000,44.0000,39.4000,39.5000,35600
HAD,20091110,41.7000,41.7000,39.0000,40.8000,48900
HAD,20091111,42.0000,43.0000,41.0000,43.0000,30800
HAD,20091112,44.6000,44.6000,44.5000,44.6000,32300
HAD,20091113,42.1000,45.4000,42.1000,45.1000,16800
HAD,20091116,41.4000,44.0000,41.3000,41.3000,52000
HAD,20091117,41.6000,41.9000,41.0000,41.9000,19500
HAD,20091118,41.0000,41.5000,41.0000,41.5000,10000
HAD,20091119,42.0000,42.0000,40.0000,40.0000,28700
HAD,20091120,41.0000,41.0000,38.7000,38.7000,11900
HAD,20091123,41.0000,41.0000,38.3000,38.8000,8800
HAD,20091124,40.5000,40.5000,38.3000,39.0000,1000
HAD,20091125,38.9000,38.9000,36.2000,36.2000,5000
HAD,20091126,33.9000,34.0000,33.9000,33.9000,4500
HAD,20091127,31.6000,36.2000,31.6000,33.4000,42100
HAD,20091130,33.8000,34.3000,32.0000,34.3000,13400
HAD,20091201,35.7000,35.8000,35.0000,35.0000,17600
HAD,20091202,36.9000,37.7000,33.3000,33.3000,9700
HAD,20091203,34.0000,35.0000,33.0000,33.2000,6100
HAD,20091204,35.0000,35.0000,33.0000,33.0000,8300
HAD,20091207,33.0000,34.5000,32.1000,34.4000,13400
HAD,20091208,34.8000,36.0000,34.0000,35.0000,8600
HAD,20091209,34.4000,34.4000,32.4000,32.4000,13300
HAD,20091210,34.9000,34.9000,30.6000,31.0000,21600
HAD,20091211,31.5000,31.5000,29.3000,29.3000,8600
HAD,20091214,28.5000,31.0000,28.5000,31.0000,7600
HAD,20091215,29.6000,31.6000,29.6000,31.5000,19800
HAD,20091216,29.5000,30.2000,29.1000,29.1000,9800
HAD,20091217,28.1000,31.6000,28.1000,30.0000,9500
HAD,20091218,32.5000,32.6000,32.0000,32.6000,18200
HAD,20091221,34.4000,34.7000,33.0000,34.7000,6200
HAD,20091222,36.3000,36.3000,33.0000,33.0000,5100
HAD,20091223,32.0000,34.2000,32.0000,34.0000,3300
HAD,20091224,35.8000,36.0000,32.0000,35.0000,13400
HAD,20091225,36.0000,36.0000,34.2000,34.2000,16100
HAD,20091228,35.0000,35.8000,34.7000,34.9000,9400
HAD,20091229,35.0000,35.3000,33.0000,34.5000,11600
HAD,20091230,34.9000,35.0000,34.0000,35.0000,16800
HAD,20091231,36.5000,36.5000,32.0000,34.0000,10100
HAD,20100104,36.6000,36.8000,35.5000,36.8000,30700
HAD,20100105,38.8000,38.8000,37.8000,38.0000,21700
HAD,20100106,39.0000,39.0000,37.0000,37.0000,9000
HAD,20100107,38.3000,38.8000,37.0000,38.1000,18900
HAD,20100108,39.0000,39.0000,37.4000,37.5000,51600
HAD,20100111,37.1000,37.1000,36.9000,37.0000,13500
HAD,20100112,38.0000,39.0000,37.1000,37.1000,24800
HAD,20100113,39.0000,39.0000,36.8000,38.0000,9400
HAD,20100114,38.0000,40.5000,38.0000,40.5000,36500
HAD,20100115,42.5000,42.9000,41.6000,42.2000,24000
HAD,20100118,41.0000,42.5000,39.6000,40.5000,13600
HAD,20100119,40.7000,43.5000,40.7000,43.5000,35900
HAD,20100120,45.0000,45.4000,41.5000,41.5000,51300
HAD,20100121,42.0000,42.0000,41.5000,41.5000,2100
HAD,20100122,40.0000,40.0000,39.0000,39.0000,2000
HAD,20100125,39.5000,42.2000,39.5000,42.1000,4300
HAD,20100126,43.0000,43.0000,42.0000,42.5000,4600
HAD,20100127,40.0000,40.0000,39.6000,39.6000,6900
HAD,20100128,41.0000,41.0000,41.0000,41.0000,100
HAD,20100129,42.0000,42.0000,38.5000,38.5000,3300
HAD,20100201,37.2000,38.0000,37.2000,38.0000,3100
HAD,20100202,38.0000,38.0000,38.0000,38.0000,500
