<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
HAR,20130117,14.4000,14.4000,13.7000,14.4000,154420
HAR,20130118,14.4000,15.3000,14.4000,15.3000,43270
HAR,20130121,15.3000,16.0000,15.3000,15.9000,75040
HAR,20130122,15.9000,15.9000,14.8000,14.8000,59350
HAR,20130123,14.8000,14.8000,14.0000,14.4000,36230
HAR,20130124,14.3000,14.8000,14.1000,14.8000,37270
HAR,20130125,15.0000,15.0000,14.5000,15.0000,36740
HAR,20130128,15.0000,15.0000,14.7000,15.0000,80330
HAR,20130129,15.1000,15.1000,15.0000,15.0000,23590
HAR,20130130,15.0000,15.0000,14.8000,14.9000,47410
HAR,20130131,14.9000,14.9000,14.7000,14.8000,33130
HAR,20130201,14.9000,15.2000,14.8000,15.2000,36120
HAR,20130204,15.0000,15.8000,15.0000,15.8000,62300
HAR,20130205,15.9000,16.6000,15.6000,16.6000,88480
HAR,20130206,16.6000,16.6000,16.0000,16.0000,53610
HAR,20130207,16.0000,16.2000,16.0000,16.2000,51280
HAR,20130208,16.2000,17.0000,16.2000,17.0000,98010
HAR,20130218,17.0000,17.7000,16.1000,17.7000,66310
HAR,20130219,18.2000,18.9000,18.0000,18.9000,113190
HAR,20130220,20.2000,20.2000,18.9000,20.2000,157070
HAR,20130221,21.6000,21.6000,21.0000,21.6000,199320
HAR,20130222,22.2000,22.5000,21.7000,22.2000,129520
HAR,20130225,22.0000,22.2000,21.3000,21.5000,87600
HAR,20130226,21.0000,21.2000,20.0000,20.0000,71270
HAR,20130227,20.1000,20.5000,18.6000,20.5000,129830
HAR,20130228,20.5000,21.1000,20.0000,21.0000,63010
HAR,20130301,21.0000,21.5000,20.8000,21.5000,91080
HAR,20130304,20.1000,22.2000,20.0000,22.2000,103110
HAR,20130305,22.2000,22.5000,21.5000,21.5000,47280
HAR,20130306,21.0000,21.0000,20.5000,21.0000,45470
HAR,20130307,20.5000,22.4000,20.5000,22.2000,138230
HAR,20130308,22.2000,22.6000,21.8000,22.5000,115830
HAR,20130311,22.4000,22.6000,22.0000,22.2000,103980
HAR,20130312,22.2000,23.4000,22.0000,23.4000,209300
HAR,20130313,23.4000,25.0000,22.6000,25.0000,176120
HAR,20130314,26.7000,26.7000,26.0000,26.7000,207070
HAR,20130315,28.5000,28.5000,28.5000,28.5000,101350
HAR,20130318,30.0000,30.4000,28.8000,30.4000,179210
HAR,20130319,30.4000,32.5000,30.0000,32.0000,175570
HAR,20130320,32.0000,32.6000,31.5000,31.5000,256220
HAR,20130321,31.0000,31.6000,29.3000,30.6000,150470
HAR,20130322,29.3000,29.3000,28.5000,28.8000,122780
HAR,20130325,28.5000,30.0000,28.5000,29.0000,75320
HAR,20130326,29.0000,30.5000,28.5000,30.5000,104680
HAR,20130327,30.5000,31.0000,30.0000,31.0000,103340
HAR,20130328,30.8000,31.0000,30.0000,30.0000,100520
HAR,20130329,28.6000,30.0000,28.5000,29.0000,87270
HAR,20130401,29.0000,30.0000,28.5000,29.5000,99330
HAR,20130402,29.5000,30.0000,29.0000,30.0000,92060
HAR,20130403,30.0000,30.5000,29.0000,29.0000,103540
HAR,20130404,29.0000,30.0000,28.5000,29.1000,89120
HAR,20130405,29.1000,30.0000,28.8000,29.5000,90160
HAR,20130408,29.9000,31.5000,29.5000,31.5000,152200
HAR,20130409,32.5000,33.7000,32.0000,33.7000,329110
HAR,20130410,34.0000,34.5000,33.5000,34.0000,160410
HAR,20130411,34.0000,34.5000,33.0000,33.0000,272020
HAR,20130412,31.9000,33.0000,31.9000,32.2000,190000
HAR,20130415,32.2000,32.7000,32.0000,32.1000,138950
HAR,20130416,32.1000,34.1000,31.9000,34.0000,299120
HAR,20130417,34.5000,36.3000,34.0000,36.3000,445290
HAR,20130418,37.6000,38.5000,37.0000,38.5000,552770
HAR,20130422,39.5000,40.1000,39.3000,39.5000,283680
HAR,20130423,39.5000,40.2000,39.3000,39.6000,338160
HAR,20130424,39.0000,39.6000,38.5000,38.5000,284850
HAR,20130425,38.5000,39.0000,38.4000,39.0000,371000
HAR,20130426,39.0000,39.0000,38.0000,38.0000,436310
HAR,20130502,37.0000,38.0000,36.0000,36.0000,157710
HAR,20130503,36.0000,37.0000,34.0000,34.0000,163150
HAR,20130506,34.0000,34.0000,32.0000,32.0000,183940
HAR,20130507,30.0000,31.0000,29.8000,30.0000,219380
HAR,20130508,28.8000,29.0000,28.0000,28.0000,258330
HAR,20130509,27.8000,28.3000,27.8000,28.1000,233880
HAR,20130510,28.4000,30.0000,28.0000,30.0000,298470
HAR,20130513,31.0000,32.1000,30.5000,32.1000,386010
HAR,20130514,32.1000,33.0000,32.0000,33.0000,489430
HAR,20130515,32.7000,32.7000,30.7000,30.7000,453030
HAR,20130516,30.0000,30.1000,28.6000,28.6000,651950
HAR,20130517,28.0000,28.0000,26.6000,26.6000,370370
