<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
HGA,20200207,15.2000,15.2000,15.2000,15.2000,0
HGA,20200210,15.2000,15.2000,15.2000,15.2000,0
HGA,20200211,15.2000,15.2000,15.2000,15.2000,0
HGA,20200212,15.2000,15.2000,15.2000,15.2000,0
HGA,20200213,15.2000,15.2000,15.2000,15.2000,0
HGA,20200214,15.2000,15.2000,15.2000,15.2000,0
HGA,20200217,15.2000,15.2000,15.2000,15.2000,0
HGA,20200218,15.2000,15.2000,15.2000,15.2000,0
HGA,20200219,15.2000,15.2000,15.2000,15.2000,0
HGA,20200220,15.2000,15.2000,15.2000,15.2000,0
HGA,20200221,15.2000,15.2000,15.2000,15.2000,0
HGA,20200224,15.2000,15.2000,15.2000,15.2000,0
HGA,20200225,15.2000,15.2000,15.2000,15.2000,0
HGA,20200226,15.2000,15.2000,15.2000,15.2000,0
HGA,20200227,15.2000,15.2000,15.2000,15.2000,0
HGA,20200228,15.2000,15.2000,15.2000,15.2000,0
HGA,20200302,15.2000,15.2000,15.2000,15.2000,0
HGA,20200303,15.2000,15.2000,15.2000,15.2000,0
HGA,20200304,15.2000,15.2000,15.2000,15.2000,0
HGA,20200305,15.2000,15.2000,15.2000,15.2000,0
HGA,20200306,15.2000,15.2000,15.2000,15.2000,0
HGA,20200309,15.2000,15.2000,15.2000,15.2000,0
HGA,20200310,15.2000,15.2000,15.2000,15.2000,0
HGA,20200311,15.2000,15.2000,15.2000,15.2000,0
HGA,20200312,15.2000,15.2000,15.2000,15.2000,0
HGA,20200313,15.2000,15.2000,15.2000,15.2000,0
HGA,20200316,15.2000,15.2000,15.2000,15.2000,0
HGA,20200317,15.2000,15.2000,15.2000,15.2000,0
HGA,20200318,15.2000,15.2000,15.2000,15.2000,0
HGA,20200319,15.2000,15.2000,15.2000,15.2000,0
HGA,20200320,15.2000,15.2000,15.2000,15.2000,0
HGA,20200323,15.2000,15.2000,15.2000,15.2000,0
HGA,20200324,15.2000,15.2000,15.2000,15.2000,0
HGA,20200325,15.2000,15.2000,15.2000,15.2000,0
HGA,20200326,15.2000,15.2000,15.2000,15.2000,0
HGA,20200327,15.2000,15.2000,15.2000,15.2000,0
HGA,20200330,15.2000,15.2000,15.2000,15.2000,0
HGA,20200331,15.2000,15.2000,15.2000,15.2000,0
HGA,20200401,15.2000,15.2000,15.2000,15.2000,0
HGA,20200403,15.2000,15.2000,15.2000,15.2000,0
HGA,20200406,15.2000,15.2000,15.2000,15.2000,0
HGA,20200407,15.2000,15.2000,15.2000,15.2000,0
HGA,20200408,15.2000,15.2000,15.2000,15.2000,0
HGA,20200409,15.2000,15.2000,15.2000,15.2000,0
HGA,20200410,15.2000,15.2000,15.2000,15.2000,0
HGA,20200413,15.2000,15.2000,15.2000,15.2000,0
HGA,20200414,15.2000,15.2000,15.2000,15.2000,0
HGA,20200415,15.2000,15.2000,15.2000,15.2000,0
HGA,20200416,15.2000,15.2000,15.2000,15.2000,0
HGA,20200417,15.2000,15.2000,15.2000,15.2000,0
HGA,20200420,15.2000,15.2000,15.2000,15.2000,0
HGA,20200421,15.2000,15.2000,15.2000,15.2000,0
HGA,20200422,15.2000,15.2000,15.2000,15.2000,0
HGA,20200423,15.2000,15.2000,15.2000,15.2000,0
HGA,20200424,15.2000,15.2000,15.2000,15.2000,0
HGA,20200427,15.2000,15.2000,15.2000,15.2000,0
HGA,20200428,15.2000,15.2000,15.2000,15.2000,0
HGA,20200429,15.2000,15.2000,15.2000,15.2000,0
HGA,20200504,15.2000,15.2000,15.2000,15.2000,0
HGA,20200505,15.2000,15.2000,15.2000,15.2000,0
HGA,20200506,15.2000,15.2000,15.2000,15.2000,0
HGA,20200507,15.2000,15.2000,15.2000,15.2000,0
HGA,20200508,15.2000,15.2000,15.2000,15.2000,0
HGA,20200511,15.2000,15.2000,15.2000,15.2000,0
HGA,20200512,15.2000,15.2000,15.2000,15.2000,0
HGA,20200513,15.2000,15.2000,15.2000,15.2000,0
HGA,20200514,15.2000,15.2000,15.2000,15.2000,0
